feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV166	genotype	KO	1.61745335727927	0.424877984219453	29	23	0.000736052898926539	0.281908260288864
ASV16	genotype	KO	-2.13439193115897	0.74977593620246	29	24	0.00833717504612336	0.424727918178414
ASV31	genotype	KO	-1.39250692731081	0.491383266306844	29	27	0.00859869269211129	0.424727918178414
ASV95	genotype	KO	-1.66836537540649	0.60105611087739	29	15	0.00988074168999098	0.424727918178414
ASV275	genotype	KO	-1.58781279345718	0.555738090783364	29	15	0.00813077186363816	0.424727918178414
ASV298	genotype	KO	-1.1345561688718	0.409365233693134	29	5	0.00998055160210373	0.424727918178414
ASV313	genotype	KO	0.758490240345608	0.27344658759628	29	1	0.00992573396571817	0.424727918178414
ASV387	genotype	KO	-0.805034718009562	0.268843058991036	29	2	0.00582452263781324	0.424727918178414
ASV412	genotype	KO	-0.970472108449728	0.308033705446153	29	3	0.00395999254440148	0.424727918178414
ASV163	genotype	KO	1.26854254856011	0.479084124783942	29	25	0.0133597563248591	0.511678667242104
ASV103	genotype	KO	-1.31096909801503	0.508071314049249	29	25	0.0156308842197709	0.544238968742933
ASV99	genotype	KO	0.899189617603974	0.36377865427732	29	20	0.0200388633308169	0.552567837019526
ASV116	genotype	KO	0.914377675368429	0.370446900101976	29	25	0.020198302136484	0.552567837019526
ASV183	genotype	KO	1.16491276478956	0.469287188675268	29	22	0.0195668277278991	0.552567837019526
ASV28	genotype	KO	-1.00799402971274	0.423363011862678	29	28	0.0245852575205171	0.557581848429328
ASV52	genotype	KO	-1.11010684746628	0.461439513891027	29	5	0.0232576285194678	0.557581848429328
ASV53	genotype	KO	0.613070154733452	0.257815243325917	29	29	0.0247490637684036	0.557581848429328
ASV157	genotype	KO	-1.53558656993782	0.653393674064992	29	15	0.0263257224688117	0.560152872530826
ASV67	genotype	KO	0.449149855705739	0.19620308674918	29	29	0.0301122798411724	0.607000167324686
ASV430	genotype	KO	-0.854058246037516	0.379863712576604	29	5	0.0329216406297824	0.630449418060333
ASV273	genotype	KO	0.964980804233099	0.446481643728897	29	15	0.0397047890480733	0.724139724067242
ASV553	genotype	KO	-0.498973083279545	0.233269037218577	29	1	0.0416295144109424	0.724732000881406
ASV240	genotype	KO	0.800900381023801	0.382759377572236	29	10	0.0459327569569	0.733010246437195
ASV455	genotype	KO	-0.557009547489209	0.264069779589704	29	1	0.0443296678344774	0.733010246437195
ASV85	genotype	KO	1.0051403404482	0.500291201748068	29	22	0.0546198530634319	0.80459245089594
ASV171	genotype	KO	0.815537087051533	0.404228946765307	29	25	0.0536825518014781	0.80459245089594
ASV399	genotype	KO	-0.587040072056785	0.294932433524762	29	2	0.0567564324694067	0.805100505028991
ASV10	genotype	KO	0.492427111126532	0.266784256789646	29	29	0.0759156839309289	0.822084047431124
ASV18	genotype	KO	-0.453483383583388	0.253643091806407	29	29	0.0850253533804906	0.822084047431124
ASV118	genotype	KO	-0.72845202514493	0.389423717938049	29	27	0.0722787953590036	0.822084047431124
ASV165	genotype	KO	0.844598682879699	0.437495867168165	29	25	0.064106027234733	0.822084047431124
ASV182	genotype	KO	0.502750605541293	0.258368759103451	29	23	0.0621491249046296	0.822084047431124
ASV203	genotype	KO	-0.717633429673075	0.402518102566892	29	3	0.0858573417682637	0.822084047431124
ASV208	genotype	KO	-0.976274685418368	0.539048936167362	29	19	0.0812650038947348	0.822084047431124
ASV220	genotype	KO	0.615289690190204	0.329615291331892	29	16	0.0728404190610367	0.822084047431124
ASV223	genotype	KO	0.964709938574345	0.510518942338682	29	10	0.0695850455724636	0.822084047431124
ASV224	genotype	KO	0.898365478654097	0.482052648830533	29	10	0.0732845288084092	0.822084047431124
ASV258	genotype	KO	0.452200341438833	0.253262276441927	29	2	0.0854185737352354	0.822084047431124
ASV357	genotype	KO	0.536589972012656	0.279876191114047	29	2	0.0658450729142554	0.822084047431124
ASV457	genotype	KO	-0.905004461421135	0.506833793673999	29	5	0.0854016959722287	0.822084047431124
ASV242	genotype	KO	0.982339666953997	0.5692709950244	29	11	0.0958470079432278	0.835457596210351
ASV318	genotype	KO	-0.892636123185196	0.517504568325897	29	5	0.0959794627500142	0.835457596210351
ASV333	genotype	KO	0.673474518722446	0.387236532401063	29	4	0.0933939820499647	0.835457596210351
ASV404	genotype	KO	0.609667339639069	0.349676310045588	29	10	0.0926212112706924	0.835457596210351
ASV36	genotype	KO	0.580746148776406	0.395623538022311	29	24	0.153678253288746	0.835993895459764
ASV51	genotype	KO	0.572963894891862	0.387974940473827	29	26	0.151297162929451	0.835993895459764
ASV56	genotype	KO	-0.967732623579244	0.680126100649857	29	24	0.166225384790091	0.835993895459764
ASV69	genotype	KO	0.948817880387721	0.629716409349407	29	15	0.14348945284992	0.835993895459764
ASV83	genotype	KO	0.697619398859719	0.499592672102737	29	5	0.17397626712987	0.835993895459764
ASV98	genotype	KO	-1.05467911801276	0.669180495436017	29	7	0.126654425395489	0.835993895459764
ASV104	genotype	KO	0.323301917817493	0.221494618760592	29	28	0.155927698337016	0.835993895459764
ASV112	genotype	KO	-0.357703333218056	0.226107714872939	29	29	0.125293575378052	0.835993895459764
ASV119	genotype	KO	-0.739872045939722	0.530671855638387	29	6	0.174620134821883	0.835993895459764
ASV151	genotype	KO	-0.811812438546408	0.569310506826655	29	16	0.165341059730531	0.835993895459764
ASV153	genotype	KO	0.670906466829349	0.46573113317871	29	21	0.161209951591701	0.835993895459764
ASV156	genotype	KO	0.388820258232389	0.27091275578055	29	29	0.162707335360066	0.835993895459764
ASV161	genotype	KO	0.69418245362793	0.42695874433245	29	16	0.115592840768657	0.835993895459764
ASV180	genotype	KO	-0.798875750442227	0.557567914623861	29	13	0.163396679621228	0.835993895459764
ASV187	genotype	KO	0.805158583267342	0.540272915462978	29	12	0.14774093036938	0.835993895459764
ASV196	genotype	KO	-0.674396964031072	0.481227111690404	29	13	0.172481922961065	0.835993895459764
ASV197	genotype	KO	0.725481834704432	0.433825080654916	29	17	0.106017614555717	0.835993895459764
ASV199	genotype	KO	0.677023796477429	0.404427428279749	29	14	0.105672111143269	0.835993895459764
ASV217	genotype	KO	-1.11713964690948	0.777146953300436	29	11	0.162068604959183	0.835993895459764
ASV230	genotype	KO	0.739790922431261	0.490134543143003	29	15	0.142820680737723	0.835993895459764
ASV247	genotype	KO	-0.657014394192979	0.395062019268404	29	4	0.107865967307226	0.835993895459764
ASV256	genotype	KO	-0.625569002682301	0.414729062570267	29	11	0.143070864966101	0.835993895459764
ASV262	genotype	KO	0.553625881783536	0.359321177140759	29	14	0.135015990784157	0.835993895459764
ASV269	genotype	KO	-0.632422387511155	0.399079163168146	29	6	0.124677798789303	0.835993895459764
ASV276	genotype	KO	-0.876235515700871	0.536681133850686	29	5	0.114143230816798	0.835993895459764
ASV287	genotype	KO	-0.755918642540246	0.542065173005154	29	8	0.174530978192838	0.835993895459764
ASV295	genotype	KO	0.471617958933664	0.2957615423709	29	1	0.12244473849422	0.835993895459764
ASV308	genotype	KO	0.911494872797206	0.575209888016455	29	12	0.124694654870117	0.835993895459764
ASV310	genotype	KO	0.764992131041513	0.538983362889929	29	6	0.167247150576073	0.835993895459764
ASV321	genotype	KO	-0.617153641168549	0.363599315652617	29	4	0.101130934717143	0.835993895459764
ASV322	genotype	KO	-0.424399950264503	0.295619007284429	29	2	0.162592047651565	0.835993895459764
ASV342	genotype	KO	-0.792590009670217	0.465455896278465	29	11	0.10008777799638	0.835993895459764
ASV345	genotype	KO	-0.341328078107897	0.231809682249442	29	1	0.152461637548192	0.835993895459764
ASV354	genotype	KO	-0.388556356687608	0.269041567114689	29	1	0.160180988517722	0.835993895459764
ASV356	genotype	KO	-0.523433632876457	0.371423792954408	29	5	0.170171742680358	0.835993895459764
ASV375	genotype	KO	0.810903282757728	0.528625438205705	29	6	0.136669146326668	0.835993895459764
ASV8	genotype	KO	-0.281309359074846	0.223259443896136	29	29	0.218447622987101	0.863729238866589
ASV44	genotype	KO	-0.727794764232466	0.589624130257502	29	27	0.227713199073913	0.863729238866589
ASV45	genotype	KO	-0.415666511851531	0.309728653585081	29	29	0.190762262525555	0.863729238866589
ASV46	genotype	KO	-0.319804317953622	0.255928967802903	29	29	0.222176164020791	0.863729238866589
ASV48	genotype	KO	0.753991288956146	0.573018082391889	29	13	0.199296457163457	0.863729238866589
ASV59	genotype	KO	-0.302863796290775	0.224959567388103	29	29	0.189399582189848	0.863729238866589
ASV70	genotype	KO	-0.28346455317403	0.228583941935709	29	29	0.225611776881781	0.863729238866589
ASV126	genotype	KO	0.59688808571404	0.47877942268813	29	26	0.223219815898475	0.863729238866589
ASV139	genotype	KO	0.356894881377758	0.283237277924819	29	26	0.218431581381121	0.863729238866589
ASV144	genotype	KO	-0.76048140511149	0.584747438327603	29	24	0.204411117245431	0.863729238866589
