feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV32	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39	ASV40	ASV41	ASV42	ASV43	ASV44	ASV45	ASV46	ASV47	ASV48	ASV49	ASV50	ASV51	ASV52	ASV53	ASV54	ASV55	ASV56	ASV57	ASV58	ASV59	ASV60	ASV61	ASV62	ASV63	ASV64	ASV65	ASV66	ASV67	ASV68	ASV69	ASV70	ASV71	ASV72	ASV73	ASV74	ASV75	ASV76	ASV77	ASV78	ASV79	ASV80	ASV81	ASV82	ASV83	ASV84	ASV85	ASV86	ASV87	ASV88	ASV89	ASV90	ASV91	ASV92	ASV93	ASV94	ASV95	ASV96	ASV97	ASV98	ASV99	ASV100	ASV101	ASV102	ASV103	ASV104	ASV105	ASV106	ASV107	ASV108	ASV109	ASV110	ASV112	ASV113	ASV114	ASV115	ASV116	ASV117	ASV118	ASV119	ASV120	ASV121	ASV122	ASV123	ASV124	ASV125	ASV126	ASV127	ASV128	ASV129	ASV130	ASV131	ASV132	ASV133	ASV134	ASV135	ASV136	ASV137	ASV138	ASV139	ASV140	ASV141	ASV142	ASV143	ASV144	ASV145	ASV146	ASV147	ASV148	ASV149	ASV150	ASV151	ASV152	ASV153	ASV154	ASV155	ASV156	ASV157	ASV158	ASV159	ASV160	ASV161	ASV162	ASV163	ASV164	ASV165	ASV166	ASV167	ASV168	ASV169	ASV170	ASV171	ASV172	ASV174	ASV175	ASV176	ASV177	ASV178	ASV179	ASV180	ASV181	ASV182	ASV183	ASV184	ASV185	ASV186	ASV187	ASV188	ASV189	ASV190	ASV191	ASV192	ASV193	ASV194	ASV195	ASV196	ASV197	ASV198	ASV199	ASV200	ASV201	ASV202	ASV203	ASV204	ASV205	ASV206	ASV207	ASV208	ASV209	ASV210	ASV211	ASV215	ASV216	ASV217	ASV218	ASV219	ASV220	ASV221	ASV222	ASV223	ASV224	ASV225	ASV226	ASV227	ASV228	ASV229	ASV230	ASV231	ASV232	ASV233	ASV234	ASV237	ASV238	ASV239	ASV240	ASV241	ASV242	ASV243	ASV244	ASV247	ASV249	ASV250	ASV251	ASV254	ASV256	ASV257	ASV258	ASV259	ASV260	ASV261	ASV262	ASV263	ASV264	ASV265	ASV267	ASV268	ASV269	ASV270	ASV272	ASV273	ASV274	ASV275	ASV276	ASV278	ASV279	ASV280	ASV281	ASV283	ASV284	ASV285	ASV286	ASV287	ASV288	ASV290	ASV292	ASV293	ASV294	ASV295	ASV298	ASV300	ASV301	ASV302	ASV303	ASV304	ASV306	ASV307	ASV308	ASV310	ASV312	ASV313	ASV316	ASV317	ASV318	ASV319	ASV320	ASV321	ASV322	ASV324	ASV325	ASV328	ASV330	ASV333	ASV335	ASV337	ASV338	ASV339	ASV341	ASV342	ASV345	ASV346	ASV347	ASV348	ASV351	ASV353	ASV354	ASV355	ASV356	ASV357	ASV358	ASV360	ASV361	ASV362	ASV364	ASV365	ASV367	ASV368	ASV369	ASV371	ASV372	ASV375	ASV377	ASV379	ASV381	ASV383	ASV384	ASV385	ASV386	ASV387	ASV390	ASV391	ASV396	ASV397	ASV399	ASV400	ASV404	ASV407	ASV408	ASV409	ASV412	ASV414	ASV415	ASV416	ASV428	ASV430	ASV433	ASV438	ASV440	ASV441	ASV442	ASV443	ASV445	ASV447	ASV449	ASV455	ASV457	ASV460	ASV461	ASV463	ASV474	ASV475	ASV480	ASV483	ASV491	ASV494	ASV496	ASV498	ASV501	ASV503	ASV521	ASV538	ASV549	ASV553	ASV604	ASV630	ASV649
Preg.Feces.PD.2104.week0	61	72	539	310	300	171	363	281	132	42	237	428	70	85	0	198	159	123	260	156	287	117	172	105	285	105	106	148	76	84	54	131	88	140	0	3	49	29	26	148	0	268	22	34	103	101	35	80	115	208	16	0	25	136	39	70	78	31	108	61	149	11	0	14	0	76	25	8	11	65	48	59	6	32	35	31	17	26	28	0	0	65	0	36	4	0	0	23	0	39	114	0	8	0	40	29	106	0	0	13	21	66	48	16	0	10	28	26	0	25	15	31	0	0	16	9	7	46	0	18	16	0	74	6	61	15	0	0	106	13	0	7	9	16	18	152	0	14	0	0	0	17	22	0	34	20	30	10	21	16	17	0	42	5	36	45	0	9	10	6	121	74	11	8	25	15	0	15	0	17	20	17	0	0	30	9	0	0	9	0	30	0	0	174	0	7	8	5	9	8	0	0	0	10	11	14	0	0	10	0	17	70	5	0	0	0	0	13	0	38	0	0	9	10	0	0	0	0	0	0	49	0	11	0	0	0	0	15	10	15	7	0	0	0	0	0	0	0	0	37	0	7	6	0	0	0	8	10	4	0	0	23	0	16	14	0	14	0	0	18	45	6	13	0	0	0	0	16	6	21	0	0	16	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	25	4	0	0	0	0	0	3	0	0	0	0	8	0	5	6	0	0	0	6	0	0	3	0	0	0	0	0	0	3	0	0	3	0	4	21	9	0	0	0	0	2	8	0	0	15	0	0	0	9	3	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	14	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2106.week0	197	365	388	63	266	185	143	191	80	261	340	371	22	263	271	134	115	235	107	164	206	151	53	89	211	71	78	45	65	54	83	44	92	82	0	12	33	128	83	75	0	49	66	35	24	45	37	19	113	185	149	0	51	39	0	44	63	79	74	34	90	25	0	87	68	39	84	27	0	47	40	13	95	50	25	104	73	122	52	0	3	60	0	38	31	0	33	48	51	57	96	8	35	4	0	0	75	0	51	31	22	29	43	26	3	24	56	157	24	27	16	22	0	0	52	0	21	0	0	13	17	0	27	31	27	34	0	37	81	24	30	7	75	36	32	28	81	32	25	23	0	22	16	0	32	0	19	4	0	27	56	22	35	13	16	37	22	0	17	20	49	89	27	13	0	77	8	35	18	122	20	19	23	62	20	31	53	0	52	12	19	0	0	83	0	0	22	0	35	7	15	0	0	38	0	19	12	0	0	0	3	53	14	0	44	21	18	10	0	19	0	0	0	33	11	10	16	9	0	0	129	0	7	0	0	20	0	22	0	24	16	0	15	15	38	0	11	0	0	20	0	23	15	42	0	0	13	14	12	0	0	0	0	11	22	10	21	0	15	17	39	5	30	0	0	15	0	16	18	0	0	0	9	0	0	0	31	7	10	0	0	0	25	0	0	0	7	0	0	7	0	17	6	0	0	3	7	0	0	0	0	0	12	0	4	0	0	8	17	0	19	0	9	0	11	4	3	0	9	2	0	0	4	8	4	0	0	0	7	0	0	0	4	0	0	0	0	0	0	4	8	2	0	7	0	0	0	0	0	4	2	0	0	0	0	8	10	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2107.week0	355	391	537	93	476	229	252	387	91	179	87	1014	40	117	0	186	225	284	260	264	282	67	188	150	246	73	46	7	57	120	0	150	108	333	55	40	12	126	75	162	64	192	28	0	15	100	27	33	119	278	44	0	98	98	29	65	41	27	104	73	176	46	0	26	0	57	78	7	29	55	48	48	74	53	46	24	21	54	27	0	0	65	0	74	0	38	36	78	0	33	141	12	34	0	18	112	119	0	18	15	0	42	45	14	0	13	56	18	0	0	12	31	0	0	26	0	18	0	97	17	14	0	36	9	10	25	0	0	111	0	31	13	35	6	29	64	27	20	0	37	2	25	25	0	9	61	11	4	0	10	47	16	36	14	64	49	15	0	16	15	97	25	17	15	53	28	13	22	0	35	13	26	24	0	52	14	7	0	31	20	27	0	17	173	0	11	18	0	0	0	0	10	0	20	27	11	14	0	37	0	0	47	25	0	0	0	0	11	0	54	0	0	8	20	16	9	9	0	27	0	46	0	5	0	12	0	0	15	11	23	9	3	17	6	26	0	9	0	0	53	0	8	7	0	3	8	17	15	11	7	0	0	0	11	11	0	17	26	14	0	0	20	0	0	9	4	0	12	18	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	8	37	5	0	0	0	0	10	0	0	0	7	0	2	0	0	0	0	8	7	0	0	0	6	10	2	0	3	7	8	0	8	0	0	0	4	0	0	4	0	6	41	17	0	6	15	0	0	0	0	0	0	0	2	4	7	0	4	0	0	0	18	0	0	0	4	0	0	0	15	0	14	0	0	0	0	3	4	0	0	0	0	0	0	8	3	3	6	3	3	0	0	0	0	0	0	0	2	7
Preg.Feces.PD.2108.week0	177	238	821	118	398	67	281	316	70	172	307	615	20	0	35	127	186	95	200	105	432	72	98	45	367	68	39	89	44	238	23	44	73	87	48	8	56	75	49	176	54	83	28	67	17	85	68	36	171	215	60	0	38	112	7	48	77	21	76	18	124	11	0	25	6	106	90	13	79	65	27	13	189	33	97	9	29	88	20	0	0	123	0	10	11	0	0	39	0	23	140	0	50	0	0	21	118	0	30	37	64	72	65	54	0	23	0	24	16	11	11	28	0	4	17	4	0	0	0	19	26	0	27	0	34	18	0	56	89	12	21	0	42	0	112	37	21	26	0	0	0	23	34	0	12	42	16	11	25	0	30	12	48	7	84	51	0	0	41	10	83	49	34	58	26	0	44	20	14	14	0	20	17	0	17	6	21	0	12	4	37	0	40	136	0	5	0	0	25	0	0	0	0	0	15	18	11	0	0	0	0	5	0	0	22	8	0	17	0	12	0	0	16	0	19	0	20	0	0	0	167	0	15	0	0	13	0	9	0	7	8	0	13	0	28	0	9	0	0	13	0	5	0	6	3	5	10	4	0	0	0	30	0	25	0	0	15	10	0	19	0	9	0	0	0	14	0	21	0	15	0	0	0	0	9	4	0	0	0	0	7	0	7	0	16	44	0	6	4	15	0	5	0	0	0	0	0	0	9	0	0	0	12	0	15	0	0	9	19	0	0	0	0	0	7	6	0	0	4	7	0	0	7	11	0	0	10	0	0	10	0	4	2	0	0	0	0	0	4	3	0	3	2	10	0	0	0	0	0	0	0	0	0	0	0	9	13	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4
Preg.Feces.PD.2114.week0	426	35	693	206	624	100	135	308	144	44	247	811	103	113	5	375	154	84	149	239	487	66	89	157	622	94	157	290	117	157	52	98	158	86	46	29	84	10	16	155	0	354	39	204	50	46	126	0	180	238	0	0	25	206	29	47	132	16	106	35	175	40	0	14	0	50	14	0	0	72	41	28	23	15	43	56	8	28	19	0	59	148	0	30	0	35	74	39	0	20	105	0	7	8	0	22	106	0	3	14	45	0	46	12	12	4	12	16	0	12	17	33	5	0	0	0	21	0	0	29	10	40	49	9	29	7	0	0	93	0	6	0	5	0	15	60	6	8	0	0	0	45	35	94	8	0	22	27	36	21	10	0	15	0	56	6	32	7	44	0	0	0	5	21	0	14	0	5	0	17	13	49	0	0	12	6	0	0	3	7	0	0	24	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	30	0	14	0	64	0	0	24	0	0	0	4	0	0	0	29	45	17	0	0	0	0	0	19	7	3	4	0	6	0	0	0	0	0	35	32	0	0	0	0	5	0	0	0	0	35	0	9	23	4	28	0	0	6	0	0	12	11	0	0	0	0	22	9	0	0	0	0	0	9	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0	0	7	0	0	5	0	0	4	11	0	0	0	5	0	0	7	0	4	16	0	0	3	0	13	0	0	0	0	0	7	0	36	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	18	0	0	6	0	2	0	0	0	0	2	0	0	8	0	0	0	0	19	5	4	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2115.week0	214	136	481	60	431	58	82	170	26	216	114	1041	20	292	0	236	121	92	74	144	329	108	12	77	409	0	173	25	37	102	8	23	80	85	0	93	25	39	14	93	0	236	19	0	15	34	27	18	125	146	22	0	70	61	30	0	84	15	74	0	125	13	17	42	0	44	59	0	16	32	27	0	55	34	36	56	13	46	28	0	42	61	0	37	26	0	61	41	59	27	72	0	25	23	0	0	81	0	13	34	19	0	48	11	0	11	18	0	0	12	11	19	0	0	15	9	5	0	0	14	7	0	10	0	52	11	0	0	92	22	12	0	17	8	11	35	9	9	0	0	0	17	20	32	4	0	8	12	0	13	14	9	46	7	25	6	9	0	14	12	0	30	43	34	35	9	7	15	24	43	16	21	0	0	8	23	0	0	0	13	8	0	10	83	23	0	0	2	0	0	0	0	11	0	6	0	0	0	47	0	0	0	0	63	0	9	9	2	0	34	0	0	23	0	3	0	12	0	0	0	92	56	7	5	0	7	0	0	22	11	0	0	7	0	0	8	7	0	0	0	0	5	0	0	0	4	5	6	8	0	8	0	0	14	2	0	0	6	0	28	0	0	8	0	0	13	0	9	5	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	20	0	0	2	0	0	0	0	0	0	0	4	10	0	0	0	0	0	6	10	15	0	0	2	0	6	13	0	0	0	0	4	0	0	0	0	0	5	0	9	4	0	0	0	6	0	0	0	5	0	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	2	0	0	0	3	6	7	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Preg.Feces.PD.2121.week0	422	256	140	86	458	220	213	224	126	89	90	771	28	160	23	271	176	148	291	169	91	72	192	115	105	59	136	84	55	81	11	34	81	229	0	32	57	77	45	102	0	350	47	65	39	79	85	2	121	94	17	0	104	71	0	102	46	37	68	18	66	24	0	13	0	36	58	0	31	66	34	0	13	52	32	35	32	21	26	0	0	36	0	29	25	37	47	42	0	33	0	0	97	26	0	65	40	0	9	0	20	28	55	23	0	9	27	31	0	18	34	11	0	17	34	10	24	0	75	42	3	17	19	0	0	19	13	0	52	10	20	0	27	0	0	30	17	34	0	9	0	25	31	0	20	0	14	18	0	17	13	9	31	9	21	0	12	0	15	15	0	27	0	7	46	15	9	30	0	44	16	0	19	0	15	0	6	16	9	20	41	0	12	0	20	0	0	29	15	4	14	13	0	0	28	13	8	0	16	0	0	0	12	42	0	18	0	7	9	39	0	0	6	17	7	0	13	25	0	0	96	0	7	0	0	0	5	9	8	10	22	0	11	0	30	0	9	0	0	0	0	10	13	22	0	5	13	21	5	11	0	11	0	8	0	7	9	8	5	0	0	12	0	0	22	0	14	4	9	3	0	0	8	0	8	0	0	0	2	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	8	15	0	0	0	17	18	0	0	0	4	0	3	17	0	0	2	0	2	0	4	0	0	9	6	0	3	0	8	0	23	6	0	4	0	13	0	0	0	0	0	15	0	0	0	0	0	3	0	0	14	0	0	0	6	0	0	0	0	4	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2152.week0	967	936	517	313	963	486	383	339	373	151	801	156	182	481	17	390	21	515	452	475	258	346	216	317	253	190	237	56	231	192	214	80	354	184	111	160	144	314	34	150	202	22	75	693	103	114	673	10	342	128	31	0	168	102	360	143	94	55	98	37	92	61	75	55	3	93	193	37	45	129	95	34	238	53	66	106	34	139	104	98	157	97	0	73	43	47	111	151	99	80	71	0	39	65	0	58	65	0	35	63	59	65	43	63	10	23	166	107	0	40	53	33	0	55	36	14	47	0	68	73	10	26	52	18	80	61	8	30	41	41	33	0	80	59	6	130	44	56	3	28	0	61	0	36	63	0	41	34	0	44	69	21	77	12	66	0	58	7	42	29	0	214	26	57	37	39	17	25	39	70	53	27	41	68	17	33	33	28	13	11	31	0	34	0	4	10	31	8	24	16	29	12	18	26	50	20	14	0	0	0	8	139	7	169	39	32	10	33	53	42	0	0	33	0	14	16	34	10	17	3	0	136	18	0	13	28	3	26	31	22	11	2	25	16	47	12	0	0	0	149	0	22	13	27	15	19	8	10	21	9	0	0	24	13	7	47	10	15	30	0	93	41	0	0	21	18	20	8	12	5	0	24	17	18	25	9	0	8	11	0	13	0	6	0	0	42	8	14	6	0	0	12	7	26	5	11	0	0	0	0	0	0	31	13	23	0	6	0	17	8	27	7	4	0	0	7	9	0	8	0	6	0	3	10	18	32	0	0	7	0	9	5	3	0	0	0	0	0	0	10	5	8	5	4	0	0	0	2	0	9	0	0	0	0	21	24	32	0	0	0	0	0	0	0	0	7	4	3	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0
Preg.Feces.PD.2169.week0	256	22	1617	588	920	139	859	883	638	29	279	2756	35	0	46	146	26	166	394	246	757	116	558	303	795	353	317	114	340	653	245	488	236	101	523	10	167	8	18	392	243	498	19	202	135	301	201	39	295	451	0	31	15	195	21	114	88	0	207	236	238	81	83	9	15	76	11	0	0	157	80	213	9	113	215	13	9	12	33	34	59	67	0	12	21	163	115	15	0	26	221	0	17	7	86	21	226	91	0	0	120	54	80	22	0	9	18	0	0	0	67	94	0	9	0	17	56	0	0	47	30	31	51	0	38	7	0	17	99	0	25	0	0	0	21	61	0	10	0	25	0	60	78	101	13	0	0	40	0	0	0	0	0	0	133	0	10	0	71	12	0	38	0	22	0	0	0	15	7	17	21	98	11	16	18	4	15	9	0	8	0	0	63	0	11	19	4	37	0	10	8	13	0	0	0	0	10	18	0	11	8	0	9	0	0	24	0	26	3	46	0	74	40	0	6	22	0	0	0	0	0	0	19	0	17	0	6	0	41	6	4	11	0	5	0	0	0	0	0	0	48	11	8	0	0	17	0	0	9	0	0	0	0	7	0	13	0	6	0	6	0	9	0	0	0	0	0	9	0	0	0	0	0	0	7	0	24	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	13	0	0	0	12	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	8	0	0	0
Preg.Feces.PD.2186.week0	442	63	4294	478	1157	72	805	1299	383	21	245	1823	122	0	0	616	331	145	639	236	2053	45	316	342	1716	228	76	614	203	386	145	70	150	103	248	2	98	13	8	284	381	0	15	99	146	275	90	0	440	470	11	35	8	216	5	239	39	8	390	26	352	21	59	4	0	116	10	0	0	399	68	21	8	46	171	18	0	5	17	0	11	146	0	6	5	75	152	27	0	0	252	0	39	3	46	23	239	72	4	17	102	55	46	0	0	4	10	10	38	0	72	86	5	10	0	23	65	37	0	29	26	34	49	6	0	0	0	0	200	9	0	0	0	0	4	21	4	0	0	0	0	59	42	72	5	0	17	35	45	0	4	0	0	4	137	106	0	0	51	0	37	12	0	13	9	0	0	6	0	0	0	232	0	0	26	2	0	9	2	0	9	0	40	0	0	6	0	41	0	2	0	7	0	0	0	0	0	0	14	0	0	0	0	0	0	33	0	30	0	0	17	51	12	5	0	6	0	0	0	0	0	0	17	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	15	0	0	3	0	0	0	0	25	2	0	0	11	0	33	0	0	0	0	0	0	0	13	8	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	4	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
