feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV49	timepoint	w3	-2.8606662637987	0.254718530847519	86	74	2.91031736004715e-18	3.579690352858e-15
ASV82	timepoint	w3	-2.31786409397264	0.206681407692065	86	76	6.10604766308044e-16	3.75521931279447e-13
ASV156	timepoint	w3	-2.59555036492995	0.279116325656738	86	60	1.82900951867414e-14	7.49893902656399e-12
ASV5	timepoint	w3	-2.08900085844792	0.229915492737554	86	85	4.85473534481935e-14	9.95220745687966e-12
ASV50	timepoint	w3	-3.3827119077081	0.370677814137294	86	67	4.0458737826609e-14	9.95220745687966e-12
ASV119	timepoint	w3	3.6257386870911	0.362662817256955	86	38	4.71459684708359e-14	9.95220745687966e-12
ASV48	timepoint	w6	3.06010109516893	0.309618944147784	86	66	8.74932340488545e-14	1.53738111257273e-11
ASV268	timepoint	w3	-2.39524589928749	0.250887539938283	86	39	2.32857977939467e-13	3.58019141081931e-11
ASV11	timepoint	w3	-2.40991922031472	0.263175732079439	86	82	1.0988831739599e-12	1.50180700441187e-10
ASV44	timepoint	w3	-3.34887360731857	0.375615992611075	86	59	2.6321755012758e-12	2.6979798888077e-10
ASV47	timepoint	w3	-3.93817604415304	0.441396418928016	86	52	2.47106186997313e-12	2.6979798888077e-10
ASV163	timepoint	w3	-2.75397446308492	0.309344304323162	86	36	2.60925295799441e-12	2.6979798888077e-10
ASV97	timepoint	w3	-3.42806466910105	0.383250157155246	86	52	3.46785298755376e-12	3.2811224420701e-10
ASV130	timepoint	w3	-3.40226051769896	0.385515234403347	86	42	4.86114236851999e-12	4.0607957820062e-10
ASV334	timepoint	w3	2.24108407006471	0.277517705461915	86	24	4.95218997805635e-12	4.0607957820062e-10
ASV77	timepoint	w6	1.77857405387552	0.20417213469953	86	82	5.71755771816115e-12	4.13682117255189e-10
ASV163	timepoint	w6	-2.67143725506522	0.306313127299553	86	36	5.57364181497033e-12	4.13682117255189e-10
ASV68	timepoint	w6	2.71091851674314	0.313231232569822	86	71	7.14267925125469e-12	4.88083082169071e-10
ASV307	timepoint	w3	2.03978210668319	0.258696218574076	86	28	1.1807545749793e-11	7.64383224855023e-10
ASV21	timepoint	w3	-4.10004129532868	0.486214237068569	86	59	1.52650566228446e-11	9.38800982304943e-10
ASV54	timepoint	w6	-1.8309927218434	0.218101302496092	86	80	1.9029969893196e-11	1.11461252231576e-09
ASV239	timepoint	w3	2.16469394976263	0.279964420681541	86	45	2.3659805025598e-11	1.32279819006753e-09
ASV117	timepoint	w3	2.17805768856294	0.262665432677889	86	67	2.51430706269805e-11	1.34460769005157e-09
ASV3	timepoint	w3	-4.08353389163205	0.502605881214473	86	64	4.78437417986821e-11	2.45199176718246e-09
ASV109	timepoint	w3	3.20057187077509	0.395362220495125	86	41	5.67889931185561e-11	2.79401846143296e-09
ASV30	timepoint	w3	-2.05433092544108	0.274741156954331	86	83	7.50505658677552e-11	3.55046907758996e-09
ASV40	timepoint	w3	-1.45185553478402	0.185304415238324	86	85	1.46971677416677e-10	6.69537641564864e-09
ASV25	timepoint	w3	-4.22409275921679	0.54102017323125	86	52	1.60727068046152e-10	7.06051048917024e-09
ASV174	timepoint	w3	-2.7757492838852	0.357790136718203	86	38	2.28164936292838e-10	9.67734040138587e-09
ASV11	timepoint	w6	-2.00946698946823	0.260345833791767	86	82	2.5050421717022e-10	1.00333779942243e-08
ASV130	timepoint	w6	-2.966115155001	0.38167780500102	86	42	2.52873754325978e-10	1.00333779942243e-08
ASV52	timepoint	w3	3.48385588434326	0.456122063280446	86	46	3.10843512918975e-10	1.16902174029174e-08
ASV97	timepoint	w6	-2.93513377739615	0.379544076782897	86	52	3.13639979102661e-10	1.16902174029174e-08
ASV234	timepoint	w6	-1.98078802358467	0.261922882567634	86	41	4.3468595074398e-10	1.57254035122087e-08
ASV123	timepoint	w3	3.10541352320796	0.411297661139089	86	41	4.5840236109994e-10	1.61095686900836e-08
ASV75	timepoint	w3	-2.76350822910507	0.392600623164234	86	66	5.3898293652822e-10	1.84152503313808e-08
ASV160	timepoint	w3	-2.17217934688959	0.31262822399632	86	66	8.08646187418744e-10	2.68820219060826e-08
ASV91	timepoint	w6	-3.2194380673586	0.434918326390542	86	45	9.54729652577807e-10	3.09030913860711e-08
ASV54	timepoint	w3	-1.612716337481	0.220141380525902	86	80	1.00786113955308e-09	3.1786389785905e-08
ASV340	timepoint	w6	1.95615845364782	0.266351121911417	86	28	1.19459763663189e-09	3.67338773264307e-08
ASV47	timepoint	w6	-3.17582954433846	0.437159680253484	86	52	1.35519330027346e-09	4.06557990082038e-08
ASV70	timepoint	w6	-1.87831161844293	0.260645359856998	86	76	1.68559512977084e-09	4.93638573718604e-08
ASV316	timepoint	w3	1.74955226458819	0.243806251341099	86	23	1.77506560558613e-09	5.0775132438859e-08
ASV156	timepoint	w6	-1.86318116681115	0.27662575415254	86	60	2.08078612964241e-09	5.81674304422765e-08
ASV83	timepoint	w3	3.11515592148099	0.437835346814987	86	30	2.21925158697804e-09	6.06595433773997e-08
ASV65	timepoint	w6	3.34081571355733	0.471441721722305	86	38	2.67739969707699e-09	7.15913397261891e-08
ASV439	timepoint	w3	1.2696078674222	0.191649195876892	86	11	3.39354621839219e-09	8.88098265664339e-08
ASV91	timepoint	w3	-3.08148742822953	0.439234075508245	86	45	3.83113583658532e-09	9.81728558124987e-08
ASV46	timepoint	w3	-2.98069756708051	0.454439890399982	86	65	4.52928794133086e-09	1.13694370772183e-07
ASV317	timepoint	w3	1.50335688773771	0.231974025883033	86	23	6.38778760836384e-09	1.5713957516575e-07
ASV95	timepoint	w3	2.74692840475228	0.401420025647267	86	52	6.8843258859839e-09	1.66033741956082e-07
ASV7	timepoint	w3	-2.10617166561296	0.326370821239609	86	81	7.20212865758771e-09	1.70358043246786e-07
ASV59	timepoint	w6	-1.70300710437672	0.249958186299095	86	80	7.37856270790601e-09	1.7123834208914e-07
ASV57	timepoint	w3	-1.74349774208373	0.258522028192471	86	78	9.10785030470243e-09	2.07456590273778e-07
ASV174	timepoint	w6	-2.36712494265752	0.354168580417005	86	38	1.34346540853474e-08	3.00447718635952e-07
ASV380	timepoint	w3	1.68570788147304	0.270388167487471	86	20	1.86810835110945e-08	4.1031665569011e-07
ASV78	timepoint	w6	1.39813944948229	0.213026655550332	86	82	1.92181632772342e-08	4.14707733877159e-07
ASV17	timepoint	w6	-3.80134459217947	0.580939103252498	86	50	2.04020245670078e-08	4.2790553453919e-07
ASV62	timepoint	w6	1.16939769002604	0.188228545401255	86	86	2.05255500307416e-08	4.2790553453919e-07
ASV61	timepoint	w3	-1.921393312565	0.294649455780153	86	76	2.17548080091894e-08	4.45973564188382e-07
ASV63	timepoint	w3	2.83947677015895	0.438925396822628	86	54	2.63963054406772e-08	5.32253372000541e-07
ASV285	timepoint	w3	-1.71957929580855	0.266121307774116	86	37	2.69316562254926e-08	5.34289308989611e-07
ASV195	timepoint	w3	2.1144271148717	0.327880058760663	86	45	2.80274029513262e-08	5.4720167666875e-07
ASV66	timepoint	w3	-1.74486823085723	0.272603139140274	86	78	3.3704159081097e-08	6.47751807339832e-07
ASV312	timepoint	w6	1.64777341169738	0.25763192471788	86	32	3.57327805523673e-08	6.76174155067874e-07
ASV12	timepoint	w6	-3.51406480233134	0.551181771220264	86	27	3.87794031111155e-08	7.13928379858224e-07
ASV148	timepoint	w6	-1.92845375733446	0.302409510708001	86	63	3.8888781667074e-08	7.13928379858224e-07
ASV328	timepoint	w3	1.47456389411722	0.232638530425341	86	20	4.26562991831047e-08	7.71577176400276e-07
ASV278	timepoint	w3	-1.71136969269955	0.285164966352955	86	36	5.09501244592754e-08	9.08241349056649e-07
ASV209	timepoint	w6	1.87130434714238	0.298142772167877	86	51	5.63021796125882e-08	9.89309727478335e-07
