feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV32	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39	ASV40	ASV41	ASV42	ASV43	ASV44	ASV45	ASV46	ASV47	ASV48	ASV49	ASV50	ASV51	ASV52	ASV53	ASV54	ASV55	ASV56	ASV57	ASV58	ASV59	ASV60	ASV61	ASV62	ASV63	ASV64	ASV65	ASV66	ASV67	ASV68	ASV69	ASV70	ASV71	ASV72	ASV73	ASV74	ASV75	ASV76	ASV77	ASV78	ASV79	ASV80	ASV81	ASV82	ASV83	ASV84	ASV85	ASV86	ASV87	ASV88	ASV89	ASV90	ASV91	ASV92	ASV93	ASV94	ASV95	ASV96	ASV97	ASV98	ASV99	ASV100	ASV101	ASV102	ASV103	ASV104	ASV105	ASV106	ASV107	ASV108	ASV109	ASV110	ASV111	ASV112	ASV113	ASV114	ASV115	ASV116	ASV117	ASV118	ASV119	ASV120	ASV121	ASV122	ASV123	ASV124	ASV125	ASV126	ASV127	ASV128	ASV129	ASV130	ASV131	ASV132	ASV133	ASV134	ASV135	ASV136	ASV137	ASV138	ASV139	ASV140	ASV141	ASV142	ASV143	ASV144	ASV145	ASV146	ASV147	ASV148	ASV149	ASV150	ASV151	ASV152	ASV153	ASV154	ASV155	ASV156	ASV157	ASV158	ASV159	ASV160	ASV161	ASV162	ASV163	ASV164	ASV165	ASV166	ASV167	ASV168	ASV169	ASV170	ASV171	ASV172	ASV174	ASV175	ASV176	ASV177	ASV178	ASV179	ASV180	ASV181	ASV182	ASV183	ASV184	ASV185	ASV186	ASV187	ASV188	ASV189	ASV190	ASV191	ASV192	ASV193	ASV194	ASV195	ASV196	ASV197	ASV198	ASV199	ASV200	ASV201	ASV202	ASV203	ASV204	ASV205	ASV206	ASV207	ASV208	ASV209	ASV210	ASV211	ASV212	ASV213	ASV215	ASV216	ASV217	ASV218	ASV219	ASV220	ASV221	ASV222	ASV223	ASV224	ASV225	ASV226	ASV227	ASV228	ASV229	ASV230	ASV231	ASV232	ASV233	ASV234	ASV235	ASV236	ASV237	ASV238	ASV239	ASV240	ASV241	ASV242	ASV243	ASV244	ASV245	ASV246	ASV247	ASV249	ASV250	ASV251	ASV253	ASV254	ASV256	ASV257	ASV258	ASV259	ASV260	ASV261	ASV262	ASV263	ASV264	ASV265	ASV266	ASV267	ASV268	ASV269	ASV270	ASV271	ASV272	ASV273	ASV274	ASV275	ASV276	ASV277	ASV278	ASV279	ASV280	ASV281	ASV283	ASV284	ASV285	ASV286	ASV287	ASV288	ASV289	ASV290	ASV292	ASV293	ASV294	ASV295	ASV297	ASV298	ASV299	ASV300	ASV301	ASV302	ASV303	ASV304	ASV305	ASV306	ASV307	ASV308	ASV309	ASV310	ASV312	ASV313	ASV315	ASV316	ASV317	ASV318	ASV319	ASV320	ASV321	ASV322	ASV324	ASV325	ASV327	ASV328	ASV330	ASV331	ASV333	ASV334	ASV337	ASV338	ASV339	ASV340	ASV341	ASV342	ASV345	ASV346	ASV347	ASV348	ASV351	ASV353	ASV354	ASV355	ASV356	ASV357	ASV358	ASV360	ASV361	ASV362	ASV363	ASV364	ASV365	ASV367	ASV368	ASV369	ASV371	ASV372	ASV374	ASV375	ASV377	ASV379	ASV380	ASV381	ASV383	ASV384	ASV385	ASV386	ASV387	ASV390	ASV391	ASV393	ASV396	ASV397	ASV399	ASV400	ASV404	ASV407	ASV408	ASV412	ASV414	ASV416	ASV419	ASV420	ASV428	ASV429	ASV430	ASV431	ASV433	ASV439	ASV440	ASV441	ASV442	ASV443	ASV445	ASV447	ASV449	ASV455	ASV460	ASV461	ASV463	ASV474	ASV475	ASV476	ASV483	ASV486	ASV491	ASV493	ASV496	ASV498	ASV503	ASV504	ASV509	ASV529	ASV530	ASV534	ASV540	ASV549	ASV553	ASV564
Preg.Feces.PD.2104.week0	61	72	539	310	300	171	363	281	132	42	237	428	70	85	0	198	159	123	260	156	287	117	172	105	285	105	106	148	76	84	54	131	88	140	0	3	49	29	26	148	0	268	22	34	103	101	35	80	115	208	16	0	25	136	39	70	78	31	108	61	149	11	0	14	0	76	25	8	11	65	48	59	6	32	35	31	17	26	28	0	0	65	0	36	4	0	0	23	0	39	114	0	8	0	40	29	106	0	0	13	21	66	48	16	0	10	28	26	0	25	0	15	31	0	0	16	9	7	46	0	18	16	0	74	6	61	15	0	0	106	13	0	7	9	16	18	152	0	14	0	0	0	17	22	0	34	20	30	10	21	16	17	0	42	5	36	45	0	9	10	6	121	74	11	8	25	15	0	15	0	17	20	17	0	0	30	9	0	0	9	0	30	0	0	174	0	7	8	5	9	8	0	0	0	10	11	14	0	0	10	0	17	70	5	0	0	0	0	13	0	0	0	38	0	0	9	10	0	0	0	0	0	0	49	0	11	0	0	0	0	15	10	0	0	15	7	0	0	0	0	0	0	0	0	0	0	37	0	0	7	6	0	0	0	8	10	4	0	0	23	0	0	16	14	0	0	14	0	0	18	45	0	6	13	0	0	0	0	16	6	21	0	0	0	16	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	25	4	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	5	6	0	0	0	6	0	0	3	0	0	0	0	0	0	3	0	0	0	3	0	4	21	9	0	0	0	0	0	0	2	8	0	0	15	0	0	0	0	9	3	2	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2104.week3	1030	245	4	1290	49	412	79	478	986	132	14	0	809	0	289	143	0	294	481	162	0	270	157	361	0	714	187	5	505	68	268	560	43	0	126	130	61	128	153	83	83	75	157	18	534	0	0	56	19	0	88	35	113	25	0	157	22	351	80	246	33	46	417	16	88	19	22	31	61	74	144	223	22	224	14	239	41	216	46	0	0	0	202	399	10	0	0	0	0	36	4	138	11	124	263	0	0	212	36	55	0	0	40	37	0	28	25	19	252	39	189	0	62	0	24	49	144	11	238	0	0	66	244	11	42	0	17	101	24	0	58	0	161	14	30	43	5	21	13	0	30	47	13	0	0	39	0	11	18	23	0	47	36	0	92	14	89	0	85	23	10	0	4	30	0	12	75	13	13	14	0	35	0	12	0	57	20	8	0	28	9	29	0	0	0	0	0	24	0	36	26	0	0	0	10	10	15	0	0	37	0	4	46	0	0	0	0	9	33	0	0	0	0	0	0	0	14	42	17	12	17	23	0	0	0	16	0	50	0	28	33	2	46	0	0	4	74	0	16	0	11	16	42	0	88	0	0	0	0	22	0	0	2	0	10	0	0	27	0	0	50	0	0	45	0	0	27	11	22	0	0	27	0	0	0	70	4	0	3	16	0	0	0	0	0	28	0	5	0	0	0	0	35	0	12	0	0	15	39	0	0	46	0	19	0	20	8	0	0	9	0	37	0	65	0	11	26	0	0	39	0	59	0	0	4	0	30	8	0	3	0	16	11	0	0	5	9	0	0	0	0	0	0	5	5	0	0	0	0	0	8	0	36	0	0	0	0	0	0	9	30	0	0	0	4	28	0	0	7	0	0	5	2	40	5	0	0	17	0	0	5	0	0	0	0	14	0	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Preg.Feces.PD.2104.week6.2	472	93	33	192	146	1257	210	324	179	71	12	0	24	173	87	236	0	726	58	595	0	138	211	375	0	148	141	164	147	77	421	57	168	0	221	41	40	25	83	70	146	67	20	15	49	62	0	114	3	0	40	0	161	11	0	0	85	92	107	23	0	89	0	19	26	69	20	168	64	9	131	24	180	20	0	40	49	65	32	39	0	22	0	53	30	68	0	28	0	39	10	37	33	71	32	0	0	0	23	28	0	56	44	21	0	57	26	13	0	16	0	8	23	0	14	20	17	0	0	0	0	5	36	50	33	12	11	0	0	0	27	23	33	14	10	0	21	37	31	0	36	111	18	0	0	20	21	0	4	0	0	0	24	30	19	2	48	32	0	3	13	0	7	19	0	7	40	0	13	18	0	19	0	9	0	9	12	23	5	14	16	0	0	0	32	0	0	10	6	14	4	0	0	9	0	0	0	10	0	0	0	0	71	8	0	12	0	14	8	0	0	0	0	0	0	11	12	13	0	0	0	21	0	0	0	3	0	9	0	0	12	0	0	0	0	5	0	0	12	0	8	0	41	0	0	0	0	0	0	13	0	0	7	0	10	17	0	0	0	0	0	0	8	21	0	0	0	16	0	0	46	0	4	15	0	0	4	12	13	10	16	0	17	0	0	0	0	0	0	0	13	8	0	0	8	0	0	20	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	29	0	0	0	0	9	0	0	0	0	4	3	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	11	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	12	0	0	2	7	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	3	8	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2106.week0	197	365	388	63	266	185	143	191	80	261	340	371	22	263	271	134	115	235	107	164	206	151	53	89	211	71	78	45	65	54	83	44	92	82	0	12	33	128	83	75	0	49	66	35	24	45	37	19	113	185	149	0	51	39	0	44	63	79	74	34	90	25	0	87	68	39	84	27	0	47	40	13	95	50	25	104	73	122	52	0	3	60	0	38	31	0	33	48	51	57	96	8	35	4	0	0	75	0	51	31	22	29	43	26	3	24	56	157	24	27	0	16	22	0	0	52	0	21	0	0	13	17	0	27	31	27	34	0	37	81	24	30	7	75	36	32	28	81	32	25	23	0	22	16	0	32	0	19	4	0	27	56	22	35	13	16	37	22	0	17	20	49	89	27	13	0	77	8	35	18	122	20	19	23	62	20	31	53	0	52	12	19	0	0	83	0	0	22	0	35	7	15	0	0	38	0	19	12	0	0	0	3	53	14	0	44	21	18	10	0	0	53	19	0	0	0	33	11	10	16	9	0	0	129	0	7	0	0	20	0	22	0	0	0	24	16	0	15	15	38	0	11	46	0	0	0	20	0	0	23	15	42	0	0	13	14	12	0	0	0	0	0	11	22	10	0	21	0	15	17	39	0	5	30	0	0	15	0	16	18	0	0	0	0	9	0	0	0	0	31	0	7	10	0	0	0	0	25	0	0	33	0	7	0	25	0	7	0	17	6	0	0	3	7	23	0	0	0	0	0	0	12	0	0	4	0	0	8	17	0	19	0	9	0	11	4	3	0	9	2	0	0	0	4	8	4	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	4	8	2	0	7	0	0	0	4	6	0	2	0	0	0	0	0	0	8	10	0	0	4	0	5	0	0	0	0	0	6	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	2
Preg.Feces.PD.2106.week3	277	964	4	362	13	120	12	7	34	1137	11	0	114	1152	0	37	3	104	91	53	0	243	24	19	0	47	141	22	0	7	100	11	23	0	0	355	16	328	266	0	0	36	106	0	97	0	7	17	5	0	254	81	126	5	0	0	5	169	6	0	7	10	55	74	0	0	51	87	20	4	22	0	5	62	0	203	66	55	61	61	0	0	0	63	0	0	0	0	261	44	7	96	33	21	49	19	0	0	45	78	0	11	0	41	102	11	33	30	50	65	0	26	2	118	19	170	32	25	38	0	0	4	48	7	73	0	68	69	35	0	0	0	58	41	127	17	15	44	14	0	30	112	0	0	0	16	0	21	0	0	34	54	0	0	13	0	0	0	37	0	65	28	0	29	0	0	28	68	31	24	0	0	0	16	89	0	99	13	7	18	9	21	0	3	0	0	0	15	0	19	44	23	5	34	32	19	52	32	0	54	0	353	0	28	0	17	17	19	0	0	0	66	0	0	0	0	0	24	21	18	108	0	15	0	0	0	44	38	14	0	19	0	237	0	13	11	20	9	12	0	0	20	0	0	0	0	0	0	0	11	16	0	0	0	14	11	49	0	0	0	28	21	0	16	0	0	0	0	0	22	20	0	4	58	0	0	28	14	0	0	5	0	0	29	0	0	0	15	0	31	40	0	42	30	11	0	25	0	7	0	57	0	21	0	0	0	6	0	0	8	0	8	0	0	0	0	0	0	0	12	0	0	0	10	0	0	21	10	0	0	12	32	8	0	14	0	12	0	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	4	8	0	0	0	0	0	0	11	0	8	3	0	0	11	0	5	8	0	0	10	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2106.week6.2	599	138	54	56	69	527	414	100	57	507	12	6	19	0	2861	88	3	459	82	61	22	380	28	51	0	32	11	421	37	39	244	19	17	25	0	1287	152	44	445	23	0	17	93	0	7	132	14	374	24	29	959	0	164	2	4	0	13	45	5	0	16	220	0	10	824	22	116	81	37	12	19	0	261	17	0	88	174	221	101	111	113	19	0	194	85	0	24	0	0	43	0	100	38	16	0	0	0	0	105	51	0	16	11	41	91	112	42	0	14	31	0	8	8	0	18	23	9	0	0	0	5	8	0	15	50	0	0	69	27	0	97	87	82	83	34	3	0	76	27	0	18	9	0	0	0	73	0	0	0	8	0	0	86	0	0	7	23	0	67	20	23	0	0	16	0	0	61	0	13	19	0	21	0	14	50	0	40	86	0	204	7	0	0	12	0	0	0	32	0	49	5	15	0	92	40	11	52	12	0	0	0	0	4	5	0	86	0	33	0	0	0	306	3	0	0	3	21	9	0	10	0	32	0	0	0	0	0	0	36	0	17	0	0	0	3	0	9	6	18	0	12	0	58	0	0	0	0	0	0	41	15	0	54	9	0	11	0	0	0	0	30	39	0	35	0	0	0	0	0	0	0	75	0	0	0	0	51	16	0	7	0	0	0	45	12	3	4	5	0	0	0	15	6	0	7	0	17	34	0	0	0	0	6	15	0	0	0	0	22	0	0	0	9	289	0	0	0	0	0	0	0	31	0	21	4	0	0	0	0	0	11	0	0	0	9	0	19	0	0	0	0	0	3	13	13	0	0	9	0	0	2	0	0	0	7	0	12	0	0	0	0	0	30	0	4	30	0	6	0	0	0	4	0	0	6	7	0	19	3	0	0	0	0	0	0	0	5	0	0	0	0	5	6	4	0	0	0	0	3	0	0	0	0	3	0	0	12	0	0	0
Preg.Feces.PD.2107.week0	355	391	537	93	476	229	252	387	91	179	87	1014	40	117	0	186	225	284	260	264	282	67	188	150	246	73	46	7	57	120	0	150	108	333	55	40	12	126	75	162	64	192	28	0	15	100	27	33	119	278	44	0	98	98	29	65	41	27	104	73	176	46	0	26	0	57	78	7	29	55	48	48	74	53	46	24	21	54	27	0	0	65	0	74	0	38	36	78	0	33	141	12	34	0	18	112	119	0	18	15	0	42	45	14	0	13	56	18	0	0	0	12	31	0	0	26	0	18	0	97	17	14	0	36	9	10	25	0	0	111	0	31	13	35	6	29	64	27	20	0	37	2	25	25	0	9	61	11	4	0	10	47	16	36	14	64	49	15	0	16	15	97	25	17	15	53	28	13	22	0	35	13	26	24	0	52	14	7	0	31	20	27	0	17	173	0	11	18	0	0	0	0	10	0	20	27	11	14	0	37	0	0	47	25	0	0	0	0	11	0	0	0	54	0	0	8	20	16	9	9	0	27	0	46	0	5	0	12	0	0	15	11	0	0	23	9	3	17	6	26	0	9	0	0	0	0	53	0	0	8	7	0	3	8	17	15	11	7	0	0	0	0	11	11	0	0	17	26	14	0	0	0	20	0	0	9	4	0	12	18	0	0	0	0	0	0	0	7	0	0	0	8	0	0	0	0	0	0	0	8	0	37	5	0	0	0	0	0	10	0	0	0	7	0	0	2	0	19	0	0	0	8	7	0	0	0	0	6	10	2	0	3	7	8	0	8	0	0	0	4	0	0	0	4	0	6	41	17	0	0	6	15	0	0	0	0	0	0	0	0	2	0	4	7	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	14	0	0	0	0	3	4	0	0	0	0	0	0	3	0	3	0	3	3	0	0	0	0	5	0	0	0	0	2
Preg.Feces.PD.2107.week3	397	160	18	118	32	132	173	297	266	118	32	0	315	194	20	233	2218	177	317	184	0	31	210	274	0	186	209	4	145	6	0	406	67	296	189	0	0	51	73	107	120	125	91	0	3	59	0	94	31	31	80	271	87	69	4	116	26	42	38	190	43	42	119	21	4	57	19	0	44	83	59	168	10	232	0	35	60	18	11	0	0	14	72	77	0	0	0	0	37	24	0	20	31	9	76	94	15	0	0	21	4	0	24	53	0	0	23	40	69	31	84	49	40	5	11	20	59	37	85	73	51	65	73	19	33	13	46	37	27	0	0	33	0	12	17	17	38	15	12	140	48	10	26	17	0	8	186	28	24	18	0	33	11	24	40	9	73	0	17	14	6	51	0	20	11	43	18	14	15	0	0	0	0	0	0	44	20	0	0	21	15	0	0	0	0	0	12	9	10	0	43	0	23	22	0	19	15	0	0	25	0	0	63	7	0	0	0	0	5	0	0	0	16	0	0	3	0	8	9	21	0	13	4	4	0	5	0	9	0	11	30	11	15	0	0	0	22	0	4	27	0	19	0	0	0	0	0	0	0	13	8	0	0	9	11	0	11	0	0	0	0	13	0	0	17	0	8	0	12	0	36	30	6	0	0	0	5	0	0	12	37	0	0	0	14	26	0	16	0	0	20	0	15	0	9	0	0	0	0	0	0	0	0	0	0	19	0	32	0	5	0	0	7	0	0	17	0	0	0	36	0	0	14	0	0	0	0	0	0	7	0	5	12	0	0	0	0	0	0	9	0	0	0	0	8	5	0	0	0	0	4	0	15	0	2	4	0	0	11	0	13	0	3	6	4	0	0	0	0	0	8	6	0	0	0	4	0	0	0	5	0	0	0	3	9	3	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	7
Preg.Feces.PD.2107.week6.2	645	45	59	0	54	438	152	70	71	378	73	0	36	0	3145	41	0	426	35	74	34	167	42	113	0	68	0	1987	51	39	0	57	26	9	50	1167	211	0	685	22	34	0	49	0	0	0	0	1274	5	0	148	48	82	5	0	0	226	7	32	0	22	242	0	183	598	108	138	612	383	9	35	0	193	92	0	0	190	232	39	55	0	170	0	95	50	0	0	0	0	38	0	138	32	64	0	0	0	0	96	73	0	84	55	67	0	326	35	15	6	33	0	0	6	0	61	67	15	0	0	0	0	3	0	52	62	0	0	64	71	0	123	76	89	106	22	7	0	150	57	0	88	16	23	28	0	37	0	0	4	34	0	3	47	92	0	0	0	0	41	5	40	0	0	0	0	6	49	12	42	0	0	28	0	49	62	41	113	83	0	266	4	0	0	0	0	0	0	13	0	84	0	12	0	24	88	21	9	0	0	75	0	0	3	28	0	161	0	32	11	0	0	13	0	0	0	21	28	33	6	15	4	30	0	0	0	0	0	0	0	40	18	0	0	0	13	9	12	108	0	38	18	10	44	0	0	0	0	0	0	18	14	16	15	0	0	45	0	0	0	28	0	62	35	14	29	0	0	13	31	0	0	98	0	0	0	0	23	18	57	49	11	0	0	0	16	0	13	16	43	0	0	12	0	10	9	0	0	11	0	0	4	47	37	16	21	0	0	0	9	11	0	0	19	7	26	0	46	45	0	0	19	39	0	15	0	0	0	0	0	0	16	0	0	0	0	0	18	0	13	0	25	0	0	14	7	0	0	19	0	0	0	0	0	18	12	2	9	0	0	0	0	9	0	5	7	8	0	14	0	10	0	5	10	0	3	13	0	0	7	0	0	0	0	0	0	0	0	7	0	0	5	2	5	9	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0
Preg.Feces.PD.2108.week0	177	238	821	118	398	67	281	316	70	172	307	615	20	0	35	127	186	95	200	105	432	72	98	45	367	68	39	89	44	238	23	44	73	87	48	8	56	75	49	176	54	83	28	67	17	85	68	36	171	215	60	0	38	112	7	48	77	21	76	18	124	11	0	25	6	106	90	13	79	65	27	13	189	33	97	9	29	88	20	0	0	123	0	10	11	0	0	39	0	23	140	0	50	0	0	21	118	0	30	37	64	72	65	54	0	23	0	24	16	11	0	11	28	0	4	17	4	0	0	0	19	26	0	27	0	34	18	0	56	89	12	21	0	42	0	112	37	21	26	0	0	0	23	34	0	12	42	16	11	25	0	30	12	48	7	84	51	0	0	41	10	83	49	34	58	26	0	44	20	14	14	0	20	17	0	17	6	21	0	12	4	37	0	40	136	0	5	0	0	25	0	0	0	0	0	15	18	11	0	0	0	0	5	0	0	22	8	0	17	0	0	0	12	0	0	16	0	19	0	20	0	0	0	167	0	15	0	0	13	0	9	0	0	0	7	8	0	13	0	28	0	9	0	0	0	0	13	0	0	5	0	6	3	5	10	4	0	0	0	30	0	0	25	0	0	0	15	10	0	19	0	9	9	0	0	0	14	0	21	0	15	0	0	0	0	0	9	4	0	0	0	0	0	0	7	0	0	7	0	16	0	44	0	6	0	4	15	0	5	0	0	0	0	0	0	0	9	0	0	0	0	12	0	0	15	0	0	9	19	0	0	0	0	0	7	6	0	0	4	7	0	0	0	7	11	0	0	10	0	0	0	10	0	0	4	2	0	0	0	0	0	0	4	3	0	3	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	13	7	0	0	3	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0
