2023-12-20 20:41:56.260382 INFO::Writing function arguments to log file
2023-12-20 20:41:56.2647 DEBUG::Function arguments
2023-12-20 20:41:56.268112 DEBUG::Output folder: outputs/differential_abundance_16S_ASVs/lmm_maaslin2/ASVs/complete_model
2023-12-20 20:41:56.268319 DEBUG::Min Abundance: 0.000000
2023-12-20 20:41:56.268473 DEBUG::Min Prevalence: 0.120000
2023-12-20 20:41:56.268611 DEBUG::Normalization: CLR
2023-12-20 20:41:56.268744 DEBUG::Transform: NONE
2023-12-20 20:41:56.268873 DEBUG::Analysis method: LM
2023-12-20 20:41:56.269003 DEBUG::Max significance: 0.050000
2023-12-20 20:41:56.269141 DEBUG::Random effects: mouse_id
2023-12-20 20:41:56.269275 DEBUG::Fixed effects: genotype,timepoint
2023-12-20 20:41:56.269408 DEBUG::Correction method: BH
2023-12-20 20:41:56.269642 DEBUG::Standardize: TRUE
2023-12-20 20:41:56.269814 DEBUG::Cores: 1
2023-12-20 20:41:56.269964 INFO::Verifying options selected are valid
2023-12-20 20:41:56.288558 INFO::Determining format of input files
2023-12-20 20:41:56.289157 INFO::Input format is data samples as rows and metadata samples as rows
2023-12-20 20:41:56.290011 DEBUG::A total of 86 samples were found in both the data and metadata
2023-12-20 20:41:56.290152 DEBUG::Reordering data/metadata to use same sample ordering
2023-12-20 20:41:56.292448 INFO::Formula for random effects: expr ~ (1 | mouse_id)
2023-12-20 20:41:56.293124 INFO::Formula for fixed effects: expr ~  genotype + timepoint
2023-12-20 20:41:56.293769 INFO::Filter data based on min abundance and min prevalence
2023-12-20 20:41:56.294133 INFO::Total samples in data: 86
2023-12-20 20:41:56.294471 INFO::Min samples required with min abundance for a feature not to be filtered: 10.320000
2023-12-20 20:41:56.297966 INFO::Total filtered features: 202
2023-12-20 20:41:56.29865 INFO::Filtered feature names from abundance and prevalence filtering: ASV173, ASV214, ASV248, ASV252, ASV255, ASV282, ASV291, ASV296, ASV311, ASV314, ASV323, ASV326, ASV329, ASV332, ASV335, ASV336, ASV343, ASV344, ASV349, ASV350, ASV352, ASV359, ASV366, ASV370, ASV373, ASV376, ASV378, ASV382, ASV388, ASV389, ASV392, ASV395, ASV398, ASV401, ASV403, ASV405, ASV406, ASV409, ASV410, ASV411, ASV415, ASV417, ASV418, ASV421, ASV422, ASV423, ASV424, ASV425, ASV426, ASV427, ASV432, ASV434, ASV435, ASV436, ASV437, ASV438, ASV444, ASV446, ASV448, ASV450, ASV451, ASV452, ASV453, ASV454, ASV456, ASV457, ASV458, ASV459, ASV462, ASV464, ASV467, ASV469, ASV470, ASV471, ASV472, ASV473, ASV477, ASV478, ASV479, ASV480, ASV481, ASV482, ASV485, ASV488, ASV489, ASV490, ASV492, ASV494, ASV495, ASV497, ASV499, ASV500, ASV501, ASV502, ASV505, ASV506, ASV507, ASV508, ASV510, ASV511, ASV512, ASV513, ASV514, ASV516, ASV518, ASV519, ASV521, ASV522, ASV523, ASV524, ASV525, ASV526, ASV527, ASV528, ASV531, ASV535, ASV536, ASV537, ASV538, ASV539, ASV541, ASV543, ASV544, ASV545, ASV546, ASV547, ASV550, ASV551, ASV552, ASV554, ASV555, ASV556, ASV557, ASV559, ASV562, ASV563, ASV565, ASV566, ASV567, ASV568, ASV570, ASV571, ASV572, ASV574, ASV575, ASV576, ASV578, ASV579, ASV580, ASV583, ASV585, ASV586, ASV587, ASV589, ASV590, ASV591, ASV592, ASV593, ASV594, ASV595, ASV596, ASV597, ASV598, ASV600, ASV601, ASV602, ASV603, ASV604, ASV606, ASV611, ASV612, ASV615, ASV617, ASV618, ASV619, ASV620, ASV621, ASV622, ASV625, ASV627, ASV628, ASV629, ASV630, ASV633, ASV640, ASV643, ASV644, ASV647, ASV649, ASV654, ASV660, ASV662, ASV663, ASV664, ASV666, ASV670, ASV674, ASV679, ASV694, ASV711, ASV718, ASV724
2023-12-20 20:41:56.303202 INFO::Total filtered features with variance filtering: 0
2023-12-20 20:41:56.303859 INFO::Filtered feature names from variance filtering:
2023-12-20 20:41:56.304219 INFO::Running selected normalization method: CLR
