feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV50	genotype	KO	3.724033707863	0.472540661211014	28	13	2.34083901048913e-08	9.94856579457882e-06
ASV58	genotype	KO	-1.454704109891	0.250351260551392	28	28	4.01768219841366e-06	0.000569171644775269
ASV234	genotype	KO	1.88293592461335	0.3231717081484	28	13	3.85662966712093e-06	0.000569171644775269
ASV82	genotype	KO	1.72274961761435	0.327604303007559	28	19	1.70029198888233e-05	0.00180656023818748
ASV46	genotype	KO	3.16245868778307	0.64388465651522	28	12	4.24425860982064e-05	0.00225476238646721
ASV54	genotype	KO	1.40093960164455	0.28372579198139	28	27	3.96144559089292e-05	0.00225476238646721
ASV70	genotype	KO	1.17942747045231	0.236603018407633	28	26	3.49764666700902e-05	0.00225476238646721
ASV126	genotype	KO	2.09303625233903	0.417293759691043	28	18	3.22382092828778e-05	0.00225476238646721
ASV5	genotype	KO	1.76239882062938	0.382235817769241	28	27	9.39157439947107e-05	0.00338764327159671
ASV49	genotype	KO	1.61174468421663	0.344409919486005	28	19	7.82805106515467e-05	0.00338764327159671
ASV190	genotype	KO	2.1966170021865	0.471875644981778	28	9	8.35459859550929e-05	0.00338764327159671
ASV397	genotype	KO	1.21662355660445	0.264263481483868	28	6	9.56511041392013e-05	0.00338764327159671
ASV3	genotype	KO	3.423337074495	0.761511914062552	28	13	0.000127319939165132	0.00370950440195437
ASV39	genotype	KO	-1.2758809270017	0.282002592983845	28	27	0.000117970974023044	0.00370950440195437
ASV75	genotype	KO	2.48829533924104	0.560756443982564	28	14	0.000148380176078175	0.00370950440195437
ASV97	genotype	KO	2.55272711048763	0.572018088333092	28	10	0.00013881509549435	0.00370950440195437
ASV428	genotype	KO	-1.20887433819964	0.271163679891263	28	4	0.00014049780764231	0.00370950440195437
ASV17	genotype	KO	4.42098506334676	1.00706212778745	28	16	0.000168121506398708	0.00396953556774726
ASV188	genotype	KO	2.45975296387407	0.567736027018463	28	14	0.000195555517675095	0.00437426815852187
ASV143	genotype	KO	1.15373516724955	0.27098347421799	28	23	0.000238171139451851	0.00506113671335183
ASV21	genotype	KO	2.997965560575	0.777763504650049	28	10	0.000682317434078516	0.0127965457376606
ASV110	genotype	KO	-0.679038950711838	0.175913754248893	28	28	0.000672710096369359	0.0127965457376606
ASV113	genotype	KO	1.21001069309088	0.314380575565827	28	24	0.000692518945802809	0.0127965457376606
ASV408	genotype	KO	-1.51661128336803	0.396069583625592	28	9	0.000728812425625634	0.0129060533704539
ASV7	genotype	KO	2.27425793841027	0.600831134687113	28	24	0.000816593048176935	0.0138820818190079
ASV25	genotype	KO	2.94573587297099	0.799926897545689	28	9	0.00106394925868359	0.0168526150130655
ASV156	genotype	KO	1.47091654278537	0.39969820638868	28	12	0.00107063671847711	0.0168526150130655
ASV57	genotype	KO	1.24118169025688	0.340983005061263	28	23	0.00118656211353866	0.0174256436008466
ASV210	genotype	KO	1.29672639871215	0.356322286228994	28	17	0.00118904391629306	0.0174256436008466
ASV99	genotype	KO	-1.34643988072113	0.374850732847626	28	26	0.00134194179393068	0.0190108420806846
ASV290	genotype	KO	-1.72708677780857	0.494659233592694	28	8	0.00173336780444382	0.0237639134480201
ASV36	genotype	KO	-1.85305028435217	0.549290871705461	28	25	0.00233543002368104	0.028663969109553
ASV40	genotype	KO	1.18706811942405	0.348718554960258	28	27	0.00216238738305689	0.028663969109553
ASV43	genotype	KO	-0.565529306681167	0.168249089999197	28	28	0.0024086284664562	0.028663969109553
ASV175	genotype	KO	-1.59081118533079	0.470059305019331	28	17	0.00227309651096947	0.028663969109553
ASV244	genotype	KO	-0.990980088420892	0.297007986034738	28	23	0.00256289606156003	0.028663969109553
ASV305	genotype	KO	-1.57507668650443	0.46940319555259	28	8	0.00244384120275195	0.028663969109553
ASV362	genotype	KO	1.27328646497216	0.38150577221736	28	14	0.00255656914031643	0.028663969109553
ASV221	genotype	KO	-1.50194330261544	0.459168682012581	28	19	0.0030195657846367	0.0329055245761691
ASV59	genotype	KO	1.10747986342656	0.341496660356637	28	26	0.00323766250115036	0.0344001640747226
ASV149	genotype	KO	1.13666695724608	0.351616641463419	28	23	0.00332193407466361	0.0344346824812691
ASV68	genotype	KO	-1.51022205203097	0.474965446221868	28	24	0.00378899131344998	0.0350069849612226
ASV142	genotype	KO	-1.60818903810525	0.500488795114939	28	23	0.00348638585782342	0.0350069849612226
ASV177	genotype	KO	1.91263167482312	0.598087347677493	28	16	0.00362142606474306	0.0350069849612226
ASV250	genotype	KO	1.36450676181379	0.428023990619335	28	6	0.00371218181117461	0.0350069849612226
ASV416	genotype	KO	-1.16423581712664	0.365462623058825	28	11	0.00373311776831725	0.0350069849612226
ASV345	genotype	KO	-1.19904640455801	0.378701045173191	28	13	0.00391698549636681	0.0354195497011893
ASV259	genotype	KO	1.19127777946471	0.382764006476583	28	8	0.00447340076474665	0.0396082359378609
ASV140	genotype	KO	2.55605244696883	0.824475707185886	28	7	0.00460819080825174	0.0399690019083059
ASV11	genotype	KO	0.895558484506796	0.293761485757147	28	27	0.00522887511992227	0.0422968428750817
ASV86	genotype	KO	1.98566991924344	0.653634171622527	28	13	0.00536714140506018	0.0422968428750817
ASV100	genotype	KO	-1.32612491894829	0.433369931018426	28	24	0.00508480456054593	0.0422968428750817
ASV191	genotype	KO	-1.59689423218277	0.527058406817378	28	19	0.00547370907795175	0.0422968428750817
ASV198	genotype	KO	-1.33091682858622	0.43474531422125	28	21	0.00506816039726992	0.0422968428750817
ASV245	genotype	KO	-1.66766471205188	0.550271828806003	28	11	0.00546310846244547	0.0422968428750817
ASV94	genotype	KO	-1.19787848509813	0.396932167019216	28	26	0.00563571763238445	0.0427362564692489
ASV472	genotype	KO	-1.27232418576797	0.422572995529922	28	5	0.00573168616175808	0.0427362564692489
ASV116	genotype	KO	-1.17432890333996	0.399246270088782	28	27	0.00678256852731811	0.0496998555881069
ASV178	genotype	KO	-1.36888048983457	0.467364639950356	28	19	0.00698877730263118	0.0503428873494619
ASV147	genotype	KO	2.61597941811751	0.901323144451994	28	9	0.00744948254783979	0.0510650013359985
ASV193	genotype	KO	-1.406499484641	0.483160365920637	28	16	0.00729611056907695	0.0510650013359985
ASV261	genotype	KO	-0.987422888173871	0.339533336527233	28	5	0.00734647838240567	0.0510650013359985
ASV170	genotype	KO	-1.14151522454393	0.399148050584856	28	24	0.008247110355098	0.0547659672018226
ASV228	genotype	KO	1.00022364507384	0.34949305517492	28	16	0.00820688827064252	0.0547659672018226
ASV8	genotype	KO	0.928960376761682	0.325641671296159	28	28	0.00838945048606221	0.0548540993319452
ASV367	genotype	KO	-0.928454502474583	0.328186461885969	28	5	0.00887571560827656	0.0571542292957203
ASV279	genotype	KO	-1.51217608893334	0.537605669341457	28	7	0.00922491492852938	0.0585162514123132
ASV189	genotype	KO	-0.690956567152143	0.250504318227595	28	25	0.0104941459894632	0.0655884124341453
ASV293	genotype	KO	-1.42393298569974	0.51903729891435	28	14	0.0108672456356172	0.0669359332628597
ASV64	genotype	KO	-0.891795804364772	0.327605365297534	28	26	0.0114227801025189	0.0684347358178464
ASV243	genotype	KO	-1.35670843609245	0.498460538173698	28	13	0.0114326264542755	0.0684347358178464
ASV369	genotype	KO	0.769846177262417	0.289972078370777	28	3	0.0133624147363587	0.0788753647632283
ASV302	genotype	KO	-1.29376582162808	0.49193648156689	28	13	0.014157223211739	0.0824221899313574
ASV404	genotype	KO	0.677002073877096	0.258878875099568	28	0	0.0146497515134694	0.0841370863949256
ASV129	genotype	KO	-0.568400633704347	0.221417041003415	28	28	0.0163584717070335	0.0914782957301214
ASV137	genotype	KO	1.13396911004159	0.441728452768089	28	22	0.0163579540853189	0.0914782957301214
ASV439	genotype	KO	0.94097679886368	0.367728443625134	28	11	0.0166686453141355	0.0920022630975013
ASV83	genotype	KO	2.04465144792893	0.809847864601211	28	21	0.0180179008061678	0.0981744595207859
ASV199	genotype	KO	-1.15928388545033	0.461859192076581	28	20	0.0186291004081639	0.100219843967971
ASV13	genotype	KO	1.01884400839755	0.413269874141432	28	28	0.0206084198201755	0.109482230294683
ASV30	genotype	KO	1.17641413415735	0.488344462924772	28	25	0.0233783004776805	0.110397530033491
ASV78	genotype	KO	-0.648166021683047	0.26745329624446	28	28	0.0226349878476614	0.110397530033491
ASV217	genotype	KO	1.39240075123276	0.577443494103906	28	8	0.0232570070267821	0.110397530033491
ASV222	genotype	KO	-1.11165872907895	0.456845242652017	28	19	0.0221414586257217	0.110397530033491
ASV284	genotype	KO	-1.3349342734092	0.551226909698318	28	13	0.0227222138552221	0.110397530033491
ASV356	genotype	KO	-1.0781504954021	0.447236336067509	28	12	0.0232893758007217	0.110397530033491
ASV361	genotype	KO	-1.04654775975899	0.429347730326071	28	7	0.0219347389607719	0.110397530033491
ASV409	genotype	KO	-1.06852375153413	0.441546706551218	28	4	0.0228134048097037	0.110397530033491
ASV435	genotype	KO	-0.780192365650409	0.32342321799479	28	3	0.023206484633853	0.110397530033491
ASV474	genotype	KO	-0.760219207191948	0.313717423536416	28	3	0.0226457374957236	0.110397530033491
ASV136	genotype	KO	-1.63666811773662	0.682671809474459	28	15	0.0239862344111573	0.112023622249911
ASV29	genotype	KO	1.0338997527467	0.433520217035689	28	27	0.0246639130106915	0.113598161017423
ASV240	genotype	KO	-0.789299458938618	0.331462617086259	28	5	0.0248632453555172	0.113598161017423
ASV312	genotype	KO	-1.06989558595256	0.450192428387959	28	11	0.0251252403191477	0.113598161017423
ASV91	genotype	KO	1.62124342744499	0.693134539311014	28	10	0.0272937619104414	0.122103671704606
ASV237	genotype	KO	-0.935319524823874	0.402660331365918	28	15	0.0282787119041753	0.12519221415911
ASV121	genotype	KO	1.77214167263942	0.767770284228503	28	18	0.0292020774508773	0.126106576495983
ASV233	genotype	KO	-1.18768890490581	0.515164118375686	28	21	0.0293754142896525	0.126106576495983
ASV338	genotype	KO	-1.14518807635651	0.495743947698946	28	9	0.0290827903659747	0.126106576495983
ASV9	genotype	KO	0.656695280493375	0.28897791380274	28	28	0.0315619856316978	0.133945178345288
ASV340	genotype	KO	-0.891713008527003	0.393075753159694	28	6	0.0318316776773508	0.133945178345288
ASV81	genotype	KO	0.90504887217417	0.402704627970574	28	6	0.033320264329869	0.138834434707787
ASV15	genotype	KO	-2.04547944099241	0.914742509545689	28	18	0.0341420928250083	0.14087756748183
ASV77	genotype	KO	-0.399127696052092	0.179971389210836	28	28	0.0355193573890422	0.145151220099451
ASV159	genotype	KO	-1.17462585457233	0.531039078300802	28	22	0.0359630703047504	0.14556480837637
ASV92	genotype	KO	-0.710691740428303	0.322535771885147	28	27	0.0366225668430384	0.146835763285767
ASV139	genotype	KO	-0.384640431429014	0.176492645223889	28	27	0.0385544780657387	0.153136945588214
ASV33	genotype	KO	0.685854195940447	0.319224342817432	28	27	0.0411620360747316	0.161155522197687
ASV65	genotype	KO	-1.74940962848962	0.815721535346012	28	9	0.0415014172835961	0.161155522197687
ASV308	genotype	KO	0.871974082432478	0.407039898428978	28	3	0.0417108410394012	0.161155522197687
ASV241	genotype	KO	-0.564949249233787	0.265363581425037	28	17	0.0428940138605926	0.16423383685362
ASV138	genotype	KO	-1.01737790747692	0.481995481675753	28	23	0.0445656856120116	0.167614304292964
ASV449	genotype	KO	-0.695299001873777	0.329042134679741	28	2	0.0443477522660972	0.167614304292964
ASV10	genotype	KO	-0.61947861859185	0.296323392037046	28	28	0.0464901425024567	0.173318513715299
ASV26	genotype	KO	1.12583481353629	0.546586243025466	28	26	0.0495641663901132	0.18159285099826
ASV133	genotype	KO	-1.21566091025276	0.58916887519874	28	22	0.0491965158579997	0.18159285099826
ASV154	genotype	KO	1.20102869120813	0.584844094070446	28	14	0.0502013102176528	0.182355186688055
ASV209	genotype	KO	-0.945549389279856	0.463416477047772	28	20	0.0515890246046801	0.185807927601602
ASV370	genotype	KO	1.27981816568556	0.628750557984717	28	4	0.0521120683759976	0.186114529914277
ASV67	genotype	KO	-0.409958865154925	0.202156545214946	28	28	0.0529300357359579	0.187460543231517
ASV160	genotype	KO	1.07399449805949	0.530797870240072	28	15	0.0534294402083235	0.187665389161467
