feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV32	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39	ASV40	ASV41	ASV42	ASV43	ASV44	ASV45	ASV46	ASV47	ASV48	ASV49	ASV50	ASV51	ASV52	ASV53	ASV54	ASV55	ASV56	ASV57	ASV58	ASV59	ASV60	ASV61	ASV62	ASV63	ASV64	ASV65	ASV66	ASV67	ASV68	ASV69	ASV70	ASV71	ASV72	ASV73	ASV74	ASV75	ASV76	ASV77	ASV78	ASV79	ASV80	ASV81	ASV82	ASV83	ASV84	ASV85	ASV86	ASV87	ASV88	ASV89	ASV90	ASV91	ASV92	ASV93	ASV94	ASV95	ASV96	ASV97	ASV98	ASV99	ASV100	ASV101	ASV102	ASV103	ASV104	ASV105	ASV106	ASV107	ASV108	ASV109	ASV110	ASV111	ASV112	ASV113	ASV114	ASV115	ASV116	ASV117	ASV118	ASV119	ASV120	ASV121	ASV122	ASV123	ASV124	ASV125	ASV126	ASV127	ASV128	ASV129	ASV130	ASV131	ASV132	ASV133	ASV134	ASV135	ASV136	ASV137	ASV138	ASV139	ASV140	ASV141	ASV142	ASV143	ASV144	ASV145	ASV146	ASV147	ASV148	ASV149	ASV150	ASV151	ASV152	ASV153	ASV154	ASV155	ASV156	ASV157	ASV158	ASV159	ASV160	ASV161	ASV162	ASV163	ASV164	ASV165	ASV166	ASV167	ASV168	ASV169	ASV170	ASV171	ASV172	ASV173	ASV174	ASV175	ASV176	ASV177	ASV178	ASV179	ASV180	ASV181	ASV182	ASV183	ASV184	ASV185	ASV186	ASV187	ASV188	ASV189	ASV190	ASV191	ASV192	ASV193	ASV194	ASV195	ASV196	ASV197	ASV198	ASV199	ASV200	ASV201	ASV202	ASV203	ASV204	ASV205	ASV207	ASV208	ASV209	ASV210	ASV211	ASV212	ASV213	ASV214	ASV215	ASV216	ASV217	ASV218	ASV219	ASV220	ASV221	ASV222	ASV223	ASV224	ASV225	ASV226	ASV228	ASV229	ASV230	ASV231	ASV232	ASV233	ASV234	ASV235	ASV236	ASV237	ASV238	ASV239	ASV240	ASV241	ASV242	ASV243	ASV244	ASV245	ASV246	ASV247	ASV249	ASV250	ASV252	ASV253	ASV254	ASV256	ASV257	ASV258	ASV259	ASV260	ASV261	ASV262	ASV263	ASV264	ASV265	ASV266	ASV267	ASV268	ASV269	ASV270	ASV271	ASV272	ASV273	ASV274	ASV275	ASV276	ASV277	ASV278	ASV279	ASV280	ASV281	ASV283	ASV284	ASV285	ASV286	ASV287	ASV288	ASV289	ASV290	ASV292	ASV293	ASV294	ASV295	ASV297	ASV298	ASV299	ASV300	ASV301	ASV302	ASV303	ASV304	ASV305	ASV306	ASV307	ASV308	ASV309	ASV310	ASV312	ASV313	ASV315	ASV316	ASV317	ASV318	ASV319	ASV320	ASV321	ASV322	ASV324	ASV325	ASV327	ASV328	ASV330	ASV331	ASV333	ASV334	ASV337	ASV338	ASV339	ASV340	ASV341	ASV342	ASV345	ASV346	ASV347	ASV348	ASV351	ASV353	ASV354	ASV355	ASV356	ASV357	ASV358	ASV360	ASV361	ASV362	ASV364	ASV367	ASV368	ASV369	ASV370	ASV371	ASV372	ASV374	ASV375	ASV377	ASV379	ASV380	ASV381	ASV383	ASV384	ASV385	ASV386	ASV387	ASV389	ASV391	ASV393	ASV396	ASV397	ASV399	ASV400	ASV403	ASV404	ASV407	ASV408	ASV409	ASV412	ASV414	ASV416	ASV418	ASV419	ASV420	ASV423	ASV428	ASV429	ASV431	ASV432	ASV433	ASV435	ASV438	ASV439	ASV440	ASV442	ASV443	ASV445	ASV447	ASV449	ASV454	ASV455	ASV461	ASV463	ASV472	ASV474	ASV475	ASV483	ASV486	ASV491	ASV493	ASV494	ASV498	ASV500	ASV503	ASV504	ASV505	ASV506	ASV509	ASV529	ASV530	ASV534	ASV540	ASV546	ASV552	ASV553	ASV559	ASV564	ASV572	ASV590	ASV591	ASV592	ASV595	ASV620
Preg.Feces.PD.2104.week3	1030	245	4	1290	49	412	79	478	986	132	14	0	809	0	289	143	0	294	481	162	0	270	157	361	0	714	187	5	505	68	268	560	43	0	126	130	61	128	153	83	83	75	157	18	534	0	0	56	19	0	88	35	113	25	0	157	22	351	80	246	33	46	417	16	88	19	22	31	61	74	144	223	22	224	14	239	41	216	46	0	0	0	202	399	10	0	0	0	0	36	4	138	11	124	263	0	0	212	36	55	0	0	40	37	0	28	25	19	252	39	189	0	62	0	24	49	144	11	238	0	0	66	244	11	42	0	17	101	24	0	58	0	161	14	30	43	5	21	13	0	30	47	13	0	0	39	0	11	18	23	0	47	36	0	92	14	89	0	85	23	10	0	4	30	0	12	75	13	13	14	0	35	205	0	12	0	57	20	8	0	28	9	29	0	0	0	0	0	24	0	36	26	0	0	0	10	10	15	0	0	37	0	4	46	0	0	0	9	33	0	0	0	0	0	0	0	0	14	42	17	12	17	23	0	0	16	0	50	0	28	33	2	46	0	0	4	74	0	16	0	11	16	42	0	88	0	0	0	0	22	0	0	2	0	10	0	0	27	0	0	50	0	0	45	0	0	27	11	22	0	0	27	0	0	0	70	4	0	3	16	0	0	0	0	0	28	0	5	0	0	0	0	35	0	12	0	0	15	39	0	0	46	0	19	0	20	8	0	0	9	0	37	0	65	0	11	26	0	0	39	0	59	0	0	4	0	30	8	0	3	0	16	11	0	0	5	9	0	0	0	0	5	5	0	0	0	0	0	0	8	0	36	0	0	0	0	0	0	0	30	0	0	0	4	28	41	0	0	7	0	0	0	5	21	2	40	0	5	0	17	0	0	0	0	0	5	0	0	0	14	0	43	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	4
Preg.Feces.PD.2106.week3	277	964	4	362	13	120	12	7	34	1137	11	0	114	1152	0	37	3	104	91	53	0	243	24	19	0	47	141	22	0	7	100	11	23	0	0	355	16	328	266	0	0	36	106	0	97	0	7	17	5	0	254	81	126	5	0	0	5	169	6	0	7	10	55	74	0	0	51	87	20	4	22	0	5	62	0	203	66	55	61	61	0	0	0	63	0	0	0	0	261	44	7	96	33	21	49	19	0	0	45	78	0	11	0	41	102	11	33	30	50	65	0	26	2	118	19	170	32	25	38	0	0	4	48	7	73	0	68	69	35	0	0	0	58	41	127	17	15	44	14	0	30	112	0	0	0	16	0	21	0	0	34	54	0	0	13	0	0	0	37	0	65	28	0	29	0	0	28	68	31	24	0	0	0	0	16	89	0	99	13	7	18	9	21	0	3	0	0	0	15	0	19	44	23	5	34	32	19	52	32	0	54	0	353	0	28	17	17	19	0	0	0	66	0	0	0	0	0	0	24	21	18	108	0	15	0	0	44	38	14	0	19	0	237	0	13	11	20	9	12	0	0	20	0	0	0	0	0	0	0	11	16	0	0	0	14	11	49	0	0	0	28	21	0	16	0	0	0	0	0	22	20	0	4	58	0	0	28	14	0	0	5	0	0	29	0	0	0	15	0	31	40	0	42	30	11	0	25	0	7	0	57	0	21	0	0	0	6	0	0	8	0	8	0	0	0	0	0	0	0	12	0	0	0	10	0	0	21	10	0	0	12	32	8	0	14	0	12	0	0	0	0	9	0	0	0	0	0	0	0	3	0	0	0	4	8	0	0	0	0	0	0	11	0	8	3	0	0	0	11	0	0	5	8	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	5	0	3	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2107.week3	397	160	18	118	32	132	173	297	266	118	32	0	315	194	20	233	2218	177	317	184	0	31	210	274	0	186	209	4	145	6	0	406	67	296	189	0	0	51	73	107	120	125	91	0	3	59	0	94	31	31	80	271	87	69	4	116	26	42	38	190	43	42	119	21	4	57	19	0	44	83	59	168	10	232	0	35	60	18	11	0	0	14	72	77	0	0	0	0	37	24	0	20	31	9	76	94	15	0	0	21	4	0	24	53	0	0	23	40	69	31	84	49	40	5	11	20	59	37	85	73	51	65	73	19	33	13	46	37	27	0	0	33	0	12	17	17	38	15	12	140	48	10	26	17	0	8	186	28	24	18	0	33	11	24	40	9	73	0	17	14	6	51	0	20	11	43	18	14	15	0	0	0	0	0	0	0	44	20	0	0	21	15	0	0	0	0	0	12	9	10	0	43	0	23	22	0	19	15	0	0	25	0	0	63	7	0	0	0	5	0	0	0	0	16	0	0	3	0	8	9	21	0	13	4	4	5	0	9	0	11	30	11	15	0	0	0	22	0	4	27	0	19	0	0	0	0	0	90	0	13	8	0	0	9	11	0	11	0	0	0	0	13	0	0	17	0	8	0	12	0	36	30	6	0	0	0	5	0	0	12	37	0	0	0	14	26	0	16	0	0	20	0	15	0	9	0	0	0	0	0	0	0	0	0	0	19	0	32	0	5	0	0	7	0	0	17	0	0	0	36	0	0	14	0	0	0	0	0	0	7	0	5	12	0	0	0	0	0	0	9	0	0	8	5	0	0	0	0	0	4	0	15	0	2	4	0	0	11	0	13	0	3	6	4	0	0	0	0	0	0	0	8	6	0	0	0	0	0	4	0	157	0	0	0	5	0	0	3	9	3	0	42	6	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0
Preg.Feces.PD.2108.week3	197	119	414	234	372	102	550	326	359	91	29	445	485	0	245	126	2	105	100	96	227	65	89	96	215	223	0	694	162	158	39	97	2	0	84	16	49	36	60	52	75	41	90	0	0	174	0	44	54	79	41	267	29	38	0	0	73	23	45	57	69	24	88	0	71	18	23	112	70	85	38	41	5	68	57	25	10	38	10	0	0	22	103	76	37	42	0	0	0	24	42	55	16	25	69	0	31	0	31	22	0	0	100	28	0	33	0	14	64	17	147	17	41	0	0	41	45	9	61	0	0	23	75	8	33	16	0	58	39	0	30	10	0	0	10	0	0	7	11	0	21	53	20	43	0	12	0	0	17	8	0	5	20	0	29	13	54	0	18	19	13	0	7	47	8	0	41	0	3	8	0	8	0	0	0	0	30	2	14	0	12	0	0	0	22	0	0	10	4	6	28	0	0	0	0	7	2	0	0	0	7	0	0	0	0	0	0	0	17	0	0	0	0	0	0	6	0	0	0	0	12	4	8	0	0	3	0	0	19	0	11	0	0	0	0	0	29	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	23	8	0	0	0	0	2	0	6	0	17	0	0	0	10	0	11	7	31	0	0	0	3	3	0	0	0	17	17	0	0	0	0	10	13	8	0	0	12	0	0	0	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	3	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	17	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	14	0	0	0
Preg.Feces.PD.2114.week3	241	1887	28	220	18	74	17	26	68	683	11	6	55	754	0	68	3	193	73	37	0	405	31	61	0	0	127	9	30	21	73	17	21	523	0	92	17	658	112	11	0	19	229	23	9	0	0	2	3	0	81	59	95	9	10	0	2	159	7	11	5	65	0	153	0	0	86	12	266	6	8	0	36	34	0	163	86	55	112	106	0	4	0	64	20	0	12	10	179	107	6	64	37	76	41	156	0	0	226	66	0	10	7	65	57	53	17	35	0	115	0	14	0	0	28	57	17	0	39	165	17	0	16	5	81	0	61	75	61	0	42	46	0	31	80	0	11	55	20	0	32	10	4	0	0	40	0	27	0	0	115	52	26	0	5	0	0	4	66	0	87	0	0	30	0	0	18	152	27	69	30	12	0	0	9	0	0	26	28	0	12	14	39	0	0	0	79	0	26	0	24	9	11	22	18	36	19	57	32	0	57	0	0	0	0	30	31	44	0	95	64	0	61	13	0	0	0	0	32	67	43	4	0	6	10	0	20	9	30	45	38	2	0	0	11	30	0	7	10	25	35	27	0	0	0	16	0	328	0	12	23	46	42	0	23	0	21	0	640	0	0	0	0	0	0	0	28	0	80	10	0	0	0	39	9	7	11	51	0	0	0	0	17	38	38	20	6	10	0	33	58	7	10	8	16	0	42	34	0	0	47	0	18	8	0	19	8	0	0	9	0	9	7	0	0	2	0	0	67	0	0	0	12	9	0	4	0	30	0	0	15	51	11	0	11	19	0	0	25	2	13	3	10	0	0	26	0	16	0	10	0	0	66	7	3	8	0	7	0	0	0	0	0	4	0	0	0	0	9	0	0	3	7	17	14	0	20	12	6	0	0	5	10	0	0	0	17	3	0	4	7	0	0	0	0	39	5	0	0	0	0	3	12	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2115.week3	399	166	22	530	181	140	93	103	309	172	15	84	351	323	0	150	465	127	143	125	0	76	0	115	0	170	140	2	222	35	54	36	85	0	0	36	73	59	22	20	0	150	106	9	103	0	0	49	16	19	77	98	117	24	0	0	24	30	29	0	0	21	79	23	0	0	14	7	0	17	39	0	9	86	12	74	16	40	15	0	0	15	67	50	54	0	0	56	55	26	0	0	0	16	61	0	0	98	8	23	38	21	44	19	35	21	0	58	62	19	93	12	8	0	0	10	23	8	45	0	24	5	42	10	35	4	44	0	21	0	18	14	0	6	45	0	25	9	6	214	0	0	11	17	0	14	355	20	7	3	11	15	25	0	71	0	0	0	0	0	0	0	0	61	0	0	21	9	8	0	22	16	0	0	0	0	0	0	0	0	4	10	0	0	8	38	40	2	13	0	16	0	0	10	7	6	3	5	0	0	0	0	0	0	0	0	43	0	6	0	0	0	0	45	0	0	5	0	7	0	0	3	0	2	20	2	10	23	0	24	0	9	0	0	7	6	7	0	7	0	0	10	0	0	0	0	4	79	0	15	12	0	0	0	5	0	20	0	54	0	0	0	0	2	0	0	0	8	0	3	0	0	13	0	5	28	6	0	0	0	5	0	17	0	0	0	0	0	0	22	0	0	8	0	0	0	0	0	0	23	0	25	0	0	27	3	12	0	0	7	0	12	0	15	0	0	0	0	0	0	0	8	0	0	0	3	0	0	0	0	7	14	7	0	0	2	0	12	0	8	0	0	10	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	11	0	0	0	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2121.week3	421	229	328	596	507	204	281	343	318	90	55	285	944	301	0	313	2505	122	223	139	197	0	261	215	252	172	299	0	162	105	55	172	101	142	0	37	87	63	30	97	0	402	76	31	291	89	40	11	44	58	34	0	37	107	0	90	28	27	59	72	54	49	103	22	0	0	21	10	67	106	74	66	18	52	53	68	29	18	0	0	13	20	205	31	64	65	0	35	47	26	33	40	18	50	56	43	24	68	7	5	0	33	0	22	0	19	24	51	83	16	0	68	27	0	14	31	79	61	62	0	96	41	55	14	30	69	46	0	29	0	14	8	31	13	71	0	58	0	15	0	17	3	36	29	0	11	0	78	22	0	9	7	6	0	14	7	14	23	0	20	8	0	8	0	34	0	17	15	10	17	50	19	101	0	0	0	41	6	9	10	9	11	0	0	14	0	30	40	20	5	12	0	11	9	11	7	6	0	8	0	0	0	63	0	0	17	35	0	11	28	0	0	0	8	0	0	10	14	10	9	5	0	0	2	49	28	19	27	0	17	0	12	0	0	7	0	8	0	6	0	9	7	6	26	0	0	0	0	0	0	0	15	0	6	0	0	11	12	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	0	0	5	3	0	0	0	0	15	0	0	0	0	0	11	0	12	0	13	3	0	10	0	0	0	26	0	0	0	0	0	0	19	5	0	11	12	0	13	6	0	0	0	7	0	0	22	10	0	0	7	0	4	0	0	0	4	0	8	0	0	0	4	0	8	0	7	0	2	0	5	90	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	7	0	13	46	2	0	0	0	2	8	0	0	2	4	0	0	0	12	0	0	0	21	12	0	3	0	5	9	0	0	0	0	3	0	0	0	2	7	0	0	0	0	0	4	6	0	0	4	0	0	0	0	0	3	0	0	0	14	3	0	0	0	0
Preg.Feces.PD.2152.week3	657	85	9	189	191	344	240	289	257	28	22	0	396	159	3	503	3483	171	334	148	0	79	283	286	0	126	212	7	125	50	81	239	40	188	61	9	82	27	9	59	229	19	93	191	4	74	164	3	14	35	52	354	87	48	44	128	19	24	39	130	41	74	73	30	0	35	18	6	17	48	82	93	10	102	20	75	22	28	24	0	0	17	103	36	8	0	60	10	0	26	0	15	10	0	55	38	0	0	10	0	39	24	26	0	20	12	43	22	53	21	112	47	30	0	19	9	68	42	56	0	117	60	61	12	24	9	29	0	12	0	6	0	19	14	48	8	32	5	14	0	18	13	16	0	0	12	0	41	26	0	22	19	0	28	51	5	58	13	0	15	12	0	20	22	7	0	18	6	14	21	8	21	0	12	11	6	9	3	0	7	3	9	13	0	0	0	0	73	8	169	10	26	10	8	4	0	12	0	0	0	0	0	7	26	0	0	14	11	9	12	0	0	0	44	0	0	4	15	10	0	8	0	0	0	0	5	5	9	10	5	0	14	0	0	8	18	32	0	10	0	0	0	0	0	0	38	5	78	0	11	0	18	0	10	8	0	12	0	0	0	0	0	0	4	41	0	0	0	7	0	0	0	17	0	0	17	6	10	0	9	22	0	13	0	13	11	7	6	0	26	0	0	14	0	0	0	0	0	16	0	0	0	0	5	18	72	5	0	0	6	7	8	0	0	0	20	0	0	0	34	0	0	0	0	0	10	5	7	0	7	5	0	10	4	0	2	0	0	0	17	17	3	0	0	0	0	0	0	0	0	0	16	0	5	0	0	0	0	18	5	0	0	7	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	251	0	0	0	6	4	8	0	0	6	0	0	2	0	0	0	0	0	0	3	3	0	0	3	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Preg.Feces.PD.2169.week3	614	6	0	3088	54	316	14	61	234	258	26	0	192	0	22	0	0	248	380	146	0	817	135	189	0	115	355	8	131	15	311	192	124	417	175	745	111	0	146	60	103	126	176	13	844	0	0	32	6	0	34	53	33	14	8	132	17	85	11	104	16	26	313	91	0	49	101	12	24	32	63	109	51	62	0	238	66	13	231	253	0	0	0	65	11	11	0	160	0	66	0	108	107	27	215	117	0	503	57	51	39	35	0	55	415	20	11	9	189	104	0	0	11	9	60	137	56	5	171	120	84	36	174	18	63	0	88	76	90	0	36	32	93	53	0	237	0	0	30	0	21	77	9	0	0	51	0	49	13	0	80	0	22	0	9	0	0	0	48	0	70	10	0	0	22	0	15	9	31	25	0	16	0	0	23	0	0	9	0	12	38	11	0	56	9	0	68	4	21	0	11	14	7	28	41	0	18	25	40	45	16	54	6	0	64	24	90	0	0	65	0	0	0	42	43	0	0	29	44	41	19	12	0	0	0	0	37	34	12	89	20	0	0	0	20	12	30	3	14	52	17	31	0	46	126	59	0	0	47	0	25	15	38	0	15	31	26	63	0	0	0	25	0	14	0	0	0	14	11	0	0	0	4	0	0	0	12	20	0	9	0	0	32	0	16	31	0	18	28	40	0	0	22	0	8	0	0	0	14	0	69	0	0	0	21	5	19	0	10	7	0	0	10	0	0	4	0	0	0	13	0	0	0	7	0	0	22	0	0	15	6	0	16	0	0	6	5	0	12	0	0	6	4	4	0	0	0	0	0	2	0	8	22	10	5	0	0	8	0	4	7	0	0	8	0	0	0	0	12	0	3	0	6	0	5	0	0	7	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	10	0
Preg.Feces.PD.2186.week3	454	0	0	774	28	181	15	188	108	100	2	19	344	0	41	183	552	182	182	110	4	249	0	124	0	70	74	7	38	2	101	164	13	171	152	40	44	0	74	40	122	0	180	5	316	0	0	8	0	0	0	0	59	15	45	58	6	88	26	69	29	29	150	22	12	26	20	11	0	12	48	68	8	42	0	49	29	23	45	0	0	4	82	26	0	0	0	0	0	0	0	22	0	43	74	47	0	117	13	32	0	0	17	0	0	14	40	45	115	37	88	43	13	0	15	12	30	57	106	0	55	19	84	11	0	4	10	0	35	0	9	17	34	0	0	36	26	11	9	0	10	19	5	0	0	33	77	24	6	0	30	23	11	0	22	0	0	14	20	0	15	33	0	11	16	16	13	0	15	14	0	11	0	0	13	0	66	0	0	0	4	17	0	0	7	0	71	12	13	0	16	0	34	0	13	0	18	7	0	6	16	0	0	0	0	0	32	0	3	3	0	0	0	0	0	0	0	21	19	0	11	0	31	8	0	6	16	15	0	6	12	8	0	0	3	10	0	0	10	0	0	10	0	0	56	14	0	31	0	4	0	9	0	0	10	0	11	10	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	76	0	0	0	0	9	17	7	0	0	12	0	0	3	10	0	0	0	0	0	7	19	0	0	0	0	0	23	11	0	0	12	7	0	0	0	9	0	0	0	0	13	0	0	0	10	0	0	0	0	0	0	4	0	0	3	0	7	4	0	0	0	9	10	0	11	0	0	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	5	0	0	0	4	0	0	0	0	0	0	10	0	0	0	0	0	0	7	0	0	4	0	0	11	9	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0
