feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV50	genotype	KO	3.724033707863	0.472540661211014	28	13	2.34083901048913e-08	9.94856579457882e-06
ASV58	genotype	KO	-1.454704109891	0.250351260551392	28	28	4.01768219841366e-06	0.000569171644775269
ASV234	genotype	KO	1.88293592461335	0.3231717081484	28	13	3.85662966712093e-06	0.000569171644775269
ASV82	genotype	KO	1.72274961761435	0.327604303007559	28	19	1.70029198888233e-05	0.00180656023818748
ASV46	genotype	KO	3.16245868778307	0.64388465651522	28	12	4.24425860982064e-05	0.00225476238646721
ASV54	genotype	KO	1.40093960164455	0.28372579198139	28	27	3.96144559089292e-05	0.00225476238646721
ASV70	genotype	KO	1.17942747045231	0.236603018407633	28	26	3.49764666700902e-05	0.00225476238646721
ASV126	genotype	KO	2.09303625233903	0.417293759691043	28	18	3.22382092828778e-05	0.00225476238646721
ASV5	genotype	KO	1.76239882062938	0.382235817769241	28	27	9.39157439947107e-05	0.00338764327159671
ASV49	genotype	KO	1.61174468421663	0.344409919486005	28	19	7.82805106515467e-05	0.00338764327159671
ASV190	genotype	KO	2.1966170021865	0.471875644981778	28	9	8.35459859550929e-05	0.00338764327159671
ASV397	genotype	KO	1.21662355660445	0.264263481483868	28	6	9.56511041392013e-05	0.00338764327159671
ASV3	genotype	KO	3.423337074495	0.761511914062552	28	13	0.000127319939165132	0.00370950440195437
ASV39	genotype	KO	-1.2758809270017	0.282002592983845	28	27	0.000117970974023044	0.00370950440195437
ASV75	genotype	KO	2.48829533924104	0.560756443982564	28	14	0.000148380176078175	0.00370950440195437
ASV97	genotype	KO	2.55272711048763	0.572018088333092	28	10	0.00013881509549435	0.00370950440195437
ASV428	genotype	KO	-1.20887433819964	0.271163679891263	28	4	0.00014049780764231	0.00370950440195437
ASV17	genotype	KO	4.42098506334676	1.00706212778745	28	16	0.000168121506398708	0.00396953556774726
ASV188	genotype	KO	2.45975296387407	0.567736027018463	28	14	0.000195555517675095	0.00437426815852187
ASV143	genotype	KO	1.15373516724955	0.27098347421799	28	23	0.000238171139451851	0.00506113671335183
ASV21	genotype	KO	2.997965560575	0.777763504650049	28	10	0.000682317434078516	0.0127965457376606
ASV110	genotype	KO	-0.679038950711838	0.175913754248893	28	28	0.000672710096369359	0.0127965457376606
ASV113	genotype	KO	1.21001069309088	0.314380575565827	28	24	0.000692518945802809	0.0127965457376606
ASV408	genotype	KO	-1.51661128336803	0.396069583625592	28	9	0.000728812425625634	0.0129060533704539
ASV7	genotype	KO	2.27425793841027	0.600831134687113	28	24	0.000816593048176935	0.0138820818190079
ASV25	genotype	KO	2.94573587297099	0.799926897545689	28	9	0.00106394925868359	0.0168526150130655
ASV156	genotype	KO	1.47091654278537	0.39969820638868	28	12	0.00107063671847711	0.0168526150130655
ASV57	genotype	KO	1.24118169025688	0.340983005061263	28	23	0.00118656211353866	0.0174256436008466
ASV210	genotype	KO	1.29672639871215	0.356322286228994	28	17	0.00118904391629306	0.0174256436008466
ASV99	genotype	KO	-1.34643988072113	0.374850732847626	28	26	0.00134194179393068	0.0190108420806846
ASV290	genotype	KO	-1.72708677780857	0.494659233592694	28	8	0.00173336780444382	0.0237639134480201
ASV36	genotype	KO	-1.85305028435217	0.549290871705461	28	25	0.00233543002368104	0.028663969109553
ASV40	genotype	KO	1.18706811942405	0.348718554960258	28	27	0.00216238738305689	0.028663969109553
ASV43	genotype	KO	-0.565529306681167	0.168249089999197	28	28	0.0024086284664562	0.028663969109553
ASV175	genotype	KO	-1.59081118533079	0.470059305019331	28	17	0.00227309651096947	0.028663969109553
ASV244	genotype	KO	-0.990980088420892	0.297007986034738	28	23	0.00256289606156003	0.028663969109553
ASV305	genotype	KO	-1.57507668650443	0.46940319555259	28	8	0.00244384120275195	0.028663969109553
ASV362	genotype	KO	1.27328646497216	0.38150577221736	28	14	0.00255656914031643	0.028663969109553
ASV221	genotype	KO	-1.50194330261544	0.459168682012581	28	19	0.0030195657846367	0.0329055245761691
ASV59	genotype	KO	1.10747986342656	0.341496660356637	28	26	0.00323766250115036	0.0344001640747226
ASV149	genotype	KO	1.13666695724608	0.351616641463419	28	23	0.00332193407466361	0.0344346824812691
ASV68	genotype	KO	-1.51022205203097	0.474965446221868	28	24	0.00378899131344998	0.0350069849612226
ASV142	genotype	KO	-1.60818903810525	0.500488795114939	28	23	0.00348638585782342	0.0350069849612226
ASV177	genotype	KO	1.91263167482312	0.598087347677493	28	16	0.00362142606474306	0.0350069849612226
ASV250	genotype	KO	1.36450676181379	0.428023990619335	28	6	0.00371218181117461	0.0350069849612226
ASV416	genotype	KO	-1.16423581712664	0.365462623058825	28	11	0.00373311776831725	0.0350069849612226
ASV345	genotype	KO	-1.19904640455801	0.378701045173191	28	13	0.00391698549636681	0.0354195497011893
ASV259	genotype	KO	1.19127777946471	0.382764006476583	28	8	0.00447340076474665	0.0396082359378609
ASV140	genotype	KO	2.55605244696883	0.824475707185886	28	7	0.00460819080825174	0.0399690019083059
ASV11	genotype	KO	0.895558484506796	0.293761485757147	28	27	0.00522887511992227	0.0422968428750817
ASV86	genotype	KO	1.98566991924344	0.653634171622527	28	13	0.00536714140506018	0.0422968428750817
ASV100	genotype	KO	-1.32612491894829	0.433369931018426	28	24	0.00508480456054593	0.0422968428750817
ASV191	genotype	KO	-1.59689423218277	0.527058406817378	28	19	0.00547370907795175	0.0422968428750817
ASV198	genotype	KO	-1.33091682858622	0.43474531422125	28	21	0.00506816039726992	0.0422968428750817
ASV245	genotype	KO	-1.66766471205188	0.550271828806003	28	11	0.00546310846244547	0.0422968428750817
ASV94	genotype	KO	-1.19787848509813	0.396932167019216	28	26	0.00563571763238445	0.0427362564692489
ASV472	genotype	KO	-1.27232418576797	0.422572995529922	28	5	0.00573168616175808	0.0427362564692489
ASV116	genotype	KO	-1.17432890333996	0.399246270088782	28	27	0.00678256852731811	0.0496998555881069
