feature	ASV1	ASV2	ASV3	ASV4	ASV5	ASV6	ASV7	ASV8	ASV9	ASV10	ASV11	ASV12	ASV13	ASV14	ASV15	ASV16	ASV17	ASV18	ASV19	ASV20	ASV21	ASV22	ASV23	ASV24	ASV25	ASV26	ASV27	ASV28	ASV29	ASV30	ASV31	ASV32	ASV33	ASV34	ASV35	ASV36	ASV37	ASV38	ASV39	ASV40	ASV41	ASV42	ASV43	ASV44	ASV45	ASV46	ASV47	ASV48	ASV49	ASV50	ASV51	ASV52	ASV53	ASV54	ASV55	ASV56	ASV57	ASV58	ASV59	ASV60	ASV61	ASV62	ASV63	ASV64	ASV65	ASV66	ASV67	ASV68	ASV69	ASV70	ASV71	ASV72	ASV73	ASV74	ASV75	ASV76	ASV77	ASV78	ASV79	ASV80	ASV81	ASV82	ASV83	ASV84	ASV85	ASV86	ASV87	ASV88	ASV89	ASV90	ASV91	ASV92	ASV93	ASV94	ASV95	ASV96	ASV97	ASV99	ASV100	ASV101	ASV102	ASV103	ASV104	ASV105	ASV106	ASV107	ASV108	ASV109	ASV110	ASV112	ASV113	ASV114	ASV115	ASV116	ASV117	ASV118	ASV119	ASV120	ASV121	ASV122	ASV123	ASV124	ASV125	ASV126	ASV127	ASV128	ASV129	ASV130	ASV131	ASV132	ASV133	ASV134	ASV135	ASV136	ASV137	ASV138	ASV139	ASV140	ASV141	ASV142	ASV143	ASV144	ASV145	ASV146	ASV147	ASV148	ASV149	ASV150	ASV151	ASV152	ASV153	ASV154	ASV155	ASV156	ASV157	ASV158	ASV159	ASV160	ASV161	ASV162	ASV163	ASV164	ASV165	ASV166	ASV167	ASV168	ASV169	ASV170	ASV171	ASV172	ASV173	ASV174	ASV175	ASV176	ASV177	ASV178	ASV179	ASV180	ASV181	ASV182	ASV183	ASV184	ASV185	ASV186	ASV187	ASV188	ASV189	ASV190	ASV191	ASV192	ASV193	ASV194	ASV195	ASV196	ASV197	ASV198	ASV199	ASV200	ASV201	ASV202	ASV203	ASV204	ASV205	ASV207	ASV208	ASV209	ASV210	ASV211	ASV213	ASV216	ASV217	ASV218	ASV219	ASV220	ASV221	ASV222	ASV223	ASV224	ASV225	ASV228	ASV229	ASV230	ASV231	ASV232	ASV233	ASV234	ASV235	ASV236	ASV237	ASV238	ASV239	ASV240	ASV241	ASV242	ASV243	ASV244	ASV245	ASV246	ASV248	ASV249	ASV250	ASV251	ASV253	ASV254	ASV256	ASV257	ASV258	ASV259	ASV260	ASV261	ASV262	ASV263	ASV265	ASV266	ASV267	ASV268	ASV269	ASV270	ASV271	ASV272	ASV273	ASV274	ASV275	ASV276	ASV277	ASV278	ASV279	ASV280	ASV281	ASV282	ASV283	ASV284	ASV285	ASV286	ASV287	ASV288	ASV289	ASV290	ASV292	ASV293	ASV294	ASV295	ASV297	ASV299	ASV300	ASV301	ASV302	ASV303	ASV304	ASV305	ASV306	ASV307	ASV308	ASV310	ASV312	ASV313	ASV315	ASV316	ASV317	ASV318	ASV319	ASV320	ASV321	ASV322	ASV324	ASV325	ASV327	ASV328	ASV330	ASV331	ASV334	ASV335	ASV338	ASV339	ASV340	ASV341	ASV342	ASV345	ASV346	ASV347	ASV348	ASV351	ASV353	ASV354	ASV355	ASV356	ASV357	ASV358	ASV359	ASV360	ASV361	ASV362	ASV363	ASV364	ASV365	ASV366	ASV367	ASV368	ASV369	ASV372	ASV374	ASV377	ASV379	ASV380	ASV381	ASV383	ASV384	ASV385	ASV387	ASV388	ASV389	ASV390	ASV391	ASV393	ASV395	ASV396	ASV397	ASV398	ASV399	ASV400	ASV404	ASV407	ASV408	ASV412	ASV416	ASV419	ASV421	ASV426	ASV428	ASV429	ASV431	ASV433	ASV440	ASV441	ASV443	ASV445	ASV447	ASV449	ASV455	ASV460	ASV461	ASV463	ASV472	ASV474	ASV475	ASV476	ASV477	ASV489	ASV498	ASV503	ASV510	ASV516	ASV529	ASV540	ASV543	ASV549	ASV553	ASV554	ASV565	ASV576
Preg.Feces.PD.2104.week6.2	472	93	33	192	146	1257	210	324	179	71	12	0	24	173	87	236	0	726	58	595	0	138	211	375	0	148	141	164	147	77	421	57	168	0	221	41	40	25	83	70	146	67	20	15	49	62	0	114	3	0	40	0	161	11	0	0	85	92	107	23	0	89	0	19	26	69	20	168	64	9	131	24	180	20	0	40	49	65	32	39	0	22	0	53	30	68	0	28	0	39	10	37	33	71	32	0	0	23	28	0	56	44	21	0	57	26	13	0	16	8	23	0	14	20	17	0	0	0	0	5	36	50	33	12	11	0	0	0	27	23	33	14	10	0	21	37	31	0	36	111	18	0	0	20	21	0	4	0	0	0	24	30	19	2	48	32	0	3	13	0	7	19	0	7	40	0	13	18	0	19	110	0	9	0	9	12	23	5	14	16	0	0	0	32	0	0	10	6	14	4	0	0	9	0	0	0	10	0	0	0	0	71	8	12	0	14	8	0	0	0	0	11	12	13	0	0	0	21	0	3	0	9	0	0	12	0	0	0	0	5	0	0	12	0	8	0	41	0	0	0	0	0	0	13	0	0	7	0	10	17	0	0	0	0	0	8	21	0	0	0	16	0	0	46	0	4	15	0	0	180	4	12	13	10	16	0	17	0	0	0	0	0	0	13	8	0	0	8	0	0	20	0	0	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	29	0	0	0	9	0	0	0	0	4	3	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	12	8	0	0	0	2	7	0	0	0	0	5	0	0	0	7	0	0	0	0	0	0	3	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Preg.Feces.PD.2106.week6.2	599	138	54	56	69	527	414	100	57	507	12	6	19	0	2861	88	3	459	82	61	22	380	28	51	0	32	11	421	37	39	244	19	17	25	0	1287	152	44	445	23	0	17	93	0	7	132	14	374	24	29	959	0	164	2	4	0	13	45	5	0	16	220	0	10	824	22	116	81	37	12	19	0	261	17	0	88	174	221	101	111	113	19	0	194	85	0	24	0	0	43	0	100	38	16	0	0	0	105	51	0	16	11	41	91	112	42	0	14	31	8	8	0	18	23	9	0	0	0	5	8	0	15	50	0	0	69	27	0	97	87	82	83	34	3	0	76	27	0	18	9	0	0	0	73	0	0	0	8	0	0	86	0	0	7	23	0	67	20	23	0	0	16	0	0	61	0	13	19	0	21	0	0	14	50	0	40	86	0	204	7	0	0	12	0	0	0	32	0	49	5	15	0	92	40	11	52	12	0	0	0	0	4	5	86	0	33	0	0	306	0	0	3	21	9	0	10	0	32	0	0	0	0	36	0	17	0	0	0	3	0	9	6	18	0	12	0	58	0	329	0	0	0	0	41	15	0	54	9	0	11	0	0	0	30	39	0	35	0	0	0	0	0	0	0	75	0	0	0	0	0	51	16	0	7	0	0	0	45	12	3	4	5	0	0	15	6	0	7	0	17	34	0	0	0	6	15	0	0	0	0	22	0	0	0	9	289	0	0	0	0	0	0	31	0	21	4	0	0	0	0	0	11	0	0	0	9	0	19	0	0	0	0	0	0	3	48	13	13	0	9	0	2	0	0	0	7	0	12	0	49	0	0	0	0	36	30	0	22	4	30	0	6	0	0	4	0	0	0	6	7	19	3	0	0	0	0	0	5	0	0	0	0	0	5	6	4	29	10	0	0	107	0	3	12	0	0	0	8	11	0
Preg.Feces.PD.2107.week6.2	645	45	59	0	54	438	152	70	71	378	73	0	36	0	3145	41	0	426	35	74	34	167	42	113	0	68	0	1987	51	39	0	57	26	9	50	1167	211	0	685	22	34	0	49	0	0	0	0	1274	5	0	148	48	82	5	0	0	226	7	32	0	22	242	0	183	598	108	138	612	383	9	35	0	193	92	0	0	190	232	39	55	0	170	0	95	50	0	0	0	0	38	0	138	32	64	0	0	0	96	73	0	84	55	67	0	326	35	15	6	33	0	6	0	61	67	15	0	0	0	0	3	0	52	62	0	0	64	71	0	123	76	89	106	22	7	0	150	57	0	88	16	23	28	0	37	0	0	4	34	0	3	47	92	0	0	0	0	41	5	40	0	0	0	0	6	49	12	42	0	0	28	0	0	49	62	41	113	83	0	266	4	0	0	0	0	0	0	13	0	84	0	12	0	24	88	21	9	0	0	75	0	0	3	28	161	0	32	11	0	13	0	0	21	28	33	6	15	4	30	0	0	0	0	0	40	18	0	0	0	13	9	12	108	0	38	18	10	44	0	318	0	0	0	0	18	14	16	15	0	0	45	0	0	28	0	62	35	14	29	0	0	13	31	0	0	98	0	0	0	0	0	23	18	57	49	11	0	0	0	16	0	13	16	43	0	12	0	10	9	0	0	11	0	0	47	37	16	21	0	0	0	9	11	0	0	19	7	26	0	46	45	0	0	39	0	15	0	0	0	0	0	0	16	0	0	0	0	0	18	0	0	13	0	25	0	0	0	14	7	0	19	0	0	0	0	18	12	2	9	0	37	0	0	0	9	0	0	5	28	7	8	0	14	0	10	5	10	0	0	3	13	0	7	0	0	0	0	0	0	7	0	0	5	0	2	5	9	26	0	4	0	0	0	0	8	0	0	0	22	0	0
Preg.Feces.PD.2108.week6.2	720	84	157	202	115	689	825	384	119	384	7	0	63	0	1201	62	9	1959	0	450	94	463	59	111	92	76	8	76	75	206	348	38	9	10	49	640	137	44	369	50	44	8	162	8	0	240	0	1036	22	33	285	97	129	8	0	22	67	83	13	16	16	209	52	93	354	57	78	197	620	10	51	14	451	4	55	13	160	301	147	166	4	34	0	187	93	0	33	0	0	30	0	35	89	14	0	0	10	74	75	0	34	52	40	0	120	86	0	0	19	5	21	0	0	8	0	0	0	0	0	6	0	34	17	66	16	51	86	0	251	31	0	57	10	0	0	189	51	0	45	39	12	22	0	74	0	0	0	7	0	2	89	0	27	6	58	0	23	11	35	0	0	29	0	10	27	27	16	12	0	52	0	0	20	0	4	14	49	0	333	0	0	0	0	0	0	0	52	0	72	0	9	11	0	103	0	26	0	0	32	0	0	0	10	56	0	26	11	0	0	0	0	7	0	15	0	13	0	21	0	11	0	0	75	0	0	0	75	0	0	8	11	7	11	0	6	11	51	0	105	0	0	0	0	45	19	0	61	14	0	4	0	0	0	72	108	9	42	0	0	0	0	19	0	9	258	0	0	0	0	0	67	0	0	16	0	0	0	0	28	16	0	16	35	36	24	2	0	0	0	30	0	8	0	0	33	26	0	0	0	0	20	7	0	0	7	135	0	0	0	0	16	0	53	0	9	5	0	0	0	0	0	28	0	0	0	27	12	51	0	0	0	0	0	0	8	0	18	0	0	0	9	40	0	0	0	14	0	6	17	29	0	0	6	7	87	0	0	28	12	13	0	15	0	0	0	28	0	0	0	0	26	0	0	0	0	5	0	0	6	0	0	0	0	11	10	0	46	4	0	0	0	0	9	6	0	0	0	0	0	0
Preg.Feces.PD.2114.week6.2	548	33	0	269	227	607	796	61	114	287	10	0	15	0	878	144	0	616	94	98	27	61	87	117	52	64	0	368	82	269	347	0	28	16	64	1039	1177	0	203	73	74	7	54	0	97	213	3	550	35	63	112	0	140	10	4	34	82	0	16	0	8	358	0	263	248	39	72	368	458	10	22	18	298	3	74	0	138	197	16	0	94	59	0	206	3	0	28	0	0	36	0	74	64	0	18	0	0	28	118	0	0	0	28	101	285	0	0	0	18	0	13	0	0	11	8	0	25	0	0	3	18	25	0	0	0	70	86	0	50	97	47	104	22	11	0	78	33	0	0	25	0	35	0	110	0	0	9	53	0	0	64	0	0	5	0	0	43	65	19	0	0	0	0	0	0	0	7	19	0	0	0	0	44	82	0	34	60	0	432	0	0	0	57	0	0	0	50	0	43	3	14	0	11	67	0	0	0	12	0	0	0	0	21	32	29	21	3	0	0	0	0	23	8	0	14	0	0	0	20	0	0	0	55	0	0	0	0	0	8	7	10	8	0	0	0	10	0	0	0	0	0	0	0	12	10	0	19	21	0	23	0	0	30	0	24	11	9	0	0	0	0	16	0	0	0	0	0	36	17	0	26	0	5	12	0	0	0	0	22	0	0	0	23	13	12	0	0	0	0	0	12	0	0	0	24	13	0	0	0	0	8	0	0	0	0	23	21	0	0	35	0	0	28	0	10	0	0	0	0	0	0	0	0	0	16	0	0	21	0	0	0	0	0	0	7	0	21	16	0	5	0	11	0	0	17	15	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0	0	0	0	2	14	0	0	5	30	0	0	0	0	0	4	0	0	0	0	0	0	6	7	0	13	0	0	3	0	0	0	0	12	5	0	0	9	10	0
Preg.Feces.PD.2115.week6.2	597	233	184	111	307	287	810	714	227	214	9	0	24	720	623	201	0	415	226	297	104	45	0	80	131	122	162	65	113	461	165	6	129	0	0	308	247	67	140	106	0	171	120	5	10	311	0	234	110	43	29	79	275	5	0	72	38	65	18	0	22	142	0	127	168	46	76	33	95	5	71	0	40	108	140	33	115	33	15	0	45	21	0	250	27	30	0	0	141	33	0	0	25	5	0	0	19	43	55	23	0	46	58	57	101	35	14	0	60	0	39	0	27	32	0	10	52	0	0	8	0	11	40	84	19	0	12	0	13	47	0	50	31	0	0	29	50	0	19	42	4	23	0	23	16	0	23	15	0	20	86	50	27	13	0	0	0	12	50	0	15	56	21	53	0	25	16	17	10	15	0	0	9	58	9	32	42	25	86	22	0	0	9	0	0	5	22	0	20	10	30	0	0	10	5	11	19	101	0	0	0	0	30	26	0	25	9	0	0	0	0	14	30	5	0	13	49	16	22	9	52	0	30	0	0	0	0	0	2	0	16	24	14	0	16	11	0	0	0	0	0	0	0	18	10	0	8	15	0	11	0	15	0	0	13	0	12	0	0	0	10	0	5	0	0	0	36	3	10	0	22	13	4	0	0	0	0	17	0	13	5	5	0	0	9	8	10	4	0	0	0	6	0	0	9	7	25	0	0	0	10	0	0	0	5	138	0	7	0	0	17	0	10	0	9	18	0	6	0	0	0	23	0	5	0	14	0	8	0	0	0	0	13	0	0	0	8	0	0	17	12	8	0	0	0	13	0	8	0	0	0	0	9	0	0	23	2	0	5	25	0	5	0	5	0	0	0	0	3	0	0	0	0	0	0	0	7	3	0	0	0	0	0	11	27	14	20	0	0	0	54	0	5	3	6	0	0	0	0	0
Preg.Feces.PD.2121.week6.2	283	261	26	0	515	401	962	305	145	170	210	53	14	294	38	512	810	187	387	600	16	0	385	232	36	106	274	426	84	125	75	84	260	294	0	17	223	78	41	165	80	572	62	49	8	275	51	470	57	32	19	21	207	30	0	144	125	35	117	44	132	117	0	38	7	99	33	17	0	31	50	31	39	72	34	75	50	29	0	0	8	115	0	46	27	60	0	29	61	24	0	30	9	16	6	84	0	0	0	31	55	103	19	0	47	51	33	0	22	121	29	0	9	16	10	69	0	77	30	3	0	61	27	121	35	0	0	39	0	21	33	18	0	0	42	18	18	308	38	8	29	61	0	8	373	0	34	40	0	7	0	49	12	13	147	0	0	25	6	0	0	13	64	41	0	0	20	10	0	10	138	25	10	0	22	4	20	51	5	13	0	42	19	0	30	12	10	18	0	0	9	18	16	0	8	7	9	8	13	27	11	0	0	0	20	9	42	18	0	34	0	23	0	0	14	16	0	0	0	15	19	13	0	29	0	10	0	0	6	3	0	6	12	0	14	0	0	17	0	0	0	0	0	9	9	0	0	20	0	8	7	0	0	0	26	27	6	10	0	15	22	7	0	0	17	48	0	0	36	0	3	0	21	14	50	0	10	0	0	0	11	10	0	0	8	0	0	19	0	0	0	0	0	44	0	12	0	4	8	58	0	11	0	4	11	0	0	5	0	29	0	0	0	0	8	0	6	4	5	0	0	0	0	13	2	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	2	12	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	0	0	4	2	0	5	0	0	16	0	3	0	0	0	0	0	9	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Preg.Feces.PD.2152.week6.2	486	355	0	182	458	609	579	143	251	402	5	0	238	0	2711	391	938	48	277	443	0	301	274	151	0	121	172	134	146	340	243	45	133	47	61	558	178	122	128	238	160	0	103	406	17	163	387	14	70	22	130	160	161	33	0	77	104	248	35	33	51	1176	0	109	894	70	110	292	385	0	24	29	817	3	136	290	116	180	88	74	0	41	46	73	192	71	40	0	0	54	0	130	27	57	45	12	0	102	0	25	48	140	34	47	161	50	13	0	27	39	10	0	62	16	26	17	0	0	0	7	0	36	25	47	0	100	53	0	90	29	112	27	35	0	0	51	15	0	50	30	17	69	47	41	0	0	47	36	0	84	43	49	0	14	21	0	80	18	66	0	0	19	0	0	20	2	10	19	0	3	210	0	46	0	0	64	32	3	41	21	0	0	15	0	0	0	35	0	75	21	13	27	22	43	16	10	21	49	68	0	0	196	21	18	31	15	12	84	0	0	0	9	20	34	0	12	0	0	20	0	0	0	34	35	14	0	0	0	14	15	0	2	11	0	14	8	50	0	263	0	0	0	0	15	7	0	3	18	0	8	0	0	0	16	43	7	8	17	0	0	0	44	0	145	11	0	0	0	0	92	3	8	6	0	0	0	0	0	8	0	7	11	0	0	0	6	6	16	0	23	36	6	0	0	21	10	19	0	0	0	0	7	0	0	19	0	18	4	23	0	0	0	29	0	0	0	0	0	3	0	0	0	0	14	0	0	2	12	0	0	0	0	35	7	0	0	6	7	0	11	27	13	17	0	15	0	0	11	8	55	18	0	0	21	0	5	0	0	5	8	0	0	6	0	2	0	0	0	5	8	0	0	0	0	0	0	0	5	3	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4
Preg.Feces.PD.2169.week6.2	552	17	122	246	178	490	1189	189	151	822	3	0	3	0	1998	0	0	119	157	153	79	0	37	48	52	63	134	525	78	243	228	7	34	286	47	768	129	8	498	66	12	28	179	0	43	383	70	87	72	42	410	0	85	6	0	62	8	99	0	0	24	191	57	102	603	62	67	246	62	22	57	0	148	79	87	45	205	60	0	21	50	14	0	122	197	47	33	0	0	52	0	179	25	97	0	90	0	64	96	0	0	0	32	329	266	40	8	0	88	0	39	0	20	55	0	8	0	105	0	12	0	22	44	33	9	90	31	0	36	46	88	37	13	17	95	106	38	0	0	61	4	0	0	50	0	7	19	0	0	0	45	15	0	7	0	0	97	11	55	0	0	0	13	29	0	27	16	25	41	17	0	0	63	0	0	31	40	0	134	31	0	0	10	0	0	0	22	0	21	38	18	22	0	68	0	45	27	303	62	0	236	0	55	20	0	39	9	38	85	0	0	4	25	0	24	0	0	21	0	0	0	4	17	0	16	3	119	0	25	7	5	0	11	0	16	4	61	0	233	15	0	18	0	0	11	14	23	9	0	8	0	5	37	74	14	0	22	3	0	0	14	34	0	0	0	0	0	0	13	0	19	10	3	8	0	0	0	0	17	30	0	7	33	0	12	2	10	4	0	0	0	0	0	0	0	11	0	0	0	0	0	12	0	0	10	0	22	0	0	0	0	0	0	0	17	2	0	8	0	0	0	9	0	7	0	12	20	12	0	0	0	0	0	15	0	0	6	3	0	13	14	5	0	0	0	4	0	6	0	0	0	0	3	13	0	0	0	0	7	3	0	12	0	3	4	34	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	10	0	0	0	10	0	0	2	0	0	0	8	0	0	18	0	0	0	0
Preg.Feces.PD.2186.week6.2	237	0	46	349	132	288	1264	233	134	192	2	0	209	0	1076	31	0	188	88	4	28	262	0	34	0	85	0	447	74	201	136	3	4	0	40	487	218	0	263	42	41	0	52	30	85	458	33	64	47	72	179	315	54	16	3	0	4	0	11	0	28	213	87	56	393	87	62	297	226	7	33	0	41	22	84	5	140	89	73	83	30	26	0	131	90	14	0	0	0	31	0	48	5	37	0	0	18	56	63	52	0	0	25	0	196	23	0	0	29	3	25	0	33	30	22	0	0	0	0	14	0	17	0	38	0	35	41	0	51	75	37	44	28	33	0	40	27	0	0	10	14	0	0	35	0	0	6	3	0	12	37	0	0	20	14	0	24	15	38	0	0	34	12	0	0	0	42	26	0	5	0	0	24	0	10	33	18	16	101	0	0	0	8	0	0	0	23	8	44	0	11	0	7	29	9	0	18	103	44	0	0	0	28	0	0	15	5	0	20	0	0	6	17	0	18	12	0	39	0	3	0	0	35	0	0	0	19	0	17	5	8	0	0	0	0	20	0	0	103	0	0	0	0	16	7	0	43	12	0	11	0	0	23	13	18	0	6	0	67	0	7	0	0	0	0	0	0	6	0	0	16	0	7	8	0	0	0	0	0	13	0	6	29	0	15	10	5	0	0	16	101	5	3	0	7	13	0	0	0	0	11	6	0	0	4	13	0	0	0	0	0	0	7	0	19	0	0	0	7	0	0	12	0	7	6	20	3	12	0	14	10	0	12	0	0	0	4	0	0	0	8	7	0	5	0	6	0	0	0	0	0	0	0	5	0	0	0	0	6	0	3	0	0	0	11	23	0	0	0	11	0	0	0	0	0	0	0	7	4	0	0	0	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
