feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__GGB30302_SGB43266	genotype	KO	0.258283333333333	0.109620012604953	24	24	0.0277867193209534	0.773690217680727
s__Adlercreutzia_caecimuris	genotype	KO	-0.00889333333333334	0.00411424582236753	24	24	0.0417982784510712	0.773690217680727
s__bacterium_D16_29	genotype	KO	0.0452541666666666	0.0180935345807207	24	20	0.0203172265207667	0.773690217680727
s__Bacteroidaceae_bacterium	genotype	KO	-0.276269166666667	0.112979281355448	24	24	0.0229397463815992	0.773690217680727
s__Bacteroides_acidifaciens	genotype	KO	0.112399166666667	0.0578895892769506	24	24	0.065098998313907	0.773690217680727
s__GGB24146_SGB35950	genotype	KO	-0.132786666666667	0.0672941985197773	24	24	0.0611629385117612	0.773690217680727
s__Duncaniella_freteri	genotype	KO	-0.174936666666667	0.0819484758333804	24	24	0.0441721428475279	0.773690217680727
s__Duncaniella_muris	genotype	KO	-1.09835416666667	0.554846536873251	24	24	0.0603996680316617	0.773690217680727
s__Prevotella_sp_PCJ2	genotype	KO	0.4716575	0.234979082491448	24	18	0.0571655718802839	0.773690217680727
s__GGB24102_SGB40205	genotype	KO	-1.00326583333333	0.458332377411882	24	22	0.0395016571065926	0.773690217680727
s__GGB27791_SGB40207	genotype	KO	0.131170833333333	0.0677182958073967	24	21	0.0656906788596844	0.773690217680727
s__GGB27866_SGB40300	genotype	KO	-0.193375	0.0777251854632913	24	24	0.0209105463460172	0.773690217680727
s__GGB27929_SGB40368	genotype	KO	-0.3792775	0.166258010682489	24	15	0.0325720549038747	0.773690217680727
s__GGB28384_SGB40964	genotype	KO	0.522080833333333	0.207295663041574	24	24	0.019558219760501	0.773690217680727
s__GGB28772_SGB41425	genotype	KO	0.00410166666666667	0.00176808440826434	24	6	0.0300205737431319	0.773690217680727
s__GGB30445_SGB43494	genotype	KO	0.0965541666666666	0.0358400229828556	24	24	0.0132548716569407	0.773690217680727
s__GGB30448_SGB43502	genotype	KO	0.125485833333333	0.0569310570360317	24	23	0.0382736102378168	0.773690217680727
s__GGB3171_SGB4185	genotype	KO	0.0810775	0.0404392403619057	24	24	0.0574296245345451	0.773690217680727
s__Adlercreutzia_mucosicola	genotype	KO	-0.00865833333333334	0.00577614341079065	24	24	0.148091970459775	0.783976945429123
s__Enterorhabdus_sp_P55	genotype	KO	-0.00284916666666667	0.00252796209645459	24	22	0.271860179327148	0.783976945429123
s__Bacteria_unclassified_SGB41586	genotype	KO	0.187394166666667	0.162051168941294	24	24	0.259925578945001	0.783976945429123
s__bacterium_D16_63	genotype	KO	-0.00777833333333333	0.00484804008613457	24	21	0.122880321155152	0.783976945429123
s__bacterium_D16_76	genotype	KO	0.0053875	0.00467008542926858	24	20	0.261035822626284	0.783976945429123
s__GGB27872_SGB40306	genotype	KO	-0.0608591666666667	0.0476859259374569	24	24	0.215176417169302	0.783976945429123
s__GGB27873_SGB40307	genotype	KO	0.0569691666666667	0.0431623365259726	24	24	0.200444694134876	0.783976945429123
s__GGB27890_SGB40324	genotype	KO	0.0681791666666667	0.0638765193710261	24	24	0.297383047819383	0.783976945429123
s__Duncaniella_dubosii	genotype	KO	-1.02593083333333	0.758162527451571	24	24	0.189740462262642	0.783976945429123
s__GGB14013_SGB21440	genotype	KO	0.231098333333333	0.170936265513058	24	24	0.190125947648396	0.783976945429123
s__Muribaculaceae_bacterium	genotype	KO	-2.36006	1.5781622922186	24	24	0.149005253522335	0.783976945429123
s__Paramuribaculum_intestinale	genotype	KO	-0.811121666666667	0.659817260459192	24	23	0.231940974647729	0.783976945429123
s__GGB28248_SGB40791	genotype	KO	-0.377268333333333	0.265707407396185	24	24	0.169663493101777	0.783976945429123
s__Alistipes_sp	genotype	KO	0.08087	0.0571464677706472	24	24	0.171028708925184	0.783976945429123
s__GGB27792_SGB40208	genotype	KO	-0.2403525	0.140509805081093	24	24	0.101226449510246	0.783976945429123
s__Rikenellaceae_bacterium	genotype	KO	0.210601666666666	0.175295845911096	24	24	0.242367859696943	0.783976945429123
s__Parabacteroides_distasonis	genotype	KO	0.141094166666667	0.0831378228049361	24	24	0.10377975335251	0.783976945429123
s__GGB14001_SGB21428	genotype	KO	-0.187815833333333	0.174929944949652	24	24	0.294609515869329	0.783976945429123
s__GGB23844_SGB35575	genotype	KO	0.208330833333333	0.177558647009846	24	24	0.253219663903612	0.783976945429123
s__GGB27861_SGB40295	genotype	KO	-0.0344016666666667	0.0276939253221257	24	24	0.227238476361359	0.783976945429123
s__Mucispirillum_schaedleri	genotype	KO	0.725625	0.470633889961376	24	24	0.137383647423067	0.783976945429123
s__Lactobacillus_intestinalis	genotype	KO	-0.0565116666666667	0.0482169908375595	24	24	0.253722117723131	0.783976945429123
s__Lactobacillus_taiwanensis	genotype	KO	-0.0105133333333333	0.00757061510083893	24	20	0.178823531805712	0.783976945429123
s__Ligilactobacillus_murinus	genotype	KO	-0.0974716666666667	0.0878534579605795	24	24	0.279204030778351	0.783976945429123
s__Limosilactobacillus_reuteri	genotype	KO	-0.0626866666666667	0.0389333809282607	24	24	0.121632165179567	0.783976945429123
s__GGB31439_SGB44769	genotype	KO	-0.092435	0.0764569489892016	24	9	0.239503567507622	0.783976945429123
s__GGB31701_SGB45057	genotype	KO	0.1693975	0.139097788681555	24	10	0.236189400625023	0.783976945429123
s__GGB28893_SGB41574	genotype	KO	0.0785341666666666	0.0619286147241648	24	24	0.218004449523064	0.783976945429123
s__GGB28330_SGB40904	genotype	KO	0.0489883333333333	0.02699428724169	24	24	0.0832196392931838	0.783976945429123
s__GGB28394_SGB40974	genotype	KO	0.018215	0.0171197395002247	24	24	0.298878758487342	0.783976945429123
s__GGB28431_SGB41014	genotype	KO	0.0314191666666667	0.0235908710983569	24	21	0.196548835036855	0.783976945429123
s__GGB28980_SGB41692	genotype	KO	0.0245658333333333	0.021674844463401	24	19	0.269255306926013	0.783976945429123
s__GGB29003_SGB41719	genotype	KO	0.0296441666666667	0.0253776648834535	24	23	0.255261739987393	0.783976945429123
s__GGB28416_SGB40998	genotype	KO	0.282704166666667	0.182347731383183	24	22	0.135322903608424	0.783976945429123
s__GGB28422_SGB41005	genotype	KO	0.08269	0.049513386691037	24	24	0.109077147735746	0.783976945429123
s__Clostridiaceae_unclassified_SGB41645	genotype	KO	0.0074525	0.00414878200302039	24	20	0.0861916365237492	0.783976945429123
s__GGB28988_SGB41701	genotype	KO	0.120665	0.0973695966739073	24	24	0.228312215062845	0.783976945429123
s__Clostridiales_bacterium	genotype	KO	0.0624933333333333	0.055696301500942	24	24	0.273943964653644	0.783976945429123
s__GGB25041_SGB36960	genotype	KO	0.4024725	0.333845371456407	24	23	0.240792018613655	0.783976945429123
s__GGB28766_SGB41417	genotype	KO	0.0424758333333333	0.026588192078772	24	24	0.124409312462089	0.783976945429123
s__GGB28790_SGB41443	genotype	KO	0.09322	0.0721732918078342	24	23	0.209896563297946	0.783976945429123
s__GGB28798_SGB41451	genotype	KO	0.00456666666666666	0.00300301454182024	24	6	0.142579994554282	0.783976945429123
s__GGB28841_SGB41505	genotype	KO	-0.00775416666666667	0.00696988048877294	24	10	0.277921857547786	0.783976945429123
s__GGB28868_SGB41542	genotype	KO	0.0262541666666666	0.0218922808034077	24	6	0.24319093202777	0.783976945429123
s__GGB28875_SGB41555	genotype	KO	0.0070175	0.00501460870277225	24	21	0.17563223481009	0.783976945429123
s__GGB28963_SGB41672	genotype	KO	0.0139283333333333	0.0126979144424141	24	21	0.284547239467971	0.783976945429123
s__GGB29005_SGB41723	genotype	KO	-0.4367475	0.403156360214623	24	14	0.290396923312438	0.783976945429123
s__GGB29006_SGB41724	genotype	KO	0.0843266666666667	0.0639382483052076	24	10	0.200774854991612	0.783976945429123
s__Lachnospiraceae_bacterium_28_4	genotype	KO	-0.02549	0.0233922682097087	24	11	0.287648156557383	0.783976945429123
s__Lachnospiraceae_bacterium_MD308	genotype	KO	-0.0242716666666667	0.0168480294497126	24	24	0.163772520497169	0.783976945429123
s__Romboutsia_ilealis	genotype	KO	0.0138991666666667	0.0105937434216779	24	7	0.20304051362916	0.783976945429123
s__GGB30091_SGB43003	genotype	KO	0.0821616666666666	0.066368457434023	24	24	0.228778994118396	0.783976945429123
s__GGB30444_SGB43493	genotype	KO	0.0052025	0.00334046966205821	24	7	0.133641764883626	0.783976945429123
s__GGB30457_SGB43521	genotype	KO	0.106131666666667	0.0779144953505593	24	18	0.186933752328168	0.783976945429123
s__GGB30457_SGB43523	genotype	KO	0.1133475	0.0937853991602314	24	24	0.239653205708359	0.783976945429123
s__GGB30461_SGB43530	genotype	KO	0.151073333333333	0.0854367605566784	24	24	0.0908860115149118	0.783976945429123
s__GGB30461_SGB43533	genotype	KO	0.0180641666666667	0.0107283678725888	24	17	0.106362674483117	0.783976945429123
s__GGB30466_SGB43541	genotype	KO	0.0301541666666666	0.0220713342916013	24	24	0.185675388819789	0.783976945429123
s__GGB30466_SGB43546	genotype	KO	0.020105	0.0189225541332095	24	23	0.299538361225278	0.783976945429123
s__Neglecta_sp_X4	genotype	KO	0.0244283333333333	0.0134114295396867	24	22	0.0821645363244748	0.783976945429123
s__Turicibacter_sp_TS3	genotype	KO	0.109933333333333	0.0597966020442245	24	22	0.0795355815257048	0.783976945429123
s__GGB30667_SGB43809	genotype	KO	0.0562858333333333	0.0419732185950732	24	12	0.193604545541535	0.783976945429123
s__GGB28317_SGB40889	genotype	KO	0.0382816666666667	0.0208830412867436	24	20	0.0803486227141833	0.783976945429123
s__GGB28404_SGB40986	genotype	KO	-0.119650833333333	0.11381999497451	24	22	0.304564208614138	0.787409905197527
s__GGB29004_SGB41721	genotype	KO	-0.011665	0.0112890781557247	24	5	0.312689637138853	0.791516805910798
s__GGB30408_SGB43438	genotype	KO	0.0661	0.0640958451670369	24	24	0.313619866492958	0.791516805910798
s__GGB30048_SGB42949	genotype	KO	0.000882499999999999	0.000867088293419914	24	6	0.319848176020265	0.797738980191721
s__Acutalibacter_muris	genotype	KO	0.0339258333333333	0.0342664653917196	24	21	0.332910063178488	0.802010606748176
s__GGB30466_SGB43544	genotype	KO	0.00329333333333333	0.00330217901352633	24	5	0.32945240109864	0.802010606748176
s__Faecalibaculum_rodentium	genotype	KO	0.055845	0.0559426990863026	24	18	0.32901029609351	0.802010606748176
s__Lactobacillus_johnsonii	genotype	KO	-0.130578333333333	0.134974278001758	24	24	0.343844247810401	0.817025971330732
s__GGB28437_SGB41020	genotype	KO	0.0295025	0.0306903360638923	24	24	0.346850648206443	0.817025971330732
s__GGB28956_SGB41665	genotype	KO	0.0120516666666667	0.0128621230152567	24	21	0.358937233384903	0.834006345696397
s__GGB28870_SGB41549	genotype	KO	0.00981416666666666	0.0105818456571917	24	23	0.363755268015019	0.834006345696397
s__GGB30454_SGB43516	genotype	KO	0.0420241666666666	0.0455146087097041	24	15	0.365861274291344	0.834006345696397
s__GGB28433_SGB41016	genotype	KO	0.0751625	0.0823139898095774	24	24	0.371078611287298	0.836900697796886
s__GGB30413_SGB43452	genotype	KO	0.0126341666666667	0.0148856661423843	24	20	0.405162927035869	0.873400941252927
s__bacterium_D16_54	genotype	KO	0.00389166666666666	0.00498796383377734	24	8	0.443580314108368	0.873400941252927
s__GGB31171_SGB44462	genotype	KO	-0.00178083333333333	0.00216902638110263	24	5	0.420438037367505	0.873400941252927
s__Bacteroides_caecimuris	genotype	KO	-0.0166716666666667	0.0203780089647808	24	24	0.422061546764497	0.873400941252927
s__GGB14022_SGB21449	genotype	KO	-0.375045833333333	0.486751722142847	24	24	0.449194804877654	0.873400941252927
s__GGB27776_SGB40190	genotype	KO	0.0173141666666666	0.0226724766882512	24	24	0.453179733668971	0.873400941252927
s__GGB31853_SGB45233	genotype	KO	0.0109575	0.0135443441898391	24	22	0.427172931279661	0.873400941252927
s__GGB42343_SGB59511	genotype	KO	0.0106833333333333	0.0129436019841168	24	15	0.418018970300095	0.873400941252927
s__GGB28881_SGB41561	genotype	KO	0.0033875	0.00398640143506837	24	14	0.404609433592558	0.873400941252927
s__GGB28945_SGB41650	genotype	KO	-0.00089	0.00115599027249411	24	11	0.449546141256128	0.873400941252927
s__GGB30142_SGB43067	genotype	KO	0.0122983333333333	0.0159342117562473	24	13	0.448433255115586	0.873400941252927
s__GGB28849_SGB41516	genotype	KO	-0.0319666666666667	0.0379628215638124	24	24	0.40881973456453	0.873400941252927
s__GGB28916_SGB41612	genotype	KO	0.047345	0.0617288809538382	24	16	0.451244615103617	0.873400941252927
s__Lachnospiraceae_bacterium_A2	genotype	KO	0.3011725	0.37702804807774	24	24	0.432942170423056	0.873400941252927
s__Roseburia_sp_1XD42_69	genotype	KO	0.0667874999999999	0.0768993799540062	24	13	0.394493940690022	0.873400941252927
s__GGB28308_SGB40878	genotype	KO	0.01728	0.0225245594133976	24	24	0.451139991982215	0.873400941252927
s__GGB30286_SGB43248	genotype	KO	0.0231691666666667	0.0328223281000383	24	24	0.487660904057686	0.875478611744776
s__Atopobiaceae_bacterium_FL090493	genotype	KO	0.0156283333333333	0.0248938318442318	24	24	0.536598140489211	0.875478611744776
s__GGB28955_SGB41663	genotype	KO	-0.00970499999999999	0.0145872046420031	24	22	0.512768054418626	0.875478611744776
s__GGB27892_SGB40326	genotype	KO	0.187636666666667	0.2588653493953	24	24	0.476187824666315	0.875478611744776
s__Muribaculum_gordoncarteri	genotype	KO	1.51693166666667	2.20016616146481	24	24	0.497740772440191	0.875478611744776
s__Muribaculum_intestinale	genotype	KO	0.145394166666666	0.230199599150779	24	24	0.534156456901343	0.875478611744776
s__GGB31851_SGB45231	genotype	KO	-0.0298825	0.0461684091667384	24	23	0.524167106353278	0.875478611744776
s__GGB28386_SGB40966	genotype	KO	0.00516416666666666	0.00702965703055076	24	22	0.470326084636026	0.875478611744776
s__GGB28929_SGB41629	genotype	KO	0.0509225	0.0735348627460355	24	24	0.495872008745139	0.875478611744776
s__GGB28934_SGB41635	genotype	KO	-0.013315	0.0196051050060432	24	24	0.504119805358291	0.875478611744776
s__GGB29531_SGB42317	genotype	KO	0.0208016666666667	0.0328046490280499	24	24	0.532549404829484	0.875478611744776
s__Candidatus_Arthromitus_sp_SFB_mouse	genotype	KO	-0.00243833333333333	0.00381356150978175	24	5	0.529174725036388	0.875478611744776
s__GGB28763_SGB41411	genotype	KO	0.00608833333333332	0.00970395000538805	24	7	0.536850092107646	0.875478611744776
s__GGB28846_SGB41513	genotype	KO	-0.0436783333333333	0.0677160184253983	24	24	0.525582855144994	0.875478611744776
s__GGB28861_SGB41531	genotype	KO	0.0129983333333333	0.0205906081457817	24	10	0.534365361306503	0.875478611744776
s__GGB28968_SGB41679	genotype	KO	0.0108983333333333	0.016812418307413	24	24	0.523544205593878	0.875478611744776
s__GGB30290_SGB43252	genotype	KO	-0.0170925	0.022729802393687	24	7	0.460029566736888	0.875478611744776
s__GGB30451_SGB43508	genotype	KO	0.0329825	0.0457356545035289	24	23	0.478408447005625	0.875478611744776
s__GGB30475_SGB63182	genotype	KO	0.0050775	0.00726253160687849	24	21	0.491792898995999	0.875478611744776
s__Pseudoflavonifractor_sp_60	genotype	KO	0.00219	0.00342573298209981	24	14	0.529242117814498	0.875478611744776
s__GGB28807_SGB41461	genotype	KO	-0.0320983333333333	0.0517979278072614	24	24	0.541831508716593	0.876857098075707
s__bacterium_1XD42_54	genotype	KO	-0.000896666666666667	0.00152636455757668	24	16	0.562881317375496	0.890528651370188
s__GGB29550_SGB42344	genotype	KO	0.0669283333333333	0.113804998704145	24	12	0.562456554556609	0.890528651370188
s__GGB30454_SGB43514	genotype	KO	-0.145195833333333	0.24560044776807	24	19	0.560420766838766	0.890528651370188
s__GGB30145_SGB43072	genotype	KO	0.00337333333333333	0.00589817404547433	24	18	0.57316856491407	0.893468645307228
s__GGB30448_SGB43504	genotype	KO	0.0119166666666667	0.0206662766458799	24	22	0.570047067501095	0.893468645307228
s__bacterium_1XD42_76	genotype	KO	-0.00763750000000001	0.0135789791752517	24	24	0.579495989729007	0.896738319872623
s__GGB27885_SGB40319	genotype	KO	-0.019185	0.0360023150384987	24	24	0.599457067062648	0.903534373546382
s__Muribaculaceae_bacterium_Isolate_110_HZI	genotype	KO	0.287330833333333	0.568000050929351	24	24	0.617983415868987	0.903534373546382
s__GGB28803_SGB41457	genotype	KO	0.0226541666666666	0.0446421814213652	24	22	0.616880990591014	0.903534373546382
s__GGB28873_SGB41553	genotype	KO	-0.0650674999999999	0.127064055325434	24	7	0.613694575668096	0.903534373546382
s__Lachnospiraceae_bacterium_A4	genotype	KO	-0.161405833333333	0.301562893860841	24	24	0.597859358669913	0.903534373546382
s__GGB30093_SGB43006	genotype	KO	0.0103416666666667	0.0196681895500518	24	24	0.604282794577118	0.903534373546382
s__GGB31184_SGB44478	genotype	KO	-0.00440749999999999	0.00819561307494701	24	19	0.596122545162405	0.903534373546382
s__Turicimonas_muris	genotype	KO	-0.0378116666666667	0.0730138597634073	24	24	0.609718086116342	0.903534373546382
s__GGB30301_SGB43265	genotype	KO	0.0169008333333333	0.0394770854764463	24	24	0.672727591291429	0.952228349629548
s__GGB30302_SGB43267	genotype	KO	0.0117375	0.02699874728552	24	22	0.667984038723077	0.952228349629548
s__Adlercreutzia_caecicola	genotype	KO	0.000194166666666667	0.000751800826232076	24	14	0.798600290021208	0.952228349629548
s__bacterium_0_1xD8_82	genotype	KO	0.000893333333333331	0.00249134511961922	24	14	0.72333133230317	0.952228349629548
s__bacterium_1XD42_1	genotype	KO	0.00889083333333333	0.0223284420794296	24	20	0.694332239227819	0.952228349629548
s__bacterium_1xD8_48	genotype	KO	0.0031075	0.00953525609384732	24	11	0.747582775690604	0.952228349629548
s__GGB28904_SGB41597	genotype	KO	0.016755	0.0468618509193876	24	24	0.724094601272462	0.952228349629548
s__GGB28948_SGB41654	genotype	KO	-0.00327083333333332	0.0133768867993236	24	24	0.80909901139881	0.952228349629548
s__Bacteroides_uniformis	genotype	KO	0.0331083333333333	0.0794061890080224	24	24	0.68075607937191	0.952228349629548
s__GGB24132_SGB35935	genotype	KO	0.0412991666666666	0.159336004258194	24	24	0.797894353875066	0.952228349629548
s__GGB14014_SGB21441	genotype	KO	0.446865	1.38522145623448	24	23	0.750048049524711	0.952228349629548
s__Odoribacter_sp_Z80	genotype	KO	0.0491274999999999	0.174742051911525	24	23	0.781227986367149	0.952228349629548
s__GGB27778_SGB40192	genotype	KO	0.416954999999999	1.13296626476596	24	24	0.7163750363977	0.952228349629548
s__Parabacteroides_goldsteinii	genotype	KO	0.00271083333333333	0.00774791750694627	24	24	0.729756839871874	0.952228349629548
s__GGB31109_SGB44380	genotype	KO	0.0331441666666667	0.0809011138764604	24	24	0.685997004900826	0.952228349629548
s__GGB27898_SGB40333	genotype	KO	0.3669825	0.91103345775522	24	24	0.69096830714234	0.952228349629548
s__GGB27851_SGB40285	genotype	KO	-0.5810775	1.86208761749995	24	13	0.757935552222214	0.952228349629548
s__GGB31438_SGB44768	genotype	KO	-0.174545	0.442103807074964	24	11	0.696788084437219	0.952228349629548
s__GGB28779_SGB41432	genotype	KO	0.0332641666666666	0.100096414861466	24	24	0.742792274019112	0.952228349629548
s__GGB29546_SGB42338	genotype	KO	0.012475	0.0321850827522266	24	21	0.702035305666551	0.952228349629548
s__Clostridiaceae_bacterium	genotype	KO	-0.0139466666666667	0.0486120786511216	24	24	0.77687577908198	0.952228349629548
s__GGB28989_SGB41702	genotype	KO	0.00832749999999997	0.0314703921529443	24	24	0.793770288863458	0.952228349629548
s__Emergencia_sp_1XD21_10	genotype	KO	-0.00686916666666666	0.0184519351230529	24	23	0.713251268242973	0.952228349629548
s__GGB28621_SGB41239	genotype	KO	0.00649249999999998	0.0170852789782652	24	24	0.707585208654746	0.952228349629548
s__GGB28769_SGB41421	genotype	KO	-0.000839166666666667	0.00337929265916147	24	11	0.806185401610934	0.952228349629548
s__GGB28836_SGB41496	genotype	KO	-0.0319058333333334	0.104966515936589	24	24	0.764013145066122	0.952228349629548
s__GGB28869_SGB41543	genotype	KO	0.0163008333333333	0.047109295137167	24	24	0.732613693692624	0.952228349629548
s__GGB28927_SGB41625	genotype	KO	0.00520499999999999	0.0204078554084876	24	24	0.801054536932541	0.952228349629548
s__Lachnospiraceae_bacterium	genotype	KO	0.0463966666666666	0.108246866917591	24	24	0.672368034786562	0.952228349629548
s__Lachnospiraceae_bacterium_WCA_9_b2	genotype	KO	-0.00647416666666665	0.0230177462649732	24	19	0.781132974271878	0.952228349629548
s__GGB30297_SGB43261	genotype	KO	0.00391416666666666	0.0120471142312383	24	24	0.748322469773026	0.952228349629548
s__GGB30461_SGB63209	genotype	KO	0.0032225	0.0133450345885349	24	16	0.811423019926508	0.952228349629548
s__Firmicutes_bacterium_ASF500	genotype	KO	0.000206666666666667	0.000826523004990047	24	6	0.804873858900814	0.952228349629548
s__Parasutterella_excrementihominis	genotype	KO	0.00717999999999998	0.0234553683739044	24	24	0.762396464129063	0.952228349629548
s__GGB28310_SGB40880	genotype	KO	-0.0295741666666668	0.123518154725961	24	24	0.81298741171202	0.952228349629548
s__Helicobacter_hepaticus	genotype	KO	0.0451499999999999	0.15695579747853	24	24	0.776298889704656	0.952228349629548
s__GGB24102_SGB35895	genotype	KO	0.128145833333333	0.559579976724234	24	24	0.820981574466074	0.954189934189483
s__Lachnospiraceae_unclassified_SGB41498	genotype	KO	0.0614549999999999	0.272515147871766	24	19	0.823663952625828	0.954189934189483
s__GGB24149_SGB35953	genotype	KO	-0.0121558333333334	0.0722948979921436	24	24	0.868007483448589	0.963766013236506
s__GGB29002_SGB41718	genotype	KO	0.02033	0.100040970485253	24	24	0.840833469577031	0.963766013236506
