feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Enterorhabdus_sp_P55	trimester	w3	0.232723333333333	0.0159749897516391	36	35	8.83119709343505e-13	3.74442756761646e-10
s__Adlercreutzia_caecicola	trimester	w3	0.0540091666666667	0.0052023315484101	36	23	6.07942731668088e-10	1.28883859113635e-07
s__Adlercreutzia_mucosicola	trimester	w3	0.553765	0.0622709001151092	36	36	9.75881867389833e-09	1.03443477943322e-06
s__GGB14013_SGB21440	trimester	w3	-1.0905125	0.12071053332314	36	36	7.41062141188165e-09	1.03443477943322e-06
s__Ligilactobacillus_murinus	trimester	w3	3.17965	0.3714975971273	36	35	1.88945578011143e-08	1.6022585015345e-06
s__bacterium_1XD42_54	trimester	w3	0.0684825	0.00954836174623883	36	27	3.2121970954105e-08	2.26995261409009e-06
s__Adlercreutzia_caecimuris	trimester	w3	0.379186666666666	0.0467636008451511	36	35	4.71601009962353e-08	2.85655468891482e-06
s__GGB24146_SGB35950	trimester	w6	-0.4378725	0.0649912570755037	36	35	1.12036018400006e-07	5.93790897520031e-06
s__Eggerthellaceae_bacterium	trimester	w3	0.01853	0.00249426547235682	36	15	1.97298749005336e-07	9.2949632864736e-06
s__Parabacteroides_distasonis	trimester	w3	-0.419059166666666	0.0644885289629328	36	36	2.24339780493926e-07	9.51200669294245e-06
s__GGB14013_SGB21440	trimester	w6	-0.867025833333333	0.12071053332314	36	36	3.36568668834592e-07	1.29731923259879e-05
s__Emergencia_sp_1XD21_10	trimester	w3	0.139098333333333	0.0235983909393044	36	29	1.31641318443291e-06	4.6513265849963e-05
s__Limosilactobacillus_reuteri	trimester	w3	2.10473916666667	0.335901140675702	36	35	2.63204928873889e-06	8.58452998788685e-05
s__GGB27872_SGB40306	trimester	w6	-0.303644166666666	0.0554775955589888	36	36	4.56215145458278e-06	0.00013816801548165
s__Lactobacillus_taiwanensis	trimester	w3	0.6947625	0.116616948447106	36	32	5.37958598959202e-06	0.000152062963972468
s__GGB27892_SGB40326	trimester	w3	-0.97375	0.182402152611055	36	35	6.79415578197964e-06	0.00018004512822246
s__GGB14014_SGB21441	trimester	w6	-5.88224916666666	1.02181353964852	36	34	8.62172925956858e-06	0.00021141627396718
s__Streptococcus_danieliae	trimester	w3	0.00732666666666667	0.00131613954675695	36	12	8.97521917785199e-06	0.00021141627396718
s__Muribaculaceae_bacterium_Isolate_013_NCI	trimester	w6	-1.24273166666667	0.221454184207468	36	36	1.21480558950138e-05	0.000271093457867676
s__GGB27892_SGB40326	trimester	w6	-0.919218333333333	0.182402152611055	36	35	1.6419500633037e-05	0.000348093413420385
s__GGB31184_SGB44478	trimester	w3	0.0634041666666667	0.0128066755563149	36	23	2.13184286898893e-05	0.000430429226881574
s__GGB27890_SGB40324	trimester	w3	-0.261344166666666	0.0491938909426632	36	36	2.48015883958717e-05	0.000477994249084073
s__Helicobacter_hepaticus	trimester	w6	1.68985166666667	0.327552926713885	36	36	3.58769655437444e-05	0.000661384060458591
s__GGB24146_SGB35950	trimester	w3	-0.306784166666667	0.0649912570755037	36	35	4.19482787439488e-05	0.000741086257809762
s__GGB28904_SGB41597	trimester	w3	0.407685	0.0808257420239192	36	36	4.73627205939791e-05	0.000803271741273885
s__GGB27872_SGB40306	trimester	w3	-0.256968333333333	0.0554775955589888	36	36	5.43388564244576e-05	0.000886141350921924
s__GGB28265_SGB40817	trimester	w6	1.43839416666667	0.296868692800719	36	35	7.66911583792455e-05	0.00112127762595862
s__GGB27898_SGB40333	trimester	w3	-4.64112916666667	0.956462375557526	36	36	7.53665198914276e-05	0.00112127762595862
s__GGB14001_SGB21428	trimester	w6	-0.582721666666667	0.128897413007758	36	36	7.51383365966257e-05	0.00112127762595862
s__GGB14014_SGB21441	trimester	w3	-4.92673999999999	1.02181353964852	36	34	8.1229899191704e-05	0.00114804924190942
s__GGB24149_SGB35953	trimester	w6	-0.336490833333333	0.0702506306408059	36	36	8.77403082330178e-05	0.00120006099002579
s__GGB27890_SGB40324	trimester	w6	-0.234924166666666	0.0491938909426632	36	36	9.08660188357958e-05	0.00120397474957429
s__GGB28927_SGB41625	trimester	w3	0.108134166666667	0.0227864439047362	36	36	9.77315775416774e-05	0.00125570269326276
s__GGB27776_SGB40190	trimester	w3	-0.166196666666667	0.038424100863762	36	36	0.00013247210975131	0.00165200513336928
s__GGB28956_SGB41665	trimester	w6	0.0573383333333333	0.0124592830778599	36	35	0.00013864939194897	0.00167963834818181
s__GGB28929_SGB41629	trimester	w6	-0.1856	0.040622035945256	36	22	0.000150315391369983	0.00177038127613535
s__Lachnospiraceae_bacterium	trimester	w3	0.613348333333333	0.136168034302446	36	36	0.000175992563684399	0.00201677964870771
s__GGB28888_SGB41569	trimester	w6	0.3171175	0.0753463564316501	36	36	0.000185319298104724	0.00206777322095797
s__GGB27791_SGB40207	trimester	w3	-0.225670833333333	0.0510448927596121	36	30	0.000215717158406255	0.00226764714572693
s__GGB27861_SGB40295	trimester	w3	0.241430833333333	0.0546925548923189	36	36	0.000219277200412274	0.00226764714572693
s__GGB28929_SGB41629	trimester	w3	-0.180046666666667	0.0406220359452559	36	22	0.000209886968094536	0.00226764714572693
s__Schaedlerella_arabinosiphila	trimester	w3	0.0991891666666667	0.0226677818404899	36	25	0.000240935815342244	0.00243230442155027
s__Adlercreutzia_muris	trimester	w3	0.06166	0.0150078948584006	36	16	0.00024701074584812	0.00243564084278146
