feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Muribaculaceae_bacterium_Isolate_013_NCI	trimester	w3	-1.45366416666667	0.120257784975654	36	27	3.45521963375942e-11	1.47883400324903e-08
s__GGB27872_SGB40306	trimester	w6	-0.434118333333333	0.0387114702444794	36	35	1.44299340230898e-10	3.06743881960361e-08
s__GGB27898_SGB40333	trimester	w3	-6.80321333333334	0.61966490774195	36	36	2.1500739389745e-10	3.06743881960361e-08
s__GGB27872_SGB40306	trimester	w3	-0.416800833333333	0.0387114702444794	36	35	3.09544859745004e-10	3.31212999927154e-08
s__Adlercreutzia_muris	trimester	w3	0.0423191666666667	0.004938923408601	36	15	6.67160718229274e-10	5.26942787648155e-08
s__Muribaculaceae_bacterium_Isolate_013_NCI	trimester	w6	-1.23532833333333	0.120257784975654	36	27	7.38704842497413e-10	5.26942787648155e-08
s__GGB24146_SGB35950	trimester	w3	-0.608567500000001	0.065972767642287	36	36	5.13438163602092e-09	2.44168371135217e-07
s__GGB14001_SGB21428	trimester	w3	-0.870395833333334	0.110808391168951	36	35	4.69551156054082e-09	2.44168371135217e-07
s__GGB14001_SGB21428	trimester	w6	-0.87568	0.110808391168951	36	35	4.11347763946929e-09	2.44168371135217e-07
s__Adlercreutzia_mucosicola	trimester	w3	0.494288333333333	0.0557050256161474	36	36	1.01391656541474e-08	3.9953633864026e-07
s__GGB24146_SGB35950	trimester	w6	-0.584970833333334	0.065972767642287	36	36	1.0268457301502e-08	3.9953633864026e-07
s__Enterorhabdus_sp_P55	trimester	w3	0.184108333333333	0.0215101952390986	36	34	1.8890246930886e-08	6.73752140534933e-07
s__GGB14013_SGB21440	trimester	w3	-0.981111666666666	0.125395226866502	36	35	8.52048146198576e-08	2.60483290409279e-06
s__GGB27898_SGB40333	trimester	w6	-4.8537875	0.61966490774195	36	36	8.36516828250136e-08	2.60483290409279e-06
s__GGB27776_SGB40190	trimester	w3	-0.2459	0.0317924778050904	36	36	1.02907926149451e-07	2.93630615946432e-06
s__Adlercreutzia_caecimuris	trimester	w3	0.400550833333334	0.0542449889749421	36	36	2.17354423842739e-07	5.5743633055359e-06
s__GGB14014_SGB21441	trimester	w3	-6.38832416666667	0.866150269653289	36	21	2.21411626621753e-07	5.5743633055359e-06
s__GGB27892_SGB40326	trimester	w3	-0.8823725	0.125664212033246	36	34	4.79249141166413e-07	1.13954795788458e-05
s__GGB24132_SGB35935	trimester	w3	-0.9536325	0.155610267617413	36	36	6.61621887703927e-07	1.49039035756463e-05
s__GGB14014_SGB21441	trimester	w6	-5.87909666666667	0.866150269653289	36	21	8.05925512461797e-07	1.72468059666825e-05
s__Parabacteroides_distasonis	trimester	w3	-0.3390925	0.0508345540312365	36	35	1.04806991346311e-06	2.13606629982005e-05
s__GGB24149_SGB35953	trimester	w6	-0.4283275	0.064900426257442	36	36	1.22938113335034e-06	2.39170511397247e-05
s__Rikenellaceae_bacterium	trimester	w3	-0.719566666666667	0.113014287430753	36	36	2.08712236771801e-06	3.88386249297091e-05
s__GGB27892_SGB40326	trimester	w6	-0.7920425	0.125664212033246	36	34	2.41801315620328e-06	4.31212346189584e-05
s__Eggerthellaceae_bacterium	trimester	w3	0.0178408333333333	0.00315852620609879	36	14	2.71911136897294e-06	4.65511866368167e-05
s__GGB27776_SGB40190	trimester	w6	-0.197084166666667	0.0317924778050904	36	36	3.07090328160891e-06	5.05517924818697e-05
s__GGB14013_SGB21440	trimester	w6	-0.753376666666666	0.125395226866502	36	35	4.78304882796518e-06	7.58201814210776e-05
s__GGB24149_SGB35953	trimester	w3	-0.382401666666667	0.064900426257442	36	36	6.27080131760124e-06	9.58536772833333e-05
s__Bacteroides_uniformis	trimester	w3	-0.288574166666667	0.0496203454072009	36	30	7.50408741421128e-06	0.00011074997976836
s__Streptococcus_danieliae	trimester	w3	0.00422416666666667	0.000752347450868562	36	9	7.9534773530251e-06	0.000113469610236491
s__Bacteroides_acidifaciens	trimester	w3	-0.215173333333333	0.0377049131446515	36	36	9.69941730279013e-06	0.000133914535664328
s__Bacteroides_uniformis	trimester	w6	-0.27628	0.0496203454072009	36	30	1.3479666085556e-05	0.000180290533894311
s__GGB28772_SGB41425	trimester	w3	0.0179058333333333	0.00355015639030493	36	17	1.62194178020754e-05	0.000210360933917826
s__Muribaculum_gordoncarteri	trimester	w3	-4.68064833333334	0.862485156544423	36	33	1.88597003577949e-05	0.000237410345680477
s__Adlercreutzia_caecicola	trimester	w3	0.0285675	0.00531887225842161	36	24	2.15606011589157e-05	0.000256331591555998
s__GGB28766_SGB41417	trimester	w3	0.165505	0.0308101414519266	36	36	2.15193046521361e-05	0.000256331591555998
s__GGB28956_SGB41665	trimester	w6	0.101290833333333	0.0191582694891353	36	34	2.63653637553411e-05	0.000296957254928578
s__Helicobacter_hepaticus	trimester	w6	2.062305	0.390004479428961	36	36	2.63119094234493e-05	0.000296957254928578
s__Limosilactobacillus_reuteri	trimester	w3	1.89976083333333	0.362511792302888	36	36	2.94824690959137e-05	0.000323551199309002
s__GGB27893_SGB40327	trimester	w3	-0.100411666666667	0.0194371850332349	36	36	3.52819085602609e-05	0.000377516421594792
s__Dorea_sp_5_2	trimester	w6	0.241315	0.0470956325577604	36	32	3.90449678367195e-05	0.000400728662459939
s__GGB28849_SGB41516	trimester	w3	0.597135	0.11682785365184	36	35	4.0260122630321e-05	0.000400728662459939
s__Turicimonas_muris	trimester	w6	-0.263725	0.0515962979291483	36	31	4.02525393838188e-05	0.000400728662459939
s__Lachnospiraceae_bacterium	trimester	w3	1.64993833333333	0.350492713725137	36	36	4.35644908640081e-05	0.000423763683858988
s__GGB27791_SGB40207	trimester	w3	-0.1266725	0.0252279260756856	36	34	5.00580393999877e-05	0.000476107574737661
s__Muribaculum_intestinale	trimester	w3	-0.9340225	0.202360421155136	36	36	5.69874157804972e-05	0.000530230738131583
s__GGB30448_SGB43504	trimester	w6	0.384875	0.0776938572381448	36	34	5.8932750267322e-05	0.000536664193923699
s__Duncaniella_muris	trimester	w3	-2.85438583333333	0.581635687898654	36	36	6.5924420950387e-05	0.000587826086807617
s__Turicimonas_muris	trimester	w3	-0.251015	0.0515962979291483	36	31	7.3096277213055e-05	0.000638473605044644
s__GGB28888_SGB41569	trimester	w6	0.3553175	0.0732887308954968	36	36	7.61401831957637e-05	0.000638980360936998
s__Muribaculum_gordoncarteri	trimester	w6	-4.18694833333334	0.862485156544423	36	33	7.49782817739719e-05	0.000638980360936998
s__GGB27893_SGB40327	trimester	w6	-0.0940191666666665	0.0194371850332349	36	36	7.82238961543638e-05	0.000643842837578225
s__GGB28980_SGB41692	trimester	w3	0.2544025	0.0527361930021618	36	26	8.0738825910488e-05	0.000652004103579035
s__GGB27851_SGB40285	trimester	w6	-4.46225416666667	0.937699560920112	36	9	9.46485424793747e-05	0.000750177336688377
s__GGB27851_SGB40285	trimester	w3	-4.42634666666666	0.937699560920112	36	9	0.00010389770726059	0.00080851306740968
s__GGB28893_SGB41574	trimester	w6	0.31766	0.0675368528359426	36	36	0.000108268557077111	0.000827481114803632
s__GGB28904_SGB41597	trimester	w3	0.9724175	0.208343858561663	36	36	0.000118235641461594	0.000887804465711615
s__GGB28330_SGB40904	trimester	w3	0.114546666666667	0.0264927493312723	36	36	0.000133095331209072	0.000982151754439359
s__Muribaculaceae_bacterium	trimester	w6	-5.9591575	1.2993544203486	36	36	0.000144102970367788	0.0010453571409731
s__Muribaculaceae_bacterium_Isolate_110_HZI	trimester	w3	-2.60129916666667	0.606631013065815	36	34	0.000147494507968837	0.00105212749017771
s__Clostridiaceae_bacterium	trimester	w6	0.398891666666666	0.0882713380393637	36	36	0.000169838241198619	0.0011916519218526
s__GGB28836_SGB41496	trimester	w3	0.793879166666667	0.187848717485264	36	35	0.0001762972463732	0.00121701970076983
s__GGB29002_SGB41718	trimester	w3	0.443590833333333	0.0997430382752932	36	36	0.000202287990291433	0.00137427396578942
s__Ligilactobacillus_murinus	trimester	w3	1.41794083333333	0.320631167638552	36	33	0.000215024801242732	0.00143797835831077
s__bacterium_1XD42_76	trimester	w3	0.0777866666666667	0.0177683369654335	36	36	0.000239734237955432	0.00154171866508987
s__GGB24132_SGB35935	trimester	w6	-0.640589166666667	0.155610267617413	36	36	0.000241343809722012	0.00154171866508987
s__GGB28851_SGB41518	trimester	w6	1.80218666666667	0.410782365087296	36	36	0.000234300716528434	0.00154171866508987
s__GGB29003_SGB41719	trimester	w3	0.307025	0.0705182229597778	36	35	0.000254204571802147	0.00159999348134293
s__GGB24102_SGB40205	trimester	w6	1.99579	0.461100091757406	36	36	0.000270560004668391	0.00167825626084161
s__Parabacteroides_distasonis	trimester	w6	-0.218329166666667	0.0508345540312365	36	35	0.00029358784115336	0.00179507994305197
s__Rikenellaceae_bacterium	trimester	w6	-0.481870833333333	0.113014287430753	36	36	0.000316763088270737	0.00190950143351937
s__GGB24102_SGB35895	trimester	w6	3.942495	0.930272594950356	36	36	0.000337378688964486	0.00200552887328889
s__Parabacteroides_goldsteinii	trimester	w3	-0.02397	0.00570207521897874	36	24	0.00036683939034401	0.00215078437078406
s__GGB28956_SGB41665	trimester	w3	0.0802424999999999	0.0191582694891353	36	34	0.000380839414914673	0.00220269283220919
s__GGB28903_SGB41594	trimester	w6	1.32259666666667	0.317898373026746	36	36	0.000407757217791261	0.00232693452286213
s__GGB30303_SGB43268	trimester	w6	0.116259166666667	0.0279897785689004	36	36	0.000414594436587452	0.00233482130078197
s__GGB27890_SGB40324	trimester	w3	-0.292678333333333	0.0707029801835302	36	36	0.000429098984891543	0.00238512163030624
s__GGB28428_SGB41011	trimester	w6	0.1774525	0.0433304269606108	36	32	0.000478007302766882	0.00262291186646443
s__Mucispirillum_schaedleri	trimester	w6	1.7334475	0.425275344965176	36	36	0.000501027619171707	0.00268049776256863
s__GGB28431_SGB41014	trimester	w6	0.191284166666667	0.0468870355453871	36	34	0.000496618036711407	0.00268049776256863
s__Alistipes_sp	trimester	w3	-0.14662	0.0365277557391586	36	34	0.000583000918619967	0.00308054806381909
s__GGB28875_SGB41555	trimester	w3	0.1393975	0.0348315264742349	36	31	0.000600138234349793	0.0031324288329477
s__GGB28955_SGB41663	trimester	w6	0.261705833333333	0.0655452021270489	36	36	0.000613891307156562	0.00316224923125482
s__GGB28870_SGB41546	trimester	w3	0.387261666666667	0.0972184096362955	36	36	0.00062801678658098	0.00316224923125482
s__GGB28870_SGB41549	trimester	w3	0.118794166666667	0.0297873088323618	36	30	0.000620923479771746	0.00316224923125482
s__Acetatifactor_muris	trimester	w3	0.018795	0.00476171498749505	36	31	0.000686097529112846	0.00341453188907323
s__GGB28927_SGB41625	trimester	w3	0.344475	0.0875538632013891	36	36	0.000707596757846898	0.00348105071676405
s__bacterium_0_1xD8_82	trimester	w3	0.01516	0.00407293975102606	36	26	0.000734914129425879	0.00357435508402587
s__Lactobacillus_johnsonii	trimester	w3	2.91567333333333	0.768632949679705	36	36	0.000997111923851231	0.00479510003829581
s__GGB28265_SGB40817	trimester	w6	0.650435	0.172229882075365	36	33	0.00103851376756507	0.004938709916865
s__Duncaniella_muris	trimester	w6	-2.16073333333333	0.581635687898654	36	36	0.00120573484273294	0.0056709287108758
s__GGB28881_SGB41561	trimester	w3	0.0230808333333333	0.00625122821195445	36	29	0.00127386007027412	0.00592621858779698
s__GGB29531_SGB42317	trimester	w6	0.0932333333333334	0.0253513378327809	36	36	0.00131949675412252	0.00607252269639179
s__GGB30091_SGB43003	trimester	w3	0.251183333333333	0.0685020481707838	36	36	0.00135454968092078	0.0061675240790861
s__GGB28949_SGB41655	trimester	w6	0.289784166666667	0.0796145599076179	36	36	0.00144568057858351	0.00651317144877623
s__Schaedlerella_arabinosiphila	trimester	w3	0.171796666666667	0.0472907505411452	36	29	0.00147053681700701	0.00655614330915625
s__GGB29003_SGB41719	trimester	w6	0.2550975	0.0705182229597778	36	35	0.0015258485482119	0.00673261008901745
s__GGB28934_SGB41635	trimester	w6	0.159394166666667	0.046371975096697	36	36	0.00160742889790592	0.0070201996765687
s__Alistipes_sp	trimester	w6	-0.131105833333333	0.0365277557391586	36	34	0.00163339069271256	0.00706152743920176
s__GGB28790_SGB41443	trimester	w6	2.122415	0.59500106934263	36	34	0.00172279533247022	0.00737356402297255
s__GGB28394_SGB40974	trimester	w6	0.109334166666667	0.0308837627543064	36	36	0.00183791498240272	0.00778839220265709
s__GGB28807_SGB41461	trimester	w6	0.546315833333333	0.155894874851841	36	35	0.0020029100716015	0.0084043677514259
s__GGB31438_SGB44768	trimester	w6	-0.916575833333333	0.264239932720602	36	10	0.0021816804549366	0.00906562363798897
s__GGB28881_SGB41561	trimester	w6	0.0212666666666667	0.00625122821195445	36	29	0.00255907982710398	0.0105315977500049
s__GGB28888_SGB41569	trimester	w3	0.248474166666667	0.0732887308954968	36	36	0.00263122382178074	0.010654572178776
s__GGB28869_SGB41543	trimester	w3	0.339785	0.100256738770766	36	36	0.00263874918446322	0.010654572178776
s__Clostridiaceae_bacterium	trimester	w3	0.297800833333333	0.0882713380393637	36	36	0.00273775731886063	0.0109510292754425
s__GGB30048_SGB42949	trimester	w3	0.0455483333333333	0.0135258066088029	36	19	0.0027783973243865	0.0110106856929391
s__GGB28929_SGB41629	trimester	w3	-0.145168333333333	0.0434224166581437	36	21	0.0029444991691924	0.0115120984153317
s__GGB28416_SGB40998	trimester	w6	1.17401083333333	0.351385150028748	36	30	0.00295871688244505	0.0115120984153317
s__GGB28948_SGB41654	trimester	w6	0.0812650000000001	0.0244343942880227	36	36	0.00306793794742593	0.0118295264999847
s__GGB30466_SGB43546	trimester	w6	0.141261666666667	0.0436726804098543	36	35	0.00380864054700516	0.0145544478046269
s__bacterium_D16_76	trimester	w3	0.01959	0.00633548834946941	36	28	0.00402442360812992	0.0152429495953948
s__Lachnospiraceae_bacterium_MD308	trimester	w3	0.334950833333333	0.108947324596727	36	30	0.00421368850400256	0.0158198129799394
s__GGB30475_SGB63182	trimester	w3	0.0266841666666667	0.00869991081991136	36	29	0.00429375425303812	0.0159802332200027
s__GGB14022_SGB21449	trimester	w3	-2.21167166666667	0.69726195571636	36	35	0.00441418646906588	0.0162868259375879
s__GGB28929_SGB41629	trimester	w6	-0.137191666666667	0.0434224166581437	36	21	0.00454589233749492	0.0166294181234857
s__GGB28428_SGB41011	trimester	w3	0.136460833333333	0.0433304269606108	36	32	0.00465518553580498	0.016884910248513
s__GGB30408_SGB43438	trimester	w3	0.451789166666667	0.144395065575574	36	36	0.00488406049266839	0.017275850337703
s__GGB30408_SGB43438	trimester	w6	0.452013333333333	0.144395065575574	36	36	0.00486632521727483	0.017275850337703
s__Lachnospiraceae_bacterium_A2	trimester	w3	4.41865583333334	1.41069489332068	36	33	0.00484514056675051	0.017275850337703
s__Lactobacillus_intestinalis	trimester	w3	0.848606666666667	0.275125779071042	36	32	0.00541865656186634	0.0190097131842524
s__bacterium_1XD42_54	trimester	w3	0.0197283333333333	0.0064318628378973	36	25	0.00563667792228208	0.0195683170311229
s__GGB27861_SGB40295	trimester	w3	0.143265	0.0467415467936226	36	36	0.00566932549499821	0.0195683170311229
s__Paramuribaculum_intestinale	trimester	w6	-1.92298416666667	0.640279411511385	36	35	0.00654358858210081	0.0224052473051132
s__GGB3171_SGB4185	trimester	w3	-0.0905366666666666	0.0312358438684105	36	31	0.00661696964050492	0.0224766905248897
s__GGB30145_SGB43072	trimester	w3	0.0936575	0.0312848138542646	36	20	0.00669151027564096	0.0225509165194829
s__Bacteroides_acidifaciens	trimester	w6	-0.112748333333333	0.0377049131446515	36	36	0.00674475260539688	0.0225527665242958
s__GGB28989_SGB41702	trimester	w3	0.2338025	0.081393932934849	36	33	0.00706645770927684	0.0234453015470581
s__Duncaniella_dubosii	trimester	w6	-1.97866833333333	0.668112470113525	36	32	0.00720758558509965	0.0237295894647896
s__Bacteria_unclassified_SGB41586	trimester	w3	1.52249666666667	0.517481066872082	36	36	0.0075383580422326	0.0246291392524851
s__GGB28968_SGB41679	trimester	w6	0.0549658333333333	0.0187250709159035	36	36	0.00765592061627727	0.024823742604293
s__GGB31438_SGB44768	trimester	w3	-0.766748333333333	0.264239932720602	36	10	0.00827281436449965	0.0264236160298944
s__GGB28968_SGB41679	trimester	w3	0.05437	0.0187250709159035	36	36	0.00823716137916043	0.0264236160298944
s__bacterium_1XD42_76	trimester	w6	0.0509125	0.0177683369654335	36	36	0.00899162740006826	0.0285067890905868
s__bacterium_D16_63	trimester	w3	0.2171575	0.0763958749957028	36	30	0.00947281075402395	0.0298114926670754
s__Bacteroides_caecimuris	trimester	w3	-0.0602133333333333	0.0213216691793743	36	36	0.00988035869775686	0.0308671060046711
s__Lactobacillus_taiwanensis	trimester	w3	0.790141666666666	0.280320316165078	36	30	0.0100007071027776	0.0310166857970205
s__GGB31851_SGB45231	trimester	w6	0.225061666666667	0.0800763682393418	36	34	0.0101875188732258	0.0313687631492133
s__GGB29550_SGB42344	trimester	w6	-0.153085	0.0563393045842363	36	8	0.0104039060637534	0.0318062271091888
s__GGB30297_SGB43261	trimester	w3	0.05297	0.018949142348019	36	36	0.0105456573656873	0.0320109315781146
s__Candidatus_Arthromitus_sp_SFB_mouse	trimester	w3	0.423491666666667	0.152037921295548	36	14	0.0107861923559577	0.0325104952700698
s__GGB28766_SGB41417	trimester	w6	0.0847249999999999	0.0308101414519266	36	36	0.0116889469264221	0.0345025467897149
s__GGB28926_SGB41623	trimester	w3	0.0540166666666666	0.0201995223309609	36	35	0.0115609595262189	0.0345025467897149
s__GGB29005_SGB41723	trimester	w6	5.37604833333334	1.95431411962379	36	28	0.0116635930172652	0.0345025467897149
s__Faecalibaculum_rodentium	trimester	w3	-0.0622691666666667	0.023570481634054	36	17	0.012507304664969	0.036665249291827
s__GGB28836_SGB41496	trimester	w6	0.490954166666667	0.187848717485264	36	35	0.013393044765859	0.038994715372705
s__GGB30301_SGB43265	trimester	w6	0.100543333333333	0.0375442392576478	36	36	0.0137396702649804	0.0397336410365649
s__GGB28386_SGB40966	trimester	w6	0.0247016666666667	0.00951588558417862	36	34	0.0139777168072576	0.0401507570033977
s__GGB28963_SGB41672	trimester	w6	0.123439166666667	0.0476342134941055	36	34	0.0141277221698955	0.0401553955241524
s__GGB29550_SGB42344	trimester	w3	-0.1459325	0.0563393045842363	36	8	0.0141669736545491	0.0401553955241524
s__GGB28807_SGB41461	trimester	w3	0.4140525	0.155894874851841	36	35	0.0144328218455779	0.0406397878283378
s__GGB30093_SGB43006	trimester	w3	0.0590216666666668	0.0230337788350987	36	36	0.015145189429778	0.0423669351368954
s__Parabacteroides_goldsteinii	trimester	w6	-0.0149641666666667	0.00570207521897874	36	24	0.0154863243038121	0.0430399142989063
s__GGB28384_SGB40964	trimester	w6	0.525749166666666	0.200840825867444	36	36	0.0157149197661935	0.0433934558705214
s__GGB23844_SGB35575	trimester	w3	-0.580498333333334	0.222299801491622	36	36	0.0159400775463451	0.0437330332681776
s__GGB28945_SGB41650	trimester	w6	0.0171141666666667	0.00658220420204524	36	26	0.016343142302463	0.0445532796525744
s__GGB28948_SGB41654	trimester	w3	0.0632666666666667	0.0244343942880227	36	36	0.0167392797714994	0.0451328957167204
s__Muribaculum_intestinale	trimester	w6	-0.509350833333334	0.202360421155136	36	36	0.0168721105483067	0.0451328957167204
s__GGB27792_SGB40208	trimester	w6	-0.585425833333336	0.226264255674366	36	36	0.0168094648438158	0.0451328957167204
s__Prevotella_sp_PCJ2	trimester	w6	0.3400875	0.13373418925992	36	24	0.0185492577537923	0.0487928208893316
s__Dorea_sp_5_2	trimester	w3	0.119710833333333	0.0470956325577604	36	32	0.0185823126284137	0.0487928208893316
s__GGB30466_SGB43541	trimester	w3	0.0657708333333333	0.0258261321671127	36	36	0.0183868629399951	0.0487928208893316
s__GGB30457_SGB43523	trimester	w3	0.2548825	0.100762999802655	36	36	0.0190926784894688	0.0495252508696525
