feature	s__GGB30286_SGB43248	s__GGB30301_SGB43265	s__GGB30302_SGB43266	s__GGB30302_SGB43267	s__GGB30303_SGB43268	s__GGB30413_SGB43452	s__Atopobiaceae_bacterium_FL090493	s__Adlercreutzia_caecicola	s__Adlercreutzia_caecimuris	s__Adlercreutzia_mucosicola	s__Adlercreutzia_muris	s__Eggerthellaceae_bacterium	s__Enterorhabdus_sp_P55	s__GGB30048_SGB42949	s__Bacteria_unclassified_SGB41586	s__bacterium_0_1xD8_82	s__bacterium_1XD42_1	s__bacterium_1XD42_54	s__bacterium_1XD42_76	s__bacterium_1xD8_48	s__bacterium_D16_29	s__bacterium_D16_54	s__bacterium_D16_63	s__bacterium_D16_76	s__GGB31171_SGB44462	s__GGB28955_SGB41663	s__GGB28887_SGB41568	s__GGB28888_SGB41569	s__GGB28904_SGB41597	s__GGB28948_SGB41654	s__Bacteroidaceae_bacterium	s__Bacteroides_acidifaciens	s__Bacteroides_caecimuris	s__Bacteroides_uniformis	s__GGB28265_SGB40817	s__GGB24132_SGB35935	s__GGB24146_SGB35950	s__GGB24149_SGB35953	s__GGB27872_SGB40306	s__GGB27873_SGB40307	s__GGB27885_SGB40319	s__GGB27890_SGB40324	s__GGB27892_SGB40326	s__GGB27893_SGB40327	s__Duncaniella_dubosii	s__Duncaniella_freteri	s__Duncaniella_muris	s__GGB14013_SGB21440	s__GGB14014_SGB21441	s__GGB14022_SGB21449	s__Muribaculaceae_bacterium	s__Muribaculaceae_bacterium_Isolate_013_NCI	s__Muribaculaceae_bacterium_Isolate_110_HZI	s__Muribaculum_gordoncarteri	s__Muribaculum_intestinale	s__Paramuribaculum_intestinale	s__GGB28248_SGB40791	s__Odoribacter_sp_Z80	s__Prevotella_sp_PCJ2	s__Alistipes_sp	s__GGB24102_SGB35895	s__GGB24102_SGB40205	s__GGB27776_SGB40190	s__GGB27778_SGB40192	s__GGB27791_SGB40207	s__GGB27792_SGB40208	s__Rikenellaceae_bacterium	s__Parabacteroides_distasonis	s__Parabacteroides_goldsteinii	s__GGB31109_SGB44380	s__GGB27898_SGB40333	s__GGB14001_SGB21428	s__GGB27851_SGB40285	s__GGB23844_SGB35575	s__GGB27861_SGB40295	s__GGB27866_SGB40300	s__GGB27929_SGB40368	s__Mucispirillum_schaedleri	s__Lactobacillus_intestinalis	s__Lactobacillus_johnsonii	s__Lactobacillus_taiwanensis	s__Ligilactobacillus_murinus	s__Limosilactobacillus_reuteri	s__Streptococcus_danieliae	s__GGB31438_SGB44768	s__GGB31439_SGB44769	s__GGB31701_SGB45057	s__GGB31851_SGB45231	s__GGB31853_SGB45233	s__GGB42343_SGB59511	s__GGB42344_SGB59512	s__GGB28956_SGB41665	s__GGB28959_SGB41668	s__GGB28893_SGB41574	s__GGB28903_SGB41594	s__GGB28330_SGB40904	s__GGB28384_SGB40964	s__GGB28386_SGB40966	s__GGB28393_SGB40973	s__GGB28394_SGB40974	s__GGB28428_SGB41011	s__GGB28430_SGB41013	s__GGB28431_SGB41014	s__GGB28433_SGB41016	s__GGB28437_SGB41020	s__GGB28779_SGB41432	s__GGB28881_SGB41561	s__GGB28929_SGB41629	s__GGB28934_SGB41635	s__GGB28945_SGB41650	s__GGB28949_SGB41655	s__GGB28980_SGB41692	s__GGB28996_SGB41712	s__GGB29002_SGB41718	s__GGB29003_SGB41719	s__GGB29004_SGB41721	s__GGB29531_SGB42317	s__GGB29546_SGB42338	s__GGB30142_SGB43067	s__GGB30408_SGB43438	s__GGB28402_SGB40984	s__GGB28404_SGB40986	s__GGB28416_SGB40998	s__GGB28422_SGB41005	s__Candidatus_Arthromitus_sp_SFB_mouse	s__Clostridiaceae_bacterium	s__Clostridiaceae_unclassified_SGB41645	s__GGB28988_SGB41701	s__GGB28989_SGB41702	s__GGB30145_SGB43072	s__GGB30147_SGB43074	s__Emergencia_sp_1XD21_10	s__Clostridiales_bacterium	s__Acetatifactor_muris	s__Dorea_sp_5_2	s__GGB25041_SGB36960	s__GGB28621_SGB41239	s__GGB28763_SGB41411	s__GGB28766_SGB41417	s__GGB28769_SGB41421	s__GGB28772_SGB41425	s__GGB28790_SGB41443	s__GGB28793_SGB41446	s__GGB28798_SGB41451	s__GGB28803_SGB41457	s__GGB28807_SGB41461	s__GGB28836_SGB41496	s__GGB28841_SGB41505	s__GGB28846_SGB41513	s__GGB28849_SGB41516	s__GGB28851_SGB41518	s__GGB28861_SGB41531	s__GGB28868_SGB41542	s__GGB28869_SGB41543	s__GGB28870_SGB41546	s__GGB28870_SGB41549	s__GGB28873_SGB41553	s__GGB28875_SGB41555	s__GGB28879_SGB41559	s__GGB28916_SGB41612	s__GGB28926_SGB41623	s__GGB28927_SGB41625	s__GGB28963_SGB41672	s__GGB28968_SGB41679	s__GGB29005_SGB41723	s__GGB29006_SGB41724	s__GGB29006_SGB41725	s__Lachnospiraceae_bacterium	s__Lachnospiraceae_bacterium_28_4	s__Lachnospiraceae_bacterium_A2	s__Lachnospiraceae_bacterium_A4	s__Lachnospiraceae_bacterium_MD308	s__Lachnospiraceae_bacterium_MD335	s__Lachnospiraceae_bacterium_WCA_9_b2	s__Lachnospiraceae_unclassified_SGB41498	s__Roseburia_sp_1XD42_69	s__Schaedlerella_arabinosiphila	s__Oscillibacter_sp_1_3	s__Acutalibacter_muris	s__Anaerotruncus_colihominis	s__GGB29550_SGB42344	s__GGB30091_SGB43003	s__GGB30093_SGB43006	s__GGB30295_SGB43259	s__GGB30297_SGB43261	s__GGB30445_SGB43494	s__GGB30448_SGB43502	s__GGB30448_SGB43504	s__GGB30451_SGB43508	s__GGB30454_SGB43514	s__GGB30454_SGB43516	s__GGB30457_SGB43521	s__GGB30457_SGB43523	s__GGB30461_SGB43530	s__GGB30461_SGB43533	s__GGB30461_SGB63209	s__GGB30466_SGB43541	s__GGB30466_SGB43546	s__GGB30473_SGB43557	s__GGB30475_SGB63182	s__GGB3171_SGB4185	s__Neglecta_sp_X4	s__Pseudoflavonifractor_sp_60	s__Faecalibaculum_rodentium	s__GGB31184_SGB44478	s__Turicibacter_sp_TS3	s__Firmicutes_bacterium_ASF500	s__GGB30667_SGB43809	s__Parasutterella_excrementihominis	s__Turicimonas_muris	s__GGB28308_SGB40878	s__GGB28310_SGB40880	s__GGB28317_SGB40889	s__Helicobacter_hepaticus
220500001177-A01	0.12042	0.10425	0.288	0.15422	0.09425	0	0.00168	0	0.0178	0.03009	0	0	0.01275	0	0.56566	0.00408	0.04631	0.00635	0.05482	0	0.01638	0	0.00252	0.01382	0	0.25898	0.01312	0.25676	0.22124	0.11642	0.32336	0.5283	0.30643	0.01603	0.92108	0.32357	0.04745	0.02416	0.19978	0.00414	0.02065	0.0235	0.05393	0.01643	0.73796	0.04045	2.4248	0.02931	0.05453	1.2205	7.23549	0.01725	0.74024	0.17352	0.80039	0.31764	4.67401	3.89778	0	0.03561	17.34376	6.51159	0.23431	6.63191	0.14291	3.52211	1.11718	0.18752	0.03848	0.27328	2.13754	0.08816	0	1.36802	0.03648	1.11565	0.44456	3.4245	0.14817	0.71118	0	0.05735	0.25111	0	0	0	0	0.24527	0	0.03906	0.20624	0.08457	0.08533	0.22195	0.62401	0.09846	2.14303	0.0235	0	0.17029	0.21472	0	0.08899	0.02846	0.18725	0.50725	0.01296	0.03895	0.09339	0.0323	0.36418	0.01843	0	0.29481	0.3676	0	0.07815	0.05115	0	0.30266	0	0	1.98291	0.64203	0	0.37794	0.02436	0.22914	0.13895	0	0	0	0.02436	0.0058	0.07127	0	0.02464	0	0.15449	0	0.01135	0.32433	0.17061	0.0324	0	0.48095	0.47124	0	0.45188	0.42808	1.64541	0	0.01673	0.128	0.18901	0.06417	0.70243	0.0191	0	0.04058	0.03276	0.06891	0.04222	0.03716	0.98643	0	0.25709	1.20736	0.00424	0.41517	1.4735	0	0.27731	0.03029	1.25713	0	0.06664	0.00454	0.05242	0	0	0.11465	0.08354	0.01213	0.10168	0.02899	0	0.23522	0.04997	0.0631	0.1571	0.04535	0.2581	0.00373	0	0	0.07194	0.07135	0.08785	0.02642	0.07685	0	0.00197	0.06745	0	0	0.01868	0	0.02227	0.03335	0.10333	0.27041	0.02104	2.25965
220500001177-A02	0.183	0.02899	0.20575	0	0.03857	0.00608	0.00116	0	0.04041	0.05018	0	0	0.0165	0	0.34863	0	0.01755	0.00064	0.02353	0	0	0.10558	0	0.01061	0	0.10562	0	0.16923	0.25917	0.01596	0.39271	0.24714	0.06371	0.00555	0.2725	1.5518	0.04026	0.09189	0.13584	0.08116	0.07515	0.41378	0.4422	0.17249	0.63157	0.16973	4.32417	0.24536	0.7388	6.39053	4.3188	0.24622	4.97698	3.31012	1.23605	3.23804	1.52939	1.59694	0.40962	0.06686	6.10268	4.83712	0.28805	12.00759	0.10192	0.7548	0.75223	0.16351	0.00383	0.39119	4.45225	0.06563	0	1.40716	0.13754	0.54191	1.3782	0.35188	0.26108	0.8643	0.03985	0	0.19326	0	0.23236	0.99581	0	0.02127	0	0	0.01968	0.04155	0.01605	0.02426	0.20349	0.0207	0.14399	0.062	0	0.0771	0.23798	0.35254	0.47911	0.54001	0.03442	0.34706	0	0	0.0353	0.00659	0.07993	0.06415	0.28898	0.05516	0.05698	0.40397	0.17309	0.14255	0	0.20803	0.13808	0.87204	3.04826	0.0225	0.80368	0.13013	0.00451	0	0.06315	0.01794	0	0.05929	0.22799	0.0027	0	2.28835	0.02859	0	0.03875	0.03692	0	0	0.15676	0	0.05512	0	0.06872	0	0.03357	0.10634	0.05525	0	0	0.07202	0.06221	0.03668	0	0	0	0	0.00904	0.03304	0.08217	0.01214	0	2.00836	0	0.24961	0	1.67459	0	0.01025	0.18635	1.07343	0	0	0.05688	0.03494	0.03207	0	0	0.17185	0.06592	0	0.02843	0.09974	0.04448	0.06103	0.02901	0.33732	0	0	0.16802	0.11644	0	0	0.04707	0.0348	0.09072	0.03554	0.12983	0.0164	0	0.01719	0	0.01125	0	0	0.00686	0.11723	0.003	0.10104	0.04026	4.81024
220500001177-A04	0.08504	0.07933	0.24371	0.0578	0.03838	0.12552	0.07411	0	0.0263	0.041	0	0	0.0115	0	0.23529	0.01527	0.04807	0.01632	0.04043	0	0.01935	0	0.01857	0.02064	0	0.035	0.06049	0.09951	0.10221	0.03271	0.36007	0.56794	0.2716	0.41857	0.3447	1.18506	0.61147	0.43328	0.69718	0.04268	0.02304	0.09147	0.78918	0.105	3.21807	0.38229	4.10538	1.1271	4.38983	2.7432	11.97469	1.5043	2.22061	1.84675	0.83159	4.71505	1.46826	1.79092	0	0.26822	3.36078	0.86146	0.30575	1.52823	0.19021	1.49308	1.52169	0.60631	0.05552	0.64459	6.93896	1.21664	5.62292	1.40316	0.19051	0.71766	1.371	0.29615	0.47615	1.06279	0.03623	0.32088	0.4033	0	2.86857	0	0.55271	0.08446	0.02465	0.00747	0.01459	0.00945	0.04925	0.01161	0.10835	0.11584	0.48397	0.00179	0	0.0538	0.0279	0	0.02151	0.32978	0.08288	0.61353	0	0.42359	0.17934	0.00712	0.11411	0	0	0.15745	0.03982	0.13596	0.09313	0.08901	0.02872	0.0784	0	0.01287	1.29697	0.1643	0	0.05688	0.00235	0.22913	0.1621	0	0.04453	0.14314	0.26463	0.00134	0.02451	1.0406	0.04532	0	0.11549	0.00791	0	0.01593	0.08301	0	0.11033	0.19911	0.10903	0	0.11244	0.12151	0.03023	0	0.00731	0.0585	0.09638	0.02621	0.80802	0	0	0	0.02011	0.08617	0.00916	0.00993	0	0	0.13047	0.32696	0	0.58927	0.9963	0.07913	0.12092	0.01017	0.43891	0.24609	0.02323	0.06018	0.06334	0	0.26254	0.21029	0.12143	0	0.0312	0.04487	0.1783	0.05991	0.27325	0.54507	0	0	0.28689	0.03956	0	0.00132	0.00384	0.02837	0.07	0.03836	0.3139	0.01524	0.00544	0.00536	0.09029	0.13629	0	0	0.16664	0.1115	0.10724	0.09523	0.02083	0.44723
220500001177-A05	0.05673	0.01809	0.03867	0	0.10798	0.04057	0.01228	0	0.01871	0.04611	0	0	0.01945	0	0.78772	0.01327	0.01982	0	0.12072	0	0.03354	0.01695	0.01115	0	0.00847	0.05582	0.19135	0.24629	0.27509	0.04678	0.07867	0.17761	0.0727	0.13256	0	1.05003	1.01577	0.99054	0.47727	0.00816	0.04824	0.24182	0.54514	0.15348	0.30688	0.58185	3.07417	0.81291	3.28567	1.48251	10.02595	1.09617	2.0352	5.15906	1.13132	4.18515	1.64114	1.66108	0	0.03527	1.90934	3.45534	0.3347	9.17638	0.03558	1.23279	0.5071	0.24193	0.00059	0.25177	9.19001	0.81823	4.55001	0.7593	0.13883	0.56841	0.24347	0.30595	0.02775	0.15869	0.00852	0.22528	0.14398	0	1.50035	0	0	0.21648	0.04599	0	0.22747	0.04488	0.0319	0.13021	0.23489	0.19525	0.94158	0.01543	0	0.00823	0.016	0.03328	0	0.03365	0.05188	0.63602	0.02477	0.14679	0.07851	0	0.11607	0.14288	0.02408	0.0745	0.0425	0.00929	0.11237	0.11086	0.03347	0.04794	0	0.48713	0.17946	0.03525	0	0.1063	0.01285	0.57507	0.26879	0.01037	0.07339	0.07019	0.06244	0.00023	0	2.18835	0.10079	0.04508	0.11066	0.03214	0	0.22238	0.19575	0	0.18186	0.36108	0.43248	0	0.09139	0.07063	0.06493	0.08271	0	0.16778	0.02939	0.00264	0	0.01822	0	0.07233	0.05326	0.04526	0.0372	0.05049	0	0.10622	0	0.32411	0.23869	2.22993	0.69676	0.14657	0.18886	0.11335	1.09096	0	0.03217	0.02683	0.17095	0	0.3984	0.16816	0.11805	0	0.03562	0.09105	0.05398	0	0.01901	0.06431	0	0.04204	0.11463	0.05697	0.02083	0.00545	0.01106	0.02007	0.26606	0.02255	0.03982	0.03764	0.0034	0.21409	0	0.40682	0	0	0.01831	0.27712	0.05457	1.20248	0.0757	0.39653
220500001177-A07	0.05689	0.03546	0.21079	0.02622	0.02613	0.01467	0.00033	0.02228	0.29899	0.49424	0.06344	0.01691	0.20202	0.00672	0.36382	0.02424	0.00855	0.02485	0.06519	0	0.00131	0.10351	0.09536	0.0117	0	0.05817	0.00027	0.12691	0.69418	0.10144	0	0.12331	0.07168	0	0.40697	0.33182	0.13992	0.27768	0.20226	0.00543	0.05721	0.09228	0.17176	0.08996	6.8903	0.06341	3.55376	0.07917	0	0.36166	13.60692	0	0.71042	0.0371	0.30102	4.81998	1.43126	0.98237	0	0.01552	4.45951	3.09877	0.18718	10.50936	0.03501	2.2945	0.43404	0.02194	0.00357	0.8259	0.59783	0.13549	0	0.24276	0.47518	1.08778	0.62989	0.2568	1.88389	4.70423	0.09865	3.25214	2.92436	0.00472	0	0	0	0.10972	0	0.01488	0.21617	0.08122	0.07498	0.00982	0.48606	0.09211	0.85902	0.01333	0	0.23732	0.13996	0	0.10703	0.05209	0.12003	0.40815	0.00966	0	0.12896	0.00473	0.61889	0.1045	0	0.56921	0.4113	0.00072	0.01539	0.15102	0.00074	0.19359	0	0.13916	4.61255	0.22847	0	0.2302	0.08103	0	0.07552	0.00283	0.04809	0.01701	0.0475	0.02243	0.06912	0.01373	0.00795	0.18674	0.10769	0.00649	0.00056	0.51759	0.04553	0.1168	0.12199	0.34591	1.40905	0	0.3029	0.98067	0.24685	0	0.07375	0.17451	0.18216	0.19022	0.13726	0.10301	0	0.00447	0.03647	0.08475	0.05283	0.02486	1.70643	0	0.05771	0.95609	0.10931	0.8336	0.83296	0.02311	0.26022	0	0.06413	8e-05	0.01132	0.03413	0.01985	0	0	0.10968	0.06132	0.00036	0.07189	0.02149	0.05321	0.04848	0.08911	0.12485	0.02947	0.22949	0.29185	0.00911	0.00867	0	0.04114	0.0215	0.14	0.01658	0.0348	0.00416	0	0	0	0	0.01788	0	0.10753	0	0.00316	0.08828	0	0.48678
220500001177-A08	0.1831	0.35467	0.23608	0.03741	0.1683	0.20613	0.00023	0.00542	0.18719	0.2607	0.00913	0.00674	0.11245	0.07419	3.13904	0.01667	0.0274	0.00274	0.20422	0.04852	0.01293	0.42101	0.20704	0.03869	0.04073	0.14122	0.08092	0.74434	1.44583	0.07796	0	0.01734	0.00478	0.01022	0.0015	0.05062	0.01814	0.05207	0.01329	0	0	0.01358	0	0.01514	0.46589	0.15641	0.27009	0.00538	0	0.02932	1.20388	0	0.04688	0.0987	0.02773	0.65125	1.26562	0.2679	0	0.00602	1.69036	1.86855	0.04338	3.83882	0.00365	0.39842	0.04624	0.00526	0	0.38616	0.09259	0.01918	0	0.08551	0.04945	0.12134	0.0543	2.83548	0	0.10727	0.08787	0.00413	0.12589	0	0.43795	0.11312	0	0.29902	0.08939	0	0.24816	0.15703	0.04013	0.12905	3.28092	0.19533	1.16095	0.023	0	0.02547	0.26044	0.00789	0.11265	0.0303	0.0457	0.44448	0.05269	9e-04	0.2624	0.01387	0.2294	0.6125	0.21966	1.06378	0.19467	0.13439	0.15291	0.11731	0.02302	1.65055	0.13584	0.87692	0.79515	0.38317	0.18964	0.80896	0.26051	0.16029	0.27947	0.25232	0.01835	0.09744	0.02833	0.03648	0.08836	5.61994	0.06736	0.0041	0.2986	0.01409	0.0348	2.39416	0.80049	0.37356	0.86827	1.5068	1.29351	0	0.22948	0.42369	0.22286	0.20913	0	0.36823	0.96043	0.13354	0	0.02562	0.39661	0.16751	0.26017	0.51345	0.24452	0.15437	0.03868	2.31052	0	2.07716	0.17088	17.93551	0.67115	0.0568	1.33672	0.40245	5.40928	0	0.64129	0.11909	0.01577	0.00261	0	0.5493	0.24203	0	0.14541	0.15185	0.13833	0.02463	0.39293	1.24937	0	0.03829	1.36785	0.13554	0.07453	0.01037	0.2123	0.23318	0.09226	0.07014	0.00141	0.07294	0.01446	0	0.00778	0.01202	0.00295	0	0	0.02041	0.10736	0.59242	0.18532	0.75427
220500001177-B01	0.22656	0.25721	0.27789	0.14802	0.27306	0	0	0	0.02111	0.03121	0	0	0.00558	0.0026	1.19997	0.0122	0.08352	0.00723	0.13467	0	0.03793	0.00748	0.00275	0.00601	0	0.45357	0.08185	0.48048	0.9031	0.15293	0.05734	0.13257	0.13352	0.00119	0.03733	0.11339	0.01672	0.00299	0.05889	0	0	0.02201	0.00316	0.00423	0	0.00577	0.58216	0.03862	0	0.32913	1.81188	0	0.26135	0.5332	0.13745	0.45478	4.45938	3.08745	0	0.01351	6.73392	4.01389	0.03679	10.13999	0.08235	0.93631	0.45347	0.10468	0.01452	0.51707	0.78256	0.00889	0	0.89148	0.00926	0.19588	0.07514	1.51837	0.09903	0.34457	0	0.04699	0.16701	0	0	0	0	0.35114	0	0.22736	0.14367	0.17476	0.10843	0.55888	2.5932	0.071	1.53937	0.09091	0	0.1795	0.58018	0	0.12571	0.04788	0.06562	0.77521	0.06156	0.00479	0.11889	0.02371	0.44207	0.06841	0	0.13775	0.88726	0	0.13914	0.14113	0	1.06517	0	0	0	2.73125	0	1.09228	0.00969	0	0.28275	0	0	0	0.00598	0.0125	0.31108	0	0.0317	0	0.2085	0	0.01061	0.89384	0.57516	0.03182	0.01339	1.58716	1.57715	0	1.37985	0.63921	5.2222	0	0.02835	0.42957	0.42509	0.14215	1.76686	0.12846	0	0.57576	0.01197	0.15975	0.10249	0.10328	7.73391	0	0.58269	1.74687	0.00608	4.53136	1.84416	0	1.0112	0	0	0	0.26916	0.006	0.07697	0.00119	0	0.73301	0.16998	0.03223	0.13017	0.00821	0	0.54129	0	0.01246	0.74735	0.21497	1.05095	0	0.01401	0	0.2624	0.25446	0.07355	0	0.01146	0.02074	0.00815	0.07528	0	0	0	0	0.01185	0	0.2026	0.69777	0.06729	1.36058
220500001177-B03	0.01855	0.05369	0.00492	0	0.03218	0.02146	0.41197	0.00458	0.03548	0.02943	0	0	0.02007	0.01932	0.86055	0.00405	0.00152	0	0.0642	0.06667	0	0.07136	0	0	0	0.07002	0	0.30994	0.28357	0.02381	0.57351	0.06439	0.03614	0.01249	0.46551	1.555	0.74487	0.35493	0.30158	0.88343	0.28022	0.87296	0.43516	0.14413	1.51233	0.27651	6.8334	1.44755	3.9314	7.04426	14.39916	0.88357	6.82786	0.33918	2.38077	3.15041	0.92853	0.37314	1.99707	0.03381	2.5559	1.79258	0.14555	2.39643	0.0488	0.37443	0.29977	0.13691	0	0.16578	7.85809	0.61344	0	0.52383	0.27292	0.4795	0	0.73423	0.37461	0.58623	0.00582	0.22705	0.21664	0	0	0.3465	0.26404	0	0.1555	0	0.02982	0.03216	0.095	0.2911	0.33242	0.0552	0.01654	0.0033	0	0.00934	0.10591	0.131	0.09912	0.38381	0.00524	0.09434	0.03111	0	0.02962	0	0.12519	0.09705	0.11558	0.01187	0.05602	0	0.08166	0.18137	0.00257	0.18685	0	1.33469	0.08969	0.10556	0	0.61577	0.03511	0.62078	0.18571	0	0	0.07308	0.34309	0	0.10925	0.91992	0.04124	0.05224	0.03702	0.00221	0	0.23849	0.08651	0	0.07805	0.12273	0	0.01183	0.04863	0	0.07417	0	0	0.09559	0.07677	0.01265	0	0.04543	0.10898	0.11399	0.02109	0.06937	0.0604	0.02478	0.85649	0.08339	0.00222	0.26382	0	1.6469	2.64882	0.01866	0.07674	0.17702	0	0	0.02978	0.01132	0	0	0	0.26126	0.04554	0.03761	0.11226	0.35685	0.04281	0.0251	0.00819	0.65912	0	0	0.05373	0.03818	0	0	0.03395	0.03422	0.17828	0.02415	0.14784	0.05035	0	0.1179	0	0	0	0	0.03511	0.41598	0.00201	0.13722	0.01375	0.79283
220500001177-B04	0.10998	0.02148	0.17391	0.10918	0.02373	0.01015	0.0446	0	0.01063	0.01641	0	0	0.00845	0	0.18475	0	0.015	0.00051	0.04433	0	0.03638	0.01141	0.00282	0.00276	0	0.03359	0.0885	0.07067	0.09461	0.00311	0.4666	0.5005	0.12107	0.24194	0.0086	1.45955	0.85405	0.44867	0.61958	0.09748	0.06295	0.43733	0.9753	0.08969	2.59574	0.17423	5.15942	1.14411	6.68076	2.76907	10.55983	1.93246	4.02839	4.34355	1.17167	4.91362	1.15947	1.26015	0	0.1307	1.32854	0.84531	0.35306	2.90058	0.06408	1.8248	0.84031	0.42518	0.03928	0.4486	8.48097	1.63116	8.76839	0.76663	0.14921	0.46409	1.20804	0.13341	0.0809	0.31803	0.00056	0.07703	0.10237	0	1.72685	0	0.21227	0.05263	0.00632	0.00493	0.02698	0.0061	0.03643	0.00032	0.06534	0.04488	0.48202	0.00589	0	0.02983	0.09695	0	0.01077	0.11536	0.09668	0.68598	0.00076	0.15994	0.02457	0.0042	0.06002	0.00413	0	0.13265	0.05103	0	0.08186	0.04432	0.01144	0.01813	0	0.39864	0	0.08953	0	0.01008	0	0.11204	0.04235	0	0.01163	0.0745	0.23377	4e-04	0.00947	0.89458	0.09976	0.0016	0.08096	0	0	0.01869	0.0676	0.00701	0.05377	0.0708	0.02922	0	0.01961	0.15634	0.01828	0	0.06799	0.10972	0.07824	0.02114	0.30704	0.01242	0	0	0.00759	0.02122	0.00614	0.01744	0	0	0.03502	0.22134	0.11061	0.19661	0.83129	0.04624	0.09027	0.0312	0.21222	0	0	0.08957	0.01719	0	0.18048	0.08908	0.08607	0	0.03136	0.12115	0.22756	0.06424	0.09338	0.75923	0.0099	0.01429	0.31665	0.0565	0.02067	0.00426	0.0267	0.04978	0.18618	0.02799	0.01768	0.04296	0.00366	0	0.01735	0.20893	0.00506	0	0.22137	0.20336	0.01592	0.35339	0.01502	0.39628
220500001177-B06	0.08438	0.03266	0.0155	0.03997	0.02945	0.02442	0.02112	0.00139	0.03136	0.04055	0	0	0.01058	0.00038	0.65428	0	0.00515	0.00025	0.03259	0.08092	0.02602	0	0.02784	0.00779	0	0.00851	0.03221	0.04914	0.10337	0.04123	0.25579	0.13277	0.15663	0.2681	0.00078	0.98743	0.72598	0.37053	0.44438	0.02974	0.07196	0.29575	1.27468	0.27739	3.5032	0.84151	2.91532	0.79498	9.31478	0.61427	16.18027	2.48933	1.82355	7.03605	0.62574	4.35745	1.11489	1.41379	0.0491	0.30772	2.73723	1.46774	0.29997	5.3616	0.27025	1.47659	0.92079	0.2509	0.00319	0.55842	7.48261	0.965	0	1.18238	0.27705	0.76211	0.57116	0.19213	0.01025	0.05728	0.00846	1.0704	0.01934	0	0	0.27597	0	0.03907	0.035	0.04643	0	0.01703	0.02807	0.26773	0.06747	0.04827	0.34544	0.00885	0	0.0141	0.01976	0	0.00212	0.03475	0.07773	0.3317	0	0.23858	0.04817	0	0.01835	0.00148	0.22989	0.35935	0.09926	0	0.06299	0.23172	0.00095	0.04486	0	0.39433	0.37228	0.09513	0	0.02811	0.02076	0.39497	0.08219	0.01008	0	0.09599	0.6276	0.00025	0	0.46821	0.02934	0.02486	0.0251	0	0	0.13544	0.0391	0	0.029	0.09036	0.93244	0.03155	0.03975	0.07269	0.06845	0.00336	0	0.07472	0.05391	0.0389	0	0.00502	0	0.2277	0.0399	0.02668	0.03148	0.01985	0	0	0.06818	0.32661	0	0.11341	1.03755	0.01982	0.20389	0.09778	0.79578	0.1684	0	0.04682	0	0	0	0.1615	0.04983	0	0.04754	0.06067	0.06248	0.04807	0.06714	0.05489	0	0.4709	0.10231	0.05385	0.00648	0.00168	0.03541	0.01479	0.17194	0.01449	0.25424	0.04158	0	0.01587	0	0	0	0.03431	0.02199	0.30821	0.00985	0.0828	0	1.28163
