2023-12-20 21:13:39.640165 INFO::Writing function arguments to log file
2023-12-20 21:13:39.644813 DEBUG::Function arguments
2023-12-20 21:13:39.64811 DEBUG::Output folder: outputs/differential_abundance_species_metaphlan4/lmm_maaslin2/species/alldata
2023-12-20 21:13:39.648291 DEBUG::Min Abundance: 0.000000
2023-12-20 21:13:39.648442 DEBUG::Min Prevalence: 0.200000
2023-12-20 21:13:39.64858 DEBUG::Normalization: NONE
2023-12-20 21:13:39.648716 DEBUG::Transform: NONE
2023-12-20 21:13:39.648848 DEBUG::Analysis method: LM
2023-12-20 21:13:39.648977 DEBUG::Max significance: 0.250000
2023-12-20 21:13:39.649112 DEBUG::Random effects: mouse_id
2023-12-20 21:13:39.649241 DEBUG::Fixed effects: trimester,genotype
2023-12-20 21:13:39.649368 DEBUG::Correction method: BH
2023-12-20 21:13:39.649493 DEBUG::Standardize: TRUE
2023-12-20 21:13:39.649615 DEBUG::Cores: 1
2023-12-20 21:13:39.649732 INFO::Verifying options selected are valid
2023-12-20 21:13:39.690446 INFO::Determining format of input files
2023-12-20 21:13:39.691223 INFO::Input format is data samples as rows and metadata samples as rows
2023-12-20 21:13:39.692435 DEBUG::A total of 72 samples were found in both the data and metadata
2023-12-20 21:13:39.692608 DEBUG::Reordering data/metadata to use same sample ordering
2023-12-20 21:13:39.693717 INFO::Formula for random effects: expr ~ (1 | mouse_id)
2023-12-20 21:13:39.694414 INFO::Formula for fixed effects: expr ~  trimester + genotype
2023-12-20 21:13:39.695156 INFO::Filter data based on min abundance and min prevalence
2023-12-20 21:13:39.695531 INFO::Total samples in data: 72
2023-12-20 21:13:39.695873 INFO::Min samples required with min abundance for a feature not to be filtered: 14.400000
2023-12-20 21:13:39.697396 INFO::Total filtered features: 14
2023-12-20 21:13:39.697866 INFO::Filtered feature names from abundance and prevalence filtering: s__bacterium_1XD21_70, s__bacterium_1xD8_6, s__GGB28901_SGB41592, s__Staphylococcus_xylosus, s__GGB42579_SGB59774, s__GGB28430_SGB41013, s__GGB28632_SGB41253, s__GGB28946_SGB41652, s__GGB28828_SGB41484, s__Lachnospiraceae_unclassified_SGB41511, s__GGB30290_SGB43252, s__GGB30296_SGB43260, s__GGB30466_SGB43544, s__Escherichia_coli
2023-12-20 21:13:39.700166 INFO::Total filtered features with variance filtering: 0
2023-12-20 21:13:39.7006 INFO::Filtered feature names from variance filtering:
2023-12-20 21:13:39.701152 INFO::Running selected normalization method: NONE
2023-12-20 21:13:39.70159 INFO::Applying z-score to standardize continuous metadata
2023-12-20 21:13:39.706344 INFO::Running selected transform method: NONE
2023-12-20 21:13:39.707181 INFO::Running selected analysis method: LM
2023-12-20 21:13:39.805436 INFO::Fitting model to feature number 1, s__GGB30286_SGB43248
2023-12-20 21:13:39.873826 INFO::Fitting model to feature number 2, s__GGB30301_SGB43265
2023-12-20 21:13:39.898228 INFO::Fitting model to feature number 3, s__GGB30302_SGB43266
2023-12-20 21:13:39.918548 INFO::Fitting model to feature number 4, s__GGB30302_SGB43267
2023-12-20 21:13:39.939573 INFO::Fitting model to feature number 5, s__GGB30303_SGB43268
2023-12-20 21:13:39.95971 INFO::Fitting model to feature number 6, s__GGB30413_SGB43452
2023-12-20 21:13:39.980728 INFO::Fitting model to feature number 7, s__Atopobiaceae_bacterium_FL090493
2023-12-20 21:13:40.005817 INFO::Fitting model to feature number 8, s__Adlercreutzia_caecicola
2023-12-20 21:13:40.027507 INFO::Fitting model to feature number 9, s__Adlercreutzia_caecimuris
2023-12-20 21:13:40.048616 INFO::Fitting model to feature number 10, s__Adlercreutzia_mucosicola
2023-12-20 21:13:40.069436 INFO::Fitting model to feature number 11, s__Adlercreutzia_muris
2023-12-20 21:13:40.090754 INFO::Fitting model to feature number 12, s__Eggerthellaceae_bacterium
2023-12-20 21:13:40.111562 INFO::Fitting model to feature number 13, s__Enterorhabdus_sp_P55
2023-12-20 21:13:40.144675 INFO::Fitting model to feature number 14, s__GGB30048_SGB42949
2023-12-20 21:13:40.166088 INFO::Fitting model to feature number 15, s__Bacteria_unclassified_SGB41586
2023-12-20 21:13:40.186997 INFO::Fitting model to feature number 16, s__bacterium_0_1xD8_82
2023-12-20 21:13:40.208119 INFO::Fitting model to feature number 17, s__bacterium_1XD42_1
2023-12-20 21:13:40.228806 INFO::Fitting model to feature number 18, s__bacterium_1XD42_54
2023-12-20 21:13:40.250343 INFO::Fitting model to feature number 19, s__bacterium_1XD42_76
2023-12-20 21:13:40.271068 INFO::Fitting model to feature number 20, s__bacterium_1xD8_48
2023-12-20 21:13:40.291692 INFO::Fitting model to feature number 21, s__bacterium_D16_29
2023-12-20 21:13:40.311919 INFO::Fitting model to feature number 22, s__bacterium_D16_54
2023-12-20 21:13:40.333362 INFO::Fitting model to feature number 23, s__bacterium_D16_63
2023-12-20 21:13:40.353528 INFO::Fitting model to feature number 24, s__bacterium_D16_76
2023-12-20 21:13:40.374866 INFO::Fitting model to feature number 25, s__GGB31171_SGB44462
2023-12-20 21:13:40.395274 INFO::Fitting model to feature number 26, s__GGB28955_SGB41663
2023-12-20 21:13:40.416226 INFO::Fitting model to feature number 27, s__GGB28887_SGB41568
2023-12-20 21:13:40.438113 INFO::Fitting model to feature number 28, s__GGB28888_SGB41569
2023-12-20 21:13:40.459788 INFO::Fitting model to feature number 29, s__GGB28904_SGB41597
2023-12-20 21:13:40.481023 INFO::Fitting model to feature number 30, s__GGB28948_SGB41654
2023-12-20 21:13:40.511139 INFO::Fitting model to feature number 31, s__Bacteroidaceae_bacterium
2023-12-20 21:13:40.53241 INFO::Fitting model to feature number 32, s__Bacteroides_acidifaciens
2023-12-20 21:13:40.557662 INFO::Fitting model to feature number 33, s__Bacteroides_caecimuris
2023-12-20 21:13:40.582606 INFO::Fitting model to feature number 34, s__Bacteroides_uniformis
2023-12-20 21:13:40.603881 INFO::Fitting model to feature number 35, s__GGB28265_SGB40817
2023-12-20 21:13:40.625545 INFO::Fitting model to feature number 36, s__GGB24132_SGB35935
2023-12-20 21:13:40.648872 INFO::Fitting model to feature number 37, s__GGB24146_SGB35950
2023-12-20 21:13:40.670451 INFO::Fitting model to feature number 38, s__GGB24149_SGB35953
2023-12-20 21:13:40.690573 INFO::Fitting model to feature number 39, s__GGB27872_SGB40306
2023-12-20 21:13:40.711089 INFO::Fitting model to feature number 40, s__GGB27873_SGB40307
2023-12-20 21:13:40.731818 INFO::Fitting model to feature number 41, s__GGB27885_SGB40319
2023-12-20 21:13:40.752703 INFO::Fitting model to feature number 42, s__GGB27890_SGB40324
2023-12-20 21:13:40.773252 INFO::Fitting model to feature number 43, s__GGB27892_SGB40326
2023-12-20 21:13:40.793499 INFO::Fitting model to feature number 44, s__GGB27893_SGB40327
2023-12-20 21:13:40.813941 INFO::Fitting model to feature number 45, s__Duncaniella_dubosii
2023-12-20 21:13:40.834499 INFO::Fitting model to feature number 46, s__Duncaniella_freteri
2023-12-20 21:13:40.855264 INFO::Fitting model to feature number 47, s__Duncaniella_muris
2023-12-20 21:13:40.875602 INFO::Fitting model to feature number 48, s__GGB14013_SGB21440
2023-12-20 21:13:40.903972 INFO::Fitting model to feature number 49, s__GGB14014_SGB21441
2023-12-20 21:13:40.924793 INFO::Fitting model to feature number 50, s__GGB14022_SGB21449
2023-12-20 21:13:40.944757 INFO::Fitting model to feature number 51, s__Muribaculaceae_bacterium
2023-12-20 21:13:40.965582 INFO::Fitting model to feature number 52, s__Muribaculaceae_bacterium_Isolate_013_NCI
2023-12-20 21:13:40.985885 INFO::Fitting model to feature number 53, s__Muribaculaceae_bacterium_Isolate_110_HZI
2023-12-20 21:13:41.00692 INFO::Fitting model to feature number 54, s__Muribaculum_gordoncarteri
2023-12-20 21:13:41.027447 INFO::Fitting model to feature number 55, s__Muribaculum_intestinale
2023-12-20 21:13:41.04822 INFO::Fitting model to feature number 56, s__Paramuribaculum_intestinale
2023-12-20 21:13:41.068339 INFO::Fitting model to feature number 57, s__GGB28248_SGB40791
2023-12-20 21:13:41.089396 INFO::Fitting model to feature number 58, s__Odoribacter_sp_Z80
2023-12-20 21:13:41.10937 INFO::Fitting model to feature number 59, s__Prevotella_sp_PCJ2
2023-12-20 21:13:41.130148 INFO::Fitting model to feature number 60, s__Alistipes_sp
2023-12-20 21:13:41.150402 INFO::Fitting model to feature number 61, s__GGB24102_SGB35895
2023-12-20 21:13:41.171159 INFO::Fitting model to feature number 62, s__GGB24102_SGB40205
2023-12-20 21:13:41.191045 INFO::Fitting model to feature number 63, s__GGB27776_SGB40190
2023-12-20 21:13:41.211494 INFO::Fitting model to feature number 64, s__GGB27778_SGB40192
2023-12-20 21:13:41.232092 INFO::Fitting model to feature number 65, s__GGB27791_SGB40207
2023-12-20 21:13:41.252517 INFO::Fitting model to feature number 66, s__GGB27792_SGB40208
2023-12-20 21:13:41.280474 INFO::Fitting model to feature number 67, s__Rikenellaceae_bacterium
2023-12-20 21:13:41.301097 INFO::Fitting model to feature number 68, s__Parabacteroides_distasonis
2023-12-20 21:13:41.323875 INFO::Fitting model to feature number 69, s__Parabacteroides_goldsteinii
2023-12-20 21:13:41.34415 INFO::Fitting model to feature number 70, s__GGB31109_SGB44380
2023-12-20 21:13:41.370758 INFO::Fitting model to feature number 71, s__GGB27898_SGB40333
2023-12-20 21:13:41.392251 INFO::Fitting model to feature number 72, s__GGB14001_SGB21428
2023-12-20 21:13:41.413313 INFO::Fitting model to feature number 73, s__GGB27851_SGB40285
2023-12-20 21:13:41.432956 INFO::Fitting model to feature number 74, s__GGB23844_SGB35575
2023-12-20 21:13:41.453838 INFO::Fitting model to feature number 75, s__GGB27861_SGB40295
2023-12-20 21:13:41.473818 INFO::Fitting model to feature number 76, s__GGB27866_SGB40300
2023-12-20 21:13:41.494415 INFO::Fitting model to feature number 77, s__GGB27929_SGB40368
2023-12-20 21:13:41.514414 INFO::Fitting model to feature number 78, s__Mucispirillum_schaedleri
2023-12-20 21:13:41.535245 INFO::Fitting model to feature number 79, s__Lactobacillus_intestinalis
2023-12-20 21:13:41.555539 INFO::Fitting model to feature number 80, s__Lactobacillus_johnsonii
2023-12-20 21:13:41.576676 INFO::Fitting model to feature number 81, s__Lactobacillus_taiwanensis
2023-12-20 21:13:41.596942 INFO::Fitting model to feature number 82, s__Ligilactobacillus_murinus
2023-12-20 21:13:41.618198 INFO::Fitting model to feature number 83, s__Limosilactobacillus_reuteri
2023-12-20 21:13:41.648484 INFO::Fitting model to feature number 84, s__Streptococcus_danieliae
2023-12-20 21:13:41.676959 INFO::Fitting model to feature number 85, s__GGB31438_SGB44768
2023-12-20 21:13:41.696941 INFO::Fitting model to feature number 86, s__GGB31439_SGB44769
2023-12-20 21:13:41.718262 INFO::Fitting model to feature number 87, s__GGB31701_SGB45057
2023-12-20 21:13:41.73825 INFO::Fitting model to feature number 88, s__GGB31851_SGB45231
2023-12-20 21:13:41.75997 INFO::Fitting model to feature number 89, s__GGB31853_SGB45233
2023-12-20 21:13:41.780224 INFO::Fitting model to feature number 90, s__GGB42343_SGB59511
2023-12-20 21:13:41.801457 INFO::Fitting model to feature number 91, s__GGB42344_SGB59512
2023-12-20 21:13:41.822032 INFO::Fitting model to feature number 92, s__GGB28955_SGB41664
2023-12-20 21:13:41.843252 INFO::Fitting model to feature number 93, s__GGB28956_SGB41665
