feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Enterorhabdus_sp_P55	trimester	w3	0.208415833333333	0.0136987532962904	72	69	1.42940686573813e-19	9.26255648998311e-17
s__Adlercreutzia_mucosicola	trimester	w3	0.524026666666667	0.0411324783109321	72	72	1.07919667053977e-16	3.49659721254886e-14
s__GGB14013_SGB21440	trimester	w3	-1.03581208333333	0.0856427626959224	72	71	6.8832818936044e-16	1.48678888901855e-13
s__GGB27872_SGB40306	trimester	w6	-0.36888125	0.0357457664804641	72	71	1.48672366418597e-15	2.40849233598128e-13
s__GGB24146_SGB35950	trimester	w6	-0.511421666666667	0.0506648207145804	72	71	3.71855308551606e-15	4.81924479882882e-13
s__Adlercreutzia_caecicola	trimester	w3	0.0412883333333334	0.00420130509382758	72	47	1.10679999971615e-14	1.17232336879066e-12
s__Adlercreutzia_caecimuris	trimester	w3	0.38986875	0.0350734418269152	72	71	1.26639870085411e-14	1.17232336879066e-12
s__GGB27872_SGB40306	trimester	w3	-0.336884583333334	0.0357457664804641	72	71	5.81451437050155e-14	4.70975664010626e-12
s__Parabacteroides_distasonis	trimester	w3	-0.379075833333334	0.041292935923217	72	71	1.59799107780498e-13	1.15055357601959e-11
s__GGB24146_SGB35950	trimester	w3	-0.457675833333334	0.0506648207145804	72	71	2.93812099978496e-13	1.90390240786065e-11
s__GGB27898_SGB40333	trimester	w3	-5.72217125	0.579647911076145	72	72	6.12525678640565e-13	3.60833308871896e-11
s__Muribaculaceae_bacterium_Isolate_013_NCI	trimester	w6	-1.23903	0.13039757570529	72	63	2.01421010776538e-12	1.08767345819331e-10
s__GGB14013_SGB21440	trimester	w6	-0.810201250000001	0.0856427626959224	72	71	2.3058616627387e-12	1.14938335188821e-10
s__GGB14001_SGB21428	trimester	w6	-0.729200833333334	0.0867564500539491	72	71	4.02820143182285e-12	1.86448180558658e-10
s__Eggerthellaceae_bacterium	trimester	w3	0.0181854166666667	0.00197149683814253	72	29	4.97730793744011e-12	2.01580971466325e-10
