feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__Bacteroides_acidifaciens	genotype	KO	0.3797325	0.118055239723612	24	24	0.00397382351704743	0.597278111733862
s__GGB28934_SGB41635	genotype	KO	-0.137045833333333	0.0448543338580115	24	24	0.00579881661877536	0.597278111733862
s__GGB30286_SGB43248	genotype	KO	-0.0743133333333334	0.0380549373480716	24	23	0.063682421817356	0.704925134604058
s__GGB28904_SGB41597	genotype	KO	-0.348864166666667	0.168998487654423	24	24	0.0509769206526493	0.704925134604058
s__GGB28265_SGB40817	genotype	KO	0.791685833333333	0.420107778579699	24	24	0.072780834945092	0.704925134604058
s__GGB27893_SGB40327	genotype	KO	0.0909266666666666	0.0391873698602708	24	23	0.0299907182229457	0.704925134604058
s__Muribaculum_intestinale	genotype	KO	0.556066666666666	0.296985574835681	24	24	0.0745080707726091	0.704925134604058
s__Alistipes_sp	genotype	KO	0.130435	0.0523063208489909	24	23	0.0206502640181886	0.704925134604058
s__GGB24102_SGB40205	genotype	KO	-1.63299916666667	0.661232586545982	24	23	0.0217605475900441	0.704925134604058
s__Rikenellaceae_bacterium	genotype	KO	0.7850825	0.353626923711879	24	24	0.0370269676081812	0.704925134604058
s__Lactobacillus_intestinalis	genotype	KO	-0.0968200000000001	0.0369108712788063	24	19	0.015529797371281	0.704925134604058
s__GGB31439_SGB44769	genotype	KO	-0.2423025	0.118812502554743	24	7	0.0536031091977088	0.704925134604058
s__GGB29003_SGB41719	genotype	KO	-0.174563333333333	0.0946694433725032	24	24	0.0787052334752103	0.704925134604058
s__GGB28989_SGB41702	genotype	KO	-0.0991441666666666	0.0465844285087015	24	16	0.0447592925546654	0.704925134604058
s__GGB25041_SGB36960	genotype	KO	-0.998256666666666	0.526385398554605	24	16	0.0711107461763372	0.704925134604058
s__GGB28836_SGB41496	genotype	KO	-0.40778	0.188198315287748	24	21	0.0413558380102568	0.704925134604058
s__GGB28851_SGB41518	genotype	KO	-1.1464425	0.591899524704908	24	24	0.0657061963319703	0.704925134604058
s__GGB29006_SGB41725	genotype	KO	-0.371091666666667	0.178175657474697	24	15	0.0491108812033964	0.704925134604058
s__Lachnospiraceae_bacterium	genotype	KO	-0.45525	0.207785017356591	24	24	0.0393368211775782	0.704925134604058
s__Schaedlerella_arabinosiphila	genotype	KO	-0.0835866666666667	0.0348345945237104	24	20	0.0253216227403003	0.704925134604058
s__GGB30295_SGB43259	genotype	KO	-0.0178983333333333	0.00962580225569051	24	9	0.0763951372047888	0.704925134604058
s__GGB30457_SGB43521	genotype	KO	0.12883	0.0658932832217167	24	14	0.0633893276675218	0.704925134604058
s__GGB3171_SGB4185	genotype	KO	0.1525075	0.0686992941529139	24	19	0.0370392145260468	0.704925134604058
s__GGB28428_SGB41011	genotype	KO	-0.1420175	0.0793177138665612	24	20	0.0871478475495808	0.718098263808546
s__GGB30145_SGB43072	genotype	KO	0.0289008333333333	0.0160653685014812	24	6	0.0857606429055885	0.718098263808546
s__GGB27898_SGB40333	genotype	KO	1.429615	0.811454400157893	24	24	0.0919962353647556	0.728893249428448
s__bacterium_1XD42_76	genotype	KO	-0.0264466666666667	0.016300315556684	24	24	0.118948544266211	0.749238683328183
s__Bacteroides_uniformis	genotype	KO	0.157216666666667	0.0951314877955875	24	18	0.112608933500299	0.749238683328183
