feature	ASV1	ASV2	ASV3	ASV4	ASV10	ASV11	ASV13	ASV15	ASV17	ASV18	ASV27	ASV28	ASV33	ASV36	ASV53	ASV62	ASV63	ASV67	ASV68	ASV73	ASV74	ASV76	ASV81	ASV82	ASV86	ASV87	ASV88	ASV90	ASV93	ASV99	ASV100	ASV105	ASV107	ASV108	ASV117	ASV121	ASV126	ASV129	ASV137	ASV138	ASV139	ASV147	ASV148	ASV161	ASV169	ASV182	ASV188	ASV190	ASV205	ASV215	ASV226	ASV228	ASV233	ASV234	ASV238	ASV240	ASV245	ASV261	ASV262	ASV263	ASV275	ASV301	ASV348	ASV362	ASV365	ASV369	ASV399	ASV404	ASV412	ASV414	ASV419	ASV439	ASV449	ASV493	ASV498	ASV504	ASV530
Preg.Feces.PD.2104.week0	515	133	6089	413	778	533	70	27	159	279	109	148	88	90	85	11	86	34	8	6	32	328	0	97	70	51	38	59	8	67	52	0	83	99	9	18	61	26	330	10	14	20	30	14	15	0	7	5	21	38	49	11	45	10	7	0	17	10	4	0	18	0	6	12	0	4	3	0	4	0	0	0	0	0	0	0	0
Preg.Feces.PD.2104.week3	2159	478	5999	2476	1725	100	1200	377	0	456	198	5	43	431	641	46	1414	22	47	22	224	1975	0	3	40	64	17	139	11	104	204	0	159	217	500	0	9	29	5	31	13	0	11	19	13	9	0	0	24	0	0	16	50	2	4	0	69	0	0	27	0	54	3	0	0	0	4	0	3	0	2	0	0	0	0	0	0
Preg.Feces.PD.2104.week6.2	2927	137	2977	299	989	301	24	141	0	1321	141	164	168	152	282	89	68	27	168	180	20	804	0	43	112	9	39	83	33	73	88	0	135	119	21	0	12	36	25	37	31	21	0	27	13	16	0	6	23	0	0	3	12	0	5	0	41	17	0	0	0	0	0	0	0	2	2	0	0	0	0	0	4	2	0	0	0
Preg.Feces.PD.2106.week0	659	612	3892	87	1520	454	22	369	115	399	78	45	92	183	193	25	24	113	38	95	50	1189	3	87	59	75	82	209	35	181	110	3	251	318	0	13	27	45	115	119	32	25	19	51	35	12	0	0	62	19	129	7	56	0	16	15	77	14	12	0	17	17	0	6	0	4	8	0	2	0	6	0	0	0	0	0	0
Preg.Feces.PD.2106.week3	521	1620	467	540	4202	46	114	152	3	157	141	22	23	724	241	10	240	63	107	5	62	2055	0	0	0	0	68	101	33	115	149	102	119	397	87	0	0	69	47	76	14	0	21	84	31	9	0	0	55	0	0	0	53	0	11	9	47	11	49	0	22	81	0	0	0	0	8	0	0	5	11	0	3	0	0	0	0
Preg.Feces.PD.2106.week6.2	1437	195	1609	63	3144	468	19	4124	3	520	11	421	17	1791	651	220	14	162	81	261	17	2017	113	19	11	24	0	137	38	236	284	91	314	233	18	5	0	132	0	116	27	0	0	56	13	7	0	0	45	3	0	0	20	0	0	6	58	11	0	0	0	6	0	0	3	0	4	0	0	0	30	0	5	0	0	0	0
Preg.Feces.PD.2107.week0	827	572	6867	108	1204	255	40	6	225	548	48	7	108	213	258	46	18	95	16	74	53	531	0	88	108	103	103	104	34	138	85	0	207	105	5	17	10	50	251	47	20	61	11	30	22	20	11	0	31	54	46	5	47	11	9	17	25	15	11	7	3	30	2	11	0	6	0	0	2	0	4	3	3	0	3	0	5
Preg.Feces.PD.2107.week3	880	264	4139	392	1357	202	471	151	2680	361	226	4	67	161	236	42	422	19	19	10	232	515	0	14	41	48	46	65	31	97	111	0	126	174	164	51	13	57	104	15	12	326	28	17	15	15	12	10	22	16	4	5	53	11	0	0	29	0	11	0	0	20	7	15	0	5	4	0	7	8	3	5	0	2	0	0	3
Preg.Feces.PD.2107.week6.2	1506	235	1261	48	2019	1617	36	4061	0	500	0	1987	26	1901	546	242	6	181	622	193	92	2039	0	262	83	41	0	149	32	217	404	0	504	302	27	0	0	163	0	238	57	0	0	90	42	4	0	0	53	0	0	0	37	0	9	108	111	45	0	0	0	0	0	5	0	0	7	0	10	0	10	0	0	0	4	0	0
Preg.Feces.PD.2108.week0	461	450	6577	135	670	548	20	41	186	200	39	89	73	115	78	11	16	107	22	189	33	475	0	169	99	81	57	109	50	145	76	0	157	148	8	19	34	67	157	21	26	42	16	68	20	4	5	0	39	12	167	15	23	0	8	13	28	4	0	0	19	9	0	10	0	0	0	2	0	0	4	0	3	0	0	0	0
Preg.Feces.PD.2108.week3	544	155	5221	501	641	99	735	316	2	201	0	694	2	115	125	24	357	23	115	5	68	514	0	28	185	36	0	40	16	73	51	0	38	66	134	0	16	39	0	14	11	0	0	21	3	0	10	6	11	0	0	3	14	0	0	0	31	0	0	0	0	3	0	0	0	0	0	0	0	8	0	10	0	3	0	0	0
Preg.Feces.PD.2108.week6.2	1965	296	3245	299	2720	1255	63	1726	9	2409	11	76	9	1105	760	209	52	133	208	451	4	2265	4	43	74	37	16	118	89	128	433	0	293	109	51	0	66	112	0	292	51	0	0	61	16	0	0	0	40	0	2	11	17	0	8	7	86	4	0	0	0	2	0	0	8	0	12	0	0	0	28	0	0	0	0	0	0
Preg.Feces.PD.2114.week0	978	74	7899	256	453	346	103	35	154	323	161	290	158	84	97	40	40	16	0	23	110	218	59	193	116	131	46	55	7	20	41	12	29	44	18	29	29	6	119	6	8	0	22	21	5	7	0	0	15	72	29	17	25	19	3	0	12	0	0	0	19	0	0	10	36	0	0	2	0	0	0	0	0	0	0	0	0
Preg.Feces.PD.2114.week3	455	2698	546	288	4991	28	55	880	3	230	129	9	21	289	246	65	96	103	39	36	37	1893	0	4	7	12	71	409	37	466	314	57	125	493	64	17	0	115	15	91	20	0	27	247	27	14	0	0	31	13	10	0	126	2	30	7	75	0	21	0	10	20	0	2	0	0	4	0	0	3	14	0	7	3	0	0	0
Preg.Feces.PD.2114.week6.2	1727	307	4160	366	1446	624	15	1139	0	714	0	368	28	1274	881	358	61	91	378	298	194	1477	94	75	35	28	0	84	64	137	200	101	159	64	27	0	0	120	0	145	33	0	0	62	7	0	0	0	50	0	0	0	22	0	7	8	23	23	0	0	0	0	0	0	7	0	0	0	0	0	14	0	0	0	3	0	0
Preg.Feces.PD.2115.week0	503	228	5012	75	1035	186	20	8	121	236	173	25	80	171	132	13	17	72	7	55	153	371	42	84	68	88	52	93	25	80	47	0	83	38	11	14	52	20	41	9	9	0	8	55	15	13	0	2	8	34	92	7	11	22	0	7	12	6	8	0	28	10	6	0	5	4	0	2	0	0	0	0	0	0	0	0	0
