feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV117	timepoint	w3	2.45931092141592	0.182561523890516	86	61	3.72805030990188e-19	8.61179621587334e-17
ASV82	timepoint	w3	-2.36092469050703	0.206362076417777	86	59	2.7735084937571e-16	3.20340231028945e-14
ASV15	timepoint	w6	2.91289117727924	0.281233110891138	86	78	1.47259530967739e-14	1.13389838845159e-12
ASV63	timepoint	w3	2.20011509221863	0.242559916598256	86	71	1.51106930113186e-12	8.72642521403648e-11
ASV11	timepoint	w3	-1.51524288513994	0.171468257991511	86	85	3.37437639366076e-12	1.29913491155939e-10
ASV76	timepoint	w6	1.09404855992395	0.123242641616903	86	86	3.11136801340191e-12	1.29913491155939e-10
ASV68	timepoint	w6	2.35571744608856	0.288049228783335	86	43	4.23501408097187e-11	1.39755464672072e-09
ASV234	timepoint	w6	-1.92991899509435	0.252905995124355	86	18	3.34967503733765e-10	9.67218667031245e-09
ASV100	timepoint	w6	1.00345932507631	0.14326925134984	86	86	6.30151493538697e-10	1.61738883341599e-08
ASV439	timepoint	w3	1.28334766024923	0.184429522440146	86	1	7.72175252902193e-10	1.78372483420407e-08
ASV275	timepoint	w6	-1.83419118246468	0.259423057906578	86	12	2.79793138578672e-09	5.87565591015211e-08
ASV76	timepoint	w3	0.871302876082977	0.12447805463767	86	86	3.47530198819628e-09	6.68995632727784e-08
ASV3	timepoint	w3	-1.14166637235345	0.166768592048608	86	86	6.30474724420912e-09	1.12030508724024e-07
ASV62	timepoint	w6	1.23133307641675	0.191314265871652	86	76	7.76248501695709e-09	1.28081002779792e-07
ASV13	timepoint	w3	1.91259007269475	0.291651091733005	86	74	1.87430759854999e-08	2.88643370176698e-07
ASV17	timepoint	w6	-3.7569829702757	0.576176335157103	86	45	2.22480830483269e-08	3.21206699010219e-07
ASV148	timepoint	w6	-1.87758472884414	0.289989139107108	86	39	2.69664077835853e-08	3.66425894000483e-07
ASV86	timepoint	w3	-1.54260183177772	0.245707113638569	86	75	5.37617023238418e-08	6.89941846489303e-07
ASV245	timepoint	w6	1.38378991032218	0.221778674013959	86	54	6.78792647413096e-08	8.25268955539079e-07
ASV404	timepoint	w3	-1.21612694843724	0.206999042234389	86	0	8.72789192615291e-08	1.00807151747066e-06
ASV228	timepoint	w6	-1.29356015421676	0.211077932549566	86	19	9.78645886018713e-08	1.02890905070445e-06
ASV245	timepoint	w3	1.37450282531112	0.22411970274395	86	54	9.79913381623282e-08	1.02890905070445e-06
ASV228	timepoint	w3	-1.29426951704239	0.213335390220231	86	19	1.19906795061517e-07	1.20428128953089e-06
ASV36	timepoint	w6	1.41511467322256	0.234701451400056	86	85	1.40714585538343e-07	1.35437788580656e-06
ASV15	timepoint	w3	1.70771093689688	0.284058277429336	86	78	1.46978455595863e-07	1.35808092970577e-06
ASV87	timepoint	w6	-1.33627653115423	0.224085028681181	86	79	1.8130063598791e-07	1.61078641973874e-06
ASV73	timepoint	w6	1.34622331212298	0.229186236144034	86	44	2.52240787357788e-07	1.87960070579513e-06
ASV81	timepoint	w3	-2.2501448033887	0.383020229281629	86	34	2.44637824587437e-07	1.87960070579513e-06
ASV137	timepoint	w6	-2.21730025625785	0.376719045586376	86	62	2.42369715969775e-07	1.87960070579513e-06
ASV275	timepoint	w3	-1.54285264450074	0.26210066452922	86	12	2.33838144575388e-07	1.87960070579513e-06
ASV419	timepoint	w6	1.59121591918044	0.270810642963172	86	9	2.50198128806548e-07	1.87960070579513e-06
ASV67	timepoint	w6	0.903664213316061	0.155637593657267	86	78	3.23319813364315e-07	2.33396490272365e-06
ASV4	timepoint	w3	1.39444288524692	0.245787423574889	86	85	5.28650229602227e-07	3.70055160721559e-06
ASV129	timepoint	w3	1.20506768032892	0.215638720954982	86	57	7.1235799736677e-07	4.83984404093306e-06
