feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV117	timepoint	w3	2.48708601030075	0.203347267341248	45	29	1.98199096231821e-15	3.09190590121642e-13
ASV63	timepoint	w3	2.56796986417733	0.265747850288744	45	36	2.03932404626786e-10	1.59067275608893e-08
ASV82	timepoint	w3	-1.80341901539985	0.234555758723473	45	33	1.52965311682209e-09	7.95419620747487e-08
ASV15	timepoint	w6	3.02662062845766	0.370683470580546	45	41	6.88937015451662e-09	2.68685436026148e-07
ASV234	timepoint	w6	-1.98823099273155	0.276369119428654	45	12	7.87890524798509e-08	2.21862733154143e-06
ASV439	timepoint	w3	1.69596003622183	0.262364606781963	45	1	8.53318204439012e-08	2.21862733154143e-06
ASV76	timepoint	w6	0.939255567289558	0.139729497153593	45	45	2.6850420518024e-07	5.98380800115962e-06
ASV13	timepoint	w3	2.33849839415094	0.360300510332039	45	41	4.94224400918603e-07	9.63737581791276e-06
ASV68	timepoint	w6	1.86751918695093	0.316198821386423	45	20	2.35641309829833e-06	4.08444937038377e-05
ASV148	timepoint	w6	-2.13714919582186	0.366233755930479	45	21	2.85179078499113e-06	4.44879362458616e-05
ASV4	timepoint	w3	1.62859195034462	0.289910063397428	45	44	5.14608316885175e-06	7.29808158491703e-05
ASV404	timepoint	w6	-1.43129595839677	0.278068907260761	45	0	6.59131162922628e-06	8.56870511799416e-05
ASV11	timepoint	w3	-1.30783303332863	0.241700116264248	45	45	9.02771823734587e-06	0.00010833261884815
ASV261	timepoint	w3	-1.63446959263816	0.327146433077787	45	6	1.07798476043511e-05	0.000120118301877055
ASV100	timepoint	w6	0.934115122785184	0.189458801635285	45	45	1.33389099700171e-05	0.000138724663688178
ASV404	timepoint	w3	-1.28275201224616	0.278068907260761	45	0	3.70009288992696e-05	0.000360759056767878
ASV81	timepoint	w3	-2.32375601816365	0.477095593862945	45	18	3.95030750352363e-05	0.000362498806205698
ASV245	timepoint	w6	1.43116742865777	0.300617826635728	45	28	5.33412085696239e-05	0.000462290474270074
ASV399	timepoint	w6	1.24667008075906	0.272758335939956	45	1	8.96390876538754e-05	0.000735984088105504
ASV17	timepoint	w6	-3.78112041505193	0.839845811990621	45	28	0.000108018151144915	0.000842541578930341
ASV3	timepoint	w3	-0.728128667800241	0.18227184923223	45	45	0.000255643083907969	0.00189906290903063
ASV138	timepoint	w6	1.49349792449869	0.358851249742824	45	23	0.00027184520084778	0.00192762960601153
ASV107	timepoint	w6	0.563659581038246	0.13793869369715	45	45	0.000333257645678674	0.00226035620547275
ASV137	timepoint	w6	-2.31948185596724	0.570177657078558	45	36	0.000350079794876249	0.00227551866669562
ASV67	timepoint	w6	0.786973020388797	0.19645282374294	45	42	0.000413614773853848	0.00258095618884801
ASV245	timepoint	w3	1.19787016925602	0.300617826635728	45	28	0.000437803501635124	0.00262682100981074
ASV228	timepoint	w6	-1.07009743681771	0.269972413318381	45	11	0.000463087844473121	0.00267561865695581
ASV10	timepoint	w6	0.495124901421491	0.126000267227983	45	45	0.000507409316813719	0.00282699476510501
ASV62	timepoint	w6	1.06930445235402	0.290157523158005	45	40	0.00064850605020038	0.00348851530452618
ASV275	timepoint	w6	-1.33071124802967	0.351943524562643	45	2	0.000753458103753623	0.0037915956188892
ASV412	timepoint	w3	1.01429529314059	0.268165447294057	45	0	0.000750840656323859	0.0037915956188892
ASV205	timepoint	w6	0.648211898746653	0.174014232692089	45	37	0.000873794935684312	0.00425975031146102
ASV73	timepoint	w6	1.14791584865226	0.309791758882163	45	21	0.000920225580619236	0.00435015729020002
ASV362	timepoint	w6	-1.08314695770062	0.305135256286597	45	2	0.000965700238800439	0.00443085991920201
ASV87	timepoint	w6	-1.04510802367614	0.28748171985033	45	43	0.00110661010895652	0.00479734501673863
ASV228	timepoint	w3	-0.977408424264353	0.269972413318381	45	11	0.00115102142939358	0.00479734501673863
ASV262	timepoint	w6	-1.2837653037061	0.355158275731871	45	5	0.0011685840425389	0.00479734501673863
ASV414	timepoint	w3	0.905894694730337	0.258633732473669	45	0	0.00110742378590004	0.00479734501673863
ASV36	timepoint	w6	1.07143649779561	0.303011616569825	45	44	0.00143554861112013	0.00574219444448051
ASV88	timepoint	w6	-1.72614216340842	0.490030027554748	45	34	0.00148670963201751	0.00579816756486828
ASV107	timepoint	w3	-0.484251677355571	0.13793869369715	45	45	0.00153347323286993	0.00583467864213923
ASV108	timepoint	w6	0.635432396856144	0.182764799595123	45	45	0.00167452064416945	0.00621964810691509
ASV3	timepoint	w6	-0.600564107780905	0.18227184923223	45	45	0.00200604077391576	0.0071462460245353
ASV504	timepoint	w3	0.796666331443179	0.233959738965911	45	0	0.00201560785307406	0.0071462460245353
ASV15	timepoint	w3	1.20956802931149	0.370683470580546	45	41	0.00290128772879399	0.0100577974598192
ASV240	timepoint	w3	-1.23817276211235	0.397751320794499	45	7	0.00332879597583407	0.0112889602658721
ASV226	timepoint	w6	-1.39582919795766	0.439920244739813	45	7	0.00364635099743116	0.0118506407416513
ASV419	timepoint	w6	1.26067711124396	0.408599105349912	45	3	0.003589936780774	0.0118506407416513
ASV90	timepoint	w3	-0.426142342134383	0.136127775043654	45	45	0.00405769141966298	0.0129183645197434
ASV2	timepoint	w6	0.677596086088447	0.223833917981966	45	45	0.00420520627544153	0.0131202435793776
ASV33	timepoint	w3	-1.15045447171009	0.37523452870811	45	41	0.00476850554660094	0.0143055166398028
ASV161	timepoint	w6	0.533967903568811	0.174074395777202	45	41	0.00475060199742265	0.0143055166398028
ASV86	timepoint	w3	-0.78934578470847	0.272788956361744	45	44	0.00601424810520883	0.0177023151775958
ASV139	timepoint	w6	0.599067177186431	0.20589938090798	45	19	0.00701787307588469	0.0202738555525558
ASV76	timepoint	w3	0.400262205283684	0.139729497153593	45	45	0.00783105517552061	0.0218212768618333
ASV493	timepoint	w3	0.549123902659213	0.196615691500098	45	0	0.00783327887347861	0.0218212768618333
ASV99	timepoint	w6	0.537426772176224	0.19402830930999	45	45	0.00831564696545462	0.0226863025693905
ASV105	timepoint	w6	1.5728870209327	0.55501732427142	45	11	0.00843465095528622	0.0226863025693905
ASV275	timepoint	w3	-0.993325616432079	0.351943524562643	45	2	0.00867343156333238	0.0229331410827094
ASV365	timepoint	w3	-1.04915451713048	0.381479593923916	45	3	0.0103170433963538	0.0268243128305198
ASV129	timepoint	w3	0.806060742057986	0.298143432382952	45	28	0.0115295487322894	0.029485403315363
ASV188	timepoint	w3	1.21658948088099	0.454133357223517	45	13	0.0122239667813442	0.0307570777078982
ASV82	timepoint	w6	-0.598838897283599	0.234555758723473	45	33	0.0143995938548301	0.0356561371643412
ASV576	timepoint	w6	0.7944682833702	0.307544137818477	45	2	0.0153017204566323	0.0372979436130412
ASV215	timepoint	w6	-1.04112912260903	0.437387887461177	45	6	0.0243427019697015	0.0584224847272836
ASV240	timepoint	w6	0.924339936680903	0.397751320794499	45	7	0.0250415263007794	0.0591890621654786
ASV28	timepoint	w3	-1.53486833072686	0.658793269387353	45	31	0.0272507054269193	0.0634494036805881
ASV261	timepoint	w6	0.741827772268576	0.327146433077787	45	6	0.0285619087868084	0.0655243789815016
ASV33	timepoint	w6	-0.856527595269782	0.37523452870811	45	41	0.0302477147224684	0.0683861376334068
ASV1	timepoint	w6	0.335328970442368	0.152817408340296	45	45	0.0337962470195593	0.0753173505007321
ASV87	timepoint	w3	-0.637354943572739	0.28748171985033	45	43	0.0349133175875644	0.0767109513191556
ASV137	timepoint	w3	-1.25812534743121	0.570177657078558	45	36	0.035715607857784	0.0773838170251987
ASV348	timepoint	w3	0.613343344815641	0.279178817866086	45	0	0.0364647381247109	0.0779246458555466
ASV139	timepoint	w3	-0.446573781079337	0.20589938090798	45	19	0.0387374169602523	0.0816626627810724
ASV129	timepoint	w6	0.639562695498384	0.298143432382952	45	28	0.0407584409745667	0.0847775572270986
ASV99	timepoint	w3	-0.395081849263245	0.19402830930999	45	45	0.0480677366503498	0.0986653541770338
ASV226	timepoint	w3	-0.900244720577466	0.439920244739813	45	7	0.050211871409959	0.101727947272125
ASV2	timepoint	w3	0.449100827345023	0.223833917981966	45	45	0.05128054340191	0.10256108680382
ASV126	timepoint	w3	-0.822857080521339	0.437205236668005	45	27	0.0702564884054472	0.138734331534807
ASV105	timepoint	w3	1.03584424846039	0.55501732427142	45	11	0.0725018805002517	0.139633251333818
ASV234	timepoint	w3	-0.51623653598299	0.276369119428654	45	12	0.0722717220962643	0.139633251333818
ASV74	timepoint	w6	-0.744284447351714	0.407578354182705	45	36	0.0749475850720817	0.142583210624936
ASV100	timepoint	w3	0.337391952125822	0.189458801635285	45	45	0.082175651021682	0.154450621197378
ASV67	timepoint	w3	-0.346463465968668	0.19645282374294	45	42	0.0887111996451844	0.16415318396969
ASV117	timepoint	w6	0.353527407462582	0.203347267341248	45	29	0.0894424399834851	0.16415318396969
ASV412	timepoint	w6	0.458793195763232	0.268165447294057	45	0	0.0981662028556812	0.178068926110305
ASV238	timepoint	w3	-0.506528313272396	0.312553557851233	45	2	0.1125856237329	0.201877670141751
ASV369	timepoint	w6	-0.526824619552889	0.328329347922213	45	0	0.11608462291732	0.205786376989794
ASV90	timepoint	w6	0.219551512381762	0.136127775043654	45	45	0.117996339947696	0.206825045301579
ASV190	timepoint	w6	-0.954772012672149	0.596519994429891	45	11	0.120696197267213	0.209206741929835
ASV169	timepoint	w6	0.361517174331175	0.229996862789902	45	15	0.12349271063517	0.211644562358639
ASV576	timepoint	w3	-0.486622429974188	0.307544137818477	45	2	0.124816023955095	0.211644562358639
ASV126	timepoint	w6	-0.682702667448122	0.437205236668005	45	27	0.12963508750901	0.217452404853823
ASV449	timepoint	w6	0.37300249815445	0.246286248918404	45	0	0.141105043573965	0.234174327633388
ASV18	timepoint	w3	-0.377547322429037	0.251259146970478	45	45	0.144132260190944	0.236680343050393
ASV169	timepoint	w3	-0.340741817655533	0.229996862789902	45	15	0.145935837627139	0.237145736144101
ASV73	timepoint	w3	-0.45886165278921	0.309791758882163	45	21	0.149721561517798	0.239308772360212
ASV147	timepoint	w3	1.30861843043696	0.884870313904823	45	16	0.150334998021159	0.239308772360212
ASV182	timepoint	w6	-0.464667762943672	0.319363576724755	45	14	0.156794892052998	0.247070738992603
ASV365	timepoint	w6	-0.530624040586364	0.381479593923916	45	3	0.175192379339352	0.273300111769389
ASV28	timepoint	w6	0.88584175567789	0.658793269387353	45	31	0.189532915579413	0.289873870886162
ASV205	timepoint	w3	0.234547623052364	0.174014232692089	45	37	0.188506763769422	0.289873870886162
ASV53	timepoint	w6	0.35327463185777	0.267603380774484	45	44	0.193937252847499	0.293730208196212
ASV4	timepoint	w6	-0.37635928078021	0.289910063397428	45	44	0.204812850085561	0.307219275128342
ASV498	timepoint	w6	0.317359381965539	0.245605068690402	45	0	0.206867329127891	0.307345746132866
ASV301	timepoint	w3	0.452071395780349	0.384338272820622	45	2	0.249405602042787	0.367049753949763
ASV121	timepoint	w3	0.66205092697048	0.586409963823304	45	25	0.268482352196365	0.39143221441713
ASV62	timepoint	w3	-0.311902857683415	0.290157523158005	45	40	0.288536888604181	0.413048238691529
ASV498	timepoint	w3	-0.265676696329354	0.245605068690402	45	0	0.288604218060106	0.413048238691529
ASV27	timepoint	w6	-0.41597743668423	0.387446051236669	45	41	0.292150197440982	0.414322098189029
ASV414	timepoint	w6	-0.270460470292232	0.258633732473669	45	0	0.301668064250361	0.423965928135642
ASV348	timepoint	w6	-0.290087575047946	0.279178817866086	45	0	0.307660192155249	0.428526696216239
ASV233	timepoint	w3	0.211232542304412	0.207678197057343	45	34	0.317807527905348	0.43874313586933
ASV74	timepoint	w3	-0.406676866994964	0.407578354182705	45	36	0.32409622833902	0.443500101937607
ASV68	timepoint	w3	0.307576090882684	0.316198821386423	45	20	0.339016445713399	0.455918668373192
ASV121	timepoint	w6	-0.57116127943361	0.586409963823304	45	25	0.338398262933854	0.455918668373192
ASV138	timepoint	w3	0.340612867830971	0.358851249742824	45	23	0.350652462189905	0.467536616253207
ASV63	timepoint	w6	-0.244100541549955	0.265747850288744	45	36	0.366180576323984	0.477863817117815
ASV148	timepoint	w3	0.339344670120271	0.366233755930479	45	21	0.362063233960691	0.477863817117815
ASV233	timepoint	w6	0.190193562172642	0.207678197057343	45	34	0.367587551629088	0.477863817117815
ASV188	timepoint	w6	-0.409853266264507	0.454133357223517	45	13	0.374492405041561	0.482816654433748
ASV238	timepoint	w6	0.266126320488888	0.312553557851233	45	2	0.399343623557271	0.510636108810937
ASV13	timepoint	w6	-0.305011372051794	0.360300510332039	45	41	0.404424955061151	0.51292921129707
ASV108	timepoint	w3	0.141916706274062	0.182764799595123	45	45	0.443964778177238	0.55853633383588
ASV161	timepoint	w3	-0.131296530261236	0.174074395777202	45	41	0.456992869950035	0.570327101697643
ASV262	timepoint	w3	0.256786842922648	0.355158275731871	45	5	0.475663787205334	0.58891706987327
ASV10	timepoint	w3	0.0896743032095863	0.126000267227983	45	45	0.48253894789272	0.59034386016272
ASV11	timepoint	w6	0.171286983115319	0.241700116264248	45	45	0.484384705774539	0.59034386016272
ASV36	timepoint	w3	0.212375514302128	0.303011616569825	45	44	0.48916051185112	0.591542944564145
ASV53	timepoint	w3	0.171725586336224	0.267603380774484	45	44	0.524544090734859	0.629452908881831
ASV439	timepoint	w6	0.161132242797918	0.262364606781963	45	1	0.542426287095671	0.645942754098662
ASV449	timepoint	w3	-0.146226065047483	0.246286248918404	45	0	0.557463220576448	0.658820169772166
ASV263	timepoint	w3	0.252336864812854	0.462185450721592	45	5	0.589414267727909	0.691343050868825
ASV493	timepoint	w6	-0.104800026973033	0.196615691500098	45	0	0.59682928816924	0.694816186226877
ASV301	timepoint	w6	0.162138829157874	0.384338272820622	45	2	0.676345121612388	0.781554362752092
ASV147	timepoint	w6	0.328863712601264	0.884870313904823	45	16	0.712949787935134	0.817795344984418
ASV17	timepoint	w3	0.295462932926731	0.839845811990621	45	28	0.727617561876623	0.828528026662432
ASV263	timepoint	w6	-0.15827852198015	0.462185450721592	45	5	0.734564670396254	0.830377453491418
ASV1	timepoint	w3	-0.0505078205250915	0.152817408340296	45	45	0.742657092071669	0.833485657289067
ASV419	timepoint	w3	0.126675266947403	0.408599105349912	45	3	0.758076326729578	0.844713621212959
ASV530	timepoint	w6	0.0608604163461704	0.22156221049986	45	0	0.785572820654977	0.8691443973204
ASV215	timepoint	w3	0.0946368595854731	0.437387887461177	45	6	0.830269350508455	0.91212689210788
ASV182	timepoint	w3	0.0587991424795119	0.319363576724755	45	14	0.855251360628439	0.926522307347476
ASV530	timepoint	w3	-0.0416516705198913	0.22156221049986	45	0	0.852239602907813	0.926522307347476
ASV27	timepoint	w3	-0.0664163773525117	0.387446051236669	45	41	0.86512563180864	0.930755852152743
ASV88	timepoint	w3	-0.0776462297204291	0.490030027554749	45	34	0.875237954326975	0.935185759417864
ASV86	timepoint	w6	0.0409017629029279	0.272788956361744	45	44	0.881530309660458	0.935501553109058
ASV81	timepoint	w6	0.0566410721007953	0.477095593862945	45	18	0.906344375055668	0.955335962896515
ASV190	timepoint	w3	-0.0637124475865032	0.596519994429891	45	11	0.915703778328232	0.958723418920833
ASV18	timepoint	w6	-0.0244018514478675	0.251259146970478	45	45	0.923324327344161	0.960257300437927
ASV369	timepoint	w3	-0.0283121932437052	0.328329347922213	45	0	0.931692513951073	0.962543259446141
ASV504	timepoint	w6	0.014650604308836	0.233959738965911	45	0	0.950513836166224	0.975527358170598
ASV93	timepoint	w6	0.0137883155732823	0.3031066109705	45	27	0.964039646473626	0.982942384639775
ASV93	timepoint	w3	-0.0074947763449182	0.3031066109705	45	27	0.98044847263995	0.987030432777077
ASV362	timepoint	w3	0.00742444095562598	0.305135256286597	45	2	0.98070331461825	0.987030432777077
ASV399	timepoint	w3	0.00025557344159819	0.272758335939956	45	1	0.999259029567215	0.999259029567215
