"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"name"	"qval"	"N"	"N.not.zero"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"tax_name"	"dif_abundant"	"label"	"group"
"ASV117"	"timepoint"	"w3"	2.48708601030075	0.203347267341248	1.98199096231821e-15	"timepointw3"	3.09190590121642e-13	45	29	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Enterorhabdus"	"ASV117 | Eggerthellaceae | Enterorhabdus"	"up"	"Enterorhabdus"	"KO"
"ASV63"	"timepoint"	"w3"	2.56796986417733	0.265747850288744	2.03932404626786e-10	"timepointw3"	1.59067275608893e-08	45	36	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"HT002"	"ASV63 | Lactobacillaceae | HT002"	"up"	"HT002"	"KO"
"ASV82"	"timepoint"	"w3"	-1.80341901539985	0.234555758723473	1.52965311682209e-09	"timepointw3"	7.95419620747487e-08	45	33	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"ASV82 | Tannerellaceae | Parabacteroides"	"down"	"Parabacteroides"	"KO"
"ASV15"	"timepoint"	"w6"	3.02662062845766	0.370683470580546	6.88937015451662e-09	"timepointw6"	2.68685436026148e-07	45	41	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-001"	"ASV15 | Lachnospiraceae | Lachnospiraceae UCG-001"	"up"	"Lachnospiraceae UCG-001"	"KO"
"ASV234"	"timepoint"	"w6"	-1.98823099273155	0.276369119428654	7.87890524798509e-08	"timepointw6"	2.21862733154143e-06	45	12	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	"Christensenellaceae R-7 group"	"ASV234 | Christensenellaceae | Christensenellaceae R-7 group"	"down"	"Christensenellaceae R-7 group"	"KO"
"ASV439"	"timepoint"	"w3"	1.69596003622183	0.262364606781963	8.53318204439012e-08	"timepointw3"	2.21862733154143e-06	45	1	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Parvibacter"	"ASV439 | Eggerthellaceae | Parvibacter"	"up"	"Parvibacter"	"KO"
"ASV13"	"timepoint"	"w3"	2.33849839415094	0.360300510332039	4.94224400918603e-07	"timepointw3"	9.63737581791276e-06	45	41	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Ligilactobacillus"	"ASV13 | Lactobacillaceae | Ligilactobacillus"	"up"	"Ligilactobacillus"	"KO"
"ASV68"	"timepoint"	"w6"	1.86751918695093	0.316198821386423	2.35641309829833e-06	"timepointw6"	4.08444937038377e-05	45	20	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae FCS020 group"	"ASV68 | Lachnospiraceae | Lachnospiraceae FCS020 group"	"up"	"Lachnospiraceae FCS020 group"	"KO"
"ASV148"	"timepoint"	"w6"	-2.13714919582186	0.366233755930479	2.85179078499113e-06	"timepointw6"	4.44879362458616e-05	45	21	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Anaerovoracaceae"	"[Eubacterium] nodatum group"	"ASV148 | Anaerovoracaceae | [Eubacterium] nodatum group"	"down"	"[Eubacterium] nodatum group"	"KO"
"ASV4"	"timepoint"	"w3"	1.62859195034462	0.289910063397428	5.14608316885175e-06	"timepointw3"	7.29808158491703e-05	45	44	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"ASV4 | Lactobacillaceae | Lactobacillus"	"up"	"Lactobacillus"	"KO"
"ASV11"	"timepoint"	"w3"	-1.30783303332863	0.241700116264248	9.02771823734587e-06	"timepointw3"	0.00010833261884815	45	45	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"ASV11 | Bacteroidaceae | Bacteroides"	"down"	"Bacteroides"	"KO"
"ASV100"	"timepoint"	"w6"	0.934115122785184	0.189458801635285	1.33389099700171e-05	"timepointw6"	0.000138724663688178	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnoclostridium"	"ASV100 | Lachnospiraceae | Lachnoclostridium"	"stable"	NA	"KO"
"ASV81"	"timepoint"	"w3"	-2.32375601816365	0.477095593862945	3.95030750352363e-05	"timepointw3"	0.000362498806205698	45	18	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotellaceae UCG-001"	"ASV81 | Prevotellaceae | Prevotellaceae UCG-001"	"down"	"Prevotellaceae UCG-001"	"KO"
"ASV245"	"timepoint"	"w6"	1.43116742865777	0.300617826635728	5.33412085696239e-05	"timepointw6"	0.000462290474270074	45	28	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	"Butyricicoccus"	"ASV245 | Butyricicoccaceae | Butyricicoccus"	"up"	"Butyricicoccus"	"KO"
"ASV399"	"timepoint"	"w6"	1.24667008075906	0.272758335939956	8.96390876538754e-05	"timepointw6"	0.000735984088105504	45	1	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-010"	"ASV399 | Lachnospiraceae | Lachnospiraceae UCG-010"	"up"	"Lachnospiraceae UCG-010"	"KO"
"ASV17"	"timepoint"	"w6"	-3.78112041505193	0.839845811990621	0.000108018151144915	"timepointw6"	0.000842541578930341	45	28	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"	"ASV17 | Erysipelotrichaceae | Turicibacter"	"down"	"Turicibacter"	"KO"
"ASV138"	"timepoint"	"w6"	1.49349792449869	0.358851249742824	0.00027184520084778	"timepointw6"	0.00192762960601153	45	23	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"ASF356"	"ASV138 | Lachnospiraceae | ASF356"	"up"	"ASF356"	"KO"
"ASV67"	"timepoint"	"w6"	0.786973020388797	0.19645282374294	0.000413614773853848	"timepointw6"	0.00258095618884801	45	42	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	"Anaerotruncus"	"ASV67 | Ruminococcaceae | Anaerotruncus"	"stable"	NA	"KO"
"ASV245"	"timepoint"	"w3"	1.19787016925602	0.300617826635728	0.000437803501635124	"timepointw3"	0.00262682100981074	45	28	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Butyricicoccaceae"	"Butyricicoccus"	"ASV245 | Butyricicoccaceae | Butyricicoccus"	"up"	"Butyricicoccus"	"KO"
"ASV10"	"timepoint"	"w6"	0.495124901421491	0.126000267227983	0.000507409316813719	"timepointw6"	0.00282699476510501	45	45	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae NK4A136 group"	"ASV10 | Lachnospiraceae | Lachnospiraceae NK4A136 group"	"stable"	NA	"KO"
"ASV62"	"timepoint"	"w6"	1.06930445235402	0.290157523158005	0.00064850605020038	"timepointw6"	0.00348851530452618	45	40	"Bacteria"	"Campylobacterota"	"Campylobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	"ASV62 | Helicobacteraceae | Helicobacter"	"up"	"Helicobacter"	"KO"
"ASV275"	"timepoint"	"w6"	-1.33071124802967	0.351943524562643	0.000753458103753623	"timepointw6"	0.0037915956188892	45	2	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"Candidatus Saccharimonas"	"ASV275 | Saccharimonadaceae | Candidatus Saccharimonas"	"down"	"Candidatus Saccharimonas"	"KO"
