feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV117	timepoint	w3	2.48708601030075	0.203347267341248	45	29	1.98199096231821e-15	3.09190590121642e-13
ASV63	timepoint	w3	2.56796986417733	0.265747850288744	45	36	2.03932404626786e-10	1.59067275608893e-08
ASV82	timepoint	w3	-1.80341901539985	0.234555758723473	45	33	1.52965311682209e-09	7.95419620747487e-08
ASV15	timepoint	w6	3.02662062845766	0.370683470580546	45	41	6.88937015451662e-09	2.68685436026148e-07
ASV234	timepoint	w6	-1.98823099273155	0.276369119428654	45	12	7.87890524798509e-08	2.21862733154143e-06
ASV439	timepoint	w3	1.69596003622183	0.262364606781963	45	1	8.53318204439012e-08	2.21862733154143e-06
ASV76	timepoint	w6	0.939255567289558	0.139729497153593	45	45	2.6850420518024e-07	5.98380800115962e-06
ASV13	timepoint	w3	2.33849839415094	0.360300510332039	45	41	4.94224400918603e-07	9.63737581791276e-06
ASV68	timepoint	w6	1.86751918695093	0.316198821386423	45	20	2.35641309829833e-06	4.08444937038377e-05
ASV148	timepoint	w6	-2.13714919582186	0.366233755930479	45	21	2.85179078499113e-06	4.44879362458616e-05
ASV4	timepoint	w3	1.62859195034462	0.289910063397428	45	44	5.14608316885175e-06	7.29808158491703e-05
ASV404	timepoint	w6	-1.43129595839677	0.278068907260761	45	0	6.59131162922628e-06	8.56870511799416e-05
ASV11	timepoint	w3	-1.30783303332863	0.241700116264248	45	45	9.02771823734587e-06	0.00010833261884815
ASV261	timepoint	w3	-1.63446959263816	0.327146433077787	45	6	1.07798476043511e-05	0.000120118301877055
ASV100	timepoint	w6	0.934115122785184	0.189458801635285	45	45	1.33389099700171e-05	0.000138724663688178
ASV404	timepoint	w3	-1.28275201224616	0.278068907260761	45	0	3.70009288992696e-05	0.000360759056767878
ASV81	timepoint	w3	-2.32375601816365	0.477095593862945	45	18	3.95030750352363e-05	0.000362498806205698
ASV245	timepoint	w6	1.43116742865777	0.300617826635728	45	28	5.33412085696239e-05	0.000462290474270074
ASV399	timepoint	w6	1.24667008075906	0.272758335939956	45	1	8.96390876538754e-05	0.000735984088105504
ASV17	timepoint	w6	-3.78112041505193	0.839845811990621	45	28	0.000108018151144915	0.000842541578930341
ASV3	timepoint	w3	-0.728128667800241	0.18227184923223	45	45	0.000255643083907969	0.00189906290903063
ASV138	timepoint	w6	1.49349792449869	0.358851249742824	45	23	0.00027184520084778	0.00192762960601153
ASV107	timepoint	w6	0.563659581038246	0.13793869369715	45	45	0.000333257645678674	0.00226035620547275
ASV137	timepoint	w6	-2.31948185596724	0.570177657078558	45	36	0.000350079794876249	0.00227551866669562
ASV67	timepoint	w6	0.786973020388797	0.19645282374294	45	42	0.000413614773853848	0.00258095618884801
ASV245	timepoint	w3	1.19787016925602	0.300617826635728	45	28	0.000437803501635124	0.00262682100981074
ASV228	timepoint	w6	-1.07009743681771	0.269972413318381	45	11	0.000463087844473121	0.00267561865695581
ASV10	timepoint	w6	0.495124901421491	0.126000267227983	45	45	0.000507409316813719	0.00282699476510501
ASV62	timepoint	w6	1.06930445235402	0.290157523158005	45	40	0.00064850605020038	0.00348851530452618
ASV275	timepoint	w6	-1.33071124802967	0.351943524562643	45	2	0.000753458103753623	0.0037915956188892
ASV412	timepoint	w3	1.01429529314059	0.268165447294057	45	0	0.000750840656323859	0.0037915956188892
ASV205	timepoint	w6	0.648211898746653	0.174014232692089	45	37	0.000873794935684312	0.00425975031146102
ASV73	timepoint	w6	1.14791584865226	0.309791758882163	45	21	0.000920225580619236	0.00435015729020002
ASV362	timepoint	w6	-1.08314695770062	0.305135256286597	45	2	0.000965700238800439	0.00443085991920201
ASV87	timepoint	w6	-1.04510802367614	0.28748171985033	45	43	0.00110661010895652	0.00479734501673863
ASV228	timepoint	w3	-0.977408424264353	0.269972413318381	45	11	0.00115102142939358	0.00479734501673863
ASV262	timepoint	w6	-1.2837653037061	0.355158275731871	45	5	0.0011685840425389	0.00479734501673863
ASV414	timepoint	w3	0.905894694730337	0.258633732473669	45	0	0.00110742378590004	0.00479734501673863
ASV36	timepoint	w6	1.07143649779561	0.303011616569825	45	44	0.00143554861112013	0.00574219444448051
ASV88	timepoint	w6	-1.72614216340842	0.490030027554748	45	34	0.00148670963201751	0.00579816756486828
ASV107	timepoint	w3	-0.484251677355571	0.13793869369715	45	45	0.00153347323286993	0.00583467864213923
ASV108	timepoint	w6	0.635432396856144	0.182764799595123	45	45	0.00167452064416945	0.00621964810691509
ASV3	timepoint	w6	-0.600564107780905	0.18227184923223	45	45	0.00200604077391576	0.0071462460245353
ASV504	timepoint	w3	0.796666331443179	0.233959738965911	45	0	0.00201560785307406	0.0071462460245353
ASV15	timepoint	w3	1.20956802931149	0.370683470580546	45	41	0.00290128772879399	0.0100577974598192
ASV240	timepoint	w3	-1.23817276211235	0.397751320794499	45	7	0.00332879597583407	0.0112889602658721
ASV226	timepoint	w6	-1.39582919795766	0.439920244739813	45	7	0.00364635099743116	0.0118506407416513
ASV419	timepoint	w6	1.26067711124396	0.408599105349912	45	3	0.003589936780774	0.0118506407416513
ASV90	timepoint	w3	-0.426142342134383	0.136127775043654	45	45	0.00405769141966298	0.0129183645197434
ASV2	timepoint	w6	0.677596086088447	0.223833917981966	45	45	0.00420520627544153	0.0131202435793776
ASV33	timepoint	w3	-1.15045447171009	0.37523452870811	45	41	0.00476850554660094	0.0143055166398028
ASV161	timepoint	w6	0.533967903568811	0.174074395777202	45	41	0.00475060199742265	0.0143055166398028
ASV86	timepoint	w3	-0.78934578470847	0.272788956361744	45	44	0.00601424810520883	0.0177023151775958
ASV139	timepoint	w6	0.599067177186431	0.20589938090798	45	19	0.00701787307588469	0.0202738555525558
ASV76	timepoint	w3	0.400262205283684	0.139729497153593	45	45	0.00783105517552061	0.0218212768618333
ASV493	timepoint	w3	0.549123902659213	0.196615691500098	45	0	0.00783327887347861	0.0218212768618333
ASV99	timepoint	w6	0.537426772176224	0.19402830930999	45	45	0.00831564696545462	0.0226863025693905
ASV105	timepoint	w6	1.5728870209327	0.55501732427142	45	11	0.00843465095528622	0.0226863025693905
ASV275	timepoint	w3	-0.993325616432079	0.351943524562643	45	2	0.00867343156333238	0.0229331410827094
ASV365	timepoint	w3	-1.04915451713048	0.381479593923916	45	3	0.0103170433963538	0.0268243128305198
ASV129	timepoint	w3	0.806060742057986	0.298143432382952	45	28	0.0115295487322894	0.029485403315363
ASV188	timepoint	w3	1.21658948088099	0.454133357223517	45	13	0.0122239667813442	0.0307570777078982
ASV82	timepoint	w6	-0.598838897283599	0.234555758723473	45	33	0.0143995938548301	0.0356561371643412
ASV576	timepoint	w6	0.7944682833702	0.307544137818477	45	2	0.0153017204566323	0.0372979436130412
