feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV82	timepoint	w3	-2.98226207292928	0.309372067221396	41	26	4.97505447192423e-10	7.56208279732483e-08
ASV76	timepoint	w3	1.4120070579527	0.159794792025194	41	41	2.95038677583731e-09	2.24229394963636e-07
ASV108	timepoint	w3	1.17557713167346	0.141795746113585	41	41	1.10873742285383e-08	5.6176029424594e-07
ASV76	timepoint	w6	1.25023680215521	0.156034700952704	41	41	2.11154624828549e-08	8.02387574348486e-07
ASV117	timepoint	w3	2.43099224587385	0.311448257121358	41	33	3.03399350682288e-08	9.22334026074155e-07
ASV11	timepoint	w3	-1.73524092035128	0.243272774344937	41	40	1.48604087480272e-07	3.76463688283357e-06
ASV15	timepoint	w6	2.78137680113964	0.395158160049583	41	37	2.07007106117845e-07	3.93313501623906e-06
ASV17	timepoint	w6	-3.74078281503532	0.529663802143603	41	17	1.95172614715444e-07	3.93313501623906e-06
ASV86	timepoint	w3	-2.3824321796405	0.348626525557647	41	31	3.22635099572476e-07	5.44894834833515e-06
ASV275	timepoint	w6	-2.38329536209349	0.353563452312337	41	9	4.19282277705391e-07	6.37309062112195e-06
ASV17	timepoint	w3	-3.51543977445819	0.541909703355941	41	17	7.40791913154499e-07	9.46350931026481e-06
ASV68	timepoint	w6	2.86912561671616	0.440909795828277	41	27	7.47119156073537e-07	9.46350931026481e-06
ASV3	timepoint	w3	-1.5988171677277	0.261238129713731	41	41	1.92067050854103e-06	2.08529940927312e-05
ASV234	timepoint	w3	-2.05246096376355	0.364930312938948	41	6	1.86551604868915e-06	2.08529940927312e-05
ASV62	timepoint	w6	1.39527378089268	0.251141456201945	41	35	2.315931602847e-06	2.34681069088496e-05
ASV275	timepoint	w3	-2.14132948066653	0.361044721079361	41	9	2.95311812594154e-06	2.80546221964446e-05
ASV36	timepoint	w6	1.77367989701729	0.302892261852156	41	41	4.01312658908432e-06	3.23083465756372e-05
ASV161	timepoint	w3	0.9201967485487	0.15743316252654	41	36	4.0060443823077e-06	3.23083465756372e-05
ASV419	timepoint	w6	1.93570324923539	0.330682579116977	41	6	4.03854332195464e-06	3.23083465756372e-05
ASV15	timepoint	w3	2.28258487818926	0.403948538335777	41	37	6.24696983260208e-06	4.1284322371979e-05
ASV36	timepoint	w3	1.75340738765294	0.309387049903658	41	41	6.03519330316356e-06	4.1284322371979e-05
