"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"name"	"qval"	"N"	"N.not.zero"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"tax_name"	"dif_abundant"	"label"	"group"
"ASV82"	"timepoint"	"w3"	-2.98226207292928	0.309372067221396	4.97505447192423e-10	"timepointw3"	7.56208279732483e-08	41	26	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	"ASV82 | Tannerellaceae | Parabacteroides"	"down"	"Parabacteroides"	"WT"
"ASV117"	"timepoint"	"w3"	2.43099224587385	0.311448257121358	3.03399350682288e-08	"timepointw3"	9.22334026074155e-07	41	33	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Enterorhabdus"	"ASV117 | Eggerthellaceae | Enterorhabdus"	"up"	"Enterorhabdus"	"WT"
"ASV11"	"timepoint"	"w3"	-1.73524092035128	0.243272774344937	1.48604087480272e-07	"timepointw3"	3.76463688283357e-06	41	40	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	"ASV11 | Bacteroidaceae | Bacteroides"	"down"	"Bacteroides"	"WT"
"ASV15"	"timepoint"	"w6"	2.78137680113964	0.395158160049583	2.07007106117845e-07	"timepointw6"	3.93313501623906e-06	41	37	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae UCG-001"	"ASV15 | Lachnospiraceae | Lachnospiraceae UCG-001"	"up"	"Lachnospiraceae UCG-001"	"WT"
"ASV17"	"timepoint"	"w6"	-3.74078281503532	0.529663802143603	1.95172614715444e-07	"timepointw6"	3.93313501623906e-06	41	17	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"	"ASV17 | Erysipelotrichaceae | Turicibacter"	"down"	"Turicibacter"	"WT"
"ASV86"	"timepoint"	"w3"	-2.3824321796405	0.348626525557647	3.22635099572476e-07	"timepointw3"	5.44894834833515e-06	41	31	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Muribaculaceae"	"Muribaculum"	"ASV86 | Muribaculaceae | Muribaculum"	"down"	"Muribaculum"	"WT"
"ASV275"	"timepoint"	"w6"	-2.38329536209349	0.353563452312337	4.19282277705391e-07	"timepointw6"	6.37309062112195e-06	41	9	"Bacteria"	"Patescibacteria"	"Saccharimonadia"	"Saccharimonadales"	"Saccharimonadaceae"	"Candidatus Saccharimonas"	"ASV275 | Saccharimonadaceae | Candidatus Saccharimonas"	"down"	"Candidatus Saccharimonas"	"WT"
"ASV17"	"timepoint"	"w3"	-3.51543977445819	0.541909703355941	7.40791913154499e-07	"timepointw3"	9.46350931026481e-06	41	17	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"	"ASV17 | Erysipelotrichaceae | Turicibacter"	"down"	"Turicibacter"	"WT"
"ASV68"	"timepoint"	"w6"	2.86912561671616	0.440909795828277	7.47119156073537e-07	"timepointw6"	9.46350931026481e-06	41	27	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae FCS020 group"	"ASV68 | Lachnospiraceae | Lachnospiraceae FCS020 group"	"up"	"Lachnospiraceae FCS020 group"	"WT"
"ASV234"	"timepoint"	"w3"	-2.05246096376355	0.364930312938948	1.86551604868915e-06	"timepointw3"	2.08529940927312e-05	41	6	"Bacteria"	"Firmicutes"	"Clostridia"	"Christensenellales"	"Christensenellaceae"	"Christensenellaceae R-7 group"	"ASV234 | Christensenellaceae | Christensenellaceae R-7 group"	"down"	"Christensenellaceae R-7 group"	"WT"
