Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.894441571335884	0.0822726522260252	0.00268977292657076	0.0205960035115204	0
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.759792386094499	0.229665080614348	0.00846865452691071	0.00207387876424269	0
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.998446132723369	0.00131621403738561	0.000119520227383506	0.00011813301186157	0
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.959220130746474	0.0120155812877187	0.022949289511621	0.00581499845418671	0
ASV5|Bacteroidota|Muribaculaceae|unknown.spec.	0.869555536363436	0.125447015676956	0.002716398581048	0.00228104937856057	0
ASV6|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.807059970164905	0.088975563361852	0.0228501370670548	0.0372802821827513	0.0438340472234371
ASV7|Bacteroidota|Muribaculaceae|unknown.spec.	0.987866927909963	0.00259274904186526	0.00279943225128718	0.00674089079688424	0
ASV8|Bacteroidota|Muribaculaceae|unknown.spec.	0.948280573486542	0.035818860136845	0.015856270549889	4.42958267239396e-05	0
ASV9|Bacteroidota|Muribaculaceae|unknown.spec.	0.77729470590473	0.184195891702874	0.0381519754966805	0.000357426895714965	0
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.803824280182423	0.153077668458234	0.012937859828202	0.00668639218608198	0.0234737993450595
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.956498142439035	0.00754429035626502	0.0057904459163636	0.0301671212883368	0
ASV12|Bacteroidota|Muribaculaceae|unknown.spec.	0.854117087061113	0.139910233749657	0.00245783405267907	0.00351484513655043	0
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.735928270980318	0.047981007589422	0.141829180798015	0.0742615406322443	0
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.869966193503557	0.0829728207870645	0.00120545249597343	0.0458555332134051	0
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.899483711158873	0.0303134144227747	0.0555962268975712	0.0146066475207814	0
ASV16|Bacteroidota|Muribaculaceae|unknown.spec.	0.539476483279032	0.0989446854595101	0.103377146537327	0.0231720485263092	0.235029636197822
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.988651514305226	0.0111386323552198	0.000164314316175601	4.55390233781857e-05	0
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.867892534969688	0.00307426920116801	0.0268754578389253	0.102157737990219	0
ASV19|Bacteroidota|Muribaculaceae|unknown.spec.	0.945796941319755	0.000815669606481769	0.00718679846106743	0.0366434581750503	0.00955713243764523
ASV20|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.938259174996468	0.00254349852236745	1.89874171398592e-05	0.0591783390640243	0
ASV21|Bacteroidota|Muribaculaceae|unknown.spec.	0.996888692125644	1.78514047267663e-05	0.000775860632218764	0.00231759583741041	0
ASV22|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.92536238548118	0.0597286781105579	0.00203034369581018	0.0128785927124521	0
ASV23|Bacteroidota|Muribaculaceae|unknown.spec.	0.832642807977475	0.127040724613268	0.00848239480624178	0.0318340726030151	0
ASV24|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.721471393745433	0.16334918174477	0.103527262718423	0.0116521617913743	0
ASV25|Bacteroidota|Muribaculaceae|unknown.spec.	0.995108657573015	9.942475930012e-05	0.0024966438748151	0.00229527379286981	0
ASV26|Bacteroidota|Muribaculaceae|unknown.spec.	0.900749897824893	0.0600636516987071	0.0121760928563829	0.0270103576200175	0
