Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
ASV1|Bacteroidota|Rikenellaceae|Alistipes	0.749340513680492	0.233207356952565	0.0171609419517742	0.000291187415168188	0
ASV2|Firmicutes|Lachnospiraceae|A2	0.753347220415142	0.222607865169185	0.0239961829572452	4.87314584281449e-05	0
ASV3|Bacteroidota|Muribaculaceae|unknown	0.843359780172201	0.144751008063375	0.00113715834877437	0.0107520534156497	0
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus	0.941708922278845	0.00133429991547768	0.0368541211027451	0.0201026567029327	0
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides	0.92709198078001	0.0203484502520503	3.77942786316031e-05	0.0525217746893084	0
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus	0.65671809398891	0.129114021550445	0.114928017244526	0.0992398672161194	0
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001	0.961892709482291	0.00882772295907648	0.0243690667240603	0.0049105008345718	0
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter	0.996817126671532	0.00295473032325984	8.38325768522098e-06	0.000219759747522897	0
ASV18|Bacteroidota|Marinifilaceae|Odoribacter	0.756421692891221	0.101160800154011	0.0184029916522968	0.0684232230052093	0.055591292297262
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia	0.982902281094375	0.0159394751878991	0.000714898737837489	0.000443344979887889	0
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella	0.872914453945022	0.0265321507802054	0.00544489383979506	0.00617840743507621	0.0889300939999009
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group	0.824751637626339	0.0121599715762748	0.0114325477510251	0.126943583870882	0.024712259175479
ASV34|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group	0.863382402997654	0.123249356305364	0.00770784742686304	0.00566039327011816	0
ASV39|Firmicutes|Lachnospiraceae|Roseburia	0.861361980594592	0.108350565878757	0.00271511107242973	0.0275723424542214	0
ASV53|Firmicutes|unknown|unknown	0.928435647850038	0.00362051042924833	0.00495019135367876	0.0494874936484172	0.013506156718618
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter	0.743455714309226	0.187967178625968	0.0336665043392584	0.0349106027255479	0
ASV63|Firmicutes|Lactobacillaceae|HT002	0.785497923894442	0.0258799219158229	0.0863507407519302	0.0638948043310135	0.0383766091067918
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus	0.77717100273281	0.146844660599071	0.0746049045766534	0.00137943209146529	1.40051249929794e-17
ASV74|Cyanobacteria|unknown|unknown	0.814261506977797	0.175884165881212	0.00743369599314726	0.0024206311478434	0
ASV76|Firmicutes|Lachnospiraceae|unknown	0.842618680777896	0.120077111629074	0.0357791699668896	0.00152503762614108	0
ASV81|Bacteroidota|Prevotellaceae|Prevotellaceae UCG-001	0.798687134730644	0.174791370755521	9.99939839683086e-05	0.0264215005298667	0
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides	0.939761769880559	0.013994031063172	0.0157519883539785	0.0304922107022903	0
ASV86|Bacteroidota|Muribaculaceae|Muribaculum	0.779099462555221	0.196075857095966	0.0207088988467798	0.00411578150203394	0
ASV87|Proteobacteria|Sutterellaceae|Parasutterella	0.689431687112819	0.285226616606626	0.0251784587130343	0.000163237567520644	0
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group	0.938225300383311	0.033380458553879	0.0249275674504529	0.00346667361235681	0
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter	0.710700215701923	0.186727304047989	0.0944646586951195	0.00810782155496807	0
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio	0.862562585093398	0.0374866198660259	0.0786190884177769	0.0110419801868067	0.010289726435993
ASV107|Firmicutes|Ruminococcaceae|unknown	0.746726213893045	0.235632334494142	2.39126834838836e-08	0.0176414277001292	0
ASV108|Firmicutes|Oscillospiraceae|unknown	0.827520851798159	0.066116546950508	0.0808699557577257	0.0254926454936072	0
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus	0.864971758845729	0.117336759961719	0.00083187332042767	0.0168596078721245	0
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown	0.861169638681773	0.124304562178548	0.0103004585476692	0.00422534059200984	0
ASV126|Firmicutes|Ruminococcaceae|Ruminococcus	0.765473157647859	0.0590304141339655	0.00257974001686027	0.145007522914044	0.0279091652872719
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006	0.650039315257084	0.328686798148024	0.0210051846687323	0.000268701926159218	0
ASV137|Firmicutes|unknown|unknown	0.664833027976879	0.253835045997916	0.066523424636186	0.00172878653364214	0.0130797148553772
ASV139|Firmicutes|Peptococcaceae|unknown	0.754143338681592	0.14335319087782	0.0943788628130267	0.00812460762756058	0
ASV148|Firmicutes|Anaerovoracaceae|[Eubacterium] nodatum group	0.969709449040984	0.0224019465051898	0.00733937746673908	0.000549226987087134	0
ASV165|Firmicutes|Oscillospiraceae|Intestinimonas	0.881102863623803	0.0740622924129845	0.0303711473828935	0.0144636965803189	0
ASV166|Firmicutes|Oscillospiraceae|Oscillibacter	0.740463524983097	0.129360745924988	0.109395250459154	0.00953576803195703	0.0112447106008042
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus	0.738380327518562	0.204477090126545	0.0466854180940588	0.0104571642608338	0
ASV180|Firmicutes|Lachnospiraceae|Lachnoclostridium	0.678392638843425	0.261545287382757	0.00245260730225918	0.0576094664715582	0
ASV190|Firmicutes|Erysipelotrichaceae|Faecalibaculum	0.735491934721252	0.239539702784207	0.0138174415548982	0.0111509209396428	0
ASV205|Firmicutes|Ruminococcaceae|Incertae Sedis	0.807249256724026	0.151377698908237	0.0350859810382555	0.00628706332948126	0
ASV215|Firmicutes|unknown|unknown	0.726403285158584	0.0334495864168116	0.102640942767846	0.00630749622536502	0.131198689431393
ASV226|Firmicutes|Ruminococcaceae|[Eubacterium] siraeum group	0.67567970117362	0.022286383593733	0.233995916615113	0.0265702514782797	0.0414677471392541
ASV228|Firmicutes|UCG-010|unknown	0.759390654521237	0.235548915267767	0.000920844184173274	0.00413958602682254	0
ASV234|Firmicutes|Christensenellaceae|Christensenellaceae R-7 group	0.783322130471314	0.0854193706753843	0.1229598412301	0.00829865762320167	0
ASV237|Firmicutes|Lachnospiraceae|GCA-900066575	0.796168586987556	0.184363787571791	0.0120271792406025	0.00744044620005115	0
ASV272|Firmicutes|Butyricicoccaceae|Butyricicoccus	0.950473925780065	0.00248345012025348	0.0455521807107782	0.00149044338890357	0
ASV275|Patescibacteria|Saccharimonadaceae|Candidatus Saccharimonas	0.71088326758824	0.0114076549490291	0.0046733702865219	0.0193529755929117	0.253682731583297
