Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.750075095040486	0.23137560305095	0.0166860476581419	0.00186325425042232	0
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.7582537528942	0.217998789114026	0.0236768350994975	7.06228922763232e-05	0
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.843507637919329	0.148507401799455	0.00102844751467425	0.00695651276654117	0
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.952450612251409	1.9105270427856e-05	0.033772915850938	0.0137573666272252	0
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.938925051347348	0.0212684722648092	0.000587553732121677	0.0392189226557212	0
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.668492221821948	0.127235359662283	0.114300222549139	0.0899721959666299	0
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.993685622288238	0.00430331483537708	0.000807562720435683	0.00120350015594937	0
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.961110996556178	0.00954982569405356	0.0255560237795606	0.00378315397020764	0
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.996499334638574	0.0034023710494281	1.39255729093304e-05	8.43687390885056e-05	0
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.752096248448444	0.0988882765490837	0.0192496987459665	0.0835974175299373	0.0461683587265688
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.983790170053053	0.0143622656433481	0.000749221681912596	0.00109834262168597	0
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.875630847737069	0.0258151737905776	0.00525031768379211	0.00759165958177495	0.0857120012067865
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.821371755181054	0.0123006575364174	0.0140684805775631	0.115109321908953	0.0371497847960117
ASV34|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.768088258106962	0.204510496099531	0.0167649520916594	0.0106362937018468	0
ASV39|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.867367502411395	0.107203692063029	0.00279076094926647	0.0226380445763099	0
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.904309505920597	0.0214131857152538	0.0457468926907349	0.0285304156734148	0
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.939625213324524	0.0120435812907561	0.0120030850343467	0.0363281203503728	0
ASV53|Firmicutes|unknown|unknown.spec.	0.913977131419992	0.00293041601232751	0.004425220555615	0.0602630805692277	0.018404151442838
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter.hepaticus	0.755793380228076	0.183201642642638	0.0327030324405649	0.0283019446887219	0
ASV63|Firmicutes|Lactobacillaceae|HT002.spec.	0.781698522594155	0.0263859230017275	0.0907270096802474	0.0598213224938675	0.0413672222300022
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus.spec.	0.776484925391632	0.145916782149561	0.0747189226313081	0.00287936982749667	2.45490477470701e-15
ASV73|Deferribacterota|Deferribacteraceae|Mucispirillum.schaedleri	0.851336755368136	0.0345737876566499	0.0818737619430903	0.0322156950321242	0
ASV74|Cyanobacteria|unknown|unknown.spec.	0.814868023959659	0.176024047345971	0.00780603186547233	0.00130189682889811	0
