Residuals	timepoint	mouse_id
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.991869138838055	0.00813086116194505	0
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.581360724120416	0.0029385778733641	0.41570069800622
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.492860130298106	0.375369601428025	0.131770268273869
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.711966925994488	0.185095174326727	0.102937899678785
ASV5|Bacteroidota|Muribaculaceae|unknown.spec.	0.49509089651491	0.4664755587416	0.0384335447434903
ASV6|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.709273326470376	0.290726673529624	0
ASV7|Bacteroidota|Muribaculaceae|unknown.spec.	0.607676467654463	0.392323532345537	0
ASV8|Bacteroidota|Muribaculaceae|unknown.spec.	0.698229170105551	0.214604381936973	0.0871664479574767
ASV9|Bacteroidota|Muribaculaceae|unknown.spec.	0.807836137396472	3.63724858656503e-13	0.192163862603164
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.740356771332758	0.138568912825509	0.121074315841734
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.426331238248553	0.447034203833349	0.126634557918098
ASV12|Bacteroidota|Muribaculaceae|unknown.spec.	0.563984759628583	0.266065150512444	0.169950089858974
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.53788621252024	0.372793823703882	0.0893199637758788
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.728640523432066	0.0122650594959938	0.25909441707194
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.692823255817636	0.236646842474894	0.0705299017074702
ASV16|Bacteroidota|Muribaculaceae|unknown.spec.	0.238505448935674	0.0246849334283894	0.736809617635937
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.565986271470491	0.293616670996463	0.140397057533046
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.774787833339445	0	0.225212166660554
ASV19|Bacteroidota|Muribaculaceae|unknown.spec.	0.459705390854409	0.033597119209654	0.506697489935937
ASV20|Bacteroidota|Marinifilaceae|Odoribacter.spec.	1	0	0
ASV21|Bacteroidota|Muribaculaceae|unknown.spec.	0.454145727363685	0.375394206582355	0.17046006605396
ASV22|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.856681621393994	0.0675842123513714	0.0757341662546342
ASV23|Bacteroidota|Muribaculaceae|unknown.spec.	0.499936778860461	0.137265437934879	0.36279778320466
ASV24|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.861059153912496	0.0730938678292074	0.065846978258297
ASV25|Bacteroidota|Muribaculaceae|unknown.spec.	0.493818599238462	0.375499220498773	0.130682180262765
ASV26|Bacteroidota|Muribaculaceae|unknown.spec.	0.900938809116416	0	0.0990611908835838
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.896097858982355	0.0113928760156111	0.0925092650020335
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.786277200002002	0.213722799994358	3.64007049689998e-12
ASV29|Bacteroidota|Muribaculaceae|unknown.spec.	0.780402143225938	1.63736464200544e-13	0.219597856773898
ASV30|Bacteroidota|Muribaculaceae|unknown.spec.	0.573297555691598	0.414118481758574	0.0125839625498277
ASV31|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.136262747263622	0.0795310293885548	0.784206223347824
ASV32|Bacteroidota|Muribaculaceae|unknown.spec.	0.700476776882555	0.233788210268556	0.0657350128488887
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.722490837858039	0.185951140974616	0.0915580211673451
ASV34|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.6812323657833	0.0883588634527083	0.230408770763992
ASV35|Bacteroidota|Muribaculaceae|unknown.spec.	0.389175452461576	0	0.610824547538424
