Residuals	timepoint	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.99224688680423	0.00601910747031569	2.33646954490456e-15	0.00100805702147585	0.000725948703975904
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.913604547358101	0	0.0199220959983896	0.0663482294742051	0.000125127169303917
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.466783678668757	0.399278082974942	0.119242219875542	0.0131615727045461	0.00153444577621179
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.717750648992902	0.192907965138221	0.0419076854954623	0.0465817609672797	0.000851939406134951
ASV5|Bacteroidota|Muribaculaceae|unknown.spec.	0.455563166083365	0.446269048011484	0.0784369670026227	0.0196392901234789	9.15287790491603e-05
ASV6|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.714417628296683	0.28514272193782	4.10753613252428e-14	0.0004290926917237	1.05570737324217e-05
ASV7|Bacteroidota|Muribaculaceae|unknown.spec.	0.575414069764595	0.376895557311752	0.0336329754251376	0.0134073661208969	0.000650031377618393
ASV8|Bacteroidota|Muribaculaceae|unknown.spec.	0.767638726317029	0.187936287349677	0.0231346406112394	0.0202009164658281	0.0010894292562269
ASV9|Bacteroidota|Muribaculaceae|unknown.spec.	0.956503220419088	0	0	0.0393505101416762	0.00414626943923592
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.865044258662711	0.130417007660142	1.20014681435758e-12	0.00134607331631408	0.00319266035963334
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.551140097854625	0.402614139148794	0.0408107046366839	0.000122405264777327	0.00531265309511972
ASV12|Bacteroidota|Muribaculaceae|unknown.spec.	0.74004418474672	0.239374893621504	0	0.0118746428117655	0.00870627882001007
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.491580164721607	0.426369018619997	0.0578219692103247	0.00180147565188376	0.0224273717961876
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.978004339365999	9.19317021127285e-17	0.0125437108409019	0.00360835581709728	0.0058435939760014
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.663620973911053	0.279685206716156	0.0476030140386129	0.00629091194813301	0.00279989338604461
ASV16|Bacteroidota|Muribaculaceae|unknown.spec.	0.810529856865952	6.27235971857663e-11	0.106490876053707	0.0341525547736433	0.0488267122439741
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.53719776524504	0.326315552899588	0.121976990117926	9.09352026795599e-05	0.0144187565347662
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.922936458841332	0	0.0651512594465033	0.00799046652014612	0.00392181519201837
ASV19|Bacteroidota|Muribaculaceae|unknown.spec.	0.895564292634241	0.0298429347929847	0.0577728226475579	0.0011770358856424	0.0156429140395737
ASV20|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.903721161009136	0	0.000474417234029295	0.0633415959334226	0.0324628258234117
ASV21|Bacteroidota|Muribaculaceae|unknown.spec.	0.513720298872177	0.397005835788441	0.0810940485783019	0.00763763851052211	0.000542178250557883
ASV22|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.906344505957355	0.0653707319163213	0.00646224802816424	0.0171885845048776	0.00463392959328174
ASV23|Bacteroidota|Muribaculaceae|unknown.spec.	0.796983721609516	0.120993277980758	0	0.0812244894861483	0.000798510923576691
ASV24|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.937640849149558	0.0620685315533028	9.45393943700685e-16	0.000290551403929653	6.78932083619268e-08
ASV25|Bacteroidota|Muribaculaceae|unknown.spec.	0.554710177048931	0.380802957338879	0.0569920622762561	0.00546354779488144	0.00203125554105255
ASV26|Bacteroidota|Muribaculaceae|unknown.spec.	0.986880774646237	0	0	0.00106946660311146	0.0120497587506515
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.97320475486643	0.0158603759950284	3.58523916724559e-22	0.00676876222436163	0.0041661069141795
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.737478317869091	0.212001946262229	0.0377582890958902	0.000139240511667622	0.0126222062611224
ASV29|Bacteroidota|Muribaculaceae|unknown.spec.	0.970030481604912	0	0.0168421752354952	0.0125025565199272	0.000624786639665851
ASV30|Bacteroidota|Muribaculaceae|unknown.spec.	0.559488599311309	0.378088982384748	0.0374535504667318	0.0245381052674575	0.000430762569754288
ASV31|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.806394908041795	0.063314987329773	0.128417423064115	0.000652464559304052	0.00122021700501324
ASV32|Bacteroidota|Muribaculaceae|unknown.spec.	0.745396809237575	0.248271046304847	2.15192689115348e-11	0.00553743802853562	0.000794706407523013
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.861951826525503	0.10671881924897	0	0.00974699779790203	0.0215823564276245
ASV34|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.912271560904432	0.0742317856784981	1.88823838269232e-13	0.00381666791545796	0.00967998550142327
ASV35|Bacteroidota|Muribaculaceae|unknown.spec.	0.963394221647557	0	0	0.0167701065786355	0.0198356717738075
ASV36|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.765516613136849	0.190908699416661	0.0108563570779515	0.0323667255716182	0.000351604796919885
ASV37|Bacteroidota|Muribaculaceae|unknown.spec.	0.833151412108287	0.118116332639524	0	0.0349880045239762	0.0137442507282124
ASV38|Firmicutes|Lachnospiraceae|A2.spec.	0.93886993441815	0	0	0.0569505122132686	0.00417955336858121
ASV39|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.80234940034256	0.176716586342975	0.0200051011336729	0.000837039990671637	9.18721901197366e-05
ASV40|Bacteroidota|Muribaculaceae|unknown.spec.	0.579386301263455	0.335825203764304	0.0693732908607493	0.0153612668840064	5.39372274856154e-05
ASV41|Bacteroidota|Muribaculaceae|unknown.spec.	0.959447999478762	0.013330990275846	1.98985345597123e-18	0.0029941400265996	0.0242268702187925
ASV42|Bacteroidota|Muribaculaceae|unknown.spec.	0.887373876407329	0.0809035449553371	3.25723205431507e-14	0.0201197430537437	0.0116028355835573
ASV43|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.766435609356157	0.222231830584745	2.93983824230317e-14	0.000221714646693601	0.0111108454123753
ASV44|Bacteroidota|Muribaculaceae|unknown.spec.	0.667547180731515	0.324110667412857	0	0.000216124491436444	0.0081260273641916
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.808284821140019	0.105181837632624	0.0122161582720588	0.0724292341903854	0.00188794876491253
ASV46|Bacteroidota|Muribaculaceae|unknown.spec.	0.551042252092638	0.329674634588834	0.10584150777006	0.00284531746794027	0.0105962880805286
ASV47|Bacteroidota|Muribaculaceae|unknown.spec.	0.513885613353615	0.484021637239497	6.81350853163852e-17	0.00188890544159885	0.000203843965289503
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.522689279599319	0.443667135383931	0.0243786994629039	0.00311113661392387	0.0061537489399217
ASV49|Bacteroidota|Muribaculaceae|unknown.spec.	0.390749962156762	0.53732018342907	0.065118927522079	0.00650333591347433	0.000307590978614341
