Residuals	timepoint	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled
ASV1|Bacteroidota|Rikenellaceae|Alistipes	0.788433051724258	0.165064094513441	0.0459659649156656	0.00041170040361478	0.000125188443020321
ASV2|Firmicutes|Lachnospiraceae|A2	0.794137075345407	0.147305527569026	2.59008570709662e-12	0.0581804984781163	0.000376898604860899
ASV3|Bacteroidota|Muribaculaceae|unknown	0.652096357247301	0.324500659843733	0.0093976462974885	0.0133063789252107	0.000698957686266835
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus	0.58475973331557	0.343788883318908	0.036589606999428	0.030081297172354	0.0047804791937406
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group	0.688880486816611	0.233721304240538	0.0549183416537623	0.0224785981510254	1.2691380633506e-06
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides	0.49551308123696	0.465639210170254	0.0377890236207719	0.000367609609054173	0.000691075362960061
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus	0.48984517375907	0.436821040101974	0.0455637839704513	0.00102538479094439	0.0267446173775605
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001	0.435472991457864	0.519517341753695	0.0404265730225554	0.00442357759171284	0.000159516174173174
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter	0.542948917062697	0.321881568348592	0.117218118020611	0.000381380689604564	0.0175700158784958
ASV18|Bacteroidota|Marinifilaceae|Odoribacter	0.789339035193163	0.0817729954478339	0.0802302528319701	0.043794647223858	0.00486306930317499
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia	0.980719253723763	0.0125221713769592	0	0.005690806135075	0.00106776876420288
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella	0.738826546554237	0.205398802227983	0.0461515891479417	0.000752058326763218	0.00887100374307525
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group	0.868579937015774	0.111328959394706	0	0.006086669586417	0.0140044340031038
ASV36|Firmicutes|Lachnospiraceae|Roseburia	0.679290115037366	0.274652354330609	0.041339742548659	0.000637955200697448	0.00407983288266815
ASV53|Firmicutes|unknown|unknown	0.84235356540121	0.120743792490579	2.59910691372859e-11	0.0366325386355553	0.000270103446664595
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter	0.504629727602002	0.482508301624584	4.51738962686917e-16	1.78445165785767e-05	0.0128441262568349
ASV63|Firmicutes|Lactobacillaceae|HT002	0.418076627017316	0.542508096487021	0.0162709195055789	0.0116673547614379	0.0114770022286461
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus	0.662077380674955	0.319863046516645	6.54590550330633e-12	0.0159172242068178	0.00214234859503618
