Residuals	timepoint	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled
ASV1|Bacteroidota|Bacteroidales	0.639939583950886	0.353085219223257	2.13892124506487e-19	0.000584397668760015	0.00639079915709711
ASV4|Firmicutes|Lactobacillales	0.429617401914652	0.524442537770535	0.00108654436075798	0.0253716229922159	0.0194818929618387
ASV15|Firmicutes|Lachnospirales	0.580295506055892	0.345176907368065	0.043380103793615	0.0292349901689747	0.00191249261345319
ASV17|Firmicutes|Erysipelotrichales	0.526468043532963	0.333307969848722	0.119741479818317	0.000548757120189784	0.0199337496798087
ASV53|Firmicutes|Clostridia vadinBB60 group	0.732917959768315	0.207426568099699	0.00027413299935198	0.0558979280849211	0.00348341104771234
ASV62|Campylobacterota|Campylobacterales	0.420995339139975	0.556030940284211	2.05914116272492e-12	0.0015170497840894	0.0214566707896662
ASV67|Firmicutes|Oscillospirales	0.727939366307145	0.238275935937851	0.00575429729634224	0.0280303745337584	2.59249029725789e-08
ASV73|Deferribacterota|Deferribacterales	0.61247323056049	0.343562261486923	0.00977378234195096	0.030532282773476	0.00365844283715961
ASV74|Cyanobacteria|Gastranaerophilales	0.971314804825401	0	0	0.00605786713578452	0.0226273280388143
ASV87|Proteobacteria|Burkholderiales	0.69255097233792	0.224140297579416	0.0434450845855111	0.0314053156294716	0.00845832986768135
ASV93|Desulfobacterota|Desulfovibrionales	0.826107102461013	0.0994685403866971	5.06546756368376e-13	0.072908128110575	0.00151622904120813
ASV105|Firmicutes|Clostridiales	0.695695029581142	0.204185102693133	0.0724088058256321	1.25912472066774e-05	0.0276984706528857
ASV117|Actinobacteriota|Coriobacteriales	0.340961669355252	0.647275536562588	9.31601493254103e-18	0.000663474940437062	0.0110993191417236
ASV137|Firmicutes|Clostridia UCG-014	0.758202991098564	0.220600353362803	0	0.0197674599166791	0.00142919562195382
ASV139|Firmicutes|Peptococcales	0.677844726928981	0.259962703827674	0.0158011973751069	0.0388308311798923	0.00756054068834563
ASV147|Firmicutes|Peptostreptococcales-Tissierellales	0.849320252320049	7.45871241676714e-11	0.0854909564238911	0.00599629242738802	0.0591924987540847
