Residuals	timepoint	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.799855785829936	0.153697813916595	0.0455112973757271	0.000906515829914904	2.85870478269156e-05
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.80951278037839	0.129950893314366	1.4635757437938e-17	0.0602302809941727	0.00030604531307181
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.622110129845434	0.351759855627524	0.0133600864137611	0.0120397749774663	0.000730153135814676
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.697501760425091	0.201315626393752	0.0604803669216883	0.0388687879592543	0.00183345830021407
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.753086220537965	0.169319579488305	0.0470009134701187	0.0304665660666388	0.000126720436972269
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.436781147530789	0.514980576508856	0.0472877582467629	7.4525777638606e-05	0.000875991935953686
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.483608953831098	0.44202414621075	0.0472687213955133	0.000868842230311411	0.0262293363323279
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.964847137092374	0.0183403684207403	0	0.00747554761710962	0.00933694686977652
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.443061754853932	0.512436290355457	0.0394702605455104	0.00484058924591523	0.000191104999185496
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.538452524308677	0.326081854786538	0.11777853535515	0.000429112934985642	0.0172579726146482
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.784894790877246	0.0806186441009106	0.0803569261486178	0.0481768480088361	0.00595279086438918
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.976226616877856	0.0174190147875491	2.35975726957847e-15	0.00515816234415437	0.00119620599043858
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.740825497401213	0.203933979172319	0.0451163648192761	0.000883643145958427	0.0092405154612335
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.861407737897553	0.118433050656832	0	0.00555714729461313	0.014602064151002
ASV36|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.698490249947752	0.258164391745578	0.0384638642074619	0.000846217656835083	0.00403527644237252
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.802505161950232	0.106357812497193	0.022341204342409	0.0656526209694196	0.00314320024074668
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.509295956982792	0.467599807213655	0.0165265030446141	0.00170921698795387	0.00486851577098483
ASV52|Firmicutes|Lactobacillaceae|Lactobacillus.gasseri	0.69565690657148	0.298429865983953	1.5517142979245e-13	0.00196065330662644	0.00395257413778477
ASV53|Firmicutes|unknown|unknown.spec.	0.852091209127448	0.10722260643643	1.37888848762957e-09	0.0405197873723294	0.000166395684904159
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter.hepaticus	0.513436465620342	0.474330901076674	2.84697063100903e-13	5.86495588153995e-09	0.0122326274377427
ASV63|Firmicutes|Lactobacillaceae|HT002.spec.	0.408134804614942	0.553749347788567	0.0157400143101488	0.0112156391820782	0.0111601941042636
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus.spec.	0.68594009626638	0.293145475515993	1.14069665336725e-13	0.0178234450665549	0.00309098315095785
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group.spec.	0.549864460239457	0.341521196637153	0.0335136586295257	0.0711244338233585	0.00397625067050525
ASV73|Deferribacterota|Deferribacteraceae|Mucispirillum.schaedleri	0.643646746354698	0.306709038066029	0.0133865587940465	0.0244894669899175	0.0117681897953089
ASV74|Cyanobacteria|unknown|unknown.spec.	0.92436358716732	0.0332308998674393	2.38933010896832e-14	0.0123412391427137	0.0300642738225036
ASV76|Firmicutes|Lachnospiraceae|unknown.spec.	0.483436688254013	0.400971827679943	0.0814135678304388	0.030935574457191	0.00324234177841382
ASV81|Bacteroidota|Prevotellaceae|Prevotellaceae UCG-001.spec.	0.640235313892843	0.294764074930163	0.00230302729554274	0.0598488506717015	0.00284873320974988
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides.distasonis	0.362585910087561	0.535707901878056	0.100723443120643	3.3979022267316e-05	0.000948765891473567
