time	parameter_clean_name	mean_vMean	sd_vMean
All Timepoints	Lipocalin (pg/ml)	0.0115473615217129	0.00179894012699803
All Timepoints	Maternal genotype	0.0239270462164722	0.00933186084494442
All Timepoints	Number of pups	0.0192381260501147	0.00264297030484225
All Timepoints	Residuals	0.686318014156598	0.0735194911507798
All Timepoints	Time	0.258969452055102	0.0764656237567683
BL	Lipocalin (pg/ml)	0.0323338841670711	0.00898954768638241
BL	Maternal genotype	0.008909649058505	0.00777066764164145
BL	Maternal weight (g)	0.114603520049011	0.0298379722895228
BL	Number of pups	0.0199121118225088	0.00796490476582552
BL	Residuals	0.824240834902904	0.0183566903052238
w3	Lipocalin (pg/ml)	0.0362852707077793	0.00876356458412301
w3	Maternal genotype	0.142363990760003	0.0626031356627773
w3	Maternal weight (g)	0.0308454205882885	0.00710145489568688
w3	Number of pups	0.0570104900227935	0.0069151007714234
w3	Residuals	0.733494827921136	0.0568174630112498
w6	Lipocalin (pg/ml)	0.0469226729365702	0.0109834611630231
w6	Maternal genotype	0.00945191074157258	0.00524455807506571
w6	Maternal weight (g)	0.0600768397786238	0.0142234080888411
w6	Number of pups	0.0556681212969677	0.0108974465596357
w6	Residuals	0.827880455246266	0.0194964638125358
