Residuals	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled	weight_grams_scaled
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.960994438598773	0	0.00154491019126124	0.0232769335860903	0.0141837176238754
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.840966223311875	0	0.156108497290215	0.000240100655296533	0.0026851787426138
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.465996607878904	0.490904362817145	0.0173786074719629	0.0181998746699912	0.007520547161997
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.893044615262113	0	0.0901727338790278	0.0044638837656662	0.0123187670931927
ASV5|Bacteroidota|Muribaculaceae|unknown.spec.	0.691616279050645	0.302809735228555	0.00525584155395208	3.71137471699229e-05	0.00028103041967808
ASV6|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.947601981000527	0	0.00677387449488135	0.0383164510893203	0.00730769341527103
ASV7|Bacteroidota|Muribaculaceae|unknown.spec.	0.76814806429948	0.184545791691938	0.00680290719335884	0.0222291538592494	0.0182740829559736
ASV8|Bacteroidota|Muribaculaceae|unknown.spec.	0.691885780393798	0.133717002682914	0.0515132484862028	2.25920696189978e-05	0.122861376367466
ASV9|Bacteroidota|Muribaculaceae|unknown.spec.	0.86003553503449	0	0.0526879191257653	0.00465175489485962	0.0826247909448847
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.715402978670099	0.101480313145316	0.0655163657147425	0.0362731500161571	0.0813271924536851
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.679876494592839	0.183140032196755	0.0563532800559445	0.0516209897510735	0.0290092034033878
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.649670421503882	0.21728464563288	0.0850172887402948	0.0432763189355793	0.00475132518736353
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.738998528480717	0.202684577605334	0.0493919612435593	0.00864941030949104	0.00027552236089871
