Residuals	genotype	number_of_pups_scaled	weight_grams_scaled	lipocalin2_pg_ml_scaled
ASV1|Bacteroidota|Rikenellaceae|Alistipes	0.9691231786297	0.00271483090535113	0.0163667578200324	0.0117272774898177	6.79551550983023e-05
ASV2|Firmicutes|Lachnospiraceae|A2	0.887510103552193	0.0206050651405306	0.0495950396537979	0.0216413583180972	0.0206484333353809
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus	0.957715374318097	0	0.0291877479142955	0.00536256852824141	0.00773430923936603
ASV9|Bacteroidota|Muribaculaceae|unknown	0.817757332205001	0.0203165961671688	0.0940948735830554	0.0612742648876361	0.00655693315713833
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group	0.523949090986898	0.408661053606402	0.0149055125201755	0.00176721754470061	0.0507171253418238
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus	0.783147179660192	0.0925282770168916	0.0173701149306386	0.0324900619971717	0.0744643663951059
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001	0.608530426997565	0.297260323569048	0.0266230781374988	0.0428685386142299	0.0247176326816585
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter	0.261216574037249	0.547722586321025	0.0507706652264641	0.00107672902140683	0.139213445393855
ASV18|Bacteroidota|Marinifilaceae|Odoribacter	0.928682906852755	0	0.061600584852277	0.000960713535543002	0.0087557947594246
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia	0.809678561039988	0	0.0613059326598824	0.0867495904773521	0.0422659158227773
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella	0.559136307585344	0.0801810126990684	0.0181530805922777	0.336173278760219	0.00635632036309158
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group	0.942051135357728	0	0.00966677224489792	0.0223240086928347	0.0259580837045389
ASV36|Firmicutes|Lachnospiraceae|Roseburia	0.434835781362462	0.543514692272253	0.0134030663509544	0.00401946112738525	0.0042269988869451
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides	0.952681231877685	9.93533369960624e-15	0.046030040877056	0.00117365804371956	0.000115069201528993
ASV53|Firmicutes|unknown|unknown	0.986525156770677	0	0.00136936715834531	0.011223723310686	0.000881752760291229
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter	0.846172401024012	0	0.121467905393173	0.0107097642956722	0.021649929287143
ASV63|Firmicutes|Lactobacillaceae|HT002	0.945519018074812	0	0.00185712802167472	0.00429536120700582	0.0483284926965072
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus	0.835864718095598	0.133653716236856	0.000312245122993937	0.0279310262370692	0.00223829430748315
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group	0.338191370748817	0.462291460690852	0.130436904097788	0.0553009626516311	0.013779301810912
ASV74|Cyanobacteria|unknown|unknown	0.900957847608242	0	0.0864123260533045	0.0102143554011658	0.00241547093728822
ASV76|Firmicutes|Lachnospiraceae|unknown	0.332564472481071	0.586683433635487	0.0423738453106242	5.78940118194973e-05	0.038320354560998
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides	0.694905767803541	0.297870115267466	0.00696777388601712	0.000157246398963515	9.90966440127062e-05
ASV86|Bacteroidota|Muribaculaceae|Muribaculum	0.809956440752107	0.114864941911771	0.0368430978662058	0.0305199090363362	0.00781561043358
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group	0.771996297585545	0	0.197300692684111	0.0115996747669158	0.0191033349634277
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter	0.262413626504953	0.6420143217359	0.0449611431028737	0.0044711252630716	0.0461397833932014
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio	0.821674401142321	0	0.0837341961325599	0.032236062405811	0.062355340319308
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter	0.571131341191935	0.33783493084297	0.0448112936274678	0.0303456171927742	0.0158768171448529
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium	0.451986388397782	0.489378296094908	0.037901147831506	0.000228761056022149	0.0205054066197819
ASV101|Proteobacteria|Sutterellaceae|Parasutterella	0.837909817586596	0.0954089087889416	0.0163704407045013	0.049609180429671	0.000701652490289988
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus	0.711088325591118	0.0355995795096181	1.08325820743309e-06	0.156845790169558	0.0964652214714987
ASV107|Firmicutes|Ruminococcaceae|unknown	0.56443267558332	0.306256436709086	0.0724070545608035	0.0287078753985975	0.0281959577481934
ASV108|Firmicutes|Oscillospiraceae|unknown	0.47346910376107	0.488702846304228	0.00287122617710569	0.00384448137132693	0.0311123423862694
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus	0.756039099044789	0	0.178128436821936	0.0378025208783854	0.028029943254889
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown	0.835721196247022	0.0845805672053184	0.0721848732553287	0.00551518304699136	0.00199818024533936
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006	0.474891415909747	0.360255313757647	1.65988754140959e-05	0.0972645147533013	0.0675721567038908
ASV137|Firmicutes|unknown|unknown	0.768803492329283	0.0830442901336276	0.102687140655699	0.000670921421918982	0.044794155459471
ASV138|Firmicutes|Lachnospiraceae|ASF356	0.631176551628695	0.283574984390139	0.00176793071119561	0.0827182131021685	0.000762320167802135
ASV139|Firmicutes|Peptococcaceae|unknown	0.364753368572128	0.411520122234227	0.14793626778687	0.000789066741203106	0.0750011746655714
ASV148|Firmicutes|Anaerovoracaceae|[Eubacterium] nodatum group	0.591502685030595	0.126736326439001	0.253252007233992	0.0282253161587889	0.000283665137622708
ASV161|Firmicutes|Oscillospiraceae|Intestinimonas	0.469819272431539	0.369278443662994	0.0130488711172844	0.0744679982708966	0.0733854145172862
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus	0.675576490953194	0.228325638102271	0.0176077364829795	0.0177574420021272	0.0607326924594279
ASV205|Firmicutes|Ruminococcaceae|Incertae Sedis	0.716736049928297	0.231705534788365	0.00127963565066245	0.0238479398670934	0.0264308397655822
ASV229|Firmicutes|Butyricicoccaceae|Butyricicoccus	0.477040832109281	0.452763612610229	0.0688522399248871	0.000270624146804821	0.00107269120879782
ASV233|Firmicutes|Lachnospiraceae|GCA-900066575	0.358371359498938	0.547359507091343	0.0112925139517306	0.0453325281326699	0.0376440913253182
ASV262|Firmicutes|Lachnospiraceae|Tyzzerella	0.824982976220163	0.0397357681978638	0.0759548237369015	0.0553136380980479	0.00401279374702367
