Residuals	genotype	number_of_pups_scaled	lipocalin2_pg_ml_scaled	weight_grams_scaled
ASV1|Bacteroidota|Bacteroidales	0.849914894915827	0	0.122146798448524	0.00175941963692847	0.0261788869987213
ASV2|Firmicutes|Lachnospirales	0.44326767726789	0.485264037400285	0.0346443952591997	0.0297963516036801	0.00702753846894531
ASV4|Firmicutes|Lactobacillales	0.92353099297248	0	0.0576002675202648	0.0184919031383452	0.000376836368910436
ASV17|Firmicutes|Erysipelotrichales	0.333133807945658	0.508162796963805	0.0413986386730501	0.117064550751055	0.00024020566643164
ASV53|Firmicutes|Clostridia vadinBB60 group	0.879379983292534	0.102098439859113	0.00455191329068203	0.00531634736705193	0.00865331619061852
ASV74|Cyanobacteria|Gastranaerophilales	0.880853675117869	0	0.109514836666714	0.00284679355054392	0.00678469466487245
ASV93|Desulfobacterota|Desulfovibrionales	0.839066380403147	0	0.053481814566742	0.0485366778468425	0.0589151271832682
ASV101|Proteobacteria|Burkholderiales	0.878689334664855	0.0585032797656285	0.0117403295043409	0.00115412680776985	0.049912929257406
ASV117|Actinobacteriota|Coriobacteriales	0.735473564722658	0	0.164557416767619	0.0771288546018271	0.0228401639078956
ASV121|Firmicutes|Oscillospirales	0.475830637235107	0.468171000264159	0.01808270254257	0.0370200088335445	0.000895651124619201
ASV147|Firmicutes|Peptostreptococcales-Tissierellales	0.49998385814115	0.29442253520746	0.13192767631464	0.0728808463356867	0.000785084001063078
