Residuals	genotype	number_of_pups_scaled	weight_grams_scaled	lipocalin2_pg_ml_scaled
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.943185639966489	0.0256261238885358	0.0157702820061511	0.0139559490811477	0.00146200505767641
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.893218954799907	0.0196717190815194	0.0464232460655453	0.0224314956480077	0.0182545844050208
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.940993496897504	0	0.0515271898989726	0.00674931388679573	0.00072999931672725
ASV9|Bacteroidota|Muribaculaceae|unknown.spec.	0.810501242533133	0.0281585122070815	0.0932869011296546	0.0620867996178697	0.00596654451226087
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.395472757048669	0.487536186352985	0.045234550696761	0.00015809840973459	0.0715984074918505
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.838243463446189	0.0868050382941422	0.0559009130468011	0.0155708907820049	0.00347969443086322
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.775696351299885	0.0987075559312323	0.02088224076804	0.0322543147727281	0.0724595372281151
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.983147078521677	0	0.0129458958619815	0.00367909025006854	0.000227935366273125
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.617700301564814	0.292008463303089	0.024601842877104	0.0431384533097927	0.0225509389452002
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.264294387784775	0.546126778558621	0.0513322224954529	0.00109087358862226	0.137155737572529
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.930359698698767	0	0.0622803210737689	0.000857852910314496	0.00650212731714924
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.810942462353391	0	0.0647000884368762	0.0857277038682972	0.0386297453414352
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.558173402296019	0.0805381019512411	0.0172690838176169	0.336860587217121	0.00715882471800212
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.935856801390738	0	0.0116335704538808	0.0221568373122397	0.0303527908431417
ASV36|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.452376468151822	0.523410234290133	0.014762543605665	0.00423573854942122	0.0052150154029589
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.888943335275468	0	0.016992912169118	0.0939796490537547	8.41035016588624e-05
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.980257760659251	0	0.0177041844428315	0.00200687505634659	3.11798415707858e-05
ASV52|Firmicutes|Lactobacillaceae|Lactobacillus.gasseri	0.843294116257355	0	0.0178029705014654	0.1012626421356	0.0376402711055796
ASV53|Firmicutes|unknown|unknown.spec.	0.985425134927043	0	0.000840329495937204	0.0117751865366115	0.00195934904040854
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter.hepaticus	0.864363111448092	0	0.109081043640434	0.00969491258042315	0.0168609323310512
ASV63|Firmicutes|Lactobacillaceae|HT002.spec.	0.943371720051762	0	0.00284680963596031	0.00505112767207946	0.048730342640198
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus.spec.	0.836826846039605	0.133327147013733	0.000365110635234355	0.0287339480492431	0.000746948262184718
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group.spec.	0.343715090422643	0.458802460307322	0.125966983420108	0.0559290192786099	0.0155864465713177
ASV74|Cyanobacteria|unknown|unknown.spec.	0.898330660419453	0	0.0877137020176559	0.0104765965240651	0.00347904103882566
ASV76|Firmicutes|Lachnospiraceae|unknown.spec.	0.334444861683111	0.583419716742094	0.0386587753821039	9.58296861725108e-05	0.0433808165065186
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides.distasonis	0.519063833569611	0.456551294535096	5.99562141815855e-06	0.0225591668374814	0.00181970943639398
ASV86|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.807902393872742	0.117313939686168	0.0357022811173718	0.0303630207250032	0.0087183645987149
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.76874625148718	0	0.199247586262037	0.0111323105832868	0.0208738516674971
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.301299429968992	0.60597553601742	0.0390623129750244	0.00385659051151193	0.0498061305270509
