Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.972743664605365	0.00782152538430501	0.00120494164007271	0.0182298683702575	1.54245343041827e-16
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.932124007584632	0.0241123012159927	0.0429317425938908	0.000831948605484078	0
ASV3|Bacteroidota|Muribaculaceae|unknown.spec.	0.703812818736305	0.083951071462704	0.0805869328558841	0.00367663893096547	0.127972538014142
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.774519125556281	0.0205139943469663	0.12903294303075	0.0172195555741819	0.0587143814918213
ASV5|Bacteroidota|Muribaculaceae|unknown.spec.	0.730796628441732	0.000596970289105355	0.222984120248437	0.000295115562179077	0.0453271654585463
ASV6|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.811428154034812	0.000362962157589719	0.00891271117298567	0.04929791947051	0.129998253164103
ASV7|Bacteroidota|Muribaculaceae|unknown.spec.	0.686292278755372	0.101349270484845	0.166783829591909	0.0455746211678746	0
ASV8|Bacteroidota|Muribaculaceae|unknown.spec.	0.802858413392472	0.0237823892055654	0.172890882547521	0.000468314854442311	0
ASV9|Bacteroidota|Muribaculaceae|unknown.spec.	0.773902235878592	0.0265885388812101	0.19663118905985	0.00287803618034787	0
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.841276487050877	0.0685475490393649	0.0645474923265638	0.0256284715831947	0
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.741074834846929	0.254429267266374	0.000738603367276037	0.00375729451942067	0
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.981414150352509	2.73630770420359e-05	0.0164501736349851	0.00210831293546351	0
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.851660101946325	0.117862855497484	0.0107865005450786	0.0196905420111123	0
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.954571628022214	0.0281730826996913	0.0074027102484327	0.00985257902966214	0
ASV16|Bacteroidota|Muribaculaceae|unknown.spec.	0.952183819221389	0.00024027363828338	0.0310131926976187	0.0165627144427089	0
ASV17|Firmicutes|Erysipelotrichaceae|Turicibacter.spec.	0.886575132437735	0.0271041813148602	0.085890189275025	0.000430496972380103	0
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.791348729323789	0.0108763016443381	4.89474823282224e-05	0.0595220695267683	0.138203952022776
ASV19|Bacteroidota|Muribaculaceae|unknown.spec.	0.852115097436179	0.0985061803408505	0.0452569448935816	0.0041217773293893	0
ASV20|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.550504508318806	0.0879878603871366	0.160883374352325	0.174225409805172	0.0263988471365606
ASV21|Bacteroidota|Muribaculaceae|unknown.spec.	0.727040514140729	0.099277743641603	0.0396911569304471	0.00106523926868094	0.13292534601854
ASV22|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.835546121165829	0.00166639893765402	0.107089166627533	0.0556983132689847	0
ASV23|Bacteroidota|Muribaculaceae|unknown.spec.	0.868383053401309	0.0199429778255829	0.082774134372351	0.0288998344007571	0
ASV24|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.775157597886095	0.197863383944547	0.00171592050906827	0.0252630976602899	0
ASV25|Bacteroidota|Muribaculaceae|unknown.spec.	0.790265326926601	0.110446609422536	0.0143583207791788	0.0849297428716846	0
ASV26|Bacteroidota|Muribaculaceae|unknown.spec.	0.625848308104409	0.128479705185461	0.0203261120703229	0.136530216488002	0.0888156581518042
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.91153471676823	0.0865275367970255	0.00169095988761993	0.000246786547124403	0
