Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
ASV1|Bacteroidota|Rikenellaceae|Alistipes	0.871044256143966	8.01353801607537e-06	0.0214392758386997	0.0338250058921601	0.0736834485871582
ASV2|Firmicutes|Lachnospiraceae|A2	0.852975819077311	0.00295474019165806	0.129748848158936	0.0143205925720945	0
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus	0.725631681549919	0.129234484996145	0.0801631436306258	0.00103162426910227	0.0639390655542083
ASV7|Bacteroidota|Muribaculaceae|unknown	0.784266075647769	0.0321632195682783	0.181670264030541	0.00190044075340653	4.76596526840705e-15
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group	0.673143177367781	0.0422771683094713	0.148790401407729	0.135789252915019	0
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus	0.971794599386277	5.5096085384367e-06	0.0281627786393483	3.71123658361279e-05	0
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001	0.756794509061694	0.209377762214712	0.0120654773923351	0.0217622513312588	0
ASV18|Bacteroidota|Marinifilaceae|Odoribacter	0.690434313918239	0.00267020279905185	0.0831398575625241	0.114503315074839	0.109252310645346
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia	0.908815663534043	0.0911256453347578	1.52842040805688e-06	5.71627107915735e-05	0
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella	0.751531290900933	0.184535429442898	0.0586754952074621	0.00525778444870621	0
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group	0.561493673529412	0.385036018933801	0.00293045774413866	0.0452132676458081	0.00532658214684
ASV36|Firmicutes|Lachnospiraceae|Roseburia	0.74830323088187	0.112322330903126	0.0339168389008859	0.105457599314118	0
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides	0.817953639657061	0.0519450784879892	0.016479912019675	0.113621369835275	0
ASV53|Firmicutes|unknown|unknown	0.774253295627002	0.106956894186985	0.105672824968629	0.012331541556722	0.000785443660661821
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter	0.89301718029727	0.0900477864132874	0.00672691076770255	0.00146753106992478	0.00874059145181526
ASV63|Firmicutes|Lactobacillaceae|HT002	0.93373053045057	0.0371039647619785	0.0288937197509797	0.000271785036471331	0
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus	0.803762748810967	0.0660058709576291	0.0491700787078883	0.0810613015235156	0
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group	0.725032359631596	0.0332799980572706	0.111270561793993	0.13041708051714	0
ASV73|Deferribacterota|Deferribacteraceae|Mucispirillum	0.898429498673111	0.00664821784950516	0.0491904883466985	0.0457317951306851	0
ASV74|Cyanobacteria|unknown|unknown	0.78224166761491	0.0184824705469535	0.0469361508538498	0.152339710984286	0
ASV78|Firmicutes|Lachnospiraceae|unknown	0.763735780733556	0.0408471832052079	0.127273023932974	0.0681440121282618	0
ASV81|Bacteroidota|Prevotellaceae|Prevotellaceae UCG-001	0.677837386691742	0.0326570392104324	0.228613350402554	0.060892223695272	0
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides	0.86931144447752	0.000716434952496976	8.82487525600706e-08	0.129972032321231	0
ASV87|Proteobacteria|Sutterellaceae|Parasutterella	0.858468515858579	0.000527807113864802	0.139932071355092	0.00107160567246372	0
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group	0.641006792071526	0.339026465126589	0.0199402152749657	2.65275269196053e-05	0
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter	0.986111712956849	7.88839732772874e-05	0.00339118683921777	0.0104182162306564	0
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio	0.669659093218072	0.00697206919884208	0.132741955608224	0.190626881974863	0
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter	0.806284936880142	0.120160313500675	0.0184930548445075	0.055061694774675	0
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium	0.967186531550697	0.0314156330583445	0.00129743277848331	0.000100402612475002	0
ASV103|Bacteroidota|Muribaculaceae|Muribaculum	0.901957872570558	0.000361107575506157	0.0116839713396496	0.0100164219377594	0.0759806265765265
ASV104|Firmicutes|Oscillospiraceae|unknown	0.985030007566355	0.0146357469844557	4.74639781482212e-05	0.000286781471041386	0
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus	0.87255727028753	0.0251380684636385	0.0134288559369617	0.0720095781223516	0.016866227189518
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus	0.924466440269438	8.57723457101383e-05	0.0216133550011555	0.0191482493314353	0.0346861830522614
ASV126|Firmicutes|Ruminococcaceae|Ruminococcus	0.967068929674005	0.000912095513156416	0.00595772279213185	0.0158690416887466	0.0101922103319603
ASV129|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-006	0.814624258246449	0.0275954392347419	0.00536733891065914	0.15241296360815	0
ASV137|Firmicutes|unknown|unknown	0.625639088402637	0.229729762442478	0.0935427625103465	0.0510883866445379	0
ASV138|Firmicutes|Lachnospiraceae|ASF356	0.929824066199024	0.0409897439325793	0.0257937638063005	0.00339242606209612	0
ASV139|Firmicutes|Peptococcaceae|unknown	0.861916766435089	0.122724676122332	0.000353540076044929	0.0150050173665339	0
ASV153|Firmicutes|Ruminococcaceae|unknown	0.909730492261608	0.00622325482654142	0.067667086786273	0.0163791661255781	0
ASV161|Firmicutes|Oscillospiraceae|Intestinimonas	0.992281537409588	1.3528516848088e-05	0.000612641884901193	0.00709229218866257	0
ASV169|Firmicutes|Ruminococcaceae|Negativibacillus	0.928334115482433	0.000601224057272991	0.00707818291892755	0.063986477541366	0
