Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
ASV1|Bacteroidota|Rikenellaceae|Alistipes.spec.	0.86921100546058	3.15088858670999e-05	0.0248044591988184	0.0361895038625328	0.0697635225922013
ASV2|Firmicutes|Lachnospiraceae|A2.spec.	0.853186723108316	0.0026928278807075	0.131192128169691	0.0129283208412852	0
ASV4|Firmicutes|Lactobacillaceae|Lactobacillus.johnsonii	0.778468148320069	0.0230443744117732	0.108171535947119	0.0239118946280426	0.0664040466929962
ASV7|Bacteroidota|Muribaculaceae|unknown.spec.	0.784411257300518	0.0331565295585994	0.175721285146187	0.00186451548855211	0.00484641250614353
ASV10|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.spec.	0.687684921601198	0.14430189431321	0.109069813063865	0.0589433710217269	0
ASV11|Bacteroidota|Bacteroidaceae|Bacteroides.acidifaciens	0.721471839835559	0.265560024750347	0.000777621274370538	0.0121905141397243	0
ASV13|Firmicutes|Lactobacillaceae|Ligilactobacillus.spec.	0.97077290686017	9.87923551861659e-06	0.0291519381750314	6.52757292798657e-05	0
ASV14|Firmicutes|Lachnospiraceae|Lachnospiraceae NK4A136 group.bacterium	0.755909862934797	0.10609463091456	0.0742756290195566	0.063719877131086	0
ASV15|Firmicutes|Lachnospiraceae|Lachnospiraceae UCG-001.spec.	0.754304378876615	0.211640705574712	0.0130651600022395	0.0209897555464337	0
ASV18|Bacteroidota|Marinifilaceae|Odoribacter.spec.	0.681804348515267	0.00287000142404558	0.0875934503067627	0.118809262559166	0.108922937194758
ASV27|Firmicutes|Lachnospiraceae|Marvinbryantia.spec.	0.910155315193854	0.0898104316922799	1.52277544230403e-06	3.27303384238551e-05	0
ASV28|Bacteroidota|Prevotellaceae|Alloprevotella.spec.	0.751181747254777	0.185718712751498	0.0575376143528935	0.00556192564083122	0
ASV33|Bacteroidota|Rikenellaceae|Rikenellaceae RC9 gut group.spec.	0.563156700778755	0.385340076978737	0.00327210096210772	0.0450375884674925	0.00319353281290744
ASV36|Firmicutes|Lachnospiraceae|Roseburia.spec.	0.746106063659146	0.114012695522566	0.0358769238021539	0.104004317016134	0
ASV45|Firmicutes|Lactobacillaceae|Lactobacillus.intestinalis	0.626288129881544	0.118425376711269	0.178532808224665	0.00587129562269366	0.0708823895598282
ASV48|Bacteroidota|Bacteroidaceae|Bacteroides.spec.	0.796991542165111	0.0383710513668043	0.000631677444343171	0.164005729023742	0
ASV52|Firmicutes|Lactobacillaceae|Lactobacillus.gasseri	0.983846692195287	0.00594526405084394	0.00583676139490667	0.0043712823589619	0
ASV53|Firmicutes|unknown|unknown.spec.	0.766875051170636	0.109740535154304	0.110331289937174	0.013053123737886	0
ASV62|Campylobacterota|Helicobacteraceae|Helicobacter.hepaticus	0.890888175970205	0.0938179545072912	0.0078470258248189	0.00159303985454302	0.005853803843142
ASV63|Firmicutes|Lactobacillaceae|HT002.spec.	0.934449572400799	0.0375874665798451	0.02776917229519	0.000193788724165678	0
ASV67|Firmicutes|Ruminococcaceae|Anaerotruncus.spec.	0.806061143749743	0.0684821667170449	0.0539396877110889	0.0715170018221228	0
ASV68|Firmicutes|Lachnospiraceae|Lachnospiraceae FCS020 group.spec.	0.720925774478284	0.034045960738914	0.114924619523647	0.130103645259155	0
ASV73|Deferribacterota|Deferribacteraceae|Mucispirillum.schaedleri	0.895469917479475	0.00662741829180187	0.052251230451818	0.0456514337769052	0
ASV74|Cyanobacteria|unknown|unknown.spec.	0.780432412713744	0.0188228033944128	0.0458633859482401	0.154881397943603	0
ASV78|Firmicutes|Lachnospiraceae|unknown.spec.	0.7541578581413	0.0428591601805668	0.136754349651829	0.0662286320263047	0
ASV81|Bacteroidota|Prevotellaceae|Prevotellaceae UCG-001.spec.	0.680270865379193	0.0327512696179948	0.225549096538274	0.061428768464538	0
ASV82|Bacteroidota|Tannerellaceae|Parabacteroides.distasonis	0.845892591712359	0.00445981283172454	0.000142427607338848	0.149505167848578	0
ASV87|Proteobacteria|Sutterellaceae|Parasutterella.spec.	0.862202122634741	0.000462999357718839	0.1360185201177	0.00131635788984025	0
ASV88|Firmicutes|Lachnospiraceae|[Eubacterium] xylanophilum group.spec.	0.64212491584531	0.337365225705078	0.0204657353028648	4.41231467471169e-05	0
ASV90|Firmicutes|Oscillospiraceae|Colidextribacter.spec.	0.985634414359794	0.000143132338714191	0.00480905152628306	0.00941340177520898	0
ASV93|Desulfobacterota|Desulfovibrionaceae|Desulfovibrio.spec.	0.668660996478564	0.00728528606878572	0.137400046029661	0.18665367142299	0
ASV99|Firmicutes|Oscillospiraceae|Oscillibacter.spec.	0.801811722225397	0.123884200783305	0.0211401871110521	0.0531638898802459	0
ASV100|Firmicutes|Lachnospiraceae|Lachnoclostridium.spec.	0.965996490778747	0.0321109522443921	0.00187052034855678	2.20366283046079e-05	0
ASV103|Bacteroidota|Muribaculaceae|Muribaculum.spec.	0.897752197042697	0.000293735319823244	0.0105746792501049	0.00992966777440484	0.0814497206129695
ASV104|Firmicutes|Oscillospiraceae|unknown.spec.	0.985071927208731	0.0144695476796645	1.3280171420277e-08	0.000458511831433276	0
ASV105|Firmicutes|Clostridiaceae|Candidatus Arthromitus.spec.	0.874443332193678	0.0253050085386649	0.0131214698413129	0.0718247458646689	0.0153054435616749
ASV117|Actinobacteriota|Eggerthellaceae|Enterorhabdus.spec.	0.923818815736174	5.40048396139042e-05	0.0207809761153748	0.0212471835724881	0.0340990197363488
ASV121|Firmicutes|[Eubacterium] coprostanoligenes group|unknown.spec.	0.821068874475591	0.0658914693598662	0.0343848033450556	0.0786548528194873	0
