Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
1.1.1.1|Alcohol dehydrogenase	0.748010634234891	0.00135976958093714	0.00414318242904107	0.246486413755131	0
1.1.1.100|3-oxoacyl-[acyl-carrier-protein] reductase	0.977630889876064	0.0134692999396968	0.00886606420777816	3.37459764614182e-05	0
1.1.1.103|L-threonine 3-dehydrogenase	0.68774598335077	0.0589915858294034	0.00041139817938596	0.00347527379473023	0.24937575884571
1.1.1.122|D-threo-aldose 1-dehydrogenase	0.851186272311455	0.0238803628928416	0.0438017954345067	0.0811315693611962	0
1.1.1.125|2-deoxy-D-gluconate 3-dehydrogenase	0.795482289815588	0.000181283947156511	0.129212745357846	0.0751236808794098	0
1.1.1.127|2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	0.909166015864203	0.0262407508397791	0.0175028615993041	0.00757593301619177	0.039514438680522
1.1.1.130|3-dehydro-L-gulonate 2-dehydrogenase	0.863572605850267	0.0712021244880451	0.0628044542736952	0.00242081538799299	0
1.1.1.131|Mannuronate reductase	0.910995158375723	0.065558787969226	0.0139785499437121	0.00946750371133934	0
1.1.1.132|GDP-mannose 6-dehydrogenase	0.790893806595781	0.0735701712918592	0.127570662888034	0.00796535922432536	0
1.1.1.133|dTDP-4-dehydrorhamnose reductase	0.674440143333306	0.319076452546708	0.00645465438944829	2.87497305375969e-05	0
1.1.1.136|UDP-N-acetylglucosamine 6-dehydrogenase	0.703737878748648	0.0517746788168069	0.218106149997786	0.0263812924367586	0
1.1.1.14|L-iditol 2-dehydrogenase	0.622391291157417	0.2089229145696	0.168269591070977	0.000416203202005524	0
1.1.1.140|Sorbitol-6-phosphate 2-dehydrogenase	0.955708075352654	4.63571014328005e-06	0.0200069689356735	0.000469368634591473	0.0238109513669382
1.1.1.157|3-hydroxybutyryl-CoA dehydrogenase	0.809725573730115	0.0725321005402168	0.117117132679218	0.00062519305045097	0
1.1.1.169|2-dehydropantoate 2-reductase	0.941658505007788	0.0433058915873122	0.000552211095565688	0.0144833923093337	0
