Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
GO:0000015|[CC] phosphopyruvate hydratase complex	0.63535947320131	0.340394638868042	0.0145968146608406	0.00964907326980814	0
GO:0000027|[BP] ribosomal large subunit assembly	0.966839983634762	0.00970095098896902	0.0198985859047827	0.00356047947148585	0
GO:0000034|[MF] adenine deaminase activity	0.590043263926731	0.198996368037173	0.0485643416125646	0.162396026423532	0
GO:0000036|[MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	0.970321336928768	0.0250801996954094	0.00369624075488703	0.000902222620935112	0
GO:0000041|[BP] transition metal ion transport	0.900539085019257	0.0987235979362596	0.000357798827953925	0.000379518216529525	0
GO:0000049|[MF] tRNA binding	0.889307076618001	0.0379941955580736	0.0548465069511923	0.017852220872733	0
GO:0000103|[BP] sulfate assimilation	0.800096955084764	0.0528283171616092	0.00757002124245512	0.0221067339669953	0.117397972544177
GO:0000104|[MF] succinate dehydrogenase activity	0.426205025256488	0.0180676705213594	0.250093343827938	0.195650583675706	0.109983376718508
GO:0000105|[BP] histidine biosynthetic process	0.865605861050974	0.0820118254236562	0.0237332523478648	0.0286490611775055	0
GO:0000107|[MF] imidazoleglycerol-phosphate synthase activity	0.856197384263637	0.0891922669324821	0.0193069072893972	0.0353034415144837	0
GO:0000122|[BP] negative regulation of transcription from RNA polymerase II promoter	0.771633413279572	0.168292079329068	0.0446820600467901	0.0153924473445695	0
GO:0000150|[MF] recombinase activity	0.856042791489539	0.0997118866387747	0.00431353612626619	0.0399317857454201	0
GO:0000155|[MF] phosphorelay sensor kinase activity	0.893629092616403	0.0828137362236688	0.00824859042726973	0.0153085807326581	0
GO:0000156|[MF] phosphorelay response regulator activity	0.882701947613998	0.0760510734052864	0.0109269370922668	0.0303200418884483	0
GO:0000160|[BP] phosphorelay signal transduction system	0.899220980504179	0.0766004598893611	0.00567329750469091	0.0185052621017692	0
GO:0000162|[BP] tryptophan biosynthetic process	0.978037024619647	0.0126066957459316	1.17869109121282e-06	0.00935510094333037	0
GO:0000166|[MF] nucleotide binding	0.839734639518613	0.111927414554141	0.021839542359835	0.0264984035674103	0
GO:0000175|[MF] 3-5-exoribonuclease activity	0.924052127581404	0.057552301432739	0.0168648493612715	0.00153072162458567	0
GO:0000179|[MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	0.864778916255705	0.131316832961224	0.00388972141143207	1.45293716394167e-05	0
GO:0000184|[BP] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.942962579064826	0.0333317101863038	0.0189055033639302	0.00480020738494032	0
GO:0000256|[BP] allantoin catabolic process	0.500267573426778	0.108029095849264	0.0929596081329092	0.298743722591049	0
GO:0000270|[BP] peptidoglycan metabolic process	0.884645461884957	0.0388365069096765	0.0703008444448885	0.00621718676047749	5.05656578123022e-16
GO:0000271|[BP] polysaccharide biosynthetic process	0.875678455883648	0.0705875772327568	0.0190479473827016	0.0346860195008932	0
GO:0000272|[BP] polysaccharide catabolic process	0.916666244457592	0.0778450340191824	0.00137364243622115	0.00411507908700481	0
GO:0000276|[CC] mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	0.859505328941621	0.106636971445918	0.0287482241962864	0.00510947541617466	0
GO:0000286|[MF] alanine dehydrogenase activity	0.94504666243435	0.0104790970340391	0.0421340480568959	0.00234019247471514	0
GO:0000287|[MF] magnesium ion binding	0.887543673647364	0.0534782413160994	0.0295965599256526	0.0293815251108842	0
GO:0000310|[MF] xanthine phosphoribosyltransferase activity	0.74648211179266	0.22458027169907	6.1876832884884e-05	0.0288757396753852	0
GO:0000453|[BP] enzyme-directed rRNA 2-O-methylation	0.914951012807325	0.0566492406755836	0.00593295870887376	0.022466787808218	0
GO:0000716|[BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	0.907045761318027	0.0370162011649758	0.0459704246183007	0.00996761289869656	0
GO:0000723|[BP] telomere maintenance	0.904642055170152	0.0226242407909212	0.0392511149893803	8.60682142093234e-05	0.0333965208353372
GO:0000724|[BP] double-strand break repair via homologous recombination	0.976717955195516	0.012347956291278	0.0098149219369278	0.00111916657627791	0
GO:0000737|[BP] DNA catabolic process, endonucleolytic	0.969791266779547	0.0102798316930454	0.0125502253792313	0.00737867614817646	0
GO:0000746|[BP] conjugation	0.699324660076382	0.113910639258117	0.0797536422946885	0.107011058370813	0
GO:0000774|[MF] adenyl-nucleotide exchange factor activity	0.854317305595332	0.0395899561990626	0.0711626940754431	0.0320698255425404	0.00286021858762132
GO:0000786|[CC] nucleosome	0.96623673065114	0.0326911141411625	0.000509270161056236	0.00056288504664082	0
GO:0000902|[BP] cell morphogenesis	0.864405796319176	0.094112586176309	0.0181023217768586	0.023379295727656	0
GO:0000906|[MF] 6,7-dimethyl-8-ribityllumazine synthase activity	0.926332805000539	0.00273620509512767	0.0702021212295999	0.000728868674733008	0
GO:0000917|[BP] barrier septum assembly	0.848467761170295	0.113425865296269	0.0114763324016738	0.0266300411317623	0
GO:0000918|[BP] barrier septum site selection	0.901775607647721	0.0925748811580198	0.000397536284295305	0.00525197490996437	2.253058814468e-17
GO:0000921|[BP] septin ring assembly	0.707605569707531	0.183952172858565	0.0408903874816402	0.000350700226240791	0.0672011697260232
GO:0000967|[BP] rRNA 5-end processing	0.971136339667238	0.0253345045527682	0.000528767500912558	0.00300038827908147	0
GO:0000986|[MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	0.803989603976917	0.158962152428757	0.0032633271160368	0.0337849164782891	0
GO:0001123|[BP] transcription initiation from bacterial-type RNA polymerase promoter	0.701008976724086	0.218413210482916	0.0344067906859983	0.0461710221069993	0
GO:0001407|[BP] glycerophosphodiester transport	0.744095775045248	0.173367935821727	0.00653105351109435	0.0760052356219304	0
GO:0001514|[BP] selenocysteine incorporation	0.814349954254299	0.000116485651043041	0.0881116640587038	0.0144433833268002	0.0829785127091542
GO:0001522|[BP] pseudouridine synthesis	0.894470318479513	0.0360582299266179	0.0656335036320025	0.00383794796186656	0
GO:0001530|[MF] lipopolysaccharide binding	0.942114858021536	0.00977700445433286	0.00699463094271713	0.0111511896352646	0.0299623169461495
GO:0001666|[BP] response to hypoxia	0.944850278487982	0.024468216942743	0.00759981203126179	0.0230816925380133	0
GO:0001680|[BP] tRNA 3-terminal CCA addition	0.800196235596487	0.066394598205311	0.0450541715120273	0.0883549946861745	0
GO:0001682|[BP] tRNA 5-leader removal	0.966026197840859	0.00363947543110303	0.0123531985800202	0.0179811281480177	0
GO:0001701|[BP] in utero embryonic development	0.932006044544428	0.0458231722199471	0.0116643842514841	0.0105063989841409	0
GO:0001726|[CC] ruffle	0.990469319691341	0.00950657395928567	1.01216437188573e-06	2.30941850014819e-05	0
GO:0002098|[BP] tRNA wobble uridine modification	0.861942342483761	0.080664976309737	0.0159052617387401	0.0346762266239215	0.00681119284384079
GO:0002100|[BP] tRNA wobble adenosine to inosine editing	0.92398211400237	0.0452115597194284	0.0155280697172201	0.0152782565609815	0
GO:0002161|[MF] aminoacyl-tRNA editing activity	0.897805460425757	0.043495251825886	0.0501324564759992	0.00856683127235824	0
GO:0002181|[BP] cytoplasmic translation	0.927282312884148	0.0543070759932053	0.00557612965557275	0.0128344814670741	0
GO:0002935|[MF] tRNA (adenine-C2-)-methyltransferase activity	0.891229817729237	0.082604664492955	0.00673714656200818	0.0194283712157994	0
GO:0002949|[BP] tRNA threonylcarbamoyladenosine modification	0.878018358848218	0.0858104018255283	0.0340217046248544	0.0021495347013988	0
GO:0003676|[MF] nucleic acid binding	0.92612436244188	0.0456308612452057	0.0135234370485049	0.0147213392644096	0
GO:0003677|[MF] DNA binding	0.895326807042709	0.0818363957518965	0.00440565635094796	0.0184311408544466	0
GO:0003678|[MF] DNA helicase activity	0.835400290317085	0.0131765078763991	0.0735213745698434	0.0133802355226964	0.0645215917139764
GO:0003682|[MF] chromatin binding	0.882229893969204	0.00592826840181939	0.0974559936313083	0.0143858439976683	0
GO:0003684|[MF] damaged DNA binding	0.794918230031558	0.130200675779467	0.0305680458996677	0.0443130482893078	0
GO:0003688|[MF] DNA replication origin binding	0.872150185499787	0.100381602685181	0.0152778167142454	0.0121903951007862	0
GO:0003690|[MF] double-stranded DNA binding	0.858735039990101	0.114190652369902	0.00129292384369924	0.0257813837962971	0
GO:0003697|[MF] single-stranded DNA binding	0.807459825303449	0.155561827647032	0.00458093747213848	0.03239740957738	0
GO:0003700|[MF] transcription factor activity, sequence-specific DNA binding	0.884733716433239	0.0888960964486962	0.00669254123816049	0.0196776458799045	0
GO:0003712|[MF] transcription cofactor activity	0.811697057993127	0.0862550529327469	0.021343583398296	0.0807043056758304	0
GO:0003713|[MF] transcription coactivator activity	0.804299168701106	0.11185992219819	0.0338887453386835	0.0499521637620208	0
GO:0003723|[MF] RNA binding	0.880277391993913	0.0866650633952458	0.0274975533448511	0.00555999126599002	0
GO:0003724|[MF] RNA helicase activity	0.897035902314185	0.0598752092188431	0.0148784643090524	0.0282104241579192	0
GO:0003725|[MF] double-stranded RNA binding	0.889560688135458	0.0320144024847001	0.063143943950805	0.0152809654290367	0
GO:0003727|[MF] single-stranded RNA binding	0.918213458629206	0.0551975392984772	0.0102859580136673	0.0163030440586493	0
GO:0003729|[MF] mRNA binding	0.89902846029658	0.0979259066487642	8.38786705181081e-05	0.00296175438413816	0
GO:0003735|[MF] structural constituent of ribosome	0.964332002726747	0.00741443329335565	0.0206519420380197	0.00760162194187733	0
GO:0003743|[MF] translation initiation factor activity	0.906450730308254	0.0389469547175171	0.0293931231109299	0.0155858074712522	0.00962338439204669
GO:0003746|[MF] translation elongation factor activity	0.849606923933835	0.110864767311093	0.0394157150048035	0.000112593750267955	0
GO:0003747|[MF] translation release factor activity	0.537916393240159	0.290440566189359	0.0768451300000258	0.0947979105704568	0
GO:0003755|[MF] peptidyl-prolyl cis-trans isomerase activity	0.912160780729281	0.0132525323499637	0.0484189714458455	0.0261677154749098	0
GO:0003774|[MF] motor activity	0.827417227829196	0.093673747595319	0.0288326335323736	0.0500763910431113	0
GO:0003796|[MF] lysozyme activity	0.881709562008715	0.0520700022701043	0.0593530246363721	0.00686741108480903	0
GO:0003824|[MF] catalytic activity	0.886704660564447	0.0646380822864218	0.0216895753618699	0.0269676817872615	0
