Residuals	number_of_pups_scaled	lipocalin2_pg_ml_scaled	weight_grams_scaled	genotype
K00003|homoserine dehydrogenase [EC.1.1.1.3]	0.684258366718069	0.0552426568188825	0.027668658828471	0.0711373555094652	0.161692962125112
K00012|UDPglucose 6-dehydrogenase [EC.1.1.1.22]	0.815758376957954	0.0339559391169833	0.0083604992701458	0.141925184654917	0
K00013|histidinol dehydrogenase [EC.1.1.1.23]	0.893674945504251	0.0223218040258324	7.07733436898193e-07	0.0213773956804483	0.0626251470560311
K00014|shikimate dehydrogenase [EC.1.1.1.25]	0.893805185039564	0.00715743683626538	0.0153315747752507	0.0837058033489203	0
K00016|L-lactate dehydrogenase [EC.1.1.1.27]	0.895574115382403	0.065764731022327	0.0382191574492353	0.000441996146034879	0
K00018|glycerate dehydrogenase [EC.1.1.1.29]	0.993649053489875	0.00238560440519181	0.00312273859371062	0.000842603511222252	0
K00024|malate dehydrogenase [EC.1.1.1.37]	0.945290399673049	0.0104107726225132	0.0135607860957509	0.030738041608687	0
K00029|malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC.1.1.1.40]	0.929007838374886	0.0264544186842931	0.0349779745461722	0.00955976839464913	0
K00031|isocitrate dehydrogenase [EC.1.1.1.42]	0.790720589217313	0.042712763548738	0.0369553239996521	0.129611323234297	0
K00033|6-phosphogluconate dehydrogenase [EC.1.1.1.44 1.1.1.343]	0.836250597341104	0.0318571815272796	0.00735510408257245	0.0195224991336421	0.105014617915402
K00036|glucose-6-phosphate 1-dehydrogenase [EC.1.1.1.49 1.1.1.363]	0.899594855785505	0.0135499677891288	0.0854429022890747	0.00141227413629139	0
K00041|tagaturonate reductase [EC.1.1.1.58]	0.947814102810777	0.0173934892408121	0.0169698244821222	0.0178225834662889	0
K00046|gluconate 5-dehydrogenase	0.985608371515145	0.000249036161278816	3.32142478782691e-07	0.0141422601810977	0
K00048|lactaldehyde reductase [EC.1.1.1.77]	0.993650449587435	2.13947347936018e-06	5.8595927048038e-06	0.00634155134638053	0
K00052|3-isopropylmalate dehydrogenase [EC.1.1.1.85]	0.827952500505438	0.0439317462265154	0.00687900914416979	0.0247360218720932	0.0965007222517831
K00053|ketol-acid reductoisomerase [EC.1.1.1.86]	0.730786031460245	0.00144260288165015	0.00715861412985489	0.208861010488147	0.0517517410401033
K00057|glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC.1.1.1.94]	0.80884828762026	0.0846552040878991	0.0856207626682924	0.0208757456235482	0
K00058|D-3-phosphoglycerate dehydrogenase [EC.1.1.1.95]	0.931658611271543	0.0258761174985238	0.00775361862571993	0.0347116526042137	0
K00059|3-oxoacyl-[acyl-carrier protein] reductase [EC.1.1.1.100]	0.65056030339132	0.0318572030193755	0.0165021603313572	0.0766735870203818	0.224406746237566
K00065|2-deoxy-D-gluconate 3-dehydrogenase [EC.1.1.1.125]	0.701797839644768	0.153469144748266	0.144418044758171	0.000314970848795255	0
K00075|UDP-N-acetylmuramate dehydrogenase [EC.1.3.1.98]	0.920462977147902	0.027998707888314	0.0379050394670996	0.0136332754966848	0
K00077|2-dehydropantoate 2-reductase [EC.1.1.1.169]	0.851466218293015	0.0269477834130059	0.00298463451953517	0.00273296603847187	0.115868397735972
K00086|1,3-propanediol dehydrogenase [EC.1.1.1.202]	0.85077211278773	0.00891112161013142	0.085971440618183	0.00197365242534505	0.052371672558611
K00088|IMP dehydrogenase [EC.1.1.1.205]	0.970294181530384	3.24076923933058e-05	0.00166279859237364	0.0280106121848489	0
K00097|4-hydroxythreonine-4-phosphate dehydrogenase [EC.1.1.1.262]	0.75691141681304	0.0430191851509362	0.0464774932589498	0.0323513196612928	0.121240585115781
K00099|1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC.1.1.1.267]	0.952340718206392	0.0116171369026636	0.0107494787246568	0.0252926661662876	0
