Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
1CMET2-PWY|folate transformations III (E. coli)	0.692944729967829	0.262681961751405	0.0119269172669807	0.032446391013785	0
ALLANTOINDEG-PWY|superpathway of allantoin degradation in yeast	0.748106998019236	0.000669570152790668	0.0358644447319336	0.119677205233189	0.095681781862851
ANAEROFRUCAT-PWY|homolactic fermentation	0.98609860263481	0.000698646328971461	0.0124784138086451	0.000724337227572851	0
ANAGLYCOLYSIS-PWY|glycolysis III (from glucose)	0.904044406321709	0.0159970726974409	0.00623859199464727	0.0263244583527454	0.0473954706334577
ARGININE-SYN4-PWY|L-ornithine biosynthesis II	0.934403287961135	0.00273871170038119	0.000725255144068947	0.0621327451944145	4.50710968732111e-17
ARGSYN-PWY|L-arginine biosynthesis I (via L-ornithine)	0.827300225615132	0.0414502206281538	0.0942831066493087	0.0369664471074052	0
ARGSYNBSUB-PWY|L-arginine biosynthesis II (acetyl cycle)	0.800321347197611	0.0566227068118342	0.107666756842095	0.035389189148459	0
ARO-PWY|chorismate biosynthesis I	0.675014208901444	0.27500271788417	0.006679776303356	0.0433032969110298	0
ASPASN-PWY|superpathway of L-aspartate and L-asparagine biosynthesis	0.781640272066786	0.201471934737111	6.46068258140166e-05	0.0168231863702888	0
BRANCHED-CHAIN-AA-SYN-PWY|superpathway of branched chain amino acid biosynthesis	0.865206789915404	0.00165118537611897	0.0204672140291616	0.0427304506453542	0.0699443600339615
CALVIN-PWY|Calvin-Benson-Bassham cycle	0.909274640355586	0.083577119730791	0.00039474518626288	0.00675349472736059	0
CENTFERM-PWY|pyruvate fermentation to butanoate	0.926012545143038	0.0564861113504492	0.0106860985823032	0.00681524492420937	0
CITRULBIO-PWY|L-citrulline biosynthesis	0.785529402526866	0.0704812577776513	0.136857034471349	5.32355138033127e-06	0.00712698167275386
COA-PWY-1|superpathway of coenzyme A biosynthesis III (mammals)	0.552376738417021	0.410775738829474	0.0076929949687368	0.0291545277847679	0
COA-PWY|coenzyme A biosynthesis I (prokaryotic)	0.760474567888399	0.223935017545362	0.0155415428551722	4.88717110662612e-05	0
COBALSYN-PWY|superpathway of adenosylcobalamin salvage from cobinamide I	0.867432104412043	0.000288787716311301	0.0298331706105346	0.0489407461921686	0.053505191068943
COLANSYN-PWY|colanic acid building blocks biosynthesis	0.958552045173174	0.00500148442152075	0.0272341640447472	0.00921230636055806	0
COMPLETE-ARO-PWY|superpathway of aromatic amino acid biosynthesis	0.879650447574102	0.0606614633952484	0.0393564112714567	0.020331677759193	0
DAPLYSINESYN-PWY|L-lysine biosynthesis I	0.627219659198674	0.355419525512497	0.00163020846235571	0.0157306068264731	0
DTDPRHAMSYN-PWY|dTDP-&beta;-L-rhamnose biosynthesis	0.738335962010734	0.231527051960622	0.0263703311309984	0.00376665489764606	0
FERMENTATION-PWY|mixed acid fermentation	0.903931339837499	0.00573324013158112	0.0902388519072568	9.65681236629524e-05	0
GALACT-GLUCUROCAT-PWY|superpathway of hexuronide and hexuronate degradation	0.677914176377522	0.0934151626254577	0.14405165618041	0.0846190048166108	0
GALACTUROCAT-PWY|D-galacturonate degradation I	0.964462684009651	0.017020194479421	0.00678823032791169	0.0117288911830162	0
GLCMANNANAUT-PWY|superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.666472845658189	0.12787588245198	0.0113862271286479	0.00891146481508829	0.185353579946095
GLUCONEO-PWY|gluconeogenesis I	0.807007836642766	1.00655329801151e-06	0.00209386519319941	0.0779137041369744	0.112983587473763
GLUCUROCAT-PWY|superpathway of &beta;-D-glucuronosides degradation	0.852414940651529	0.00400204761277133	0.0499200824896469	0.0936629292460529	0
GLUDEG-I-PWY|GABA shunt	0.934211113827116	0.0149328971340935	0.0456866361127704	0.00516935292602032	0
GLUTORN-PWY|L-ornithine biosynthesis I	0.869831393711121	0.0497515195343584	0.0647905656230488	0.0156265211314714	0
GLYCOCAT-PWY|glycogen degradation I	0.905754430599293	0.00779754022379008	0.0782956458595594	0.00815238331735787	0
GLYCOGENSYNTH-PWY|glycogen biosynthesis I (from ADP-D-Glucose)	0.87202557367508	0.0863816632094826	0.0293281491100001	0.0122646140054369	0
GLYCOLYSIS-E-D|superpathway of glycolysis and the Entner-Doudoroff pathway	0.845066401698338	0.0468094538692324	0.050957002861905	0.0290470717267195	0.0281200698438053
GLYCOLYSIS|glycolysis I (from glucose 6-phosphate)	0.899086572774718	0.0533088887040549	0.0108855683507966	0.0367189701704302	0
GOLPDLCAT-PWY|superpathway of glycerol degradation to 1,3-propanediol	0.93320776402084	0.0231617889560905	0.0421730676432984	0.00145737937977071	0
HEME-BIOSYNTHESIS-II|heme b biosynthesis I (aerobic)	0.70390034089163	0.127826297917196	0.0576987656112746	0.110574595579899	0
HEMESYN2-PWY|heme b biosynthesis II (oxygen-independent)	0.910635126148497	0.00846774716529488	0.000394278512672934	0.0100405668880561	0.0704622812854794
HISDEG-PWY|L-histidine degradation I	0.834020062937183	0.127051508480617	0.032749618494114	0.00617881008808641	0
HISTSYN-PWY|L-histidine biosynthesis	0.726772147346473	0.00897767878762628	0.0701024633710235	0.194147710494877	0
HSERMETANA-PWY|L-methionine biosynthesis III	0.912899579518882	0.0585870527923664	0.00700219505803606	0.0215111726307156	0
ILEUSYN-PWY|L-isoleucine biosynthesis I (from threonine)	0.867094516061791	0.000686911247277524	0.0271102035997601	0.044346352241346	0.0607620168498254
LACTOSECAT-PWY|lactose and galactose degradation I	0.899571023704958	0.00550661783469933	0.0213367191587749	0.0152431163010716	0.0583425230004959
METH-ACETATE-PWY|methanogenesis from acetate	0.867037901364468	0.000457718248691331	0.131074247912441	0.000212534097178674	0.00121759837722107
NAGLIPASYN-PWY|lipid IVA biosynthesis (E. coli)	0.983168623657802	0.00643994342925978	0.0102634513215014	0.00012798159143695	0
NONMEVIPP-PWY|methylerythritol phosphate pathway I	0.634476336276845	0.28832290769174	0.00542695009186739	0.0717738059395476	0
NONOXIPENT-PWY|pentose phosphate pathway (non-oxidative branch) I	0.986518685499912	0.012592946445666	0.000287951456673524	0.000600416597748281	0
OANTIGEN-PWY|O-antigen building blocks biosynthesis (E. coli)	0.956655520138885	7.5997510585516e-05	0.000310663379110644	0.0317806182302947	0.0111772007411238
P124-PWY|Bifidobacterium shunt	0.876719017345697	0.0189881726436639	0.104276274503084	1.65355075543787e-05	0
P161-PWY|acetylene degradation (anaerobic)	0.731162368681735	0.0198939402294319	0.234579160386859	0.0143645307019747	0
P164-PWY|purine nucleobases degradation I (anaerobic)	0.694654662742013	0.0545013739867514	0.00153558134484875	0.249308381926387	0
P185-PWY|formaldehyde assimilation III (dihydroxyacetone cycle)	0.854709749905057	0.0278231598502416	0.117183419561711	0.000283670682990197	0
P41-PWY|pyruvate fermentation to acetate and (S)-lactate I	0.91685773071447	0.0485128987178431	2.96361016369708e-05	0.0345997344660499	0
P42-PWY|incomplete reductive TCA cycle	0.638329469054361	0.24351611588079	0.00831616266217632	0.109838252402673	0
P441-PWY|superpathway of N-acetylneuraminate degradation	0.718544464201308	0.0189055834344763	0.237315787775831	0.0252341645883849	0
P461-PWY|hexitol fermentation to lactate, formate, ethanol and acetate	0.851793799689819	0.0083600829903904	0.113419757293877	0.00085165872389249	0.0255747013020207
PANTO-PWY|phosphopantothenate biosynthesis I	0.629650940010014	0.355544794237605	0.000775412033778875	0.0140288537186023	0
PANTOSYN-PWY|superpathway of coenzyme A biosynthesis I (bacteria)	0.629665512927685	0.339100826781014	0.0144290907034237	0.0168045695878769	0
PENTOSE-P-PWY|pentose phosphate pathway	0.834586253281484	0.0963519478805044	0.0690552494078724	6.54943013952835e-06	0
PEPTIDOGLYCANSYN-PWY|peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.75967424229468	0.183955747081578	0.0018177651601526	0.0545522454635891	0
PHOSLIPSYN-PWY|superpathway of phospholipid biosynthesis I (bacteria)	0.984782824000658	0.00595945025785943	0.00903908284225519	0.00021864289922741	0
POLYISOPRENSYN-PWY|polyisoprenoid biosynthesis (E. coli)	0.82875575940555	0.00329919908242108	0.00899382837009785	0.0296076321737099	0.129343580968221
PPGPPMET-PWY|ppGpp metabolism	0.837493201437719	0.111592533119097	0.029085955688432	0.0218283097547516	0
