Residuals	weight_grams_scaled	lipocalin2_pg_ml_scaled	number_of_pups_scaled	genotype
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|(expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	0.973087942876514	0.0083984234515359	0.0122369364819422	0.00627669719000797	0
1.1.1.127-RXN|(expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]	0.909166015864203	0.0262407508397791	0.0175028615993041	0.00757593301619177	0.039514438680522
1.1.1.136-RXN|(expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]	0.703737878748648	0.0517746788168069	0.218106149997786	0.0263812924367586	0
1.1.1.261-RXN|(expasy) sn-glycerol-1-phosphate dehydrogenase [1.1.1.261]	0.96696256271416	0.00282332053436124	0.0141999917108862	0.0160141250405928	0
1.1.1.271-RXN|(expasy) GDP-L-fucose synthase [1.1.1.271]	0.933746380695914	0.0563042466658762	0.00981187615703707	0.000137496481173281	0
1.1.1.272-RXN|(expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]	0.952654178219158	5.48671343052521e-05	0.0354195503596837	0.0118714042868534	0
1.1.1.274-RXN|(expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]	0.83097089497604	0.0276262479249346	0.0324338961706942	0.0329016945255207	0.07606726640281
1.1.1.283-RXN|(expasy) Methylglyoxal reductase (NADPH) [1.1.1.283]	0.913875092519217	0.0214271613321617	0.0122079405609184	0.000520752998392473	0.0519690525893102
1.1.1.292-RXN|(expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	0.775451623367618	0.127615791703949	0.0605569118771821	0.0363756730512501	0
1.1.1.39-RXN|(expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]	0.864027743753079	3.50107639803107e-05	0.1358879739168	4.9271566141069e-05	0
1.1.99.28-RXN|(expasy) Glucose-fructose oxidoreductase [1.1.99.28]	0.897465958507347	0.0621233832983004	0.00623102719979602	0.0341796309945568	0
1.15.1.2-RXN|(expasy) Superoxide reductase [1.15.1.2]	0.850977462907377	0.00473031648475313	0.14164564677188	0.00264657383599027	0
1.17.4.2-RXN|(expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	0.856666428823359	0.106208847346086	0.0324094160627017	0.00471530776785342	0
1.18.1.2-RXN|(expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]	0.728145280896376	0.202375795799252	0.0264170025129601	0.0430619207914113	0
1.2.3.3-RXN|(expasy) Pyruvate oxidase [1.2.3.3]	0.909985982363274	0.0220546853636937	0.00421565173248979	0.0637436805405427	0
1.2.4.4-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	0.973937677230407	0.00104230843184162	0.022911982513299	0.0021080318244527	0
1.2.7.4-RXN|(expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]	0.736502368899045	0.0968027205919895	0.122871500007009	0.0438234105019571	0
1.2.7.7-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.620357370253293	0.216671369679789	0.159993015266845	0.00297824480007239	0
1.2.7.8-RXN|(expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	0.889211219018787	0.00233206177810376	0.0239933797600354	0.0283137133655517	0.0561496260775222
1.2.99.7-RXN|(expasy) Aldehyde dehydrogenase (FAD-independent) [1.2.99.7]	0.704530738201412	0.0961176511189878	0.116665691791455	0.0826859188881448	0
1.21.4.1-RXN|(expasy) D-proline reductase [1.21.4.1]	0.917745622951144	0.0344603518607702	0.0441091855363664	0.00368483965171948	0
1.21.4.3-RXN|(expasy) Sarcosine reductase [1.21.4.3]	0.519052091963189	0.0961200963146025	0.304751840381711	0.080075971340497	0
1.21.4.4-RXN|(expasy) Betaine reductase [1.21.4.4]	0.572328305960223	0.140383008961387	0.253248423167198	0.0340402619111924	0
1.3.1.54-RXN|(expasy) Precorrin-6A reductase [1.3.1.54]	0.955458404103715	0.000339552769209839	0.00068008473267853	0.0435219583943965	0
1.4.1.11-RXN|(expasy) L-erythro-3,5-diaminohexanoate dehydrogenase [1.4.1.11]	0.93116693963415	0.00939282616044119	0.0356600643644665	0.0237801698409422	0
1.4.1.21-RXN|(expasy) Aspartate dehydrogenase [1.4.1.21]	0.915240033529508	0.000602655288630053	0.021422804557946	0.0627345066239162	0
1.5.1.20-RXN|(expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	0.955002446138354	0.00464513823730986	0.000200203117839452	0.0401522125064967	0
1.5.1.7-RXN|(expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]	0.425121691364115	0.000581153810048145	0.0682787284271046	0.0661770397979043	0.439841386600828
1.6.4.4-RXN|(expasy) Protein-disulfide reductase [1.8.1.8]	0.90473654806869	0.0220683292803111	0.00821351490629171	0.0649816077447067	0
1.7.2.2-RXN|(expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]	0.906434366384601	0.00149353278011585	0.0682766575012449	0.0237954433340377	0
1.7.2.3-RXN|(expasy) Trimethylamine-N-oxide reductase [1.7.2.3]	0.64832129859929	0.086690347650998	0.0190599052168129	0.2459284485329	0
1.8.1.4-RXN|(expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	0.750161268717395	0.217221523443582	0.0319168053563324	0.000700402482691383	0
1.8.4.12-RXN|(expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]	0.966777889284278	0.00921875757516574	0.000337732932031596	0.0236656202085249	0
1.8.4.14-RXN|(expasy) L-methionine (R)-S-oxide reductase [1.8.4.14]	0.811042581795814	0.0751383854178212	0.113796859927658	2.21728587072899e-05	0
13-PROPANEDIOL-DEHYDROGENASE-RXN|(expasy) 1,3-propanediol dehydrogenase [1.1.1.202]	0.85077211278773	0.00197365242534505	0.085971440618183	0.00891112161013142	0.052371672558611
1PFRUCTPHOSN-RXN|(expasy) 1-phosphofructokinase [2.7.1.56]	0.784055736143392	0.122596189147706	0.0110301810230537	0.03099705771469	0.0513208359711583
1TRANSKETO-RXN|(expasy) Transketolase [2.2.1.1]	0.98448541856067	2.52431693657445e-06	0.00172943798791258	0.0137826191344808	0
2-DEHYDROPANTOATE-REDUCT-RXN|(expasy) 2-dehydropantoate 2-reductase [1.1.1.169]	0.941658505007788	0.0433058915873122	0.000552211095565688	0.0144833923093337	0
2-ISOPROPYLMALATESYN-RXN|(expasy) 2-isopropylmalate synthase [2.3.3.13]	0.794674717305526	0.169970390660406	0.00993119266642131	0.025423699367647	0
2-METHYLCITRATE-DEHYDRATASE-RXN|(expasy) 2-methylcitrate dehydratase [4.2.1.79]	0.802238472203842	0.0150400613875043	0.000564863946111531	0.142122992786124	0.0400336096764175
2-NITROPROPANE-DIOXYGENASE-RXN|(expasy) Nitronate monooxygenase [1.13.12.16]	0.978660368059431	0.00948607084291968	0.0054732539243034	0.00638030717334581	0
