Residuals	timepoint	mouse_id
GO:0000015|[CC] phosphopyruvate hydratase complex	0.853278769379575	1.19515385838368e-08	0.146721218668886
GO:0000027|[BP] ribosomal large subunit assembly	0.697047051996507	0.302952947837822	1.6567113465503e-10
GO:0000030|[MF] mannosyltransferase activity	0.852745967386567	0	0.147254032613433
GO:0000034|[MF] adenine deaminase activity	0.494010925833694	0.483123440035479	0.022865634130827
GO:0000036|[MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	0.729219226931327	0.270780773068673	0
GO:0000041|[BP] transition metal ion transport	0.522855338804067	0.385863981333085	0.091280679862848
GO:0000049|[MF] tRNA binding	0.443284695268287	0.556715304731699	1.35077907419913e-14
GO:0000103|[BP] sulfate assimilation	0.500667374153946	0.461264396048627	0.0380682297974266
GO:0000104|[MF] succinate dehydrogenase activity	0.821612629638857	0.178387370361054	8.89006596060489e-14
GO:0000105|[BP] histidine biosynthetic process	0.570050791611808	0.332374991072515	0.0975742173156776
GO:0000107|[MF] imidazoleglycerol-phosphate synthase activity	0.504277354473314	0.337439004499358	0.158283641027328
GO:0000122|[BP] negative regulation of transcription from RNA polymerase II promoter	0.99226040278406	0.00773959720533415	1.06063553859835e-11
GO:0000150|[MF] recombinase activity	0.581316205283536	0.288719032454475	0.12996476226199
GO:0000155|[MF] phosphorelay sensor kinase activity	0.644215090721725	0.301291219170948	0.0544936901073269
GO:0000156|[MF] phosphorelay response regulator activity	0.640784719196168	0.245824487839566	0.113390792964266
GO:0000159|[CC] protein phosphatase type 2A complex	0.933285026967802	9.71168676798401e-10	0.066714972061029
GO:0000160|[BP] phosphorelay signal transduction system	0.628693397110201	0.293971981156721	0.077334621733078
GO:0000162|[BP] tryptophan biosynthetic process	0.746966711922801	0.253033276294611	1.17825875695568e-08
GO:0000166|[MF] nucleotide binding	0.567708174278881	0.404123157787973	0.0281686679331455
GO:0000175|[MF] 3-5-exoribonuclease activity	0.834617401531163	0.125692975032212	0.0396896234366247
GO:0000179|[MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	0.481810506295542	0.515554485684655	0.00263500801980273
GO:0000184|[BP] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.848581458887273	0.027543816761526	0.123874724351201
GO:0000226|[BP] microtubule cytoskeleton organization	0.779089997336238	0	0.220910002663762
GO:0000256|[BP] allantoin catabolic process	0.669955355225715	0.33004464383987	9.34414378497276e-10
GO:0000270|[BP] peptidoglycan metabolic process	0.457697979210763	0.338002946956543	0.204299073832694
GO:0000271|[BP] polysaccharide biosynthetic process	0.472269153354262	0.527730846645738	0
GO:0000272|[BP] polysaccharide catabolic process	0.701632876376187	0.298367121779753	1.84406013887339e-09
GO:0000276|[CC] mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	0.883654978034632	0.0442456914058426	0.0720993305595254
GO:0000278|[BP] mitotic cell cycle	0.980963333380886	0.0190366666191143	0
GO:0000286|[MF] alanine dehydrogenase activity	0.392850007178757	0.534131866986121	0.0730181258351219
GO:0000287|[MF] magnesium ion binding	0.43111971227113	0.56888028772887	0
GO:0000310|[MF] xanthine phosphoribosyltransferase activity	0.347346251047631	0.613696084711769	0.0389576642406002
GO:0000387|[BP] spliceosomal snRNP assembly	1	0	0
GO:0000398|[BP] mRNA splicing, via spliceosome	0.761119678023681	0.0164883753127767	0.222391946663542
GO:0000453|[BP] enzyme-directed rRNA 2-O-methylation	0.396091512578325	0.570377041006967	0.0335314464147084
GO:0000462|[BP] maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.938480642170777	6.76369054717517e-18	0.0615193578292229
GO:0000716|[BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	0.477904048872983	0.522095951127016	1.16110326624146e-15
GO:0000723|[BP] telomere maintenance	0.714839016392268	0.19092603605682	0.0942349475509112
GO:0000724|[BP] double-strand break repair via homologous recombination	0.390242761426265	0.609757238565803	7.93163059408388e-12
GO:0000737|[BP] DNA catabolic process, endonucleolytic	0.899842602090675	0.0840979679441059	0.0160594299652192
GO:0000746|[BP] conjugation	0.643880334946639	0.155877263937686	0.200242401115676
GO:0000774|[MF] adenyl-nucleotide exchange factor activity	0.481492206416654	0.518507793583107	2.39737279413577e-13
GO:0000776|[CC] kinetochore	1	0	0
GO:0000786|[CC] nucleosome	0.649383431404011	0.231633029277449	0.11898353931854
GO:0000790|[CC] nuclear chromatin	0.879982732040377	2.90042323805159e-21	0.120017267959623
GO:0000793|[CC] condensed chromosome	0.931296287824943	0.00362734332397922	0.0650763688510772
GO:0000902|[BP] cell morphogenesis	0.469024681122351	0.530975318877449	2.00276635259208e-13
GO:0000906|[MF] 6,7-dimethyl-8-ribityllumazine synthase activity	0.679686635445715	0.320313364496086	5.81996839380949e-11
GO:0000917|[BP] barrier septum assembly	0.544565260122678	0.455434739877322	0
GO:0000918|[BP] barrier septum site selection	0.584931781278314	0.387264160564784	0.0278040581569024
GO:0000921|[BP] septin ring assembly	0.800093790042269	0.199896902348658	9.30760907309381e-06
GO:0000967|[BP] rRNA 5-end processing	0.429004387914934	0.570995612082806	2.2603081089277e-12
GO:0000977|[MF] RNA polymerase II regulatory region sequence-specific DNA binding	0.86815565051852	0	0.13184434948148
GO:0000978|[MF] RNA polymerase II core promoter proximal region sequence-specific DNA binding	0.948040202794531	8.8284638932368e-13	0.0519597972045859
GO:0000981|[MF] RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.796590443477507	0.0409011199871262	0.162508436535367
GO:0000986|[MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	0.685306837655854	0.295127189902293	0.0195659724418527
GO:0001077|[MF] transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	1	0	0
GO:0001123|[BP] transcription initiation from bacterial-type RNA polymerase promoter	0.563216325755933	0.243343861488702	0.193439812755365
GO:0001407|[BP] glycerophosphodiester transport	0.74949216720417	0.227435880468795	0.0230719523270353
GO:0001514|[BP] selenocysteine incorporation	0.595362287155328	0.404578230525419	5.94823192533726e-05
GO:0001522|[BP] pseudouridine synthesis	0.58761490966038	0.393070367985351	0.019314722354269
GO:0001530|[MF] lipopolysaccharide binding	0.572140393116327	0.427859517151472	8.97322017032272e-08
GO:0001666|[BP] response to hypoxia	0.950587770444241	0.0119491782248619	0.0374630513308974
GO:0001680|[BP] tRNA 3-terminal CCA addition	0.528071588319523	0.471928411680478	0
GO:0001682|[BP] tRNA 5-leader removal	0.425196882678025	0.574803117321975	0
GO:0001701|[BP] in utero embryonic development	0.965894856180576	0.00762522632981118	0.0264799174896131
GO:0001726|[CC] ruffle	0.905226559997885	0.0947734400019164	1.98872426054594e-13
GO:0002098|[BP] tRNA wobble uridine modification	0.428778108973186	0.44814889116995	0.123072999856863
GO:0002100|[BP] tRNA wobble adenosine to inosine editing	0.63097284452633	0.36902715547367	0
GO:0002161|[MF] aminoacyl-tRNA editing activity	0.398975681577557	0.601024318422443	1.61551772355844e-16
GO:0002181|[BP] cytoplasmic translation	0.747535592686584	0.0269422511880752	0.225522156125341
GO:0002218|[BP] activation of innate immune response	0.939802123254152	0.00846829302645405	0.0517295837193941
GO:0002244|[BP] hematopoietic progenitor cell differentiation	0.789086306127407	0.0124115678592421	0.198502126013351
GO:0002281|[BP] macrophage activation involved in immune response	0.92070069686055	7.0764909974958e-11	0.0792993030686855
