Residuals	timepoint	mouse_id
K00003|homoserine dehydrogenase [EC.1.1.1.3]	0.517837850951848	0.482162149048152	4.58178714558585e-16
K00008|L-iditol 2-dehydrogenase [EC.1.1.1.14]	0.927686793761606	0.072313206220795	1.75992918573611e-11
K00009|mannitol-1-phosphate 5-dehydrogenase [EC.1.1.1.17]	0.93216271478704	0.0363289782389232	0.0315083069740373
K00010|myo-inositol 2-dehydrogenase | D-chiro-inositol 1-dehydrogenase [EC.1.1.1.18 1.1.1.369]	0.810108114342074	0.174126835531803	0.0157650501261225
K00012|UDPglucose 6-dehydrogenase [EC.1.1.1.22]	0.964333363260434	0.035666636709431	3.01352605796462e-11
K00013|histidinol dehydrogenase [EC.1.1.1.23]	0.512047241414601	0.487952758584578	8.2086510091924e-13
K00014|shikimate dehydrogenase [EC.1.1.1.25]	0.644345085648677	0.355654914351323	0
K00016|L-lactate dehydrogenase [EC.1.1.1.27]	0.609522047313621	0.344332542305581	0.0461454103807976
K00018|glycerate dehydrogenase [EC.1.1.1.29]	0.975214407021843	0.0247855913180657	1.66009089810854e-09
K00024|malate dehydrogenase [EC.1.1.1.37]	0.763251099950245	0.134005102026261	0.102743798023494
K00027|malate dehydrogenase (oxaloacetate-decarboxylating) [EC.1.1.1.38]	0.749515517367823	0.250484474897883	7.73429402673717e-09
K00029|malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC.1.1.1.40]	0.830956142656081	0.00333756072936988	0.165706296614549
K00031|isocitrate dehydrogenase [EC.1.1.1.42]	0.742969194903556	0.196821772055527	0.0602090330409169
K00033|6-phosphogluconate dehydrogenase [EC.1.1.1.44 1.1.1.343]	0.628720918478005	0.335033659241788	0.0362454222802074
K00036|glucose-6-phosphate 1-dehydrogenase [EC.1.1.1.49 1.1.1.363]	0.53010105555562	0.433644641288028	0.0362543031563523
K00041|tagaturonate reductase [EC.1.1.1.58]	0.737890565152467	0.262109434847533	0
K00046|gluconate 5-dehydrogenase	0.799213417269405	0.190305676292816	0.0104809064377795
K00048|lactaldehyde reductase [EC.1.1.1.77]	0.487450972356812	0.198972046725863	0.313576980917325
K00052|3-isopropylmalate dehydrogenase [EC.1.1.1.85]	0.51737793890497	0.467194442832936	0.0154276182620938
K00053|ketol-acid reductoisomerase [EC.1.1.1.86]	0.569233655794045	0.423542217081459	0.00722412712449596
K00057|glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC.1.1.1.94]	0.664795671082826	0.307469640310403	0.0277346886067709
K00058|D-3-phosphoglycerate dehydrogenase [EC.1.1.1.95]	0.558939343942814	0.441060656056999	1.87221609113664e-13
K00059|3-oxoacyl-[acyl-carrier protein] reductase [EC.1.1.1.100]	0.678383812702194	0.321616187297802	4.05669110903611e-15
K00065|2-deoxy-D-gluconate 3-dehydrogenase [EC.1.1.1.125]	0.595738548814543	0.209786778015779	0.194474673169678
K00067|dTDP-4-dehydrorhamnose reductase [EC.1.1.1.133]	0.866812866949593	0.113106346676987	0.0200807863734203
K00074|3-hydroxybutyryl-CoA dehydrogenase [EC.1.1.1.157]	0.749698938024432	0.213740957127442	0.0365601048481264
K00075|UDP-N-acetylmuramate dehydrogenase [EC.1.3.1.98]	0.64156901139256	0.353504370450061	0.0049266181573792
K00077|2-dehydropantoate 2-reductase [EC.1.1.1.169]	0.489263471569756	0.477945727528366	0.0327908009018771
K00086|1,3-propanediol dehydrogenase [EC.1.1.1.202]	0.461774966625571	0.502684554642646	0.0355404787317832
K00087|xanthine dehydrogenase molybdenum-binding subunit [EC.1.17.1.4]	1	0	0
K00088|IMP dehydrogenase [EC.1.1.1.205]	0.911080894169853	0.0117488348723347	0.0771702709578127
K00097|4-hydroxythreonine-4-phosphate dehydrogenase [EC.1.1.1.262]	0.483770608811849	0.516229391188151	0
K00099|1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC.1.1.1.267]	0.6948584302169	0.3051415697831	0
K00100|butanol dehydrogenase [EC.1.1.1.-]	0.906858760456007	0.0341890712902777	0.0589521682537158
K00111|glycerol-3-phosphate dehydrogenase [EC.1.1.5.3]	0.847890246293224	0.0692064663684718	0.0829032873383046
K00116|malate dehydrogenase (quinone) [EC.1.1.5.4]	0.528213567425433	0.471784608280753	1.82429381442848e-06
K00124|formate dehydrogenase iron-sulfur subunit	0.526980803735726	0.441847076889517	0.0311721193747571
K00127|formate dehydrogenase subunit gamma	0.512327154930054	0.448039046475995	0.0396337985939507
K00133|aspartate-semialdehyde dehydrogenase [EC.1.2.1.11]	0.569960498739812	0.416225179158228	0.0138143221019598
K00134|glyceraldehyde 3-phosphate dehydrogenase [EC.1.2.1.12]	0.516798564074639	0.339215534756833	0.143985901168528
K00145|N-acetyl-gamma-glutamyl-phosphate reductase [EC.1.2.1.38]	0.737037800911557	0.262962199088443	2.75077513556762e-16
K00147|glutamate-5-semialdehyde dehydrogenase [EC.1.2.1.41]	0.762878662917276	0.237121336326482	7.56242354769594e-10
K00158|pyruvate oxidase [EC.1.2.3.3]	0.673867868867091	0.275507165821782	0.0506249653111275
K00169|pyruvate ferredoxin oxidoreductase alpha subunit [EC.1.2.7.1]	0.934318892164923	0.0656811078350769	0
K00170|pyruvate ferredoxin oxidoreductase beta subunit [EC.1.2.7.1]	0.798913794834378	0.0881685867703564	0.112917618395266
K00171|pyruvate ferredoxin oxidoreductase delta subunit [EC.1.2.7.1]	0.77583129566774	0.224168704331995	2.64935707955821e-13
K00172|pyruvate ferredoxin oxidoreductase gamma subunit [EC.1.2.7.1]	0.615650749859271	0.384349250140633	9.62331005781353e-14
K00174|2-oxoglutarate|2-oxoacid ferredoxin oxidoreductase subunit alpha [EC.1.2.7.3 1.2.7.11]	0.601264420569074	0.398735579430418	5.07243208252756e-13
