Residuals	timepoint	mouse_id
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|(expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	0.498155291523711	0.501844708476289	0
1.1.1.127-RXN|(expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]	0.937355144966504	0.0626448550024154	3.10801132243878e-11
1.1.1.136-RXN|(expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]	0.699791299538325	0.285352534578002	0.0148561658836733
1.1.1.176-RXN|(expasy) 12-alpha-hydroxysteroid dehydrogenase [1.1.1.176]	0.631095946973081	0.304677767917295	0.064226285109624
1.1.1.251-RXN|(expasy) Galactitol-1-phosphate 5-dehydrogenase [1.1.1.251]	0.917506911645358	0.0824930872646628	1.08997871826634e-09
1.1.1.261-RXN|(expasy) sn-glycerol-1-phosphate dehydrogenase [1.1.1.261]	0.379589229876098	0.497726767497807	0.122684002626095
1.1.1.271-RXN|(expasy) GDP-L-fucose synthase [1.1.1.271]	0.661598833363503	0.338401166628015	8.48181671764821e-12
1.1.1.272-RXN|(expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]	0.609361737771355	0.339160482916403	0.0514777793122417
1.1.1.274-RXN|(expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]	0.435401145035523	0.526135902485759	0.0384629524787178
1.1.1.283-RXN|(expasy) Methylglyoxal reductase (NADPH) [1.1.1.283]	0.581780013319183	0.374328067095211	0.0438919195856058
1.1.1.291-RXN|(expasy) 2-hydroxymethylglutarate dehydrogenase [1.1.1.291]	0.900062468400605	0.0584772099133712	0.0414603216860238
1.1.1.292-RXN|(expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	0.864554521460335	0.104709374929373	0.0307361036102921
1.1.1.39-RXN|(expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]	0.752947024704599	0.247052975114297	1.81103461851683e-10
1.1.99.28-RXN|(expasy) Glucose-fructose oxidoreductase [1.1.99.28]	0.587395393065179	0.40106741194129	0.0115371949935302
1.10.2.2-RXN|(expasy) Quinol--cytochrome-c reductase [7.1.1.8]	0.928417480896458	0.0088166417215874	0.062765877381955
1.12.1.3-RXN|(expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]	0.710547111294788	0.289452686513928	2.02191283998853e-07
1.15.1.2-RXN|(expasy) Superoxide reductase [1.15.1.2]	0.852163761303512	0.108163703563306	0.0396725351331822
1.17.4.2-RXN|(expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	0.364638358261165	0.620634173285225	0.0147274684536098
1.18.1.2-RXN|(expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]	0.487253528191529	0.455807499936558	0.0569389718719137
1.2.1.27-RXN|(expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]	0.71182636368527	0.244489545865973	0.043684090448756
1.2.1.66-RXN|(expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306]	0.537575369127195	0.325191517223344	0.137233113649461
1.2.3.3-RXN|(expasy) Pyruvate oxidase [1.2.3.3]	0.531127591735382	0.414873134613726	0.0539992736508916
1.2.4.4-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	0.921685949141015	0.0783140508231981	3.57870520270437e-11
1.2.7.4-RXN|(expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]	0.582278701550819	0.223347301427777	0.194373997021405
1.2.7.5-RXN|(expasy) Aldehyde ferredoxin oxidoreductase [1.2.7.5]	0.544092950590344	0.454686202781711	0.00122084662794506
1.2.7.7-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.609780823014825	0.174433802859757	0.215785374125418
1.2.7.8-RXN|(expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	0.775958901782569	0.224041098217422	9.25978091014909e-15
1.2.99.7-RXN|(expasy) Aldehyde dehydrogenase (FAD-independent) [1.2.99.7]	0.785165825363578	0.093965158585167	0.120869016051255
1.21.4.1-RXN|(expasy) D-proline reductase [1.21.4.1]	0.755949416110172	0.17900310054316	0.0650474833466677
1.21.4.3-RXN|(expasy) Sarcosine reductase [1.21.4.3]	0.891309865697526	0.108690133432145	8.70329027963261e-10
1.21.4.4-RXN|(expasy) Betaine reductase [1.21.4.4]	0.909831343209475	0.0901686567852821	5.24330127280552e-12
1.3.1.2-RXN|(expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2]	0.520603640526638	0.466665584540885	0.0127307749324774
1.3.1.54-RXN|(expasy) Precorrin-6A reductase [1.3.1.54]	0.858388738399289	0.14161126160071	0
1.3.99.15-RXN|(expasy) Benzoyl-CoA reductase [1.3.7.8]	0.706175028544047	0.252006001297304	0.0418189701586485
