Residuals	timepoint	number_of_pups_scaled	genotype	lipocalin2_pg_ml_scaled
1.1.1.1|Alcohol dehydrogenase	0.366940107805396	0.616539070311914	0.0147077072853673	4.72181159425398e-20	0.00181311459732281
1.1.1.100|3-oxoacyl-[acyl-carrier-protein] reductase	0.657350756340993	0.341546696326241	0.000585700467199387	1.67887040381371e-10	0.000516846697679923
1.1.1.103|L-threonine 3-dehydrogenase	0.814733141394509	0.182683298039807	0.00237480008318018	0	0.000208760482504235
1.1.1.122|D-threo-aldose 1-dehydrogenase	0.762309887960562	0.188713520782132	0.00144511191933773	0.0467834978873234	0.000747981450645552
1.1.1.125|2-deoxy-D-gluconate 3-dehydrogenase	0.498719382618165	0.231918941658722	0.119301662907302	0.149783957962987	0.000276054852824354
1.1.1.127|2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	0.869038792059014	0.0767351698535538	0.050781988320728	0	0.00344404976670408
1.1.1.130|3-dehydro-L-gulonate 2-dehydrogenase	0.681364181808223	0.238616040005851	0.0752416974449129	0.00439796893993783	0.00038011180107527
1.1.1.131|Mannuronate reductase	0.88676468411612	0.103965317593234	0.00926991543688318	1.81730868510562e-13	8.28535808286306e-08
1.1.1.132|GDP-mannose 6-dehydrogenase	0.73743947760962	0.168590220050343	0.00371371100999735	0.0884897739650805	0.00176681736495937
1.1.1.133|dTDP-4-dehydrorhamnose reductase	0.484034286098084	0.503492570641583	0.00930215883605482	0	0.00317098442427816
1.1.1.136|UDP-N-acetylglucosamine 6-dehydrogenase	0.68559835864542	0.273899198561755	0.0356449523979061	0.00465901700640813	0.000198473388510542
1.1.1.14|L-iditol 2-dehydrogenase	0.641603391140048	0.279445064910652	0.0439279210676846	0.0326069198698572	0.00241670301175873
1.1.1.140|Sorbitol-6-phosphate 2-dehydrogenase	0.95975750377984	0.0145210176850265	0.0101966066834822	0	0.0155248718516514
1.1.1.157|3-hydroxybutyryl-CoA dehydrogenase	0.391010969025102	0.589589402793406	0.000786664278996503	0.0164737336978425	0.00213923020465279
1.1.1.169|2-dehydropantoate 2-reductase	0.356746208939704	0.641310682144118	7.99189860757423e-05	0.00130573773254556	0.000557452197556196
1.1.1.17|Mannitol-1-phosphate 5-dehydrogenase	0.394928181507668	0.603146087084674	0.00130931172649264	7.98151056644284e-13	0.000616419680367129
1.1.1.18|Inositol 2-dehydrogenase	0.875023206185036	2.63431804539005e-17	0.111981778060404	0	0.0129950157545595
1.1.1.193|5-amino-6-(5-phosphoribosylamino)uracil reductase	0.612738510149337	0.381125539291127	0.00234584443056199	4.43363313436037e-18	0.0037901061289739
1.1.1.195|Cinnamyl-alcohol dehydrogenase	0.513662816490255	0.462868810629282	0.0231965466544876	3.49397044689044e-12	0.000271826222481898
1.1.1.2|Alcohol dehydrogenase (NADP(+))	0.877644560514126	0.041287939847936	0.00780769116721567	5.10335036359204e-20	0.0732598084707223
1.1.1.202|1,3-propanediol dehydrogenase	0.372092187594872	0.614746856091613	0.0124293605231306	0	0.000731595790384897
1.1.1.205|IMP dehydrogenase	0.684873889284706	0.31278120117787	0.000147626119998547	0	0.0021972834174247
1.1.1.21|Aldehyde reductase	0.704766109939366	0.26238861729409	0.0319467108647946	4.97804981044115e-14	0.000898561901699626
1.1.1.218|Morphine 6-dehydrogenase	0.69653526223371	0.273355319943484	0.0300313910336683	0	7.80267891374706e-05
1.1.1.22|UDP-glucose 6-dehydrogenase	0.788143637338141	0.175732803391792	0.0175780656042194	0.0176968770592067	0.000848616606640693
1.1.1.23|Histidinol dehydrogenase	0.558585518233004	0.428452440399657	0.0025247556697666	0.0104327002014434	4.58549612979184e-06
1.1.1.244|Methanol dehydrogenase	0.999890918588051	0	1.22330826466172e-05	0	9.68483293026264e-05
1.1.1.25|Shikimate dehydrogenase	0.876392675549993	0.0639903098146978	0.00043523614532627	0	0.0591817784899828
1.1.1.251|Galactitol-1-phosphate 5-dehydrogenase	0.876040596216397	0.111361787494055	0.00728163279830811	1.20697575912018e-12	0.00531598349003268
1.1.1.26|Glyoxylate reductase	0.93190935179222	0.0184652467338634	0.0402747207585849	1.00930862472005e-11	0.00935068070523833
1.1.1.261|sn-glycerol-1-phosphate dehydrogenase	0.437321875668279	0.48003653611535	0.0319350919389588	0.0482670566152446	0.00243943966216717
1.1.1.262|4-hydroxythreonine-4-phosphate dehydrogenase	0.450309873929364	0.541918333024777	0.00157385762116195	0.0052073886924853	0.0009905467322123
1.1.1.267|1-deoxy-D-xylulose-5-phosphate reductoisomerase	0.744373495417856	0.240129952123958	0.0008014350948647	0	0.0146951173633211
1.1.1.27|L-lactate dehydrogenase	0.337907493490388	0.646104950347956	0.0155154237105226	0	0.000472132451133372
1.1.1.271|GDP-L-fucose synthase	0.656361094750992	0.3433089736192	7.17513481223944e-05	0	0.000258180281684925
1.1.1.272|D-2-hydroxyacid dehydrogenase (NADP(+))	0.657893138763685	0.337680860808243	0.00209180488889267	2.9316400169368e-15	0.00233419553917643
1.1.1.274|2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)	0.364055125666436	0.621453434278956	0.0138500062474604	7.45873083988942e-13	0.000641433806401945
1.1.1.276|Serine 3-dehydrogenase (NADP(+))	0.954074805626098	0	0.0361791874231227	0	0.00974600695077896
1.1.1.28|D-lactate dehydrogenase	0.510021361572641	0.467958100291506	0.0212543183252142	0	0.000766219810639082
1.1.1.281|GDP-4-dehydro-6-deoxy-D-mannose reductase	0.899582944428487	0.0549516561953385	0.0435396487920067	1.29939302768732e-14	0.00192575058415512
1.1.1.283|Methylglyoxal reductase (NADPH)	0.520391582766204	0.458865232024899	0.01830887200994	0	0.00243431319895747
1.1.1.29|Glycerate dehydrogenase	0.993880856703616	0	0.00157472777544902	0	0.0045444155209352
1.1.1.290|4-phosphoerythronate dehydrogenase	0.994076032046594	0	0.00558493549736696	0	0.000339032456039266
1.1.1.291|2-hydroxymethylglutarate dehydrogenase	0.861986378398706	0.0566370247664682	0.00245138408095121	0.0712824031819471	0.00764280957192723
1.1.1.292|1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	0.883174631521578	0.0659970974547968	0.00225617617195203	1.80724330151127e-11	0.0485720948336005
1.1.1.3|Homoserine dehydrogenase	0.369154608248637	0.63062083968266	7.08841514360708e-05	0	0.000153667917267332
1.1.1.301|D-arabitol-phosphate dehydrogenase	0.534504002910239	0.391655494522611	0.0254175252707663	0.0201901903329397	0.028232786963444
1.1.1.304|Diacetyl reductase ((S)-acetoin forming)	0.682930312376056	0.287889011511104	0.0251871663240069	0	0.00399350978883354
1.1.1.306|S-(hydroxymethyl)mycothiol dehydrogenase	0.70435152095519	0.29368081084948	1.33966923323138e-06	2.43517024341169e-10	0.00196632828257973
1.1.1.31|3-hydroxyisobutyrate dehydrogenase	0.927278788843988	0.0638612592999725	0.00476630131596666	0	0.00409365054007309
1.1.1.313|Sulfoacetaldehyde reductase	0.89470236081818	0.103150726490046	0.00209468500661395	4.46606972397981e-14	5.22276851149847e-05
1.1.1.336|UDP-N-acetyl-D-mannosamine dehydrogenase	0.889590604123768	0.0972586672074148	0.0130109413402071	0	0.000139787328609897
1.1.1.346|2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	0.778954573198065	0.113268900377531	0.0326659761757296	0.0747894086168421	0.00032114163183302
1.1.1.35|3-hydroxyacyl-CoA dehydrogenase	0.317361842148272	0.67219476175723	0.010033417055446	0	0.000409979039052477
1.1.1.369|D-chiro-inositol 1-dehydrogenase	0.798757642733852	0.118129793689365	0.0823624462966302	1.03858849866997e-13	0.000750117280048588
1.1.1.37|Malate dehydrogenase	0.852430402153947	0.146469928478483	0.00107910585362753	0	2.05635139425918e-05
1.1.1.38|Malate dehydrogenase (oxaloacetate-decarboxylating)	0.739315824599142	0.25492254479312	0.00502169884556673	0	0.000739931762171138
1.1.1.40|Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	0.735449024774397	0.250955408782009	0.0132427072461505	0	0.000352859197443888
1.1.1.42|Isocitrate dehydrogenase (NADP(+))	0.67359553413363	0.314242152246894	0.00691785713190426	0.00490534747036438	0.000339109017208282
1.1.1.44|Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	0.51119797215968	0.466214897668378	0.0223463381688699	0	0.000240792003071267
1.1.1.47|Glucose 1-dehydrogenase (NAD(P)(+))	0.977052954631946	0.0160723606037557	0.00673286154762742	1.31050788920138e-14	0.000141823216657447
1.1.1.49|Glucose-6-phosphate dehydrogenase (NADP(+))	0.526049381545519	0.448477559709423	0.0254003162068423	0	7.27425382159929e-05
1.1.1.50|3-alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	0.911409797658068	0.0772278480092195	0.00766751027777035	4.2537881329724e-12	0.00369484405068869
1.1.1.57|Fructuronate reductase	0.592558706815904	0.271192931007277	0.0175033531390008	0.111619065441455	0.00712594359636247
1.1.1.58|Tagaturonate reductase	0.911097628164833	0.0740756314033812	0.0138804578564379	0	0.000946282575347508
1.1.1.6|Glycerol dehydrogenase	0.360058766154212	0.628440137978828	0.0111425491116559	6.71172743708997e-11	0.00035854668818732
1.1.1.60|2-hydroxy-3-oxopropionate reductase	0.690127230166943	0.300198484637532	0.00727752657002399	6.43549825687341e-15	0.00239675862549436
1.1.1.67|Mannitol 2-dehydrogenase	0.7171510549655	0.194726883430167	0.018257505451446	0.0643899809188807	0.00547457523400673
1.1.1.69|Gluconate 5-dehydrogenase	0.665817962420561	0.263799002855975	0.0132357027269215	0.0413846465120947	0.0157626854844477
1.1.1.77|Lactaldehyde reductase	0.718485261451041	0.26549488391211	0.00491087475361964	0.0100705655569643	0.00103841432626512
1.1.1.79|Glyoxylate reductase (NADP(+))	0.893390766281137	0	0.0016510180932967	0	0.104958215625566
1.1.1.85|3-isopropylmalate dehydrogenase	0.749312297371448	0.246815928609564	0.00382119372495789	1.55255336086943e-06	4.90277406692321e-05
1.1.1.86|Ketol-acid reductoisomerase (NADP(+))	0.987262370418908	0.00785231575468495	0.00263743199051195	0	0.00224788183589537
1.1.1.88|Hydroxymethylglutaryl-CoA reductase	0.444945043899062	0.530416104143007	0.024367979980767	0	0.000270871977163709
1.1.1.94|Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	0.604761722758527	0.385580184276819	0.00954402573650023	2.75028017931427e-16	0.000114067228153062
1.1.1.95|Phosphoglycerate dehydrogenase	0.602315309855261	0.374486810957131	0.0164039094029793	0	0.00679396978462829
1.1.2.3|L-lactate dehydrogenase (cytochrome)	0.834742360770617	0.153711968955413	6.09163972879484e-05	0	0.0114847538766824
1.1.3.15|(S)-2-hydroxy-acid oxidase	0.828854137313969	0.0967105598215286	0.0299627468259575	0.0313593242618771	0.0131132317766677
1.1.5.3|Glycerol-3-phosphate dehydrogenase	0.933662476827459	0.0292708026506795	0.0130220628915221	0.0231580705946628	0.000886587035676727
1.1.5.4|Malate dehydrogenase (quinone)	0.533001567282653	0.457385654500981	0.00846382019364467	0	0.00114895802272178
1.1.99.28|Glucose-fructose oxidoreductase	0.623184338507106	0.361782503091268	0.00131502748600863	6.2331084765646e-14	0.0137181309155555
1.1.99.38|2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)	0.841241085416363	0.133171414895774	3.13463095685856e-07	8.42999257060978e-12	0.0255871862163376
1.10.2.2|Quinol--cytochrome-c reductase	0.555958205776791	0.430586751191475	0.0111401351346455	0	0.00231490789708836
1.10.3.10|Ubiquinol oxidase (H(+)-transporting)	0.949355325259128	0.0115652548295517	0.000397250836056364	0.028314920460127	0.0103672486151371
1.11.1.1|NADH peroxidase	0.579487068126682	0.402993660105635	0.000926856501200065	0.0149364125174478	0.00165600274903523
1.11.1.15|Peroxiredoxin	0.76905696404055	0.218187432194989	0.0126856175912099	4.4577045952276e-08	6.99415962052719e-05
1.11.1.5|Cytochrome-c peroxidase	0.598991259828682	0.385814755728026	0.0151927276224866	0	1.25682080531115e-06
1.11.1.6|Catalase	0.686382475530591	0.308863007122855	0.00323369071249417	1.3376408570155e-11	0.0015208266206833
1.12.1.2|Hydrogen dehydrogenase	0.74843522282566	0.247542908452733	0.000626860716109258	0	0.00339500800549727
1.12.1.3|Hydrogen dehydrogenase (NADP(+))	0.553002821431271	0.366397774807318	0.002489120632773	0.0517063822965724	0.0264039008320654
1.12.7.2|Ferredoxin hydrogenase	0.820167330752265	0.171956605077181	0.00054868852991122	0.00576357384077306	0.00156380179986989
1.12.99.6|Hydrogenase (acceptor)	0.644890195410606	0.285999679167713	0.000584926837503183	0.0443785757062008	0.0241466228779774
1.13.12.16|Nitronate monooxygenase	0.552146907786706	0.347948398576507	0.00394391845761825	0.0772120919136084	0.0187486832655604
1.14.13.48|(S)-limonene 6-monooxygenase	0.776900910223758	0.157793666514379	0.00733045191704572	0	0.0579749713448176
1.14.13.7|Phenol 2-monooxygenase	0.856299159734061	0.135519755913533	0.00169725573342732	1.84584858264945e-13	0.00648382861879409
1.14.13.81|Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	0.882886381655963	0.0636098146562062	0.00272266533845207	0.0400311068240933	0.0107500315252854
1.15.1.1|Superoxide dismutase	0.983944856401641	9.29527139547576e-17	0.00634567040297585	0	0.00970947319538294
1.15.1.2|Superoxide reductase	0.670056905456822	0.159511722940869	0.0113052993743566	0.102536939443985	0.0565891327839678
1.16.1.1|Mercury(II) reductase	0.493897419059813	0.467042176221967	0.00174548298214793	0.0344827572843227	0.00283216445174924
1.16.3.1|Ferroxidase	0.854939464260115	0.141408427328118	0.000384392771712254	3.79696470078524e-12	0.00326771563625751
1.16.3.2|Bacterial non-heme ferritin	0.917543047098403	0.0796902921406825	0.002738118173207	2.03711667978401e-12	2.85425856707094e-05
1.17.1.4|Xanthine dehydrogenase	0.795630600906131	0.155049022919868	0.0212344450247557	1.14341990675594e-16	0.0280859311492451
1.17.1.5|Nicotinate dehydrogenase	0.839441954481515	0.129879059089841	0.00912391934899359	5.41699870313184e-22	0.0215550670796496
1.17.1.8|4-hydroxy-tetrahydrodipicolinate reductase	0.376717426627422	0.619468008019739	0.000377892000652394	0	0.00343667335218659
1.17.4.1|Ribonucleoside-diphosphate reductase	0.991714710577014	0	0.00786946941269407	0	0.000415820010292162
1.17.4.2|Ribonucleoside-triphosphate reductase	0.372538272198622	0.624369820237613	0.00223123682124491	0	0.000860670742520157
1.17.7.3|(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	0.586635605979987	0.405166670793826	0.0052847905786727	0.00217268147909767	0.000740251168416493
1.17.99.6|Epoxyqueuosine reductase	0.612823575920266	0.380105325927556	0.0030060773202364	0	0.0040650208319419
1.18.1.2|Ferredoxin--NADP(+) reductase	0.440422912434757	0.533169044041383	0.0257235328211115	4.57109438496255e-14	0.000684510702702709
1.18.6.1|Nitrogenase	0.745807663541508	0.210714968828685	0.00476060074020855	0.0387019536629993	1.48132265988441e-05
1.2.1.10|Acetaldehyde dehydrogenase (acetylating)	0.930808020615297	0	0.0368376529958016	0	0.0323543263889013
1.2.1.11|Aspartate-semialdehyde dehydrogenase	0.982456161521786	0.0130136683418469	0.00106007293465567	0	0.00347009720171121
1.2.1.12|Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	0.540102776662433	0.445087366733118	0.0135865998977061	0	0.00122325670674263
1.2.1.16|Succinate-semialdehyde dehydrogenase (NAD(P)(+))	0.389798961897754	0.595709580924933	0.0137377450782023	3.17314453780431e-15	0.000753712099107228
