Residuals	timepoint	number_of_pups_scaled	genotype	lipocalin2_pg_ml_scaled
GO:0000015|[CC] phosphopyruvate hydratase complex	0.972413049417256	0	0.0267123119981896	0	0.000874638584554749
GO:0000027|[BP] ribosomal large subunit assembly	0.669086300015201	0.328374718888711	0.000486321509242471	0	0.00205265958684548
GO:0000030|[MF] mannosyltransferase activity	0.990228426224855	0	0.00427129682891707	0	0.00550027694622793
GO:0000034|[MF] adenine deaminase activity	0.514361079335865	0.475710968994878	0.00306706748211696	0	0.00686088418714007
GO:0000036|[MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	0.808616639646308	0.184330173804526	0.00534421631186292	0	0.00170897023730309
GO:0000041|[BP] transition metal ion transport	0.640952058728472	0.347563466632123	0.00442801695785396	2.00722633306854e-11	0.00705645766147866
GO:0000049|[MF] tRNA binding	0.465228103738936	0.53013969484336	0.00402144693630358	0	0.000610754481399865
GO:0000103|[BP] sulfate assimilation	0.479127049228074	0.507515392326908	0.00559254892864782	0	0.0077650095163708
GO:0000104|[MF] succinate dehydrogenase activity	0.812825495506066	0.169654116137598	0.00187662700747283	1.32977556846695e-11	0.0156437613355647
GO:0000105|[BP] histidine biosynthetic process	0.648172520583869	0.337364985188769	0.0105472876116923	0.00307111309952908	0.000844093516140989
GO:0000107|[MF] imidazoleglycerol-phosphate synthase activity	0.624494644920045	0.353964561057377	0.00962148118081704	0.0117626164256079	0.00015669641615374
GO:0000122|[BP] negative regulation of transcription from RNA polymerase II promoter	0.969045729760198	1.18839653384282e-18	0.0204827216599362	0.00728890447145166	0.00318264410841425
GO:0000150|[MF] recombinase activity	0.721587994254232	0.267286369369934	0.00533879949253233	0.00573385684841241	5.29800348895756e-05
GO:0000155|[MF] phosphorelay sensor kinase activity	0.692238360376529	0.281928180924502	0.00719753219073406	0.0180345826396832	0.000601343868552745
GO:0000156|[MF] phosphorelay response regulator activity	0.754370989290928	0.241626602221895	0.00279421381640017	6.01821585590246e-11	0.00120819461059434
GO:0000159|[CC] protein phosphatase type 2A complex	0.984343313127745	0	0.00017865065792305	0	0.0154780362143315
GO:0000160|[BP] phosphorelay signal transduction system	0.69529338158714	0.277171021573893	0.00686487473095393	0.0201453612608907	0.000525360847122859
GO:0000162|[BP] tryptophan biosynthetic process	0.744095440675316	0.244680105458755	0.0103392803390057	2.91498240528862e-20	0.000885173526923226
GO:0000166|[MF] nucleotide binding	0.57798485513347	0.393561550978272	0.0066681778768549	0.0214832608034354	0.000302155207968042
GO:0000175|[MF] 3-5-exoribonuclease activity	0.944076475053295	0.0361387474953237	0.010795975056788	2.24478957510086e-15	0.00898880239459088
GO:0000179|[MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	0.513085956639872	0.470266416482881	0.016282489058006	0.00028257612788815	8.25616913537113e-05
GO:0000184|[BP] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.997483503835048	0	0.000675263859153863	0	0.00184123230579844
GO:0000226|[BP] microtubule cytoskeleton organization	0.991510925934421	0	0.000142415396219164	0	0.00834665866935978
GO:0000256|[BP] allantoin catabolic process	0.658551367064227	0.330577531466834	0.000297134513199982	1.98735784661922e-10	0.0105739667570027
GO:0000270|[BP] peptidoglycan metabolic process	0.529813874021985	0.450408322337903	0.0176536384750108	1.45351224535033e-13	0.00212416516495569
GO:0000271|[BP] polysaccharide biosynthetic process	0.498626939958457	0.499354543193215	0.00160577465412035	3.70031806742915e-15	0.000412742194204
GO:0000272|[BP] polysaccharide catabolic process	0.675346492413027	0.29002852076965	0.0335871734383592	4.40660719331536e-12	0.00103781337455746
GO:0000276|[CC] mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	0.978891669175003	0.0157507801673006	0.00184640097120834	0	0.00351114968648793
GO:0000278|[BP] mitotic cell cycle	0.972629128319404	0.00524225342990846	0.011156492486441	0	0.0109721257642461
GO:0000286|[MF] alanine dehydrogenase activity	0.465994883859077	0.533915802590322	4.39057510395477e-05	4.80706356600801e-20	4.54077995615946e-05
GO:0000287|[MF] magnesium ion binding	0.462149751830905	0.536323041490708	3.60508489076954e-05	0.0014329764011709	5.81794283078418e-05
GO:0000310|[MF] xanthine phosphoribosyltransferase activity	0.417987862009422	0.579370444521714	0.000229902619879096	5.86167856590783e-05	0.00235317406332547
GO:0000387|[BP] spliceosomal snRNP assembly	0.989629666025157	0.00455519260322608	0.000564063443528557	5.11553554676318e-14	0.00525107792803696
GO:0000398|[BP] mRNA splicing, via spliceosome	0.986780026606038	0	0.00106426103905544	0	0.0121557123549062
GO:0000453|[BP] enzyme-directed rRNA 2-O-methylation	0.423632368480505	0.571485707026689	0.00105759606588427	0.00341688399614237	0.000407444430780163
GO:0000462|[BP] maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.993592984102572	0	4.19532012494114e-05	0	0.00636506269617885
GO:0000716|[BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	0.514222803899851	0.481007686981442	0.00224589577219522	0.00232930338148832	0.000194309965024031
GO:0000723|[BP] telomere maintenance	0.70840706576235	0.188551233611634	0.0175084800771829	0.0834165749675689	0.00211664558126428
GO:0000724|[BP] double-strand break repair via homologous recombination	0.383948479151596	0.592618406206547	0.0231714514799149	0	0.000261663161941405
GO:0000737|[BP] DNA catabolic process, endonucleolytic	0.934179268951962	0.0499986848203657	0.0112696915354343	3.87506200382096e-13	0.00455235469185095
GO:0000746|[BP] conjugation	0.745928258537874	0.175774049170422	0.0664598520839604	2.59509699060846e-13	0.0118378402074835
GO:0000774|[MF] adenyl-nucleotide exchange factor activity	0.477590186419436	0.499995536935664	0.000137184528952891	0.0214014152677264	0.00087567684822055
GO:0000776|[CC] kinetochore	0.92236028035138	0	0.0775619209336081	0	7.77987150120811e-05
GO:0000786|[CC] nucleosome	0.727701834551192	0.202900664847215	0.0288256604737058	0.0289439709632962	0.0116278691645916
GO:0000790|[CC] nuclear chromatin	0.996255594724946	0	0.00280269626601434	0	0.000941709009040054
GO:0000793|[CC] condensed chromosome	0.99322769771286	0	0.00427302421695289	0	0.00249927807018713
GO:0000902|[BP] cell morphogenesis	0.526240358283785	0.473140590773486	0.000468981241501068	0	0.000150069701227491
GO:0000906|[MF] 6,7-dimethyl-8-ribityllumazine synthase activity	0.715119114491484	0.261244142171449	0.0107637654443516	1.65487147478915e-11	0.0128729778761662
GO:0000917|[BP] barrier septum assembly	0.586045085236415	0.412949753781371	0.000959308618584109	1.29694473827011e-12	4.58523623325512e-05
GO:0000918|[BP] barrier septum site selection	0.627694354811731	0.371445635540641	2.36877723980863e-10	0	0.000860009410750248
GO:0000921|[BP] septin ring assembly	0.750177570717774	0.231633189961279	0.0138554151105527	0	0.00433382421039402
GO:0000967|[BP] rRNA 5-end processing	0.433506250485801	0.541957663160659	0.024393327182614	2.09552824623843e-15	0.000142759170923087
GO:0000977|[MF] RNA polymerase II regulatory region sequence-specific DNA binding	0.977287724434229	1.21397506556621e-16	0.000789276440568393	0.0143215132536547	0.00760148587154744
GO:0000978|[MF] RNA polymerase II core promoter proximal region sequence-specific DNA binding	0.931855009410178	0	0.0512820651728977	0	0.0168629254169241
GO:0000981|[MF] RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.960804303387867	0	0.00900128613985215	0	0.0301944104722807
GO:0000986|[MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	0.685169529763952	0.300468781170924	0.000598312664745014	0.0122050702061484	0.00155830619423049
GO:0001077|[MF] transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	0.949071578081283	0	0.0506715943811912	0	0.000256827537525763
GO:0001123|[BP] transcription initiation from bacterial-type RNA polymerase promoter	0.736534258034412	0.236141503325088	0.0272925865800292	2.48045200449047e-14	3.16520604468882e-05
GO:0001407|[BP] glycerophosphodiester transport	0.763187547995713	0.219935892601062	0.0168761457987304	7.55183951348899e-12	4.13596942769165e-07
GO:0001514|[BP] selenocysteine incorporation	0.577645871873465	0.409078424982041	0.0132537182435733	3.70954349072235e-10	2.19845299666948e-05
GO:0001522|[BP] pseudouridine synthesis	0.591949782448146	0.379996798298536	0.0104489954902898	0.0176023863847042	2.03737832361979e-06
GO:0001530|[MF] lipopolysaccharide binding	0.558591335035612	0.428652969849082	0.00799036020531974	0	0.00476533490998585
GO:0001666|[BP] response to hypoxia	0.989293606960355	0	0.00412986271382697	0	0.00657653032581827
GO:0001680|[BP] tRNA 3-terminal CCA addition	0.405967259520552	0.590307009737889	0.00200156016528409	0.000443959807198352	0.00128021076907713
GO:0001682|[BP] tRNA 5-leader removal	0.43670000136015	0.539009455666951	0.0228227351639174	2.31300893362433e-14	0.00146780780895798
GO:0001701|[BP] in utero embryonic development	0.993594487147388	0	0.00356055168262397	0	0.00284496116998787
GO:0001726|[CC] ruffle	0.964510356675699	0.0191053488339958	0.0113270238480728	3.77094130821565e-14	0.00505727064219428
GO:0002098|[BP] tRNA wobble uridine modification	0.533461997403345	0.46537854087073	0.000790546239451435	2.81884790938325e-10	0.000368915204588039
GO:0002100|[BP] tRNA wobble adenosine to inosine editing	0.609910058749162	0.355754527345158	0.00157837426582921	0.032376092943602	0.000380946696248663
GO:0002161|[MF] aminoacyl-tRNA editing activity	0.442421047407546	0.555006534208417	0.00253348001390044	1.59450093526595e-13	3.89383699766007e-05
GO:0002181|[BP] cytoplasmic translation	0.999101067551249	0	9.66757381399337e-06	0	0.000889264874936624
GO:0002218|[BP] activation of innate immune response	0.99322769771286	0	0.00427302421695289	0	0.00249927807018713
GO:0002244|[BP] hematopoietic progenitor cell differentiation	0.995302315791345	0	0.00171231257859085	0	0.0029853716300646
GO:0002281|[BP] macrophage activation involved in immune response	0.992798892554505	0	0.00432012458072684	0	0.00288098286476753
GO:0002935|[MF] tRNA (adenine-C2-)-methyltransferase activity	0.745278466181454	0.246314108360848	0.00426315450572088	0.00200074112907971	0.00214352982289738
GO:0002949|[BP] tRNA threonylcarbamoyladenosine modification	0.581664085948784	0.414753363945481	0.00286244234696244	0	0.000720107758773138
GO:0003676|[MF] nucleic acid binding	0.478988378488338	0.519989409803563	0.000646420473072931	9.79356503588765e-16	0.000375791235024258
GO:0003677|[MF] DNA binding	0.647770649118927	0.330279563463884	0.00120428633170934	0.0206567160626477	8.878502283111e-05
GO:0003678|[MF] DNA helicase activity	0.442314457344031	0.553431950788258	0.00202420752877608	0	0.00222938433893504
GO:0003682|[MF] chromatin binding	0.926365227385684	0.0585245966117968	0.000453026785174178	0	0.0146571492173452
GO:0003684|[MF] damaged DNA binding	0.590100959527686	0.407303718690003	0.000200056287305168	6.37719972234366e-12	0.00239526548862781
GO:0003688|[MF] DNA replication origin binding	0.530790566274548	0.462619025211781	0.00658705031900786	0	3.35819466352226e-06
GO:0003690|[MF] double-stranded DNA binding	0.356136874481031	0.628817109605212	0.0150434523138916	1.11052651272921e-16	2.56359986473146e-06
GO:0003697|[MF] single-stranded DNA binding	0.479633959477792	0.513876447265382	0.00537347167714493	3.76115309351525e-15	0.00111612157967814
GO:0003700|[MF] transcription factor activity, sequence-specific DNA binding	0.635310606417152	0.346940803640043	0.00219088412321267	0.0154614211536558	9.62846659359499e-05
GO:0003712|[MF] transcription cofactor activity	0.593592356887939	0.390861869469649	0.00154087244059959	0.00984005211095824	0.00416484909085406
GO:0003713|[MF] transcription coactivator activity	0.840221957751583	0.142935366040174	0.0120111933440826	0.00466068560662445	0.000170797257536826
GO:0003723|[MF] RNA binding	0.530985673893171	0.452264113287446	0.00358690981682875	0.0130006197180009	0.000162683284553214
GO:0003724|[MF] RNA helicase activity	0.699368546950604	0.297085240245346	0.00354549237938437	0	7.20424666284213e-07
GO:0003725|[MF] double-stranded RNA binding	0.554596219735836	0.440212504065976	0.00397649981668214	0	0.00121477638150627
GO:0003726|[MF] double-stranded RNA adenosine deaminase activity	0.331927837224276	0.660339027050356	0.00659271243281538	0	0.00114042329255237
GO:0003727|[MF] single-stranded RNA binding	0.993501149123477	0	0.00376560742681876	0	0.00273324344970407
GO:0003729|[MF] mRNA binding	0.557630355268023	0.441307752012932	0.000191793244734051	1.43025852847638e-14	0.00087009947429689
GO:0003735|[MF] structural constituent of ribosome	0.583690185581033	0.399238678867296	0.0165621561269989	0	0.000508979424671172
GO:0003743|[MF] translation initiation factor activity	0.536911020801839	0.460789859699448	8.7413647368855e-05	1.11068153267767e-12	0.00221170585023347
GO:0003746|[MF] translation elongation factor activity	0.972992275875539	0.0183347281353265	0.00752947170374694	1.53673007290703e-12	0.00114352428385055
GO:0003747|[MF] translation release factor activity	0.913104076129463	0.0161337413101765	0.0707065420064555	1.86878980454946e-18	5.56405539048311e-05
GO:0003755|[MF] peptidyl-prolyl cis-trans isomerase activity	0.498790547037807	0.500925480301186	0.000283525765265503	4.33180258611257e-12	4.468914099139e-07
GO:0003774|[MF] motor activity	0.669055919406925	0.314421199703728	0.0101340059972793	0.00625704429373082	0.000131830598337042
GO:0003796|[MF] lysozyme activity	0.680242340524665	0.271200281768051	0.0456558876865625	5.31663146890113e-16	0.00290149002072077
GO:0003824|[MF] catalytic activity	0.658442258463422	0.323955134132922	0.00550184038762483	0.0120249056436601	7.5861372370636e-05
GO:0003830|[MF] beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	0.853050419920539	0.143009186027161	0.00255547264103238	0	0.00138492141126835
GO:0003839|[MF] gamma-glutamylcyclotransferase activity	0.740716491814943	0.239273211244138	0.00572424313782615	0.0138057223867282	0.000480331416364591
GO:0003840|[MF] gamma-glutamyltransferase activity	0.851451583579368	0.125239536252682	0.00769742320012664	0	0.0156114569678231
GO:0003841|[MF] 1-acylglycerol-3-phosphate O-acyltransferase activity	0.625268987234039	0.340769891798148	0.000489815491233379	0.0334712988180188	6.65856126426736e-09
GO:0003842|[MF] 1-pyrroline-5-carboxylate dehydrogenase activity	0.447805820266509	0.538456189750082	0.0128468370330955	7.9518956203551e-14	0.000891152950234034
GO:0003844|[MF] 1,4-alpha-glucan branching enzyme activity	0.56165270750944	0.356624478877313	0.00104589081938242	0.0730220351159186	0.00765488767794589
GO:0003847|[MF] 1-alkyl-2-acetylglycerophosphocholine esterase activity	0.959866193270405	0	0.0300889987566625	0	0.010044807972932
GO:0003848|[MF] 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	0.736944485965718	0.196738613273308	0.0435971672555437	0.00234267857134653	0.0203770549340835
GO:0003849|[MF] 3-deoxy-7-phosphoheptulonate synthase activity	0.52155307946031	0.42399134223263	3.13500477290947e-06	0.0544163258970846	3.61174052017902e-05
GO:0003852|[MF] 2-isopropylmalate synthase activity	0.688372326672217	0.304245602696405	0.005334453058938	0	0.00204761757244006
GO:0003855|[MF] 3-dehydroquinate dehydratase activity	0.677050583307366	0.296703975914717	0.0138690563630448	0.0111880801610943	0.00118830425377791
GO:0003856|[MF] 3-dehydroquinate synthase activity	0.699193219066854	0.281670807610589	0.0143765919712961	0	0.00475938135126092
GO:0003857|[MF] 3-hydroxyacyl-CoA dehydrogenase activity	0.748613616247446	0.242205013977168	0.000912618033808522	0.00529381556075397	0.00297493618082317
GO:0003858|[MF] 3-hydroxybutyrate dehydrogenase activity	0.873970758721183	0.055672607458819	0.00194149470077116	0	0.0684151391192273
GO:0003861|[MF] 3-isopropylmalate dehydratase activity	0.690398205900361	0.302347879437886	0.0071096903943476	0	0.000144224267405169
GO:0003862|[MF] 3-isopropylmalate dehydrogenase activity	0.62311655315194	0.353459009614992	0.0122889369794264	0.0100936486153663	0.00104185163827579
GO:0003863|[MF] 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	0.948056853710804	0.0155271035423321	0.0364135767434931	0	2.46600337064745e-06
GO:0003864|[MF] 3-methyl-2-oxobutanoate hydroxymethyltransferase activity	0.575066780767869	0.343958904587382	0.0610018993837221	0.0172768848453213	0.0026955304157057
GO:0003865|[MF] 3-oxo-5-alpha-steroid 4-dehydrogenase activity	0.858424784426833	0.14122447738184	0.000240376188920616	6.76524677281945e-15	0.000110362002399344
GO:0003866|[MF] 3-phosphoshikimate 1-carboxyvinyltransferase activity	0.626530736505711	0.350462571472452	0.0153311579511064	0.00706224099184159	0.000613293078889196
GO:0003871|[MF] 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	0.742162394700817	0.19715502298737	0.0565258045690431	2.04429603029528e-13	0.00415677774256583
GO:0003872|[MF] 6-phosphofructokinase activity	0.781273456275406	0.213811698507486	0.00472435726408002	2.45749380774637e-13	0.000190487952781508
