Residuals	timepoint	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
K00003|homoserine dehydrogenase [EC.1.1.1.3]	0.506418502989117	0.485563355217434	0.00659975818245115	0.00141838361097955	1.82522717816918e-14
K00008|L-iditol 2-dehydrogenase [EC.1.1.1.14]	0.917846290381727	0.02650484076425	0.0386940306429734	0.0101141473159188	0.00684069089513046
K00009|mannitol-1-phosphate 5-dehydrogenase [EC.1.1.1.17]	0.930287919977016	0.0643800350304556	0.000435036228909128	0.00489700876361957	1.12945617085894e-21
K00010|myo-inositol 2-dehydrogenase | D-chiro-inositol 1-dehydrogenase [EC.1.1.1.18 1.1.1.369]	0.769180623496458	0.219571035391381	0.0108626172312417	0.000385723880919538	0
K00012|UDPglucose 6-dehydrogenase [EC.1.1.1.22]	0.922915585556054	0.0165361013793811	0.0596252285780156	0.000923084486416192	1.32900645605695e-13
K00013|histidinol dehydrogenase [EC.1.1.1.23]	0.492144704533941	0.502327638953175	0.00552272905069925	4.92746218456093e-06	7.56876965731764e-16
K00014|shikimate dehydrogenase [EC.1.1.1.25]	0.630759252552849	0.364242298445051	0.00486893344233986	0.000129515559760424	0
K00016|L-lactate dehydrogenase [EC.1.1.1.27]	0.591431308310017	0.377799803764174	0.0306098826889656	0.000159005232281636	4.5618117202231e-12
K00018|glycerate dehydrogenase [EC.1.1.1.29]	0.958852015632819	0.0370980998819029	0.00394867750364846	0.00010120698162969	0
K00024|malate dehydrogenase [EC.1.1.1.37]	0.893234434251298	0.104373279265681	1.28286570742657e-05	0.00237945782594677	0
K00027|malate dehydrogenase (oxaloacetate-decarboxylating) [EC.1.1.1.38]	0.786048733628113	0.207724029340959	0.00500534886801902	0.00122188806134552	1.01562781901728e-10
K00029|malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC.1.1.1.40]	0.974555974083251	0	0.00735908941340086	0.0180849365033481	0
K00031|isocitrate dehydrogenase [EC.1.1.1.42]	0.754939705267502	0.210794124808142	0.00511272335797179	8.82066676847384e-07	0.0291525644997072
K00033|6-phosphogluconate dehydrogenase [EC.1.1.1.44 1.1.1.343]	0.604802684968238	0.367157301814137	0.0276953491796958	0.000344664037925247	3.50363982994475e-15
K00036|glucose-6-phosphate 1-dehydrogenase [EC.1.1.1.49 1.1.1.363]	0.505999857582408	0.485602971887743	0.00746971472489046	0.00092745580495831	2.62531984159012e-16
K00041|tagaturonate reductase [EC.1.1.1.58]	0.768223191750087	0.226935892401722	2.25512104543882e-05	0.00481836462811105	9.62513966871769e-12
K00046|gluconate 5-dehydrogenase	0.807798725055046	0.180954057782689	0.0107506341851717	0.000496582961659014	1.54339473758711e-11
K00048|lactaldehyde reductase [EC.1.1.1.77]	0.838744260341986	0.137947426961126	0.000978280853200437	0.00776924147025112	0.0145607903734355
K00052|3-isopropylmalate dehydrogenase [EC.1.1.1.85]	0.525076779904141	0.467602036163913	0.00436215512273421	0.00295902880919522	1.61569487593923e-14
K00053|ketol-acid reductoisomerase [EC.1.1.1.86]	0.564391301168766	0.428057782612752	0.00634263987313886	0.00120827634534254	0
K00057|glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC.1.1.1.94]	0.617201874636024	0.348340668309905	0.034333390990876	0.000124065999409748	6.37855646485502e-11
K00058|D-3-phosphoglycerate dehydrogenase [EC.1.1.1.95]	0.550590949003678	0.437702944744048	0.0095427591565323	0.00216334709574126	0
K00059|3-oxoacyl-[acyl-carrier protein] reductase [EC.1.1.1.100]	0.643534750519485	0.337619460563306	0.0167245614743997	0.00212122744280468	4.99934590240089e-15
K00065|2-deoxy-D-gluconate 3-dehydrogenase [EC.1.1.1.125]	0.521650193582614	0.208615389545464	0.118249266863056	4.92875442093646e-05	0.151435862464656
K00067|dTDP-4-dehydrorhamnose reductase [EC.1.1.1.133]	0.883100402487397	0.0972637775735371	0.00428273107123843	0.0153530888678274	0
K00074|3-hydroxybutyryl-CoA dehydrogenase [EC.1.1.1.157]	0.81229638862331	0.177089913537401	0.000966395379057591	0.00376178041685979	0.00588552204337159
K00075|UDP-N-acetylmuramate dehydrogenase [EC.1.3.1.98]	0.564871622155268	0.405306312124072	0.0293518434222355	0.000470222298424921	0
K00077|2-dehydropantoate 2-reductase [EC.1.1.1.169]	0.393804701462866	0.59353826887205	0.0126035803987952	5.34492662889272e-05	0
K00086|1,3-propanediol dehydrogenase [EC.1.1.1.202]	0.376860136965143	0.610391125635972	0.012002722965553	0.000746014433286277	4.59169599211055e-14
