Residuals	timepoint	number_of_pups_scaled	genotype	lipocalin2_pg_ml_scaled
1CMET2-PWY|folate transformations III (E. coli)	0.998943871564409	0	0.0010410353120309	0	1.50931235600365e-05
ALLANTOINDEG-PWY|superpathway of allantoin degradation in yeast	0.912565919438262	0.0300301469036286	0.0257943562267912	3.52033572271089e-15	0.0316095774313151
ANAEROFRUCAT-PWY|homolactic fermentation	0.591312958993208	0.399492630235911	0.00635290634864526	9.97632001341134e-21	0.00284150442223555
ANAGLYCOLYSIS-PWY|glycolysis III (from glucose)	0.37520074964556	0.595072943212832	0.0294684898728264	0	0.000257817268781338
ARG+POLYAMINE-SYN|superpathway of arginine and polyamine biosynthesis	0.889933505543459	0.0984957289563187	0.011570552825041	0	2.12675180813907e-07
ARGININE-SYN4-PWY|L-ornithine biosynthesis II	0.69005901062164	0.242728736424066	0.0202170946691203	0.0435997168396652	0.00339544144550846
ARGSYN-PWY|L-arginine biosynthesis I (via L-ornithine)	0.659169501663626	0.332786147243637	0.0071810633444058	1.08986256267882e-10	0.000863287639344832
ARGSYNBSUB-PWY|L-arginine biosynthesis II (acetyl cycle)	0.676440561442968	0.314504004965153	0.00780076865377089	0	0.0012546649381076
ARO-PWY|chorismate biosynthesis I	0.884480170706987	0.095073062623474	0.000590489233224187	0	0.0198562774363151
ASPASN-PWY|superpathway of L-aspartate and L-asparagine biosynthesis	0.788914260733993	0.182063008603442	0.0108765632441774	0.00742637587129747	0.0107197915470904
BIOTIN-BIOSYNTHESIS-PWY|biotin biosynthesis I	0.996605549158301	0	0.00188772493109481	0	0.00150672591060421
BRANCHED-CHAIN-AA-SYN-PWY|superpathway of branched chain amino acid biosynthesis	0.584128697559707	0.407407290160465	0.0077819817848162	0	0.000682030495011713
CALVIN-PWY|Calvin-Benson-Bassham cycle	0.542911396887202	0.444396869669782	0.00577065248298631	0	0.00692108096002912
CENTFERM-PWY|pyruvate fermentation to butanoate	0.163427386175076	0.814957317118059	0.00518714627646543	0.0156510784999221	0.000777071930477572
CITRULBIO-PWY|L-citrulline biosynthesis	0.590091611160178	0.388190600178134	0.00185995370968536	0	0.0198578349520021
COA-PWY-1|superpathway of coenzyme A biosynthesis III (mammals)	0.59374059767469	0.382832585689397	0.019291246603492	0	0.00413557003242007
COA-PWY|coenzyme A biosynthesis I (prokaryotic)	0.870113959889254	0.104316557393526	0.0177361452952964	8.29092711158483e-13	0.00783333742109394
COBALSYN-PWY|superpathway of adenosylcobalamin salvage from cobinamide I	0.894442118118303	0.0884625492191148	0.00151675227659915	0.0150596740844456	0.000518906301536951
COLANSYN-PWY|colanic acid building blocks biosynthesis	0.550744911632883	0.44256924617221	0.00612129930625608	3.2862513915404e-14	0.000564542888618386
COMPLETE-ARO-PWY|superpathway of aromatic amino acid biosynthesis	0.473500844105654	0.524501069794176	0.000333243196879715	0	0.00166484290329031
CRNFORCAT-PWY|creatinine degradation I	0.874867232087921	0.0890475878355953	0.0123380501649274	0.021218953291213	0.00252817662034326
DAPLYSINESYN-PWY|L-lysine biosynthesis I	0.747722291275094	0.219355782764054	0.0308738309080686	2.51483953775105e-13	0.00204809505253174
DTDPRHAMSYN-PWY|dTDP-&beta;-L-rhamnose biosynthesis	0.656049589883917	0.295101169262875	0.00666108027952437	0.0260976686192384	0.0160904919544455
FASYN-ELONG-PWY|fatty acid elongation -- saturated	0.99619192767351	0	0.00201455185757223	0	0.00179352046891733
FERMENTATION-PWY|mixed acid fermentation	0.531970982878796	0.355784914826701	0.0175970079698197	0.094086517856471	0.000560576468212537
FOLSYN-PWY|superpathway of tetrahydrofolate biosynthesis and salvage	0.952422598690554	0.0202603738133837	0.0121996037709747	0	0.0151174237250875
FUCCAT-PWY|fucose degradation	0.973920586315711	0	0.00279492544550382	0	0.0232844882387853
GALACT-GLUCUROCAT-PWY|superpathway of hexuronide and hexuronate degradation	0.599041417766998	0.292881841140777	0.0125749761451788	0.0819788094377008	0.0135229555093452
GALACTITOLCAT-PWY|galactitol degradation	0.861864361659407	0.125058000612902	0.00522269428973222	5.30261008529547e-11	0.00785494338493317
GALACTUROCAT-PWY|D-galacturonate degradation I	0.741411226743452	0.168983042341311	0.00421570800752534	0.0838562479312693	0.00153377497644224
GLCMANNANAUT-PWY|superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.608963046451264	0.316260834466609	0.014126535460801	0.0588692114860054	0.00178037213532041
GLUCONEO-PWY|gluconeogenesis I	0.609651148577942	0.306338452395847	0.0431292907730003	0.0408593053329898	2.18029202210072e-05
GLUCUROCAT-PWY|superpathway of &beta;-D-glucuronosides degradation	0.736152630070899	0.247750396707192	0.00741111941058105	8.336830180586e-11	0.00868585372796047
GLUDEG-I-PWY|GABA shunt	0.37128068831939	0.615975457007248	0.0110759519836685	0	0.00166790268969373
GLUTORN-PWY|L-ornithine biosynthesis I	0.74158443877085	0.244421819926312	0.00792395783359352	0.00603870521780987	3.10782514338174e-05
GLYCOCAT-PWY|glycogen degradation I	0.412192122784711	0.573541208504784	0.0108583341897149	6.11607208772819e-15	0.00340833452078332
