Residuals	timepoint	number_of_pups_scaled	genotype	lipocalin2_pg_ml_scaled
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|(expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	0.437586752191564	0.495017648366463	6.01955020489702e-05	0.0638741978847184	0.00346120605520552
1.1.1.127-RXN|(expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]	0.869038792059014	0.0767351698535538	0.050781988320728	0	0.00344404976670408
1.1.1.136-RXN|(expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]	0.68559835864542	0.273899198561755	0.0356449523979061	0.00465901700640813	0.000198473388510542
1.1.1.176-RXN|(expasy) 12-alpha-hydroxysteroid dehydrogenase [1.1.1.176]	0.737700422906663	0.24983314986497	0.000948878097090347	1.00807556424392e-12	0.0115175491302685
1.1.1.251-RXN|(expasy) Galactitol-1-phosphate 5-dehydrogenase [1.1.1.251]	0.876040596216397	0.111361787494055	0.00728163279830811	1.20697575912018e-12	0.00531598349003268
1.1.1.261-RXN|(expasy) sn-glycerol-1-phosphate dehydrogenase [1.1.1.261]	0.437321875668279	0.48003653611535	0.0319350919389588	0.0482670566152446	0.00243943966216717
1.1.1.271-RXN|(expasy) GDP-L-fucose synthase [1.1.1.271]	0.656361094750992	0.3433089736192	7.17513481223944e-05	0	0.000258180281684925
1.1.1.272-RXN|(expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]	0.657893138763685	0.337680860808243	0.00209180488889267	2.9316400169368e-15	0.00233419553917643
1.1.1.274-RXN|(expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]	0.364055125666436	0.621453434278956	0.0138500062474604	7.45873083988942e-13	0.000641433806401945
1.1.1.283-RXN|(expasy) Methylglyoxal reductase (NADPH) [1.1.1.283]	0.520391582766204	0.458865232024899	0.01830887200994	0	0.00243431319895747
1.1.1.291-RXN|(expasy) 2-hydroxymethylglutarate dehydrogenase [1.1.1.291]	0.861986378398706	0.0566370247664682	0.00245138408095121	0.0712824031819471	0.00764280957192723
1.1.1.292-RXN|(expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	0.883174631521578	0.0659970974547968	0.00225617617195203	1.80724330151127e-11	0.0485720948336005
1.1.1.39-RXN|(expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]	0.739315824599142	0.25492254479312	0.00502169884556673	0	0.000739931762171138
1.1.99.28-RXN|(expasy) Glucose-fructose oxidoreductase [1.1.99.28]	0.623184338507106	0.361782503091268	0.00131502748600863	6.2331084765646e-14	0.0137181309155555
1.10.2.2-RXN|(expasy) Quinol--cytochrome-c reductase [7.1.1.8]	0.992494687308933	0	0.00644839138916927	0	0.00105692130189741
1.12.1.3-RXN|(expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]	0.553002821431271	0.366397774807318	0.002489120632773	0.0517063822965724	0.0264039008320654
1.15.1.2-RXN|(expasy) Superoxide reductase [1.15.1.2]	0.670056905456822	0.159511722940869	0.0113052993743566	0.102536939443985	0.0565891327839678
1.17.4.2-RXN|(expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	0.372538272198622	0.624369820237613	0.00223123682124491	0	0.000860670742520157
1.18.1.2-RXN|(expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]	0.440422912434757	0.533169044041383	0.0257235328211115	4.57109438496255e-14	0.000684510702702709
1.2.1.27-RXN|(expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]	0.649458053032269	0.275221632262307	0.00721054408227162	0.066581327760589	0.00152844286256306
1.2.1.66-RXN|(expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306]	0.70435152095519	0.29368081084948	1.33966923323138e-06	2.43517024341169e-10	0.00196632828257973
1.2.3.3-RXN|(expasy) Pyruvate oxidase [1.2.3.3]	0.477702279027177	0.510157023675512	0.0116878402030294	0	0.000452857094281341
1.2.4.4-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	0.859798369242379	0.132791531621236	0.00734260819803552	1.06220487840919e-14	6.7490938339072e-05
1.2.7.4-RXN|(expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]	0.753307082447392	0.204647842483446	0.031583753125491	0.00815020947087139	0.00231111247279973
1.2.7.5-RXN|(expasy) Aldehyde ferredoxin oxidoreductase [1.2.7.5]	0.404916708833438	0.592381622804136	0.00172591992246136	2.43238549229377e-18	0.000975748439964444
1.2.7.7-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.793509507441368	0.078414652407452	0.030765542087971	5.77559873935685e-13	0.0973102980626313
1.2.7.8-RXN|(expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	0.771764531369841	0.221067337676004	0.000370657033242698	1.71616742144045e-12	0.00679747391919564
1.2.99.7-RXN|(expasy) Aldehyde dehydrogenase (FAD-independent) [1.2.99.7]	0.889322439372266	0.0895751220715435	0.00182018105221815	0.00365955558688864	0.0156227019170833
1.21.4.1-RXN|(expasy) D-proline reductase [1.21.4.1]	0.855662031844807	0.143779432222225	8.40086716764961e-06	0	0.000550135065799817
1.21.4.3-RXN|(expasy) Sarcosine reductase [1.21.4.3]	0.763409078398898	0.160008990994746	0.00138254784468955	0.00304155767588398	0.0721578250857821
1.21.4.4-RXN|(expasy) Betaine reductase [1.21.4.4]	0.829548137267001	0.1245836178285	6.99381674076192e-05	0.00105019460395057	0.044748112133141
1.3.1.2-RXN|(expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2]	0.401308312469866	0.588381381893561	0.0102860410236711	4.87349631494511e-15	2.42646128970133e-05
1.3.1.54-RXN|(expasy) Precorrin-6A reductase [1.3.1.54]	0.799782950586579	0.176696473409761	2.34617178810138e-05	0.023240390122533	0.000256724163245976
1.3.99.15-RXN|(expasy) Benzoyl-CoA reductase [1.3.7.8]	0.73946593519915	0.254450267644467	0.00165453069529227	0	0.00442926646109027
1.4.1.11-RXN|(expasy) L-erythro-3,5-diaminohexanoate dehydrogenase [1.4.1.11]	0.780673600956169	0.214288172819718	0.00372592439857697	0	0.00131230182553645
1.4.1.21-RXN|(expasy) Aspartate dehydrogenase [1.4.1.21]	0.704034238527909	0.286869111275433	0.0057304064640226	1.64884345074676e-13	0.00336624373247075
1.4.3.19-RXN|(expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]	0.778873597763693	0.0652267920408839	0.121601149498088	0	0.0342984606973348
1.5.1.20-RXN|(expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	0.306003182691091	0.629474886008797	0.00846327991102373	0.0559214761610672	0.000137175228020697
1.5.1.7-RXN|(expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]	0.709847880673228	0.269759015906544	0.0196075203199102	0	0.000785583100317859
1.6.4.4-RXN|(expasy) Protein-disulfide reductase [1.8.1.8]	0.983520421301947	0	0.0115216086955087	0	0.0049579700025443
1.7.2.2-RXN|(expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]	0.861736940812973	0.136998291204711	0.000741471105569873	7.04104566358192e-13	0.000523296876041479
1.7.2.3-RXN|(expasy) Trimethylamine-N-oxide reductase [1.7.2.3]	0.989283142794782	0.00825229696674378	0.0024643892002884	0	1.71038185715549e-07
1.8.1.4-RXN|(expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	0.987717015286955	0.00350542235653737	0.00682443523908723	8.43441930070367e-09	0.0019531186830016
