varMean	Parameter	level	time	parameter_clean_name
0.698025504209415	Residuals	EC	All Timepoints	Residuals
0.272983425142475	timepoint	EC	All Timepoints	Time
0.0120861972623115	number_of_pups_scaled	EC	All Timepoints	Number of pups
0.00941269188868691	genotype	EC	All Timepoints	Maternal genotype
0.00749218149711189	lipocalin2_pg_ml_scaled	EC	All Timepoints	Lipocalin (pg/ml)
0.709543478714615	Residuals	GO	All Timepoints	Residuals
0.268568394773174	timepoint	GO	All Timepoints	Time
0.0115998486502544	number_of_pups_scaled	GO	All Timepoints	Number of pups
0.0059694233189522	genotype	GO	All Timepoints	Maternal genotype
0.00431885454300331	lipocalin2_pg_ml_scaled	GO	All Timepoints	Lipocalin (pg/ml)
0.72762264685524	Residuals	KO	All Timepoints	Residuals
0.248004923826655	timepoint	KO	All Timepoints	Time
0.0148972197896262	number_of_pups_scaled	KO	All Timepoints	Number of pups
0.00556506940080908	lipocalin2_pg_ml_scaled	KO	All Timepoints	Lipocalin (pg/ml)
0.00391014012767017	genotype	KO	All Timepoints	Maternal genotype
0.706439215278449	Residuals	RXN	All Timepoints	Residuals
0.266879963217169	timepoint	RXN	All Timepoints	Time
0.0110148436665299	number_of_pups_scaled	RXN	All Timepoints	Number of pups
0.0087685862780523	genotype	RXN	All Timepoints	Maternal genotype
0.00689739155980228	lipocalin2_pg_ml_scaled	RXN	All Timepoints	Lipocalin (pg/ml)
0.686719594457354	Residuals	MCyc	All Timepoints	Residuals
0.282403297827289	timepoint	MCyc	All Timepoints	Time
0.0119381835401984	number_of_pups_scaled	MCyc	All Timepoints	Number of pups
0.0101922483879234	genotype	MCyc	All Timepoints	Maternal genotype
0.00874667578723498	lipocalin2_pg_ml_scaled	MCyc	All Timepoints	Lipocalin (pg/ml)
0.84102683833087	Residuals	EC	BL	Residuals
0.0855882245735394	NA	EC	BL	Maternal weight (g)
0.0347287245160042	lipocalin2_pg_ml_scaled	EC	BL	Lipocalin (pg/ml)
0.0257896966658069	number_of_pups_scaled	EC	BL	Number of pups
0.0128665159137798	genotype	EC	BL	Maternal genotype
0.865610082791647	Residuals	GO	BL	Residuals
0.0620400976203317	NA	GO	BL	Maternal weight (g)
0.0314693072797422	number_of_pups_scaled	GO	BL	Number of pups
0.0309109279439398	lipocalin2_pg_ml_scaled	GO	BL	Lipocalin (pg/ml)
0.00996958436433846	genotype	GO	BL	Maternal genotype
0.863754018902981	Residuals	KO	BL	Residuals
0.0398386473297787	number_of_pups_scaled	KO	BL	Number of pups
0.0361874298168429	lipocalin2_pg_ml_scaled	KO	BL	Lipocalin (pg/ml)
0.0351242017537829	NA	KO	BL	Maternal weight (g)
0.0250957021966127	genotype	KO	BL	Maternal genotype
0.842853150112503	Residuals	RXN	BL	Residuals
0.0888087775310102	NA	RXN	BL	Maternal weight (g)
0.0309332136784092	lipocalin2_pg_ml_scaled	RXN	BL	Lipocalin (pg/ml)
0.02440657209522	number_of_pups_scaled	RXN	BL	Number of pups
0.0129982865828512	genotype	RXN	BL	Maternal genotype
0.818723712903718	Residuals	MCyc	BL	Residuals
0.0872350754457044	NA	MCyc	BL	Maternal weight (g)
