parameter_clean_name	time	mean_vMean	sd_vMean
Lipocalin (pg/ml)	All Timepoints	0.00660403455759231	0.00171517280849298
Lipocalin (pg/ml)	BL	0.0346829889174727	0.00406864265585956
Lipocalin (pg/ml)	w3	0.0297098621537579	0.0045069585752599
Lipocalin (pg/ml)	w6	0.0424747522667449	0.0120528449092086
Maternal genotype	All Timepoints	0.007650618000257	0.00262831850988953
Maternal genotype	BL	0.0167264979307729	0.00671211394944884
Maternal genotype	w3	0.0361071656818255	0.00702126688838597
Maternal genotype	w6	0.0214779999446592	0.00595244321296974
Maternal weight (g)	BL	0.0717592753848737	0.0232272296184394
Maternal weight (g)	w3	0.0350577178951411	0.00268812789010901
Maternal weight (g)	w6	0.0506773025075052	0.0152676926672384
Number of pups	All Timepoints	0.0123072585817841	0.00150530301565945
Number of pups	BL	0.0304376771585353	0.00607209203648729
Number of pups	w3	0.0576856735707556	0.00780959713748874
Number of pups	w6	0.0507097234107431	0.00506993548513509
Residuals	All Timepoints	0.705670087903015	0.0151250654505397
Residuals	BL	0.846393560608344	0.019219891541714
Residuals	w3	0.84143958069852	0.0118754348837627
Residuals	w6	0.834660221870348	0.00432641399940097
Time	All Timepoints	0.267768000957352	0.0125837298014562
