Residuals	number_of_pups_scaled	genotype	weight_grams_scaled	lipocalin2_pg_ml_scaled
1.1.1.1|Alcohol dehydrogenase	0.899762304939075	0.0608506875557138	0	0.0140353068057564	0.0253517006994546
1.1.1.100|3-oxoacyl-[acyl-carrier-protein] reductase	0.95400046789693	0.0458444842903026	0	0.000120117665539292	3.49301472275384e-05
1.1.1.103|L-threonine 3-dehydrogenase	0.936145159758248	4.18922894025299e-05	0.0399397294633128	0.0168354850547804	0.00703773343425587
1.1.1.122|D-threo-aldose 1-dehydrogenase	0.980669780991352	0.000365016014832085	0	0.000376478007480489	0.0185887249863355
1.1.1.125|2-deoxy-D-gluconate 3-dehydrogenase	0.355985259886662	0.178532863864616	0.450007422474433	0.00516733541324511	0.0103071183610443
1.1.1.127|2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	0.533231737466007	0.230577480770745	0.115622285456407	0.0771980153174112	0.0433704809894303
1.1.1.130|3-dehydro-L-gulonate 2-dehydrogenase	0.601445637784685	0.113582703353152	0.246618360054652	0.0334991581036298	0.00485414070388086
1.1.1.131|Mannuronate reductase	0.777970105591096	0.0839899130693056	0	0.13800088292538	3.90984142190861e-05
1.1.1.132|GDP-mannose 6-dehydrogenase	0.521713238637235	0.00517459145656657	0.430554567201002	0.0285311621396141	0.0140264405655821
1.1.1.133|dTDP-4-dehydrorhamnose reductase	0.822365202434443	0.108185410726254	0	0.00786136370349878	0.061588023135804
1.1.1.136|UDP-N-acetylglucosamine 6-dehydrogenase	0.925583534118609	0.0229652072873906	0	0.00999083182763582	0.0414604267663644
1.1.1.14|L-iditol 2-dehydrogenase	0.781276688544048	0.0544056629000009	0.136553153041824	0.0276928050175833	7.16904965439894e-05
1.1.1.140|Sorbitol-6-phosphate 2-dehydrogenase	0.855411042081591	0.000286754887471022	0.057587381617553	0.0547988841350276	0.0319159372783578
1.1.1.157|3-hydroxybutyryl-CoA dehydrogenase	0.757878887589061	0.180475623554443	0	0.047072303377687	0.0145731854788083
1.1.1.169|2-dehydropantoate 2-reductase	0.85339528542086	0.0872892412865975	0	0.0319568467147219	0.0273586265778202
1.1.1.17|Mannitol-1-phosphate 5-dehydrogenase	0.949925929585672	0.0425767925299595	0	0.00553280752194723	0.00196447036242168
1.1.1.18|Inositol 2-dehydrogenase	0.553090453338336	0.218825124928161	0.16234958107876	0.063393794405776	0.00234104624896757
1.1.1.193|5-amino-6-(5-phosphoribosylamino)uracil reductase	0.82173002779094	0.00182972036770677	0	0.0884748064045718	0.087965445436782
1.1.1.195|Cinnamyl-alcohol dehydrogenase	0.946026685766242	0.0314199893664	0.0178807805078777	0.0038736020822306	0.000798942277249846
1.1.1.2|Alcohol dehydrogenase (NADP(+))	0.55017588628846	6.106077306103e-05	0	0.215668551464882	0.234094501473598
1.1.1.202|1,3-propanediol dehydrogenase	0.919553545615145	0.0708216806549442	0	0.00462849035029195	0.00499628337961888
1.1.1.205|IMP dehydrogenase	0.794390166233458	0.0276463873086964	0	0.150197331577923	0.0277661148799228
1.1.1.21|Aldehyde reductase	0.817197715669754	0.13553695193267	0	0.0409845769697886	0.00628075542778811
1.1.1.218|Morphine 6-dehydrogenase	0.83728751175815	0.135471663159264	0	0.0246996488094574	0.00254117627312918
1.1.1.22|UDP-glucose 6-dehydrogenase	0.820668593223545	0.0439971998274829	0.0660605254084156	0.0566855201585477	0.012588161382009
1.1.1.23|Histidinol dehydrogenase	0.88616871962041	0.0174225047060768	0.0509330945453718	0.0170396039234742	0.0284360772046677
1.1.1.25|Shikimate dehydrogenase	0.707283843718251	0.0346167057939211	0	0.186649410828052	0.0714500396597761
1.1.1.251|Galactitol-1-phosphate 5-dehydrogenase	0.928414339894656	0.0352967414141934	0	0.029932313343744	0.0063566053474066
1.1.1.26|Glyoxylate reductase	0.798185430256559	0.0255787270050088	0.0088721167432007	0.166406769898622	0.000956956096608835
1.1.1.261|sn-glycerol-1-phosphate dehydrogenase	0.76346361396694	0.0271791418462752	0.196111779342958	0.00838280340384455	0.00486266143998159
1.1.1.262|4-hydroxythreonine-4-phosphate dehydrogenase	0.603560183705734	0.236966446494728	0	0.158854106817393	0.00061926298214482
1.1.1.267|1-deoxy-D-xylulose-5-phosphate reductoisomerase	0.828546391047312	0.0627048362649417	0	0.103043522309661	0.00570525037808496
1.1.1.27|L-lactate dehydrogenase	0.810117667886774	0.145039327402469	0	0.0297405709452393	0.0151024337655175
1.1.1.271|GDP-L-fucose synthase	0.811288408663902	0.168828835055448	0	0.0186091907515876	0.00127356552906265
1.1.1.272|D-2-hydroxyacid dehydrogenase (NADP(+))	0.703001122068634	0.267686604451092	0	0.0146064118690206	0.0147058616112527
1.1.1.274|2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)	0.913710383524106	0.0718568773766872	0	0.00478746718376746	0.00964527191543938
1.1.1.276|Serine 3-dehydrogenase (NADP(+))	0.83293029780388	0.0191617551034011	0	0.0431023090985142	0.104805637994205
1.1.1.28|D-lactate dehydrogenase	0.873628878375736	0.101390018693239	0	0.0167495633953461	0.00823153953567874
1.1.1.283|Methylglyoxal reductase (NADPH)	0.890044894592962	0.0609872527179148	0	0.0245722104314702	0.0243956422576531
1.1.1.29|Glycerate dehydrogenase	0.635550860829796	0.00179256885262707	0.360600829676096	0.000416631360569362	0.00163910928091159
1.1.1.290|4-phosphoerythronate dehydrogenase	0.801249195961583	0.0522035455602615	0	0.145774456221676	0.000772802256479167
1.1.1.292|1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	0.698147771875162	0.199926665242521	0.0346819526723587	0.0329949160076555	0.0342486942023024
1.1.1.3|Homoserine dehydrogenase	0.855048132183656	0.0656874780860415	0	0.039594715576972	0.0396696741533306
1.1.1.301|D-arabitol-phosphate dehydrogenase	0.936048813096087	0.0261881628364449	0	0.0315941187709584	0.00616890529650976
1.1.1.306|S-(hydroxymethyl)mycothiol dehydrogenase	0.968162865923085	0.0176852510927329	0	0.0141495654997388	2.31748444316762e-06
1.1.1.31|3-hydroxyisobutyrate dehydrogenase	0.857241967885213	0.00130208075372633	0	0.0997968037786557	0.0416591475824045
1.1.1.313|Sulfoacetaldehyde reductase	0.881800498507483	0.0198523511541887	0.0196828526910755	0.000106479587100617	0.0785578180601523
1.1.1.346|2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)	0.65973506975122	0.0148128108482167	0.207794036183134	0.0633369269892796	0.0543211562281501
1.1.1.35|3-hydroxyacyl-CoA dehydrogenase	0.893910014327762	0.0780741139509135	0	0.0112766408268337	0.0167392308944904
1.1.1.369|D-chiro-inositol 1-dehydrogenase	0.84913987980551	0.0541216233449678	0.0143418051365643	0.0315475337251554	0.0508491579878025
1.1.1.37|Malate dehydrogenase	0.868023040203685	0.0581032227308282	0	0.062069955603056	0.0118037814624305
1.1.1.38|Malate dehydrogenase (oxaloacetate-decarboxylating)	0.912879762561892	0.0627841934780514	0	0.00120803678977625	0.0231280071702806
1.1.1.40|Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))	0.72962570872016	0.0231677922745741	0.0809496456953953	0.127487323838129	0.0387695294717425
1.1.1.42|Isocitrate dehydrogenase (NADP(+))	0.892322211072641	0.0079405868415669	0.0799915731369144	0.0137024242842833	0.00604320466459409
1.1.1.44|Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	0.868230440761545	0.113897723374037	0	0.011032397721878	0.00683943814254065
1.1.1.47|Glucose 1-dehydrogenase (NAD(P)(+))	0.961608044615077	0.00774062866987277	0	0.0127871306440498	0.0178641960710002
1.1.1.49|Glucose-6-phosphate dehydrogenase (NADP(+))	0.883241301078251	0.108572911630074	0	0.007631778583022	0.000554008708653183
1.1.1.50|3-alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	0.717365599617973	0.0772615473126181	0	0.00124784890195252	0.204125004167456
1.1.1.57|Fructuronate reductase	0.579760985903509	0.0867313418383705	0.261353262630917	0.0717935178166793	0.00036089181052461
1.1.1.58|Tagaturonate reductase	0.757601081992875	0.119323528379577	0	0.122836928241282	0.000238461386265935
1.1.1.6|Glycerol dehydrogenase	0.875840908771923	0.0928842873677191	0	0.0178191554768542	0.0134556483835041
1.1.1.60|2-hydroxy-3-oxopropionate reductase	0.947511269889128	0.0039606990043516	0	0.0150454238075839	0.0334826072989365
1.1.1.67|Mannitol 2-dehydrogenase	0.698501311247234	0.10175175195086	0	0.0385069920499528	0.161239944751953
1.1.1.69|Gluconate 5-dehydrogenase	0.738900270599619	0.00180226444792826	0.14310355820568	0.0682690311339886	0.0479248756127836
1.1.1.77|Lactaldehyde reductase	0.813061711394319	0.0164429161143713	0.143150167755941	0.00123445147690912	0.0261107532584598
1.1.1.85|3-isopropylmalate dehydrogenase	0.880610320737119	0.0106148757503659	0.0957600657920538	0.0122449660346136	0.000769771685847336
1.1.1.86|Ketol-acid reductoisomerase (NADP(+))	0.93591790094584	0.0476951810098633	0	0.00488286040994635	0.0115040576343507
1.1.1.88|Hydroxymethylglutaryl-CoA reductase	0.858688543627762	0.124342332765101	0	0.0103190877365089	0.00665003587062773
1.1.1.94|Glycerol-3-phosphate dehydrogenase (NAD(P)(+))	0.900691388974996	0.0414286747832077	0	0.0576247138256333	0.000255222416162584
1.1.1.95|Phosphoglycerate dehydrogenase	0.909755530834634	0.0164660689235938	0	0.0330633375966416	0.0407150626451309
1.1.2.3|L-lactate dehydrogenase (cytochrome)	0.892870248844091	0.0571427974670741	0.0462963454137971	0.00165041329710906	0.00204019497792858
1.1.3.15|(S)-2-hydroxy-acid oxidase	0.731756609980571	0.0286672417844638	0.222667877722942	0.00761357062417155	0.00929469988785148
1.1.5.3|Glycerol-3-phosphate dehydrogenase	0.866603364325432	0.0465220938869996	0	0.0833425345743432	0.00353200721322575
1.1.5.4|Malate dehydrogenase (quinone)	0.830330382324169	0.0581515333269757	0.108603869051161	0.00186572616213771	0.0010484891355567
1.1.99.28|Glucose-fructose oxidoreductase	0.801406901934683	0.0401613191595691	0.1365999163085	0.000348358273435675	0.021483504323812
1.1.99.38|2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)	0.985125900539336	0.0141538253663317	0	0.000439768155856267	0.000280505938476161
1.10.2.2|Quinol--cytochrome-c reductase	0.832571753653004	0.0375147421972222	0.104092206833344	0.0159193082898668	0.00990198902656262
1.10.3.10|Ubiquinol oxidase (H(+)-transporting)	0.905972898498621	0.00754508527989898	0	2.26566754451821e-09	0.0864820139558129
1.11.1.1|NADH peroxidase	0.623800013213353	0.00880589516053005	0.212480770372129	0.0649414279450973	0.0899718933088901
1.11.1.15|Peroxiredoxin	0.972439056865254	0.0249805700789097	0	0.00254983917707655	3.05338787592396e-05
1.11.1.5|Cytochrome-c peroxidase	0.889431175730196	0.0146097295521086	0.090104622098681	0.00068890276827978	0.00516556985073464
1.11.1.6|Catalase	0.758277144247757	0.0659425384880333	0.108605014137351	0.0658676857352596	0.00130761739159936
1.12.1.2|Hydrogen dehydrogenase	0.920926726551604	0.0455553148359259	0	0.0318792461904904	0.00163871242197963
1.12.1.3|Hydrogen dehydrogenase (NADP(+))	0.546605730162262	0.0258196316785353	0.237581370451709	0.0142977629032266	0.175695504804267
1.12.7.2|Ferredoxin hydrogenase	0.710486762889221	0.0453577188214405	0.208140732994395	0.0222328016560295	0.0137819836389136
1.12.99.6|Hydrogenase (acceptor)	0.684510703978078	0.0477208273063509	0.260165148562706	0.00572084803291315	0.00188247211995262
1.13.12.16|Nitronate monooxygenase	0.416932379145359	0.00278311217794873	0.35494869572487	0.0446523269369733	0.180683486014848
1.14.13.48|(S)-limonene 6-monooxygenase	0.670452646893106	0.00275616118148418	0	0.00109009156676294	0.325701100358646
1.14.13.7|Phenol 2-monooxygenase	0.833199293244849	0.00248902856976403	0	0.0321669781841411	0.132144700001246
1.14.13.81|Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	0.926809699843736	0.00354381431805546	0	0.0674641335051139	0.0021823523330948
1.15.1.1|Superoxide dismutase	0.854499133118858	0.0884194064366709	0	0.0491145579280245	0.00796690251644619
1.15.1.2|Superoxide reductase	0.402366091679049	0.0241323987639914	0.357784191216529	0.0150843866880923	0.200632931652338
1.16.3.1|Ferroxidase	0.959714784665824	0.0338006901271274	0	0.00559665457289984	0.000887870634148917
1.16.3.2|Bacterial non-heme ferritin	0.86008321720986	0.0237554018387833	0	0.0978156787340547	0.0183457022173024
1.17.1.4|Xanthine dehydrogenase	0.961107331326478	0.0310737673299185	0	0.0052493041130971	0.00256959723050644
1.17.1.5|Nicotinate dehydrogenase	0.90374092743409	0.0631073567245844	0	0.0292146534935924	0.00393706234773315
1.17.1.8|4-hydroxy-tetrahydrodipicolinate reductase	0.817287801491931	0.123853308604954	0	0.0304045042400542	0.0284543856630607
1.17.4.1|Ribonucleoside-diphosphate reductase	0.946475059581409	0.0183264593151846	0	0.0339941682472517	0.00120431285615438
1.17.4.2|Ribonucleoside-triphosphate reductase	0.899352686068056	0.0046670298133126	0	4.42439879982487e-06	0.0959758597198315
1.17.7.3|(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	0.910612573052087	0.0310409091262808	0	0.0561131824956728	0.00223333532595959
1.17.99.6|Epoxyqueuosine reductase	0.893161655629427	0.053464369776652	0	0.0288359743660334	0.0245380002278872
1.18.1.2|Ferredoxin--NADP(+) reductase	0.855792703973852	0.116468717037785	0.00961193899217451	0.0050820305377359	0.0130446094584519
1.18.6.1|Nitrogenase	0.570581283737943	0.120830929853606	0.264655131380748	0.0340566565416814	0.009875998486021
1.2.1.10|Acetaldehyde dehydrogenase (acetylating)	0.854173743458475	0.04549074461873	0	0.0162135985554351	0.0841219133673599
1.2.1.11|Aspartate-semialdehyde dehydrogenase	0.947260869984877	0.0132946020717389	0	0.0379571882066756	0.0014873397367089
1.2.1.12|Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	0.838419268167263	0.120145798564877	0	0.0257385034606857	0.0156964298071743
1.2.1.16|Succinate-semialdehyde dehydrogenase (NAD(P)(+))	0.918719499787587	0.0697132340103211	0	0.00672804789573954	0.00483921830635257
1.2.1.2|Formate dehydrogenase	0.75375027301135	0.0468661276306568	0.190935678820061	2.1020695735649e-05	0.00842689984219578
1.2.1.24|Succinate-semialdehyde dehydrogenase (NAD(+))	0.918719499787587	0.0697132340103211	0	0.00672804789573954	0.00483921830635257
1.2.1.27|Methylmalonate-semialdehyde dehydrogenase (CoA acylating)	0.822241963973316	0.019990552091751	0.118690099957991	0.00649300553751576	0.0325843784394264
1.2.1.3|Aldehyde dehydrogenase (NAD(+))	0.91256909542283	0.0760859338480072	0	0.000746659769558075	0.0105983109596052
1.2.1.38|N-acetyl-gamma-glutamyl-phosphate reductase	0.51865801132963	0.171670862508375	0	0.231238135370635	0.0784329907913609
1.2.1.41|Glutamate-5-semialdehyde dehydrogenase	0.832070772140847	0.125154870765408	0	0.0131350800781386	0.0296392770156057
1.2.1.46|Formaldehyde dehydrogenase	0.856946442400447	0.126126177485011	0	0.0144318318204776	0.00249554829406464
1.2.1.68|Coniferyl-aldehyde dehydrogenase	0.906111878337455	0.0450536147900756	0	0.0309277808827378	0.0179067259897316
1.2.1.70|Glutamyl-tRNA reductase	0.847591714317532	0.00385733008712628	0	0.0691316643485599	0.0794192912467814
1.2.1.76|Succinate-semialdehyde dehydrogenase (acetylating)	0.768669779522376	0.178417180136415	0	0.0502814804626154	0.00263155987859321
1.2.1.88|L-glutamate gamma-semialdehyde dehydrogenase	0.931408754700734	0.0218061260422926	0.0402985366734239	0.00386528420302892	0.00262129838052036
1.2.3.3|Pyruvate oxidase	0.846954375647124	0.0784806545775024	0	0.0615822737507204	0.0129826960246531
1.2.4.1|Pyruvate dehydrogenase (acetyl-transferring)	0.909166841210814	0.0680155054346562	0	0.0173940139639851	0.00542363939054509
1.2.4.4|3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)	0.912825437731697	0.0294451877829374	0	0.0329649491432097	0.0247644253421556
1.2.5.1|Pyruvate dehydrogenase (quinone)	0.758015325318343	0.111931581319317	0.0689901430067377	0.000176053379022297	0.0608868969765801
1.2.7.1|Pyruvate synthase	0.940209662136527	0.0563655740500086	0	0.000631057470437312	0.00279370634302684
1.2.7.3|2-oxoglutarate synthase	0.942833372888868	0.0325151854243086	0.0154313686959727	0.00526094945858342	0.00395912353226733
1.2.7.4|Carbon-monoxide dehydrogenase (ferredoxin)	0.862772403655504	0.00899282754001283	0.105013870985965	0.0193375869277742	0.00388331089074417
1.2.7.5|Aldehyde ferredoxin oxidoreductase	0.884306955264992	0.037912017971703	0	0.032817183614656	0.0449638431486495
