Residuals	number_of_pups_scaled	weight_grams_scaled	genotype	lipocalin2_pg_ml_scaled
GO:0000015|[CC] phosphopyruvate hydratase complex	0.972389558608603	0.0157140999625794	0.00387169442468287	0	0.00802464700413459
GO:0000027|[BP] ribosomal large subunit assembly	0.911856414369439	0.0864815592342502	0.00165727901610808	0	4.74738020253212e-06
GO:0000034|[MF] adenine deaminase activity	0.904554830508568	0.0403231693790447	0.019064302351615	0	0.0360576977607722
GO:0000036|[MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	0.772359315519069	0.15046900884433	0.0741286329149276	0	0.00304304272167372
GO:0000041|[BP] transition metal ion transport	0.723418510011566	0.157032455053799	0.074417311312761	0	0.0451317236218741
GO:0000049|[MF] tRNA binding	0.831323303147705	0.128963414591394	0.0276518416849514	0	0.0120614405759495
GO:0000103|[BP] sulfate assimilation	0.571545842107587	0.0123442273039276	0.128276382335078	0.196526876841168	0.0913066714122398
GO:0000104|[MF] succinate dehydrogenase activity	0.8796059094324	0.0710152970525581	0.0461064530768511	0	0.00327234043819056
GO:0000105|[BP] histidine biosynthetic process	0.88257609626014	0.0401377522800679	0.0514809663271101	0.00874730322312269	0.017057881909559
GO:0000107|[MF] imidazoleglycerol-phosphate synthase activity	0.847690071615405	0.0142478401825555	0.0308571143134939	0.104630570835592	0.00257440305295322
GO:0000150|[MF] recombinase activity	0.880246669083259	0.0178321782586741	0.0248762157982389	0.0712249299727758	0.00582000688705241
GO:0000155|[MF] phosphorelay sensor kinase activity	0.848180864288363	0.021859037377961	0.0339104107043675	0.0899838978906491	0.0060657897386595
GO:0000156|[MF] phosphorelay response regulator activity	0.9094496748375	0.0292695465099594	0.0347774823441851	0.0145736578928235	0.0119296384155322
GO:0000160|[BP] phosphorelay signal transduction system	0.850851419027354	0.019328112323119	0.0315834882737879	0.0931327828460112	0.00510419752972787
GO:0000162|[BP] tryptophan biosynthetic process	0.845084542283029	0.122514696848247	0.0258416387230611	0	0.00655912214566349
GO:0000166|[MF] nucleotide binding	0.765698355724543	0.0858102289459976	0.0474008846522232	0.0984447793248923	0.00264575135234353
GO:0000175|[MF] 3-5-exoribonuclease activity	0.891185764289055	0.0362297360891725	0.0636440265486371	0	0.00894047307313571
GO:0000179|[MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	0.789227326511237	0.14142722621018	0.0607812461294992	0	0.0085642011490842
GO:0000256|[BP] allantoin catabolic process	0.924407938269854	0.000336002086399212	0.00348668147021351	0.0254620707944446	0.0463073073790884
GO:0000270|[BP] peptidoglycan metabolic process	0.888737554619144	0.00076033351220188	0.0545709493513324	0	0.055931162517322
GO:0000271|[BP] polysaccharide biosynthetic process	0.72383172562791	0.212411820268116	0.0544371330483545	0	0.00931932105561895
GO:0000272|[BP] polysaccharide catabolic process	0.764629534595044	0.170406569095448	0.0649284579756097	0	3.54383338987963e-05
GO:0000276|[CC] mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	0.891420189225579	0.0269239170413544	0.00147422333141914	0	0.0801816704016472
GO:0000286|[MF] alanine dehydrogenase activity	0.803517049996181	0.0259233114418402	0.0495136962298326	0.11971702624074	0.00132891609140524
GO:0000287|[MF] magnesium ion binding	0.780972264175026	0.147662514236154	0.0532004255007641	0	0.0181647960880563
GO:0000310|[MF] xanthine phosphoribosyltransferase activity	0.788432431716726	0.0810338609740105	0.0498004601417928	0	0.0807332471674711
GO:0000453|[BP] enzyme-directed rRNA 2-O-methylation	0.840605050884301	0.0843030352877862	0.0399353467407352	0	0.0351565670871773
GO:0000716|[BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	0.785290684140357	0.159750806367206	0.0505541011553449	0	0.00440440833709197
GO:0000723|[BP] telomere maintenance	0.885047524224648	0.0711728208765595	0.0231636353595354	0	0.0206160195392573
GO:0000724|[BP] double-strand break repair via homologous recombination	0.746902809652953	0.204545527366542	0.0405341431116217	0	0.00801751986888323
GO:0000737|[BP] DNA catabolic process, endonucleolytic	0.979399348386078	0.00938058542255121	0.0112012450268171	0	1.88211645534316e-05
GO:0000746|[BP] conjugation	0.827825307143875	0.0585286985781242	0.000154604570433994	0	0.113491389707567
GO:0000774|[MF] adenyl-nucleotide exchange factor activity	0.8004769757656	0.124409933833792	0.0399786290050692	0.0282789541207867	0.00685550727475138
GO:0000786|[CC] nucleosome	0.573025700245816	0.186441379188885	0.00175265617793148	0.183190048046582	0.0555902163407856
GO:0000902|[BP] cell morphogenesis	0.794053243229725	0.126043314817719	0.0547528653878386	0	0.0251505765647182
GO:0000906|[MF] 6,7-dimethyl-8-ribityllumazine synthase activity	0.814802414046945	0.0812198159553827	0.040978975247052	0	0.0629987947506202
GO:0000917|[BP] barrier septum assembly	0.786096325208738	0.134042727181363	0.0636481452492589	0	0.0162128023606404
GO:0000918|[BP] barrier septum site selection	0.800153466120975	0.102582347724429	0.0798262236110185	0	0.017437962543577
GO:0000921|[BP] septin ring assembly	0.840359951329492	0.128329675185798	0.02611149023328	0	0.00519888325143067
GO:0000967|[BP] rRNA 5-end processing	0.764055687379582	0.17231093552504	0.0390116629751242	0	0.0246217141202543
GO:0000986|[MF] bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	0.718452899292797	0.22450624144069	0.0529982953021782	0	0.00404256396433452
GO:0001123|[BP] transcription initiation from bacterial-type RNA polymerase promoter	0.945958080518072	0.00401764390268316	0.0267713411880357	0.0134119616211253	0.00984097277008395
GO:0001407|[BP] glycerophosphodiester transport	0.95610384472949	0.00161682168335302	0.0262625634561498	0	0.016016770131007
GO:0001514|[BP] selenocysteine incorporation	0.890348576147186	0.0057273188674952	0.0519229152649695	0	0.0520011897203492
GO:0001522|[BP] pseudouridine synthesis	0.834363545524809	0.0755540686337103	0.0647324432072824	0.0186848450221811	0.00666509761201753
GO:0001530|[MF] lipopolysaccharide binding	0.986215347054107	0.0094407196096721	0.00251305778006671	0	0.00183087555615454
GO:0001666|[BP] response to hypoxia	0.697045838478764	0.00554024953111751	0.00890898805537089	0	0.288504923934747
GO:0001680|[BP] tRNA 3-terminal CCA addition	0.872115533847479	0.0706335372441887	0.00146726041750667	0.049290168594215	0.006493499896611
GO:0001682|[BP] tRNA 5-leader removal	0.771370583281802	0.170657555850583	0.0488616642408996	0	0.0091101966267154
GO:0001701|[BP] in utero embryonic development	0.744733266202242	0.00163234758379628	0.0036136050124042	0	0.250020781201558
GO:0001726|[CC] ruffle	0.819955252416917	0.154743141212295	0.0250475560804053	0	0.000254050290382063
GO:0002098|[BP] tRNA wobble uridine modification	0.831077054767189	0.129471552553042	0.0369288921484945	0	0.00252250053127373
GO:0002100|[BP] tRNA wobble adenosine to inosine editing	0.793558976667988	0.0553924236804954	0.0202891614399501	0.130751616999049	7.82121251785812e-06
GO:0002161|[MF] aminoacyl-tRNA editing activity	0.763351940628501	0.200586405812356	0.0248756780456739	0	0.0111859755134688
GO:0002935|[MF] tRNA (adenine-C2-)-methyltransferase activity	0.911154749782606	0.0318778324252627	0.0569445676216527	0	2.28501704781913e-05
GO:0002949|[BP] tRNA threonylcarbamoyladenosine modification	0.855120520005373	0.0946947161972379	0.04008791819698	0	0.0100968456004088
GO:0003676|[MF] nucleic acid binding	0.743705501739856	0.19953031074952	0.0388125782297011	0	0.017951609280923
GO:0003677|[MF] DNA binding	0.822160485984537	0.0498127592722935	0.0409174813425778	0.0816221977304251	0.00548707567016649
GO:0003678|[MF] DNA helicase activity	0.85265294214889	0.128519219608354	0.0101233846411287	0	0.00870445360162753
GO:0003684|[MF] damaged DNA binding	0.742241020201352	0.186236916009899	0.0670531855755331	0	0.00446887821321585
GO:0003688|[MF] DNA replication origin binding	0.765094410890426	0.15910630610384	0.0669196419082637	0	0.00887964109746975
GO:0003690|[MF] double-stranded DNA binding	0.74268039219186	0.179357477315385	0.0582964033962404	0	0.019665727096514
GO:0003697|[MF] single-stranded DNA binding	0.737057912813107	0.196533735685353	0.0626995702334795	0	0.00370878126806019
GO:0003700|[MF] transcription factor activity, sequence-specific DNA binding	0.842052320006601	0.0526713071294937	0.0451156455514417	0.049760586409081	0.0104001409033821
GO:0003712|[MF] transcription cofactor activity	0.560826908686758	0.0413174445522238	0.0318646947508158	0.291780508984606	0.0742104430255971
GO:0003713|[MF] transcription coactivator activity	0.830196561486237	0.0133335157870321	0.0552739294742694	0.0586844531003731	0.0425115401520887
GO:0003723|[MF] RNA binding	0.8353523958694	0.0746900326084867	0.0647015463240888	0	0.0252560251980247
GO:0003724|[MF] RNA helicase activity	0.886961452519721	0.0867667322124343	0.00360992225281797	0	0.0226618930150267
GO:0003725|[MF] double-stranded RNA binding	0.731267685355148	0.251378703822675	1.42781844874576e-05	0	0.0173393326376902
GO:0003726|[MF] double-stranded RNA adenosine deaminase activity	0.903923948257148	0.0274228277919924	0.00370981061538941	0	0.0649434133354706
GO:0003727|[MF] single-stranded RNA binding	0.941501555125989	0.0101706431720487	0.0381293513312405	0	0.0101984503707214
GO:0003729|[MF] mRNA binding	0.748303737157788	0.136303996015783	0.0959827952220764	0	0.0194094716043524
GO:0003735|[MF] structural constituent of ribosome	0.894208925924066	0.0844715132431068	0.0151024743882945	0	0.00621708644453241
GO:0003743|[MF] translation initiation factor activity	0.801733551114851	0.155900757504144	0.0422047571270583	0	0.000160934253946133
GO:0003746|[MF] translation elongation factor activity	0.994036993746444	0.00176960311232152	0.00192829506852724	0.00218592327932713	7.91847933797555e-05
GO:0003747|[MF] translation release factor activity	0.772100022679061	0.021719154615794	0.199993846517484	0	0.00618697618766091
GO:0003755|[MF] peptidyl-prolyl cis-trans isomerase activity	0.777727059286754	0.143004672752296	0.0622865821526589	0	0.0169816858082913
GO:0003774|[MF] motor activity	0.832489811687175	0.0337825915282019	0.0568023553052652	0.0759271198269255	0.000998121652432521
GO:0003796|[MF] lysozyme activity	0.763672723942212	0.226650597423629	0.00958285046408573	0	9.38281700737565e-05
GO:0003824|[MF] catalytic activity	0.858338393736896	0.0437770268943617	0.039442889787194	0.0553569544958323	0.00308473508571633
GO:0003830|[MF] beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity	0.881040344123978	0.0945059768602548	0.0232927036455686	0	0.00116097537019817
GO:0003839|[MF] gamma-glutamylcyclotransferase activity	0.880807911146145	0.000599497658146119	0.0177029000146211	0.0956127732686732	0.00527691791241438
GO:0003840|[MF] gamma-glutamyltransferase activity	0.971928668108218	0.00574978688522368	0.0221846573764674	0	0.000136887630090986
