Residuals	number_of_pups_scaled	weight_grams_scaled	genotype	lipocalin2_pg_ml_scaled
K00003|homoserine dehydrogenase [EC.1.1.1.3]	0.84732609240391	0.044700860875116	0.0315920687090849	0.0724798054670744	0.0039011725448144
K00008|L-iditol 2-dehydrogenase [EC.1.1.1.14]	0.856770120152034	0.0627397649411564	0.0229639115559527	0	0.0575262033508571
K00009|mannitol-1-phosphate 5-dehydrogenase [EC.1.1.1.17]	0.85772325181699	0.000109021208816553	0.0909010040010829	0	0.051266722973111
K00010|myo-inositol 2-dehydrogenase | D-chiro-inositol 1-dehydrogenase [EC.1.1.1.18 1.1.1.369]	0.866325550483773	3.17146520124424e-05	0.0195839565990024	0	0.114058778265212
K00012|UDPglucose 6-dehydrogenase [EC.1.1.1.22]	0.984562090112797	0.000109532420323456	0.00119428979566889	0	0.0141340876712109
K00013|histidinol dehydrogenase [EC.1.1.1.23]	0.780970856906802	0.162996966508092	0.0136404111789	0.0229367908076573	0.0194549745985485
K00014|shikimate dehydrogenase [EC.1.1.1.25]	0.878296185862329	0.0394877466284243	0.0509639728638774	0	0.0312520946453692
K00016|L-lactate dehydrogenase [EC.1.1.1.27]	0.842508194467426	0.12021366320202	0.0319678141372342	0	0.00531032819332014
K00018|glycerate dehydrogenase [EC.1.1.1.29]	0.939383956302427	0.0041770866843426	0.0485304976368959	0	0.00790845937633482
K00024|malate dehydrogenase [EC.1.1.1.37]	0.959315663895493	0.00302051685691334	0.0282907763946757	0	0.00937304285291822
K00027|malate dehydrogenase (oxaloacetate-decarboxylating) [EC.1.1.1.38]	0.950748656993048	0.00951058912823843	0.0269512610190672	0	0.0127894928596468
K00029|malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC.1.1.1.40]	0.942525328622883	0.0519702414056972	0.0048115797492263	0	0.000692850222193246
K00031|isocitrate dehydrogenase [EC.1.1.1.42]	0.956696439025177	0.0218344878742402	0.00975352296626013	0	0.0117155501343229
K00033|6-phosphogluconate dehydrogenase [EC.1.1.1.44 1.1.1.343]	0.838700394554241	0.120878517410627	0.0327655828050322	0	0.00765550523010052
K00036|glucose-6-phosphate 1-dehydrogenase [EC.1.1.1.49 1.1.1.363]	0.946900328359583	0.0235106104196647	0.0248228927812669	0	0.00476616843948581
