Residuals	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype	weight_grams_scaled
1CMET2-PWY|folate transformations III (E. coli)	0.900666830327909	0.0207348869849545	0.00179831823843392	0	0.0767999644487029
ALLANTOINDEG-PWY|superpathway of allantoin degradation in yeast	0.920888914139672	0.0479431972720493	0.00396386068494686	0	0.027204027903332
ANAEROFRUCAT-PWY|homolactic fermentation	0.962800973754357	0.00276869315805723	0.0330702746009089	0	0.00136005848667638
ANAGLYCOLYSIS-PWY|glycolysis III (from glucose)	0.87817278041367	0.109758037123245	0.00243442001591258	0	0.00963476244717218
ARG+POLYAMINE-SYN|superpathway of arginine and polyamine biosynthesis	0.41428033774673	3.25331047256711e-06	0.0016948566852762	0.457486371533911	0.12653518072361
ARGININE-SYN4-PWY|L-ornithine biosynthesis II	0.898959767413001	0.00340805139308095	0.0928427433459732	0	0.0047894378479452
ARGSYN-PWY|L-arginine biosynthesis I (via L-ornithine)	0.880277986401881	0.00514762475702191	0.0102472235802701	0.0873450034550935	0.0169821618057337
ARGSYNBSUB-PWY|L-arginine biosynthesis II (acetyl cycle)	0.892478545853271	0.00711883128158339	0.0114307663607464	0.0687235305712159	0.0202483259331829
ARO-PWY|chorismate biosynthesis I	0.776171480681621	0.0912428365749966	0.0519523177771512	0	0.0806333649662314
ASPASN-PWY|superpathway of L-aspartate and L-asparagine biosynthesis	0.991696018047033	0.000928655643620101	0.00223834527668242	0	0.00513698103266395
BRANCHED-CHAIN-AA-SYN-PWY|superpathway of branched chain amino acid biosynthesis	0.956942128516236	0.000403566201277576	0.00447257358172795	0	0.0381817317007584
CALVIN-PWY|Calvin-Benson-Bassham cycle	0.634450564066801	0.282946934710717	0.0732769907054472	0	0.00932551051703532
CENTFERM-PWY|pyruvate fermentation to butanoate	0.893562525404643	0.0923515095406454	0.000733430308755352	0	0.0133525347459561
CITRULBIO-PWY|L-citrulline biosynthesis	0.846376690847709	0.0337825059371277	0.0732170660671966	0	0.0466237371479672
COA-PWY-1|superpathway of coenzyme A biosynthesis III (mammals)	0.938214498121163	0.021291731248663	0.0248110749439824	0	0.015682695686192
COA-PWY|coenzyme A biosynthesis I (prokaryotic)	0.934605290860238	0.00404178193309042	0.0127998160180768	0	0.0485531111885949
COBALSYN-PWY|superpathway of adenosylcobalamin salvage from cobinamide I	0.822498145093259	0.00849955056757203	0.0032563039126196	0.15589054511614	0.00985545531040942
