Residuals	number_of_pups_scaled	genotype	weight_grams_scaled	lipocalin2_pg_ml_scaled
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|(expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	0.780497883187073	0.0585429198222232	0.115071990657786	0.0458755191042593	1.16872286586919e-05
1.1.1.127-RXN|(expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]	0.533231737466007	0.230577480770745	0.115622285456407	0.0771980153174112	0.0433704809894303
1.1.1.136-RXN|(expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]	0.925583534118609	0.0229652072873906	0	0.00999083182763582	0.0414604267663644
1.1.1.176-RXN|(expasy) 12-alpha-hydroxysteroid dehydrogenase [1.1.1.176]	0.810048142904366	0.0335215372933138	0	0.152727576507957	0.00370274329436233
1.1.1.251-RXN|(expasy) Galactitol-1-phosphate 5-dehydrogenase [1.1.1.251]	0.928414339894656	0.0352967414141934	0	0.029932313343744	0.0063566053474066
1.1.1.261-RXN|(expasy) sn-glycerol-1-phosphate dehydrogenase [1.1.1.261]	0.76346361396694	0.0271791418462752	0.196111779342958	0.00838280340384455	0.00486266143998159
1.1.1.271-RXN|(expasy) GDP-L-fucose synthase [1.1.1.271]	0.811288408663902	0.168828835055448	0	0.0186091907515876	0.00127356552906265
1.1.1.272-RXN|(expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]	0.703001122068634	0.267686604451092	0	0.0146064118690206	0.0147058616112527
1.1.1.274-RXN|(expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]	0.913710383524106	0.0718568773766872	0	0.00478746718376746	0.00964527191543938
1.1.1.283-RXN|(expasy) Methylglyoxal reductase (NADPH) [1.1.1.283]	0.890044894592962	0.0609872527179148	0	0.0245722104314702	0.0243956422576531
