Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
1.1.1.1|Alcohol dehydrogenase	0.695009947861937	0.105321690335786	0.0351953604613224	0.00037892262756958	0.164094078713385
1.1.1.100|3-oxoacyl-[acyl-carrier-protein] reductase	0.773810199458105	0.0999555669344019	0.00929290004168947	0.00378339221788875	0.113157941347915
1.1.1.103|L-threonine 3-dehydrogenase	0.947276109277253	0.0523266740425248	0.000310733850228179	8.64828299938129e-05	0
1.1.1.122|D-threo-aldose 1-dehydrogenase	0.870074822770588	0.102244938178201	0.000525130438239097	0.0271551086129718	0
1.1.1.125|2-deoxy-D-gluconate 3-dehydrogenase	0.583153693041532	0.000768645662626745	0.251383248534815	0.0885678767847411	0.0761265359762852
1.1.1.127|2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	0.807588470351261	0.0250001070433559	0.125223851328312	0.0421875712770708	0
1.1.1.130|3-dehydro-L-gulonate 2-dehydrogenase	0.694835757766912	0.0942011546287313	0.210823681779869	0.000139405824487938	0
1.1.1.131|Mannuronate reductase	0.867220556268083	0.0312597271232722	0.0894687507955102	0.012050965813135	0
1.1.1.132|GDP-mannose 6-dehydrogenase	0.758299399052463	0.0549697225183574	0.003747480653229	0.182983397775951	0
1.1.1.133|dTDP-4-dehydrorhamnose reductase	0.872613276108075	0.111928037296223	0.00101091249277083	0.0144477741029308	0
1.1.1.136|UDP-N-acetylglucosamine 6-dehydrogenase	0.691750600728972	7.73932580528006e-08	0.119146396743003	0.189102925134767	0
1.1.1.14|L-iditol 2-dehydrogenase	0.809900014460815	0.000130646637810849	0.0815974362163331	0.10837190268504	0
1.1.1.140|Sorbitol-6-phosphate 2-dehydrogenase	0.729619477608966	0.108090808716439	0.00873075118237315	0.153558962492222	0
1.1.1.157|3-hydroxybutyryl-CoA dehydrogenase	0.907496345102507	0.00132962071563082	0.0070128902647954	0.0841611439170668	2.11738391738125e-17
1.1.1.169|2-dehydropantoate 2-reductase	0.879264506980113	0.00108216563402315	0.119626268891713	2.70584941512478e-05	0
1.1.1.17|Mannitol-1-phosphate 5-dehydrogenase	0.863394732603824	0.00856996077900686	0.0396055450078334	0.0831763460367282	0.00525341557260724
1.1.1.18|Inositol 2-dehydrogenase	0.844424550840732	0.0148463475929322	0.14053928393347	0.000189817632866198	0
1.1.1.193|5-amino-6-(5-phosphoribosylamino)uracil reductase	0.935631273939352	0.0108515168270364	0.000450519153584948	0.00151367166720642	0.0515530184128201
1.1.1.195|Cinnamyl-alcohol dehydrogenase	0.82324447294413	0.0679212986461558	0.106725576257238	0.000412075026216188	0.00169657712626076
1.1.1.2|Alcohol dehydrogenase (NADP(+))	0.768896751034501	0.0825357547365358	0.115091438855397	0.0271821554135581	0.00629389996000841
1.1.1.202|1,3-propanediol dehydrogenase	0.909670212272718	0.0201866309690018	0.0596546834981131	0.0104884732601667	0
1.1.1.205|IMP dehydrogenase	0.819663950637785	0.0682780544669621	0.00651929903280805	0.00193501975974209	0.103603676102703
1.1.1.21|Aldehyde reductase	0.954556373500436	0.0147526024356691	0.0162571569026399	0.0144338671612547	0
1.1.1.218|Morphine 6-dehydrogenase	0.639678733152557	0.0499927131098985	0.00106820915501992	0.00457418007914471	0.30468616450338
1.1.1.22|UDP-glucose 6-dehydrogenase	0.725781280727757	0.131617823499568	0.116139387242591	0.0264615085300835	0
1.1.1.23|Histidinol dehydrogenase	0.862043139197417	0.000107201131712417	0.000381286495718327	0.137468373175152	0
1.1.1.25|Shikimate dehydrogenase	0.702521183322858	0.213816797845376	0.0154867279827891	0.0681752908489763	0
1.1.1.26|Glyoxylate reductase	0.873446964712208	0.0172195386560194	0.10173755357711	0.00759594305466269	0
1.1.1.261|sn-glycerol-1-phosphate dehydrogenase	0.708358166513904	0.00610701513690338	0.279296851013984	0.00623796733520849	0
1.1.1.262|4-hydroxythreonine-4-phosphate dehydrogenase	0.936726958226219	0.0185542656241541	0.0042889722436328	0.0404298039059942	0
1.1.1.267|1-deoxy-D-xylulose-5-phosphate reductoisomerase	0.679525746494064	0.220047518273123	0.0556569026351457	0.0447698325976679	0
1.1.1.27|L-lactate dehydrogenase	0.70057680860976	0.00214164779482387	0.00248064559212422	0.0780476872542568	0.216753210749036
1.1.1.271|GDP-L-fucose synthase	0.940620601395056	0.0128424260171055	0.0346516030287524	0.0118853695590857	0
1.1.1.272|D-2-hydroxyacid dehydrogenase (NADP(+))	0.942380057530813	0.0184807013873906	0.0391107708743385	2.8470207458117e-05	0
1.1.1.274|2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)	0.778524326464036	0.0747685894286793	0.127358946439441	0.0186094085949549	0.000738729072887869
1.1.1.276|Serine 3-dehydrogenase (NADP(+))	0.87119814416144	5.03291486094809e-05	0.0510028288715978	0.0416139386326104	0.0361347591857424
1.1.1.28|D-lactate dehydrogenase	0.737227257644147	0.0316534998381602	0.0273855825082656	0.0209805594686579	0.182753100540769
1.1.1.283|Methylglyoxal reductase (NADPH)	0.753725573804065	0.00663816233526465	0.160798986907737	0.0090919790932301	0.0697452978597025
1.1.1.29|Glycerate dehydrogenase	0.819917217513994	0.140086227350396	0.00145936599819599	0.0385371891374141	0
1.1.1.290|4-phosphoerythronate dehydrogenase	0.734188912512433	0.128702649257571	0.115139371380758	0.0219690668492375	0
1.1.1.292|1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)	0.818283843242885	0.0863464583456924	0.00935486617274865	0.0860148322386745	0
1.1.1.3|Homoserine dehydrogenase	0.838572637517404	0.0447028428463143	0.0203482789688396	0.096376240667442	0
