Residuals	lipocalin2_pg_ml_scaled	number_of_pups_scaled	weight_grams_scaled	genotype
GO:0000015|[CC] phosphopyruvate hydratase complex	0.768496981786576	0.0335262744623081	0.10737909384901	0.0905976499021062	0
GO:0000027|[BP] ribosomal large subunit assembly	0.911033795202054	0.00467863676027656	0.0236365703450386	0.0190014810544841	0.0416495166381473
GO:0000034|[MF] adenine deaminase activity	0.99072798832628	0.00568501534923281	0.00339128135036353	0.00019571497412397	0
GO:0000036|[MF] ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	0.873963246251203	0.106569540072724	0.00409909777697409	0.0153681158990983	0
GO:0000041|[BP] transition metal ion transport	0.848480151901133	0.0264572821829575	0.00376351692282511	0.121299048993084	0
GO:0000049|[MF] tRNA binding	0.815256396424628	0.00112582654609438	0.00146215550635405	0.0346743956457409	0.147481225877183
GO:0000103|[BP] sulfate assimilation	0.928418557829825	0.0169865284765599	0.0216878427838316	0.0329070709097839	0
GO:0000104|[MF] succinate dehydrogenase activity	0.879847526350774	0.00582848573496822	0.0931820779510412	0.0211419099632164	0
GO:0000105|[BP] histidine biosynthetic process	0.692377473663974	0.212670225131523	0.089132351608974	0.00581994959552905	0
GO:0000107|[MF] imidazoleglycerol-phosphate synthase activity	0.748346498987616	0.196761884423788	0.0437364563816317	0.0111551602069639	0
GO:0000122|[BP] negative regulation of transcription from RNA polymerase II promoter	0.948665158617109	0.0364485878502367	0.00654333371029784	0.0014381486895595	0.0069047711327966
GO:0000150|[MF] recombinase activity	0.869679319752194	0.0726594063285551	0.0431198764198686	0.0145413974993822	0
GO:0000155|[MF] phosphorelay sensor kinase activity	0.80028916297822	0.135364263331496	0.0585479790253727	0.00579859466491076	0
GO:0000156|[MF] phosphorelay response regulator activity	0.779808787724575	0.165866806895483	0.0380184822483582	0.0163059231315839	0
GO:0000160|[BP] phosphorelay signal transduction system	0.809623110640182	0.131159960994877	0.0591490195680618	6.79087968785651e-05	0
GO:0000162|[BP] tryptophan biosynthetic process	0.96659431485701	0.019334379859596	0.000822596028400171	0.0132487092549932	0
GO:0000166|[MF] nucleotide binding	0.781907885183768	0.108310130439045	0.101995401104249	0.000349574828878722	0.00743700844405958
GO:0000175|[MF] 3-5-exoribonuclease activity	0.754557096028802	0.0384199922896495	0.155808083709981	0.0512148279715676	0
GO:0000179|[MF] rRNA (adenine-N6,N6-)-dimethyltransferase activity	0.768686298144553	6.68760710605028e-05	0.000539041243727587	0.0169511036320452	0.213756680908614
GO:0000184|[BP] nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.907250894476869	0.0652139791879465	0.0239316196062497	0.00360350672893534	0
GO:0000226|[BP] microtubule cytoskeleton organization	0.891098137509927	0.0756516558846291	0.0288048448959709	0.00444536170947292	0
GO:0000256|[BP] allantoin catabolic process	0.948120322755766	0.00774644552373712	0.0384661468686639	0.00566708485183307	0
GO:0000270|[BP] peptidoglycan metabolic process	0.868253995274416	0.0311505458392108	0.0390279701896705	0.061567488696703	0
GO:0000271|[BP] polysaccharide biosynthetic process	0.787836470612808	0.0903803429138162	0.0533293877609851	0.0137199630494118	0.0547338356629791
GO:0000272|[BP] polysaccharide catabolic process	0.96010215224546	0.000360280468259987	0.0201792965082836	0.00149610181314779	0.017862168964849
GO:0000276|[CC] mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	0.951444996533675	0.0220887398922902	0.0230393627256837	0.00342690084835138	0
GO:0000286|[MF] alanine dehydrogenase activity	0.842012734447796	0.140237426461904	0.0149309780350652	0.00281886105523449	0
GO:0000287|[MF] magnesium ion binding	0.78303673238618	0.0607971975042574	0.0539003763928355	0.00126939507145157	0.100996298645275
GO:0000310|[MF] xanthine phosphoribosyltransferase activity	0.834613602287612	0.126759093429872	0.0194434390971959	0.0191838651853198	0
GO:0000453|[BP] enzyme-directed rRNA 2-O-methylation	0.705353384217844	0.100926296914199	0.0680999686154876	0.00155041099458327	0.124069939257886
GO:0000716|[BP] transcription-coupled nucleotide-excision repair, DNA damage recognition	0.713885570715852	0.0107093836589084	0.0226380409330691	0.0196995472217935	0.233067457470377
GO:0000723|[BP] telomere maintenance	0.724987056563571	0.142690421768949	0.0470302303406792	0.0691998830346356	0.0160924082921648
GO:0000724|[BP] double-strand break repair via homologous recombination	0.856201118609763	0.0400346769248307	2.35484724814604e-06	0.0313366620107886	0.0724251876073699
GO:0000737|[BP] DNA catabolic process, endonucleolytic	0.898164334975795	0.0313073703757259	0.0231616279788209	0.0473666666696582	0
GO:0000746|[BP] conjugation	0.760715514025323	0.0715605130357621	0.149850038632511	0.0178739343064038	0
GO:0000774|[MF] adenyl-nucleotide exchange factor activity	0.75778400722806	0.124143153800298	0.0142715852869597	0.0200804290338208	0.0837208246508613
GO:0000786|[CC] nucleosome	0.773109618040557	0.0204127744399986	0.0406653657753542	0.16581224174409	0
GO:0000902|[BP] cell morphogenesis	0.846183196396045	0.13119298712031	0.00919714380999479	0.0134266726736497	0
GO:0000906|[MF] 6,7-dimethyl-8-ribityllumazine synthase activity	0.745788595461676	0.0985097779923839	0.155405638196299	0.000295988349641026	0
GO:0000917|[BP] barrier septum assembly	0.829658807931871	0.100435752675895	0.06955208399498	0.000353355397253639	0
GO:0000918|[BP] barrier septum site selection	0.895519883500711	0.080097581091255	0.0200638655987464	0.00431866980928748	0
GO:0000921|[BP] septin ring assembly	0.716463457842533	0.263252607505883	0.00422451883990889	0.0160594158116748	0
