Residuals	number_of_pups_scaled	lipocalin2_pg_ml_scaled	weight_grams_scaled	genotype
K00003|homoserine dehydrogenase [EC.1.1.1.3]	0.903838517997812	0.0197755634289533	9.13964105387898e-05	0.0762945221626964	0
K00012|UDPglucose 6-dehydrogenase [EC.1.1.1.22]	0.780274417385389	0.188563663134643	3.20575819227982e-05	0.0311298618980451	0
K00013|histidinol dehydrogenase [EC.1.1.1.23]	0.898888816951936	0.0492563570028506	2.02585324074468e-05	0.0518345675128056	0
K00014|shikimate dehydrogenase [EC.1.1.1.25]	0.927654929166828	0.0712736074702958	0.000445289470211816	0.000626173892664057	0
K00016|L-lactate dehydrogenase [EC.1.1.1.27]	0.841169679810007	0.0531420151013938	0.000756604548811406	0.0261058520947997	0.0788258484449879
K00018|glycerate dehydrogenase [EC.1.1.1.29]	0.938421287223741	0.0450365718886864	7.57826975077328e-05	0.0164663581900651	0
K00024|malate dehydrogenase [EC.1.1.1.37]	0.898635622834411	0.00323589141616339	0.00018208694470673	0.0955645580697677	0.00238184073495142
K00027|malate dehydrogenase (oxaloacetate-decarboxylating) [EC.1.1.1.38]	0.783263416610891	0.0607172751505556	0.122762986747688	0.0332563214908651	0
K00029|malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC.1.1.1.40]	0.906087544495773	0.0173410398656786	6.70147813496798e-05	0.0613173230725174	0.0151870777846813
K00031|isocitrate dehydrogenase [EC.1.1.1.42]	0.789678389430219	0.00215423039728094	0.207933943245597	0.000233436926903686	0
K00033|6-phosphogluconate dehydrogenase [EC.1.1.1.44 1.1.1.343]	0.839742824056172	0.0149942620980064	0.00247614537367405	0.0275984814096376	0.11518828706251
K00036|glucose-6-phosphate 1-dehydrogenase [EC.1.1.1.49 1.1.1.363]	0.601797986879535	0.0831336378244515	0.100655688330992	0.0232346189988679	0.191178067966153
K00041|tagaturonate reductase [EC.1.1.1.58]	0.873485549784606	0.00231148578697005	0.00191945759019133	0.122283506838233	0
K00046|gluconate 5-dehydrogenase	0.906836592144974	0.048884696437259	0.0018216763668605	0.0424570350509069	0
K00048|lactaldehyde reductase [EC.1.1.1.77]	0.86541397825047	0.016426611485501	0.0164888369931679	0.101670573270862	0
K00052|3-isopropylmalate dehydrogenase [EC.1.1.1.85]	0.897770104958618	0.0249984274615449	0.024677749667203	0.0525537179126337	0
K00053|ketol-acid reductoisomerase [EC.1.1.1.86]	0.90697764338808	0.0320418706227998	0.000585793629797459	0.0603946923593222	0
K00057|glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC.1.1.1.94]	0.724999908156231	0.0891570222279751	0.0337371584513162	0.00556177338541429	0.146544137779063
K00058|D-3-phosphoglycerate dehydrogenase [EC.1.1.1.95]	0.937369438323262	0.0502072973586686	0.0104059219023633	0.00201734241570642	0
K00059|3-oxoacyl-[acyl-carrier protein] reductase [EC.1.1.1.100]	0.835778245365105	0.114831007821687	0.0163108557760227	0.0184177275748335	0.0146621634623515
K00065|2-deoxy-D-gluconate 3-dehydrogenase [EC.1.1.1.125]	0.585402573725427	0.253658875151984	0.0805670377963442	0.000832164468946535	0.0795393488572983
K00074|3-hydroxybutyryl-CoA dehydrogenase [EC.1.1.1.157]	0.810050667817145	0.00288855570685435	0.111587116449658	0.075473660026342	0
K00075|UDP-N-acetylmuramate dehydrogenase [EC.1.3.1.98]	0.83007702515432	0.0804313114695419	0.000645388837642286	0.00404643351057074	0.084799841027925
K00077|2-dehydropantoate 2-reductase [EC.1.1.1.169]	0.870115001512849	0.0322978647561363	0.0561499048982042	0.0414372288328109	0
K00086|1,3-propanediol dehydrogenase [EC.1.1.1.202]	0.918420389316304	0.0540491474384984	0.00935389288417186	0.0181765703610255	0
K00088|IMP dehydrogenase [EC.1.1.1.205]	0.759318752168028	0.182527966382469	0.000186579218997393	0.0579667022305058	0
K00097|4-hydroxythreonine-4-phosphate dehydrogenase [EC.1.1.1.262]	0.896582806958546	0.0610506274601988	0.00155770354443158	0.040808862036824	0
K00099|1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC.1.1.1.267]	0.91956988364393	0.0795679309307664	0.000533941522737079	0.000328243902566482	0
K00111|glycerol-3-phosphate dehydrogenase [EC.1.1.5.3]	0.745630282680185	0.20505280231178	0.000157746430229132	0.011993042500401	0.0371661260774053
K00116|malate dehydrogenase (quinone) [EC.1.1.5.4]	0.88011359553069	0.05480130534136	0.000130513822744889	0.0649545853052052	0
K00124|formate dehydrogenase iron-sulfur subunit	0.844414296557572	0.100313091656675	0.00395947893394889	0.0513131328518036	0
K00127|formate dehydrogenase subunit gamma	0.927069064227615	0.0317349746449949	0.00690272621051876	0.0342932349168718	0
K00133|aspartate-semialdehyde dehydrogenase [EC.1.2.1.11]	0.920836611848658	0.0470801193409057	0.00177805671641958	0.0303052120940167	0
K00134|glyceraldehyde 3-phosphate dehydrogenase [EC.1.2.1.12]	0.804541163763969	0.0187602473153454	0.00309133093556889	0.0317300465044641	0.141877211480653
K00145|N-acetyl-gamma-glutamyl-phosphate reductase [EC.1.2.1.38]	0.830410810028831	0.00135513478367302	0.164893206716541	0.00334084847095526	0
K00147|glutamate-5-semialdehyde dehydrogenase [EC.1.2.1.41]	0.881389567957319	0.0468152332081916	0.00463502705659313	0.0671601717778964	0
K00158|pyruvate oxidase [EC.1.2.3.3]	0.865439536233863	0.0674318809548167	0.00352262871972346	0.0175380265703959	0.0460679275212012
K00171|pyruvate ferredoxin oxidoreductase delta subunit [EC.1.2.7.1]	0.856205257507962	0.00210832357397474	0.133176213610966	0.00851020530709754	0
K00172|pyruvate ferredoxin oxidoreductase gamma subunit [EC.1.2.7.1]	0.831623105560912	0.0857938214150401	0.00181929144806072	0.054390210611082	0.0263735709649052
K00174|2-oxoglutarate|2-oxoacid ferredoxin oxidoreductase subunit alpha [EC.1.2.7.3 1.2.7.11]	0.933766965702831	0.0127689278381699	0.0113541114420801	0.0281354951744237	0.0139744998424949
