Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
1CMET2-PWY|folate transformations III (E. coli)	0.721261978940567	0.229618535540477	0.0414087515274473	0.0077107339915085	0
ALLANTOINDEG-PWY|superpathway of allantoin degradation in yeast	0.963104712300041	0.0103465797514568	0.0265484468817072	2.61066795058356e-07	0
ANAEROFRUCAT-PWY|homolactic fermentation	0.903797084443875	0.000494927763602577	0.0724289750026442	0.0232790127898788	0
ANAGLYCOLYSIS-PWY|glycolysis III (from glucose)	0.862487662849745	0.00616331776571523	0.110727816608489	0.0206212027760502	0
ARGININE-SYN4-PWY|L-ornithine biosynthesis II	0.806386476903546	0.0509968892911897	0.0741056601643439	0.0685109736409206	0
ARGSYN-PWY|L-arginine biosynthesis I (via L-ornithine)	0.892068325068544	0.0126392713100123	0.0126842290222065	0.0826081745992369	0
ARGSYNBSUB-PWY|L-arginine biosynthesis II (acetyl cycle)	0.863403540974407	0.0123460265503827	0.0131925502001615	0.111057882275049	0
ARO-PWY|chorismate biosynthesis I	0.706703993674228	0.222160508157937	0.0377126200346973	0.0334228781331371	0
ASPASN-PWY|superpathway of L-aspartate and L-asparagine biosynthesis	0.734829989548247	0.0271354850418126	0.082586846116818	0.155447679293122	0
BRANCHED-CHAIN-AA-SYN-PWY|superpathway of branched chain amino acid biosynthesis	0.917450385752069	0.00017979114871182	0.0151582479719979	0.0672115751272214	0
CALVIN-PWY|Calvin-Benson-Bassham cycle	0.984928642372545	0.000314767714816931	7.40416010236184e-06	0.014749185752536	0
CENTFERM-PWY|pyruvate fermentation to butanoate	0.772964094228569	0.0623931225027056	0.0469573383354753	0.0102030869286144	0.107482358004636
CITRULBIO-PWY|L-citrulline biosynthesis	0.850937618706554	0.0336189873065956	0.0673317241272515	0.0288399051773758	0.0192717646822229
COA-PWY-1|superpathway of coenzyme A biosynthesis III (mammals)	0.7722702853339	0.108531577795108	0.0909013132776514	0.0282968235933403	0
COA-PWY|coenzyme A biosynthesis I (prokaryotic)	0.786996988510998	0.119807967096484	0.0930680294256726	0.000127014966845654	0
COBALSYN-PWY|superpathway of adenosylcobalamin salvage from cobinamide I	0.969944009747362	0.0178447811421165	0.00032942931850241	0.0118817797920187	0
COLANSYN-PWY|colanic acid building blocks biosynthesis	0.578363341161221	0.326774831592434	0.00275312447853737	0.00222406242537221	0.0898846403424352
COMPLETE-ARO-PWY|superpathway of aromatic amino acid biosynthesis	0.85033271298641	0.0798540682066924	0.0144281297572236	0.0553850890496744	0
DAPLYSINESYN-PWY|L-lysine biosynthesis I	0.808131649897357	5.42075653545516e-06	0.18310213504018	0.00876079430592754	0
DTDPRHAMSYN-PWY|dTDP-&beta;-L-rhamnose biosynthesis	0.767773664001709	0.151592196922971	0.0251945531511366	0.0554395859241838	0
FERMENTATION-PWY|mixed acid fermentation	0.841606250351946	0.0897923904696189	0.0147874779606993	0.0538138812177364	0
GALACT-GLUCUROCAT-PWY|superpathway of hexuronide and hexuronate degradation	0.747324808386327	2.47843049134927e-05	0.0996564475024682	0.0517639199822451	0.101230039824046
GALACTUROCAT-PWY|D-galacturonate degradation I	0.792981185717567	0.0403009765812728	0.00874177121620371	0.000631605095795871	0.157344461389161
GLCMANNANAUT-PWY|superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.971281120193088	0.025088098978734	0.00267896937301667	0.000951811455160972	0
GLUCONEO-PWY|gluconeogenesis I	0.726357197383471	0.016840218047346	0.210190783998255	0.0466118005709282	0
GLUCUROCAT-PWY|superpathway of &beta;-D-glucuronosides degradation	0.841949093350651	0.0551006011471402	0.0893545103916093	0.0135957951105996	0
GLUDEG-I-PWY|GABA shunt	0.89156974413954	0.0354349387417158	0.0489087071353603	0.0240866099833836	0
GLUTORN-PWY|L-ornithine biosynthesis I	0.914554286159408	0.00204635167438684	0.0149887203381486	0.0684106418280568	0
GLYCOCAT-PWY|glycogen degradation I	0.860546469156824	0.0717470372374147	0.0583865998447456	0.00931989376101566	0
GLYCOGENSYNTH-PWY|glycogen biosynthesis I (from ADP-D-Glucose)	0.88865381076579	0.00365957916919004	0.0271171844175216	0.0805694256474977	0
GLYCOLYSIS-E-D|superpathway of glycolysis and the Entner-Doudoroff pathway	0.952816136407233	0.0393063935649439	0.000569337772902254	0.0073081322549207	0
GLYCOLYSIS|glycolysis I (from glucose 6-phosphate)	0.857600575583208	0.0439447765395706	0.0556287091874312	0.0276892332634169	0.0151367054263728
GOLPDLCAT-PWY|superpathway of glycerol degradation to 1,3-propanediol	0.726091379031111	0.077354907972374	0.0656049779132853	0.130948735083229	0
HEME-BIOSYNTHESIS-II|heme b biosynthesis I (aerobic)	0.787855258596082	0.00897854902179263	0.093110658587809	0.110055533794316	0
HEMESYN2-PWY|heme b biosynthesis II (oxygen-independent)	0.879203063150911	0.0485564406651301	0.00181589823128015	0.0704245979526792	0
HISDEG-PWY|L-histidine degradation I	0.810313636606827	0.141347509601674	0.0262934709968522	0.0220453827946465	0
HISTSYN-PWY|L-histidine biosynthesis	0.888334688865301	1.73156680936475e-05	0.0581577982257122	0.0391959276809302	0.0142942695599626
HSERMETANA-PWY|L-methionine biosynthesis III	0.898039119335024	0.0361920557617534	0.0305431832649907	0.0352256416382315	0
ILEUSYN-PWY|L-isoleucine biosynthesis I (from threonine)	0.915599924476769	0.000751563415371214	0.0125587837858897	0.0710897283219698	0
LACTOSECAT-PWY|lactose and galactose degradation I	0.863617210089217	0.0579473227386536	0.0166629463868424	0.000174196619805268	0.0615983241654814
METH-ACETATE-PWY|methanogenesis from acetate	0.812319182399205	0.0627249894393393	0.000652245168875302	0.022486006559503	0.101817576433078
NAGLIPASYN-PWY|lipid IVA biosynthesis (E. coli)	0.930510200425539	0.00940976581523094	0.0113571832323043	0.0487228505269255	0
NONMEVIPP-PWY|methylerythritol phosphate pathway I	0.689600035889068	0.234249171565233	0.0631332594610188	0.0130175330846803	0
NONOXIPENT-PWY|pentose phosphate pathway (non-oxidative branch) I	0.92896726096946	0.0239515602285186	0.0170972374009887	0.0299839414010327	0
OANTIGEN-PWY|O-antigen building blocks biosynthesis (E. coli)	0.819555728112328	7.30144405651218e-05	0.0494941493489417	0.0202312687047747	0.110645839393391
P124-PWY|Bifidobacterium shunt	0.963063034585366	0.0210028941111517	0.00821222180168245	0.00772184950179934	0
P161-PWY|acetylene degradation (anaerobic)	0.907509345166988	0.00209788375836645	0.0889052573462005	0.00148751372844532	0
P164-PWY|purine nucleobases degradation I (anaerobic)	0.967983566339614	0.0219178374259714	0.00180799615156127	0.00829060008285333	0
P185-PWY|formaldehyde assimilation III (dihydroxyacetone cycle)	0.661242325981031	0.000402174598360524	0.307137960020167	0.0312175394004409	0
P41-PWY|pyruvate fermentation to acetate and (S)-lactate I	0.796795475051002	0.095033240525205	0.0139917249012825	0.0528415906994881	0.0413379688230226
P42-PWY|incomplete reductive TCA cycle	0.50890453529739	0.0250136745075003	0.21220335321377	0.25387843698134	0
P441-PWY|superpathway of N-acetylneuraminate degradation	0.904468048482792	0.00212203247268582	0.0927450291590337	0.00066488988548899	0
P461-PWY|hexitol fermentation to lactate, formate, ethanol and acetate	0.77321183160217	0.103690126691285	0.0237760973750382	0.0993219443315068	0
PANTO-PWY|phosphopantothenate biosynthesis I	0.832234024532474	0.0675181376226651	0.0970796181973751	0.00316821964748598	0
PANTOSYN-PWY|superpathway of coenzyme A biosynthesis I (bacteria)	0.807755209248172	0.0965514618754947	0.093302201140534	0.0023911277357996	0
PENTOSE-P-PWY|pentose phosphate pathway	0.797030794877487	0.0533755695092355	0.0340025642212515	0.115591071392026	0
PEPTIDOGLYCANSYN-PWY|peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.68628570883394	0.257710835014734	0.0547957238371313	0.00120773231419473	0
PHOSLIPSYN-PWY|superpathway of phospholipid biosynthesis I (bacteria)	0.889347081268201	0.109611078949855	0.000893941719365807	0.000147898062578535	0
POLYISOPRENSYN-PWY|polyisoprenoid biosynthesis (E. coli)	0.8806544074992	0.0777485203415447	0.0408654057188072	0.000731666440448269	0
PPGPPMET-PWY|ppGpp metabolism	0.792710564473853	0.164651488111724	0.000660840367387785	0.00381235705195401	0.0381647499950811
PWY-1042|glycolysis IV	0.860862368607346	0.00964665847664953	0.0778986611762844	0.0515923117397199	0
PWY-1269|CMP-3-deoxy-D-manno-octulosonate biosynthesis	0.775360715297132	0.132536230213435	0.00661503319287509	0.0854880212965576	0
PWY-241|C4 photosynthetic carbon assimilation cycle, NADP-ME type	0.861390153172877	0.0219054444221172	0.113228023243341	0.00347637916166457	0
PWY-2941|L-lysine biosynthesis II	0.908376369043196	0.0284702440191815	0.05391694237498	0.00923644456264269	0
PWY-2942|L-lysine biosynthesis III	0.835468345651271	0.120976907789999	0.00160902973869138	0.0419457168200386	0
PWY-3001|superpathway of L-isoleucine biosynthesis I	0.542133139844432	0.00321670054227716	0.450170419100052	0.00447974051323954	0
PWY-3781|aerobic respiration I (cytochrome c)	0.94778885617193	0.000224025388656278	0.0271352472088656	0.0248518712305476	0
PWY-3841|folate transformations II (plants)	0.726102154961599	0.199075077984935	0.0571962276137017	0.0176265394397643	0
PWY-4041|&gamma;-glutamyl cycle	0.979354930875575	0.00112981705864387	0.0182724665657977	0.00124278549998335	0
PWY-4984|urea cycle	0.846555307436145	0.0314562840202876	0.0682624449043146	0.0335318222544487	0.0201941413848041
PWY-5005|biotin biosynthesis II	0.777166143035306	0.0189599815724595	0.194020281782364	0.0098535936098704	0
PWY-5022|4-aminobutanoate degradation V	0.828910368803387	0.0170149190779806	0.150138495191078	0.00393621692755446	0
