Residuals	weight_grams_scaled	number_of_pups_scaled	lipocalin2_pg_ml_scaled	genotype
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN|(expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]	0.752726887085448	0.0963142617234432	0.000101313923540374	0.0244813911114382	0.12637614615613
1.1.1.127-RXN|(expasy) 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [1.1.1.127]	0.807588470351261	0.0250001070433559	0.125223851328312	0.0421875712770708	0
1.1.1.136-RXN|(expasy) UDP-N-acetylglucosamine 6-dehydrogenase [1.1.1.136]	0.691750600728972	7.73932580528006e-08	0.119146396743003	0.189102925134767	0
1.1.1.261-RXN|(expasy) sn-glycerol-1-phosphate dehydrogenase [1.1.1.261]	0.708358166513904	0.00610701513690338	0.279296851013984	0.00623796733520849	0
1.1.1.271-RXN|(expasy) GDP-L-fucose synthase [1.1.1.271]	0.940620601395056	0.0128424260171055	0.0346516030287524	0.0118853695590857	0
1.1.1.272-RXN|(expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]	0.942380057530813	0.0184807013873906	0.0391107708743385	2.8470207458117e-05	0
1.1.1.274-RXN|(expasy) 2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) [1.1.1.274]	0.778524326464036	0.0747685894286793	0.127358946439441	0.0186094085949549	0.000738729072887869
1.1.1.283-RXN|(expasy) Methylglyoxal reductase (NADPH) [1.1.1.283]	0.753725573804065	0.00663816233526465	0.160798986907737	0.0090919790932301	0.0697452978597025
1.1.1.292-RXN|(expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	0.818283843242885	0.0863464583456924	0.00935486617274865	0.0860148322386745	0
1.1.1.39-RXN|(expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]	0.932276716050197	0.00385990898864584	0.00173770417382089	0.0621256707873363	0
1.1.99.28-RXN|(expasy) Glucose-fructose oxidoreductase [1.1.99.28]	0.888128073650252	0.000325726723090019	0.0115496527424629	0.0999965468841947	0
1.12.1.3-RXN|(expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]	0.741151815279541	0.0293520389826166	0.0337697270039077	0.148588601069856	0.0471378176640786
1.17.4.2-RXN|(expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	0.913093816788101	0.000789087597956704	0.0289233441367883	0.0571937514771536	0
1.18.1.2-RXN|(expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]	0.925593609739183	0.011227828667644	0.0623714433566645	0.000807118236508573	0
1.2.3.3-RXN|(expasy) Pyruvate oxidase [1.2.3.3]	0.970537624178737	0.0169688069162537	0.0056489871094896	0.00684458179551939	0
1.2.4.4-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	0.909770977618576	0.0160762789437306	0.00255524701088094	0.071597496426813	0
1.2.7.4-RXN|(expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]	0.833443148802179	0.0149663362019666	0.0525213980984063	0.0990691168974486	0
1.2.7.7-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.997425881272827	0.00160261834337142	0.000921874061242487	4.96263225591801e-05	0
1.2.7.8-RXN|(expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	0.754219002913187	0.216191948248878	0.000133465128076128	0.0294555837098591	0
1.2.99.7-RXN|(expasy) Aldehyde dehydrogenase (FAD-independent) [1.2.99.7]	0.984115838476378	0.000804416195431399	0.0146113912277335	0.00046835410045668	0
1.21.4.1-RXN|(expasy) D-proline reductase [1.21.4.1]	0.955919182509144	0.0316278241215358	0.00906536645866172	0.00338762691065794	0
1.21.4.3-RXN|(expasy) Sarcosine reductase [1.21.4.3]	0.924042386549021	0.00895832422245321	0.0251300711944715	0.000802497157010442	0.0410667208770438
1.21.4.4-RXN|(expasy) Betaine reductase [1.21.4.4]	0.923183961889498	0.000321580104445537	0.0155434786805267	0.0057341225891918	0.0552168567363384
1.3.1.54-RXN|(expasy) Precorrin-6A reductase [1.3.1.54]	0.873068542021441	0.0502910759772937	0.0667147442494364	1.49212312456767e-05	0.00991071652058311
1.4.1.11-RXN|(expasy) L-erythro-3,5-diaminohexanoate dehydrogenase [1.4.1.11]	0.920471340671415	0.010475752571716	0.028758025286816	0.0402948814700525	0
1.4.1.21-RXN|(expasy) Aspartate dehydrogenase [1.4.1.21]	0.766129049460682	5.82630305563161e-05	0.0381914832191916	0.19562120428957	0
1.4.3.19-RXN|(expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]	0.692414509359176	0.0382837993538959	0.25394980941847	0.0153518818684585	0
1.5.1.20-RXN|(expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	0.779891763403265	0.0564088807695707	0.0266194030741864	0.00704501035879859	0.13003494239418
1.5.1.7-RXN|(expasy) Saccharopine dehydrogenase (NAD(+), L-lysine-forming) [1.5.1.7]	0.682639350372232	0.000300665775553338	0.0100618525938599	0.190812580035814	0.116185551222541
1.6.4.4-RXN|(expasy) Protein-disulfide reductase [1.8.1.8]	0.707588320345996	0.216287442144573	0.014186553989821	0.0619376835196096	0
1.7.2.2-RXN|(expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]	0.883203361183119	0.0794701064060036	0.00246774565372623	0.0348587867571509	0
1.8.1.4-RXN|(expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	0.742810632368668	0.18351472464591	0.063064710130179	0.010609932855243	0
1.8.4.12-RXN|(expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]	0.917454533785123	0.0092311606981168	0.0243735680157077	0.0489407375010521	0
1.8.4.14-RXN|(expasy) L-methionine (R)-S-oxide reductase [1.8.4.14]	0.975602460401324	4.10274057575433e-05	0.0137796576190292	0.0105768545738887	0
1.8.4.8-RXN|(expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]	0.93745715446094	0.0449701139857352	0.0141795317403132	0.00339319981301187	0
13-PROPANEDIOL-DEHYDROGENASE-RXN|(expasy) 1,3-propanediol dehydrogenase [1.1.1.202]	0.909670212272718	0.0201866309690018	0.0596546834981131	0.0104884732601667	0
1PFRUCTPHOSN-RXN|(expasy) 1-phosphofructokinase [2.7.1.56]	0.947111875120135	0.0102184042990534	0.0040599119570018	0.0386098086238101	0
1TRANSKETO-RXN|(expasy) Transketolase [2.2.1.1]	0.923257614350721	0.0147141049246874	0.0272500492945207	0.0347782314300712	0
2-AMINOADIPATE-AMINOTRANSFERASE-RXN|(expasy) 2-aminoadipate transaminase [2.6.1.39]	0.934052572491266	0.0166171225905379	0.000386985065993894	0.0489433198522023	0
2-DEHYDROPANTOATE-REDUCT-RXN|(expasy) 2-dehydropantoate 2-reductase [1.1.1.169]	0.879264506980113	0.00108216563402315	0.119626268891713	2.70584941512478e-05	0
2-ISOPROPYLMALATESYN-RXN|(expasy) 2-isopropylmalate synthase [2.3.3.13]	0.880988306256211	0.10403283745264	8.94276568533267e-05	0.0148894286342957	0
2-METHYLCITRATE-DEHYDRATASE-RXN|(expasy) 2-methylcitrate dehydratase [4.2.1.79]	0.872102302744767	0.0708651136763041	0.0450175405431795	0.0120150430357493	0
2-NITROPROPANE-DIOXYGENASE-RXN|(expasy) Nitronate monooxygenase [1.13.12.16]	0.878190470809704	0.0826224097666413	0.0346009434208093	0.00458617600284558	0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN|(expasy) 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [2.1.1.201]	0.861086848131217	0.0541361396524526	0.0637005162980085	0.0210764959183224	0
2-OXOBUTYRATE-SYNTHASE-RXN|(expasy) 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) [1.2.7.7]	0.997425881272827	0.00160261834337142	0.000921874061242487	4.96263225591801e-05	0
2-OXOGLUTARATE-SYNTHASE-RXN|(expasy) 2-oxoglutarate synthase [1.2.7.3]	0.916105682249498	0.0639626475032742	0.0171190976173984	0.00281257262982918	0
2.1.1.130-RXN|(expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130]	0.616142910244877	0.00362055012565902	0.146504559404789	0.00435071507231708	0.229381265152358
2.1.1.131-RXN|(expasy) Precorrin-3B C(17)-methyltransferase [2.1.1.131]	0.873568654959279	7.3603136334924e-06	0.126219408304294	0.000204576422794214	0
2.1.1.132-RXN|(expasy) Precorrin-6B C(5,15)-methyltransferase (decarboxylating) [2.1.1.132]	0.884115114841474	0.0166952351194439	0.0160942482347813	0.0830954018043011	0
2.1.1.133-RXN|(expasy) Precorrin-4 C(11)-methyltransferase [2.1.1.133]	0.670706618937267	0.0249809510862764	0.213261331927247	0.09105109804921	0
2.1.1.34-RXN|(expasy) tRNA (guanosine(18)-2-O)-methyltransferase [2.1.1.34]	0.873678267486291	0.12353310081533	0.00122644224716711	0.00156218945121177	0
2.1.1.63-RXN|(expasy) Methylated-DNA--[protein]-cysteine S-methyltransferase [2.1.1.63]	0.877562051723368	0.0829015531927895	0.00231468642888801	0.0372217086549548	0
2.1.1.72-RXN|(expasy) Site-specific DNA-methyltransferase (adenine-specific) [2.1.1.72]	0.746740817497222	0.14944601882221	0.0809896063707174	0.0228235573098505	0
2.1.1.74-RXN|(expasy) (NAD(P)H-oxidizing) [2.1.1.74]	0.744995550268811	0.00460586187237909	0.00392919927053459	0.246469388588276	0
2.1.1.77-RXN|(expasy) Protein-L-isoaspartate(D-aspartate) O-methyltransferase [2.1.1.77]	0.855911779500693	0.0507077348133333	0.0292953320739141	0.0640851536120592	0
2.1.1.79-RXN|(expasy) Cyclopropane-fatty-acyl-phospholipid synthase [2.1.1.79]	0.6915373564785	0.0735693731673384	0.00397804800664055	0.00217562462131324	0.228739597726208
2.1.3.1-RXN|(expasy) Methylmalonyl-CoA carboxytransferase [2.1.3.1]	0.790862272306015	0.161833891862565	0.0133715124335448	0.0339323233978757	0
2.1.3.9-RXN|(expasy) N-acetylornithine carbamoyltransferase [2.1.3.9]	0.891841016334192	0.0214949141178792	0.000374839965231351	0.0862892295826974	0
2.3.1.128-RXN|(expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266]	0.768430874526552	0.00592846751414508	0.107559798396429	0.118080859562874	0
2.3.1.157-RXN|(expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157]	0.88783363883062	0.0161763395551317	0.03339348340243	0.0340515290722216	0.0285450091395967
2.3.1.179-RXN|(expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase II [2.3.1.179]	0.885100409920797	0.0659830445063192	0.0128230853072273	0.0360934602656563	0
2.3.1.180-RXN|(expasy) Beta-ketoacyl-[acyl-carrier-protein] synthase III [2.3.1.180]	0.741888452311021	0.12208316987271	0.11488028135912	0.021148096457149	0
2.3.1.89-RXN|(expasy) Tetrahydrodipicolinate N-acetyltransferase [2.3.1.89]	0.924613110923763	0.0151141807392625	0.0512580603176452	0.00901464801932884	0
2.4.1.129-RXN|(expasy) Peptidoglycan glycosyltransferase [2.4.1.129]	0.953248640025354	0.0279435793086964	0.00191943560778566	0.0168883450581638	0
2.4.1.211-RXN|(expasy) 1,3-beta-galactosyl-N-acetylhexosamine phosphorylase [2.4.1.211]	0.904404089164482	1.91802696628476e-06	0.0156795627176157	0.0799144300909355	0
2.4.1.212-RXN|(expasy) Hyaluronan synthase [2.4.1.212]	0.958599221873793	0.0336812530000995	0.00428440931384802	0.0034351158122598	0
2.4.1.230-RXN|(expasy) Kojibiose phosphorylase [2.4.1.230]	0.832539581674738	0.150001007990714	0.00543691075148609	0.0120224995830615	0
2.4.1.54-RXN|(expasy) Undecaprenyl-phosphate mannosyltransferase [2.4.1.54]	0.682200811769278	0.304480848391317	0.0108087543156411	0.00250958552376421	0
2.5.1.19-RXN|(expasy) 3-phosphoshikimate 1-carboxyvinyltransferase [2.5.1.19]	0.76294277322277	0.124788861828484	0.0531189995370825	0.0591493654116635	0
2.5.1.64-RXN|(expasy) synthase [2.2.1.9]	0.766778995007224	0.0790861117115768	0.146724785926056	0.00741010735514311	0
2.6.1.33-RXN|(expasy) dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [2.6.1.33]	0.633176466992816	0.000475710729567967	0.329520242838163	0.0368275794394528	0
2.6.1.37-RXN|(metacyc) phosphonoacetaldehyde transaminase [2.6.1.37]	0.786005078724783	0.203530391370539	0.00130348725943139	0.00916104264524699	0
2.7.1.121-RXN|(expasy) Phosphoenolpyruvate--glycerone phosphotransferase [2.7.1.121]	0.698489000368796	0.00603733282418932	0.294673542802699	0.000800124004315738	0
2.7.1.148-RXN|(expasy) 4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148]	0.672572065325489	0.217847888075674	0.0717347372083916	0.0378453093904448	0
2.7.1.156-RXN|(expasy) Adenosylcobinamide kinase [2.7.1.156]	0.978229715917493	0.0123124896201482	0.000110548630321688	0.00934724583203669	0
2.7.1.90-RXN|(expasy) Diphosphate--fructose-6-phosphate 1-phosphotransferase [2.7.1.90]	0.886500471668795	0.0646030187899333	0.0450385529356518	0.00385795660562028	0
2.7.10.1-RXN|(expasy) AMBIGUOUS [2.7.10.1; 2.7.10.2; 2.7.12.1]	0.858985471436629	0.000494144598773367	0.0321783970808866	0.108341986883711	0
2.7.13.3-RXN|(expasy) Histidine kinase [2.7.13.3]	0.867020791537849	0.00681079876497036	0.020117722891522	0.106050686805659	0
2.7.3.9-RXN|(expasy) Phosphoenolpyruvate--protein phosphotransferase [2.7.3.9]	0.810813490211742	3.63777771280918e-07	0.032803004216793	0.156383141793693	0
